+------------+-----------------------+---------+-----------------------+-----------------------+-------------+
| Benchmark  |        Samples        |   Test  |       Statistic       |        P-value        | Observation |
+------------+-----------------------+---------+-----------------------+-----------------------+-------------+
|    DCT     |  Vivado-Catapult--TP  |  ttest  |       728.124169      |          0.0          |    False    |
|    DCT     |  Vivado-Catapult--TP  | KS-test |          1.0          |          0.0          |    False    |
|    DCT     |  Vivado-Catapult--TP  | AD-test |   3033.6748850000004  |         0.001         |    False    |
|    DCT     | Vivado-Catapult--Area |  ttest  |       73.059759       |          0.0          |    False    |
|    DCT     | Vivado-Catapult--Area | KS-test |        0.730275       |          0.0          |    False    |
|    DCT     | Vivado-Catapult--Area | AD-test |      2274.792274      |         0.001         |    False    |
|    DCT     |    Catapult-FPGA-TP   |  ttest  |   126.63648500000001  |          0.0          |    False    |
|    DCT     |    Catapult-FPGA-TP   | KS-test |        0.96055        |         5e-06         |    False    |
|    DCT     |    Catapult-FPGA-TP   | AD-test |      2165.558566      |         0.001         |    False    |
|    DCT     |   Catapult-FPGA-Area  |  ttest  |        2.360856       |        0.018276       |    False    |
|    DCT     |   Catapult-FPGA-Area  | KS-test |        0.04267        |        0.034167       |    False    |
|    DCT     |   Catapult-FPGA-Area  | AD-test |        4.023129       |        0.007911       |    False    |
|    DCT     |   Catapult-ASIC--TP   |  ttest  |       -10.859994      |          0.0          |    False    |
|    DCT     |   Catapult-ASIC--TP   | KS-test |        0.227481       |        0.99985        |     True    |
|    DCT     |   Catapult-ASIC--TP   | AD-test |       90.642205       |         0.001         |    False    |
|    DCT     |  Catapult-ASIC--Area  |  ttest  |        8.242364       |          0.0          |    False    |
|    DCT     |  Catapult-ASIC--Area  | KS-test |        0.09896        |        0.99985        |     True    |
|    DCT     |  Catapult-ASIC--Area  | AD-test |   56.828441000000005  |         0.001         |    False    |
| Histogram  |  Vivado-Catapult--TP  |  ttest  |   -53.29378199999999  |          0.0          |    False    |
| Histogram  |  Vivado-Catapult--TP  | KS-test |   0.8326690000000001  |          0.0          |    False    |
| Histogram  |  Vivado-Catapult--TP  | AD-test |   996.3582349999999   |         0.001         |    False    |
| Histogram  | Vivado-Catapult--Area |  ttest  |       -32.79983       |          0.0          |    False    |
| Histogram  | Vivado-Catapult--Area | KS-test |          1.0          |          0.0          |    False    |
| Histogram  | Vivado-Catapult--Area | AD-test |   1420.6974369999998  |         0.001         |    False    |
| Histogram  |   Catapult-FPGA--TP   |  ttest  |        0.711959       |        0.476533       |     True    |
| Histogram  |   Catapult-FPGA--TP   | KS-test |  0.015475999999999998 |        0.969137       |     True    |
| Histogram  |   Catapult-FPGA--TP   | AD-test |       -0.761181       |          0.25         |     True    |
| Histogram  |   Catapult-FPGA-Area  |  ttest  |        0.214442       |   0.8302139999999999  |     True    |
| Histogram  |   Catapult-FPGA-Area  | KS-test |        0.017168       |   0.9283309999999999  |     True    |
| Histogram  |   Catapult-FPGA-Area  | AD-test |       -0.893481       |          0.25         |     True    |
| Histogram  |   Catapult-ASIC--TP   |  ttest  |        7.500925       |          0.0          |    False    |
| Histogram  |   Catapult-ASIC--TP   | KS-test |  0.15851700000000002  |   0.9997860000000001  |     True    |
| Histogram  |   Catapult-ASIC--TP   | AD-test |       49.395661       |         0.001         |    False    |
| Histogram  |   Catapult-ASIC-Area  |  ttest  |   -4.005348000000001  |        6.3e-05        |    False    |
| Histogram  |   Catapult-ASIC-Area  | KS-test |        0.148367       |   0.9997860000000001  |     True    |
| Histogram  |   Catapult-ASIC-Area  | AD-test |       44.967586       |         0.001         |    False    |
|  Mat_mul   |  Vivado-Catapult--TP  |  ttest  |       22.318534       |          0.0          |    False    |
|  Mat_mul   |  Vivado-Catapult--TP  | KS-test |        0.341567       |          1.0          |    False    |
|  Mat_mul   |  Vivado-Catapult--TP  | AD-test |       631.306061      |         0.001         |    False    |
|  Mat_mul   | Vivado-Catapult--Area |  ttest  |       68.260334       |          0.0          |    False    |
|  Mat_mul   | Vivado-Catapult--Area | KS-test |        0.63567        |          1.0          |    False    |
|  Mat_mul   | Vivado-Catapult--Area | AD-test |      2355.684465      |         0.001         |    False    |
|  Mat_mul   |   Catapult-FPGA--TP   |  ttest  |       -0.023652       |        0.981131       |     True    |
|  Mat_mul   |   Catapult-FPGA--TP   | KS-test | 0.0013800000000000002 |          1.0          |     True    |
|  Mat_mul   |   Catapult-FPGA--TP   | AD-test |       -1.310923       |          0.25         |     True    |
|  Mat_mul   |   Catapult-FPGA-Area  |  ttest  |        0.000317       |   0.9997469999999999  |     True    |
|  Mat_mul   |   Catapult-FPGA-Area  | KS-test |        0.001174       |          1.0          |     True    |
|  Mat_mul   |   Catapult-FPGA-Area  | AD-test |       -1.311123       |          0.25         |     True    |
|  Mat_mul   |   Catapult-ASIC--TP   |  ttest  |        0.054662       |   0.9564090000000001  |     True    |
|  Mat_mul   |   Catapult-ASIC--TP   | KS-test |        0.000559       |          1.0          |     True    |
|  Mat_mul   |   Catapult-ASIC--TP   | AD-test |       -1.311324       |          0.25         |     True    |
|  Mat_mul   |   Catapult-ASIC-Area  |  ttest  |       -0.121984       |        0.902914       |     True    |
|  Mat_mul   |   Catapult-ASIC-Area  | KS-test | 0.0010199999999999999 |          1.0          |     True    |
|  Mat_mul   |   Catapult-ASIC-Area  | AD-test |  -1.3006469999999999  |          0.25         |     True    |
| MergeSort  |  Vivado-Catapult--TP  |  ttest  |       -40.873437      |          0.0          |    False    |
| MergeSort  |  Vivado-Catapult--TP  | KS-test |        0.880259       |          0.0          |    False    |
| MergeSort  |  Vivado-Catapult--TP  | AD-test |      5568.861481      |         0.001         |    False    |
| MergeSort  | Vivado-Catapult--Area |  ttest  |   3.9708730000000005  |        7.2e-05        |    False    |
| MergeSort  | Vivado-Catapult--Area | KS-test |   0.8081520000000001  |          0.0          |    False    |
| MergeSort  | Vivado-Catapult--Area | AD-test |   5968.4479280000005  |         0.001         |    False    |
| MergeSort  |   Catapult-FPGA--TP   |  ttest  |       -0.040614       |   0.9676040000000001  |     True    |
| MergeSort  |   Catapult-FPGA--TP   | KS-test |        0.004192       |   0.9999629999999999  |     True    |
