Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,2.391755141675616,catapult,Area,3823.484,FF,192,catapult_asic_area
Throughput,2.3824783015788684,catapult,Area,3863.384,FF,192,catapult_asic_area
Throughput,2.3629936293691753,catapult,Area,3948.238,FF,192,catapult_asic_area
Throughput,2.295641953315825,catapult,Area,4110.232,FF,192,catapult_asic_area
Throughput,1.4124213987491596,catapult,Area,4161.038,FF,231,catapult_asic_area
Throughput,1.4154602227368207,catapult,Area,4194.288,FF,231,catapult_asic_area
Throughput,1.410739679028508,catapult,Area,4307.870,FF,234,catapult_asic_area
Throughput,1.3970948809046468,catapult,Area,4371.976,FF,232,catapult_asic_area
Throughput,1.4372379735519467,catapult,Area,4285.260,FF,231,catapult_asic_area
Throughput,1.434452684578199,catapult,Area,4362.400,FF,231,catapult_asic_area
Throughput,1.4005347241576833,catapult,Area,4512.158,FF,234,catapult_asic_area
Throughput,1.3923039009570697,catapult,Area,4531.044,FF,232,catapult_asic_area
Throughput,1.437657423487872,catapult,Area,4531.310,FF,231,catapult_asic_area
Throughput,1.438354292552633,catapult,Area,4658.192,FF,231,catapult_asic_area
Throughput,1.409938089618485,catapult,Area,4793.586,FF,234,catapult_asic_area
Throughput,1.3733245440562514,catapult,Area,4963.826,FF,232,catapult_asic_area
Throughput,1.4357749164379,catapult,Area,4177.796,FF,231,catapult_asic_area
Throughput,1.4264378850490766,catapult,Area,4227.538,FF,231,catapult_asic_area
Throughput,1.4064460234145135,catapult,Area,4336.066,FF,234,catapult_asic_area
Throughput,1.3997975892685917,catapult,Area,4406.822,FF,232,catapult_asic_area
Throughput,1.434662596050661,catapult,Area,4296.166,FF,231,catapult_asic_area
Throughput,1.4010625658499405,catapult,Area,4396.714,FF,231,catapult_asic_area
Throughput,1.4311966521447912,catapult,Area,4481.568,FF,234,catapult_asic_area
Throughput,1.3645822672534371,catapult,Area,4499.390,FF,232,catapult_asic_area
Throughput,1.4446003007657826,catapult,Area,4729.480,FF,231,catapult_asic_area
Throughput,1.4327201768549787,catapult,Area,4644.094,FF,231,catapult_asic_area
Throughput,1.3874128357885915,catapult,Area,4786.936,FF,234,catapult_asic_area
Throughput,1.407524909672089,catapult,Area,4746.504,FF,232,catapult_asic_area
Throughput,1.444671257831924,catapult,Area,5499.550,FF,231,catapult_asic_area
Throughput,1.437657423487872,catapult,Area,5249.510,FF,231,catapult_asic_area
Throughput,1.4228090519111882,catapult,Area,6304.466,FF,234,catapult_asic_area
Throughput,1.4109466887903106,catapult,Area,5192.320,FF,232,catapult_asic_area
Throughput,1.4357769778904703,catapult,Area,4404.960,FF,231,catapult_asic_area
Throughput,1.4172195003734374,catapult,Area,4493.538,FF,231,catapult_asic_area
Throughput,1.4077844850887469,catapult,Area,4570.412,FF,234,catapult_asic_area
Throughput,1.404778494526983,catapult,Area,4606.854,FF,232,catapult_asic_area
