n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0000,1,1,1,1,1,1,4194304,0,0.418103,3823.484,192
0001,1,1,1,1,1,2,2097152,0,0.419731,3863.384,192
0002,1,1,1,1,1,4,1048576,0,0.423192,3948.238,192
0003,1,1,1,1,2,1,4194304,0,0.708004,4161.038,231
0004,1,1,1,1,2,2,2097152,0,0.706484,4194.288,231
0005,1,1,1,1,2,4,1048576,0,0.708848,4307.870,234
0006,1,1,1,1,4,1,4194304,0,0.695779,4285.260,231
0007,1,1,1,1,4,2,2097152,0,0.697130,4362.400,231
0008,1,1,1,1,4,4,1048576,0,0.714013,4512.158,234
0009,1,1,1,1,8,1,4194304,0,0.695576,4531.310,231
0010,1,1,1,1,8,2,2097152,0,0.695239,4658.192,231
0011,1,1,1,1,8,4,1048576,0,0.709251,4793.586,234
0012,1,1,1,2,1,1,4194304,0,0.696488,4177.796,231
0013,1,1,1,2,1,2,2097152,0,0.701047,4227.538,231
0014,1,1,1,2,1,4,1048576,0,0.711012,4336.066,234
0015,1,1,1,2,2,1,4194304,0,0.697028,4296.166,231
0016,1,1,1,2,2,2,2097152,0,0.713744,4396.714,231
0017,1,1,1,2,2,4,1048576,0,0.698716,4481.568,234
0018,1,1,1,2,4,1,4194304,0,0.692233,4729.480,231
0019,1,1,1,2,4,2,2097152,0,0.697973,4644.094,231
0020,1,1,1,2,4,4,1048576,0,0.720766,4786.936,234
0021,1,1,1,2,8,1,4194304,0,0.692199,5499.550,231
0022,1,1,1,2,8,2,2097152,0,0.695576,5249.510,231
0023,1,1,1,2,8,4,1048576,0,0.702835,6304.466,234
0024,1,1,1,4,1,1,4194304,0,0.696487,4404.960,231
0025,1,1,1,4,1,2,2097152,0,0.705607,4493.538,231
0026,1,1,1,4,1,4,1048576,0,0.710336,4570.412,234
0027,1,1,1,4,2,1,4194304,0,0.697365,5001.332,231
0028,1,1,1,4,2,2,2097152,0,0.715264,4901.050,231
0029,1,1,1,4,2,4,1048576,0,0.699729,4991.490,234
0030,1,1,1,4,4,1,4194304,0,0.695103,4891.740,231
0031,1,1,1,4,4,2,2097152,0,0.697973,4963.294,231
0032,1,1,1,4,4,4,1048576,0,0.712493,5142.046,234
0033,1,1,1,4,8,1,4194304,0,0.715328,6557.166,231
0034,1,1,1,4,8,2,2097152,0,0.697095,7173.488,231
