Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,2.391755141675616,catapult,Area,3823.484,latency
Throughput,2.3824783015788684,catapult,Area,3863.384,latency
Throughput,2.3629936293691753,catapult,Area,3948.238,latency
Throughput,1.4124213987491596,catapult,Area,4161.038,latency
Throughput,1.4154602227368207,catapult,Area,4194.288,latency
Throughput,1.410739679028508,catapult,Area,4307.870,latency
Throughput,1.4372379735519467,catapult,Area,4285.260,latency
Throughput,1.434452684578199,catapult,Area,4362.400,latency
Throughput,1.4005347241576833,catapult,Area,4512.158,latency
Throughput,1.437657423487872,catapult,Area,4531.310,latency
Throughput,1.438354292552633,catapult,Area,4658.192,latency
Throughput,1.409938089618485,catapult,Area,4793.586,latency
Throughput,1.4357749164379,catapult,Area,4177.796,latency
Throughput,1.4264378850490766,catapult,Area,4227.538,latency
Throughput,1.4064460234145135,catapult,Area,4336.066,latency
Throughput,1.434662596050661,catapult,Area,4296.166,latency
Throughput,1.4010625658499405,catapult,Area,4396.714,latency
Throughput,1.4311966521447912,catapult,Area,4481.568,latency
Throughput,1.4446003007657826,catapult,Area,4729.480,latency
Throughput,1.4327201768549787,catapult,Area,4644.094,latency
Throughput,1.3874128357885915,catapult,Area,4786.936,latency
Throughput,1.444671257831924,catapult,Area,5499.550,latency
Throughput,1.437657423487872,catapult,Area,5249.510,latency
Throughput,1.4228090519111882,catapult,Area,6304.466,latency
Throughput,1.4357769778904703,catapult,Area,4404.960,latency
Throughput,1.4172195003734374,catapult,Area,4493.538,latency
Throughput,1.4077844850887469,catapult,Area,4570.412,latency
Throughput,1.4339692987173145,catapult,Area,5001.332,latency
Throughput,1.3980851825340015,catapult,Area,4901.050,latency
Throughput,1.4291247039925457,catapult,Area,4991.490,latency
Throughput,1.4386357129806662,catapult,Area,4891.740,latency
Throughput,1.4327201768549787,catapult,Area,4963.294,latency
Throughput,1.4035225609234054,catapult,Area,5142.046,latency
Throughput,1.397960096627002,catapult,Area,6557.166,latency
Throughput,1.4345247061017508,catapult,Area,7173.488,latency
Throughput,1.433136993565215,catapult,Area,7258.342,latency
Throughput,1.4598476211053089,catapult,Area,4879.770,latency
Throughput,1.4347325801943775,catapult,Area,5031.390,latency
Throughput,1.420620015399521,catapult,Area,5063.842,latency
Throughput,1.4291247039925457,catapult,Area,5647.446,latency
Throughput,1.425342010815495,catapult,Area,5724.852,latency
Throughput,1.3964374088824592,catapult,Area,5999.364,latency
Throughput,1.4477793236843668,catapult,Area,5809.706,latency
Throughput,1.4155984796472327,catapult,Area,5981.808,latency
Throughput,1.3978916997384545,catapult,Area,5993.778,latency
Throughput,1.797084051418169,catapult,Area,4306.274,latency
Throughput,1.7884704464201082,catapult,Area,4464.544,latency
Throughput,1.794059867777788,catapult,Area,4353.356,latency
Throughput,1.4275578624890612,catapult,Area,4537.960,latency
Throughput,1.420761300735386,catapult,Area,4583.180,latency
Throughput,1.4017420850633167,catapult,Area,4442.732,latency
Throughput,1.418198320853188,catapult,Area,5147.100,latency
Throughput,1.4376677578564947,catapult,Area,5212.536,latency
Throughput,1.4058409881375138,catapult,Area,4741.450,latency
Throughput,1.4062403320977168,catapult,Area,6594.672,latency
Throughput,1.4132318067603358,catapult,Area,7066.290,latency
Throughput,1.4049166462953753,catapult,Area,5668.194,latency
Throughput,1.4272787218433591,catapult,Area,4584.510,latency
Throughput,1.3942645533334077,catapult,Area,4605.258,latency
Throughput,1.415766828866353,catapult,Area,4431.028,latency
Throughput,1.4275578624890612,catapult,Area,5151.622,latency
Throughput,1.4238118290286756,catapult,Area,5219.718,latency
Throughput,1.4063669042489158,catapult,Area,4855.564,latency
Throughput,1.4225944993961086,catapult,Area,6523.650,latency
Throughput,1.4061730999085988,catapult,Area,6669.152,latency
Throughput,1.4215772684108472,catapult,Area,5455.394,latency
Throughput,1.3456939811145308,catapult,Area,9072.994,latency
Throughput,1.3142884179647456,catapult,Area,9613.772,latency
Throughput,1.4095624718087507,catapult,Area,6688.570,latency
Throughput,1.4355193421876167,catapult,Area,5078.738,latency
Throughput,1.4235341512960566,catapult,Area,5131.406,latency
Throughput,1.374990031322273,catapult,Area,4754.750,latency
Throughput,1.4027311174857449,catapult,Area,6546.792,latency
Throughput,1.386762519692028,catapult,Area,6933.556,latency
Throughput,1.4130261226139287,catapult,Area,5456.192,latency
Throughput,1.3904512153238846,catapult,Area,9049.320,latency
Throughput,1.4161818604097864,catapult,Area,9362.402,latency
Throughput,1.39892422726923,catapult,Area,6671.014,latency
Throughput,1.367268948638542,catapult,Area,13301.330,latency
Throughput,1.425575683100228,catapult,Area,5987.926,latency
Throughput,1.388104224417586,catapult,Area,6042.190,latency
Throughput,1.4037767208898821,catapult,Area,5092.038,latency
Throughput,1.3978037707154518,catapult,Area,8530.088,latency
Throughput,1.4483433848364242,catapult,Area,9276.750,latency
Throughput,1.409355867994092,catapult,Area,6708.786,latency
Throughput,1.3725479430996526,catapult,Area,13582.492,latency
Throughput,1.8240586033548085,catapult,Area,4431.560,latency
Throughput,1.8183372033610143,catapult,Area,4361.070,latency
Throughput,1.760557181136686,catapult,Area,4437.146,latency
Throughput,1.4312826869183624,catapult,Area,4564.560,latency
Throughput,1.4429535527680901,catapult,Area,4533.970,latency
Throughput,1.420466651704418,catapult,Area,4652.606,latency
Throughput,1.4196015746220665,catapult,Area,4818.058,latency
Throughput,1.4179288596732524,catapult,Area,4791.724,latency
Throughput,1.4243066475239852,catapult,Area,4927.650,latency
Throughput,1.4318339645334726,catapult,Area,5266.534,latency
Throughput,1.39175745564469,catapult,Area,5238.604,latency
Throughput,1.4414393636910072,catapult,Area,5433.316,latency
Throughput,1.4580596433877724,catapult,Area,4574.934,latency
Throughput,1.433728755724162,catapult,Area,4590.894,latency
Throughput,1.4265884705972984,catapult,Area,4724.692,latency
Throughput,1.4544692932442809,catapult,Area,4910.626,latency
Throughput,1.4569337663340487,catapult,Area,4804.492,latency
Throughput,1.4419174040872589,catapult,Area,4978.988,latency
Throughput,1.4372379735519467,catapult,Area,5515.510,latency
Throughput,1.4192671188451706,catapult,Area,5629.358,latency
Throughput,1.4027212792818067,catapult,Area,5923.022,latency
Throughput,1.443861926371705,catapult,Area,7203.280,latency
Throughput,1.4331986126637428,catapult,Area,6877.696,latency
Throughput,1.4243776537936161,catapult,Area,6945.526,latency
Throughput,1.445445977902022,catapult,Area,5134.598,latency
Throughput,1.443709756590535,catapult,Area,5245.254,latency
Throughput,1.439219597565416,catapult,Area,5209.078,latency
Throughput,1.4211388722694593,catapult,Area,6282.654,latency
Throughput,1.4241666844687502,catapult,Area,5528.810,latency
Throughput,1.4261937598318233,catapult,Area,5985.532,latency
Throughput,1.386558699962563,catapult,Area,7524.874,latency
Throughput,1.4056730151545607,catapult,Area,7713.468,latency
Throughput,1.4179308701983544,catapult,Area,8319.416,latency
Throughput,1.4289613308774252,catapult,Area,6200.992,latency
Throughput,1.4198535279100608,catapult,Area,6146.462,latency
Throughput,1.412186035739604,catapult,Area,6493.326,latency
Throughput,1.382280818641992,catapult,Area,8492.582,latency
Throughput,1.4108073486133172,catapult,Area,7925.470,latency
Throughput,1.3712530510380385,catapult,Area,7778.372,latency
Throughput,1.836452854582317,catapult,Area,4362.666,latency
Throughput,1.8285580539753765,catapult,Area,4396.182,latency
Throughput,1.807406389904551,catapult,Area,4372.774,latency
Throughput,1.4328638793643242,catapult,Area,4590.096,latency
Throughput,1.4352267801835368,catapult,Area,4590.894,latency
Throughput,1.430173222580719,catapult,Area,4716.712,latency
Throughput,1.432334375595314,catapult,Area,4947.068,latency
Throughput,1.4404614085984022,catapult,Area,5069.694,latency
Throughput,1.4170106460009835,catapult,Area,5206.950,latency
Throughput,1.4354430997532475,catapult,Area,6328.672,latency
Throughput,1.434427993149172,catapult,Area,6141.142,latency
Throughput,1.4187315121549822,catapult,Area,6585.362,latency
Throughput,1.4295537362101673,catapult,Area,4627.602,latency
Throughput,1.4339281745377372,catapult,Area,4675.482,latency
Throughput,1.4106819659828151,catapult,Area,4790.394,latency
Throughput,1.4264907898622152,catapult,Area,4949.994,latency
Throughput,1.41260096565402,catapult,Area,5066.768,latency
Throughput,1.4241565432872383,catapult,Area,5547.430,latency
Throughput,1.4252993484956678,catapult,Area,6367.508,latency
Throughput,1.4469602259573089,catapult,Area,6070.918,latency
Throughput,1.3876457895357632,catapult,Area,6967.338,latency
Throughput,1.432244111686396,catapult,Area,5231.688,latency
Throughput,1.4232079676874863,catapult,Area,5535.194,latency
Throughput,1.4208844437308445,catapult,Area,5482.526,latency
Throughput,1.448880594852417,catapult,Area,6391.448,latency
Throughput,1.4416825011461376,catapult,Area,6567.274,latency
Throughput,1.4015515175299056,catapult,Area,7029.316,latency
Throughput,1.377505337833184,catapult,Area,6258.714,latency
Throughput,1.422543906817684,catapult,Area,7205.408,latency
Throughput,1.422543906817684,catapult,Area,7118.160,latency
Throughput,1.8044287900222304,catapult,Area,4270.364,latency
Throughput,1.7788498312760934,catapult,Area,4328.884,latency
