n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,1,1,4194304,0,1.649372,91,382,255,1,0
0001,1,1,1,1,1,2,2097152,0,1.621760,112,414,257,1,0
0002,1,1,1,1,1,4,1048576,0,1.648192,189,575,264,1,0
0004,1,1,1,1,2,1,4194304,0,1.542724,76,357,292,1,0
0005,1,1,1,1,2,2,2097152,0,1.626726,119,442,294,1,0
0006,1,1,1,1,2,4,1048576,0,1.553106,132,567,303,1,0
0008,1,1,1,1,4,1,4194304,0,1.997993,116,564,331,1,0
0009,1,1,1,1,4,2,2097152,0,2.038104,129,570,333,1,0
0010,1,1,1,1,4,4,1048576,0,1.956702,166,840,340,1,0
0012,1,1,1,1,8,1,4194304,0,1.830879,115,548,263,1,0
0013,1,1,1,1,8,2,2097152,0,1.873348,161,638,265,1,0
0014,1,1,1,1,8,4,1048576,0,1.929501,234,959,272,1,0
0016,1,1,1,2,1,1,4194304,0,1.547893,74,359,293,1,0
0017,1,1,1,2,1,2,2097152,0,1.636627,102,452,295,1,0
0018,1,1,1,2,1,4,1048576,0,1.783652,141,595,304,1,0
0020,1,1,1,2,2,1,4194304,0,2.111156,118,543,332,1,0
0021,1,1,1,2,2,2,2097152,0,1.855845,138,654,334,1,0
0022,1,1,1,2,2,4,1048576,0,2.136168,216,827,341,1,0
0024,1,1,1,2,4,1,4194304,0,1.808055,136,637,263,1,0
0025,1,1,1,2,4,2,2097152,0,2.050844,176,803,265,1,0
0026,1,1,1,2,4,4,1048576,0,1.825987,230,1090,272,1,0
0028,1,1,1,2,8,1,4194304,0,1.872639,150,749,264,1,0
0029,1,1,1,2,8,2,2097152,0,1.977396,207,957,266,1,0
0030,1,1,1,2,8,4,1048576,0,1.982114,355,1392,273,1,0
0032,1,1,1,4,1,1,4194304,0,2.043010,106,562,334,1,0
0033,1,1,1,4,1,2,2097152,0,1.971740,142,694,336,1,0
0034,1,1,1,4,1,4,1048576,0,1.877106,181,874,343,1,0
0036,1,1,1,4,2,1,4194304,0,1.763347,140,699,263,1,0
0037,1,1,1,4,2,2,2097152,0,1.848530,183,833,265,1,0
0038,1,1,1,4,2,4,1048576,0,1.814787,299,1155,272,1,0
0040,1,1,1,4,4,1,4194304,0,1.909747,172,902,264,1,0
0041,1,1,1,4,4,2,2097152,0,2.161738,234,1141,266,1,0
0042,1,1,1,4,4,4,1048576,0,1.904321,318,1473,275,1,0
0044,1,1,1,4,8,1,4194304,0,1.925961,229,1116,265,1,0
0045,1,1,1,4,8,2,2097152,0,1.940353,293,1492,269,1,0
0046,1,1,1,4,8,4,1048576,0,2.067523,472,2254,279,1,0
0048,1,1,1,8,1,1,4194304,0,1.973392,143,677,263,1,0
0049,1,1,1,8,1,2,2097152,0,1.838402,156,829,265,1,0
0050,1,1,1,8,1,4,1048576,0,1.999823,272,1076,272,1,0
0052,1,1,1,8,2,1,4194304,0,1.984680,183,972,264,1,0
0053,1,1,1,8,2,2,2097152,0,2.072930,252,1216,266,1,0
0054,1,1,1,8,2,4,1048576,0,2.110448,394,1851,278,1,0
0056,1,1,1,8,4,1,4194304,0,2.028900,253,1369,265,1,0
0057,1,1,1,8,4,2,2097152,0,1.910455,368,1895,270,1,0
0058,1,1,1,8,4,4,1048576,0,2.113133,501,2545,280,1,0
0060,1,1,1,8,8,1,4194304,0,2.261700,327,1784,266,1,0
0064,1,1,2,1,1,1,4194304,0,1.621133,87,392,293,1,0
0065,1,1,2,1,1,2,2097152,0,1.515877,114,498,295,1,0
0066,1,1,2,1,1,4,1048576,0,1.570150,185,718,286,1,0
0068,1,1,2,1,2,1,4194304,0,1.562413,96,424,332,1,0
0069,1,1,2,1,2,2,2097152,0,1.583086,143,527,334,1,0
0070,1,1,2,1,2,4,1048576,0,1.651681,216,748,307,1,0
0072,1,1,2,1,4,1,4194304,0,2.033744,143,675,411,1,0
0073,1,1,2,1,4,2,2097152,0,2.150488,170,818,415,1,0
0074,1,1,2,1,4,4,1048576,0,2.005086,218,1074,344,1,0
0076,1,1,2,1,8,1,4194304,0,1.846231,191,903,415,1,0
0077,1,1,2,1,8,2,2097152,0,1.773885,242,1139,417,1,0
0078,1,1,2,1,8,4,1048576,0,1.824152,304,1445,277,1,0
0080,1,1,2,2,1,1,4194304,0,1.828120,90,433,333,1,0
0081,1,1,2,2,1,2,2097152,0,1.670236,131,531,335,1,0
0082,1,1,2,2,1,4,1048576,0,1.689737,196,749,308,1,0
0084,1,1,2,2,2,1,4194304,0,1.915253,137,655,412,1,0
0085,1,1,2,2,2,2,2097152,0,1.994419,178,768,414,1,0
0086,1,1,2,2,2,4,1048576,0,1.905622,230,1015,345,1,0
0088,1,1,2,2,4,1,4194304,0,1.848644,201,978,416,1,0
0089,1,1,2,2,4,2,2097152,0,1.948710,233,1105,418,1,0
