n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
0,1,1,1,1,1,1,4194304,0,1.758166,89
1,1,1,1,1,1,2,2097152,0,1.62176,112
2,1,1,1,1,1,4,1048576,0,1.648192,189
3,1,1,1,1,2,1,4194304,0,1.542724,76
4,1,1,1,1,2,2,2097152,0,1.626726,119
5,1,1,1,1,2,4,1048576,0,1.553106,132
6,1,1,1,1,4,1,4194304,0,1.997993,116
7,1,1,1,1,4,2,2097152,0,2.038104,129
8,1,1,1,1,4,4,1048576,0,1.956702,166
9,1,1,1,1,8,1,4194304,0,1.830879,115
10,1,1,1,1,8,2,2097152,0,1.873348,161
11,1,1,1,1,8,4,1048576,0,1.929501,234
12,1,1,1,2,1,1,4194304,0,1.554265,77
13,1,1,1,2,1,2,2097152,0,1.636627,102
14,1,1,1,2,1,4,1048576,0,1.783652,141
15,1,1,1,2,2,1,4194304,0,2.111156,118
16,1,1,1,2,2,2,2097152,0,1.855845,138
17,1,1,1,2,2,4,1048576,0,2.136168,216
18,1,1,1,2,4,1,4194304,0,1.808055,136
19,1,1,1,2,4,2,2097152,0,2.050844,176
20,1,1,1,2,4,4,1048576,0,1.825987,230
21,1,1,1,2,8,1,4194304,0,1.872639,150
22,1,1,1,2,8,2,2097152,0,1.977396,207
23,1,1,1,2,8,4,1048576,0,2.065637,342
24,1,1,1,4,1,1,4194304,0,2.04301,106
25,1,1,1,4,1,2,2097152,0,1.97174,142
26,1,1,1,4,1,4,1048576,0,1.877106,181
27,1,1,1,4,2,1,4194304,0,1.763347,140
28,1,1,1,4,2,2,2097152,0,1.941499,186
29,1,1,1,4,2,4,1048576,0,1.814787,299
30,1,1,1,4,4,1,4194304,0,1.967082,174
31,1,1,1,4,4,2,2097152,0,2.140739,250
32,1,1,1,4,4,4,1048576,0,1.904321,318
33,1,1,1,4,8,1,4194304,0,1.925961,229
34,1,1,1,4,8,2,2097152,0,1.940353,293
35,1,1,1,4,8,4,1048576,0,2.067523,472
36,1,1,1,8,1,1,4194304,0,1.973392,143
37,1,1,1,8,1,2,2097152,0,1.838402,156
38,1,1,1,8,2,1,4194304,0,1.98468,183
39,1,1,1,8,2,2,2097152,0,2.07293,252
40,1,1,1,8,2,4,1048576,0,2.110448,394
41,1,1,1,8,4,1,4194304,0,2.0289,253
42,1,1,1,8,4,2,2097152,0,1.910455,368
43,1,1,1,8,4,4,1048576,0,2.113133,501
44,1,1,2,1,1,1,4194304,0,1.650303,88
45,1,1,2,1,1,2,2097152,0,1.607121,115
46,1,1,2,1,1,4,1048576,0,1.671659,192
47,1,1,2,1,2,1,4194304,0,1.737832,104
48,1,1,2,1,2,2,2097152,0,1.613467,162
49,1,1,2,1,2,4,1048576,0,1.609947,189
50,1,1,2,1,4,1,4194304,0,1.974458,136
51,1,1,2,1,4,2,2097152,0,2.154423,232
52,1,1,2,1,4,4,1048576,0,2.067374,295
53,1,1,2,1,8,1,4194304,0,2.029761,193
54,1,1,2,1,8,2,2097152,0,1.947876,315
55,1,1,2,1,8,4,1048576,0,1.874907,333
56,1,1,2,2,1,1,4194304,0,1.764124,108
57,1,1,2,2,1,2,2097152,0,1.946708,145
58,1,1,2,2,1,4,1048576,0,1.813173,196
59,1,1,2,2,2,1,4194304,0,2.084881,135
60,1,1,2,2,2,2,2097152,0,2.148002,193
61,1,1,2,2,2,4,1048576,0,1.973187,210
62,1,1,2,2,4,1,4194304,0,2.004725,186
63,1,1,2,2,4,2,2097152,0,1.857139,298
64,1,1,2,2,4,4,1048576,0,1.854558,358
65,1,1,2,2,8,1,4194304,0,2.003716,321
66,1,1,2,2,8,2,2097152,0,2.086305,651
67,1,1,2,2,8,4,1048576,0,1.9887,463
68,1,1,2,4,1,1,4194304,0,1.994583,141
69,1,1,2,4,1,2,2097152,0,1.995053,206
70,1,1,2,4,1,4,1048576,0,2.067336,255
71,1,1,2,4,2,1,4194304,0,1.905137,218
72,1,1,2,4,2,2,2097152,0,2.060711,304
73,1,1,2,4,2,4,1048576,0,1.893874,384
74,1,1,2,4,4,1,4194304,0,2.095528,329
75,1,1,2,4,4,2,2097152,0,2.05564,589
76,1,1,2,4,4,4,1048576,0,2.122746,502
77,1,1,2,4,8,1,4194304,0,2.045714,549
78,1,1,2,4,8,2,2097152,0,2.125018,728
79,1,1,2,4,8,4,1048576,0,2.174759,756
80,1,1,2,8,1,1,4194304,0,1.963605,192
81,1,1,2,8,1,2,2097152,0,1.989655,243
82,1,1,2,8,1,4,1048576,0,1.885924,342
83,1,1,2,8,2,1,4194304,0,1.945262,346
84,1,1,2,8,2,2,2097152,0,2.044051,526
85,1,1,2,8,2,4,1048576,0,2.117731,550
86,1,1,2,8,4,1,4194304,0,2.011059,507
87,1,1,2,8,4,2,2097152,0,2.110075,880
88,1,1,2,8,4,4,1048576,0,2.157002,719
89,1,1,4,1,1,1,4194304,0,1.601179,87
90,1,1,4,1,1,2,2097152,0,1.773875,145
91,1,1,4,1,1,4,1048576,0,1.483325,218
92,1,1,4,1,2,1,4194304,0,2.08607,147
93,1,1,4,1,2,2,2097152,0,1.957033,192
94,1,1,4,1,2,4,1048576,0,2.307978,297
95,1,1,4,1,4,1,4194304,0,1.820867,194
96,1,1,4,1,4,2,2097152,0,1.871965,243
97,1,1,4,1,4,4,1048576,0,1.953395,349
98,1,1,4,1,8,1,4194304,0,1.976658,256
99,1,1,4,1,8,2,2097152,0,1.906663,324
100,1,1,4,1,8,4,1048576,0,1.890564,469
101,1,1,4,2,1,1,4194304,0,2.28753,144
102,1,1,4,2,1,2,2097152,0,2.035253,230
103,1,1,4,2,1,4,1048576,0,2.166876,274
104,1,1,4,2,2,1,4194304,0,1.773392,188
105,1,1,4,2,2,2,2097152,0,1.986199,243
106,1,1,4,2,2,4,1048576,0,1.871162,407
107,1,1,4,2,4,1,4194304,0,1.955727,293
108,1,1,4,2,4,2,2097152,0,1.871264,353
109,1,1,4,2,4,4,1048576,0,1.97836,495
110,1,1,4,2,8,1,4194304,0,2.07815,375
111,1,1,4,2,8,2,2097152,0,2.133913,595
112,1,1,4,2,8,4,1048576,0,2.024254,684
113,1,1,4,4,1,1,4194304,0,1.900829,204
114,1,1,4,4,1,2,2097152,0,2.012149,254
115,1,1,4,4,1,4,1048576,0,1.858589,364
116,1,1,4,4,2,1,4194304,0,1.896129,296
117,1,1,4,4,2,2,2097152,0,1.985499,406
118,1,1,4,4,2,4,1048576,0,2.0282,501
119,1,1,4,4,4,1,4194304,0,2.124654,460
120,1,1,4,4,4,2,2097152,0,2.109488,571
121,1,1,4,4,4,4,1048576,0,2.04509,724
122,1,1,4,8,1,1,4194304,0,1.906663,310
123,1,1,4,8,1,4,1048576,0,1.987177,520
124,1,1,4,8,2,1,4194304,0,1.93533,469
125,1,1,4,8,2,2,2097152,0,2.058067,724
126,1,1,4,8,2,4,1048576,0,2.105669,808
127,1,1,8,1,1,1,4194304,0,1.915666,133
128,1,1,8,1,1,2,2097152,0,2.055357,194
129,1,1,8,1,1,4,1048576,0,1.896932,292
130,1,1,8,1,2,1,4194304,0,1.802085,137
131,1,1,8,1,2,2,2097152,0,1.759767,200
132,1,1,8,1,2,4,1048576,0,1.904063,285
133,1,1,8,1,4,1,4194304,0,1.845659,224
134,1,1,8,1,4,2,2097152,0,1.979309,288
135,1,1,8,1,4,4,1048576,0,1.94185,451
136,1,1,8,1,8,1,4194304,0,1.999586,262
137,1,1,8,1,8,2,2097152,0,2.020858,405
138,1,1,8,1,8,4,1048576,0,1.897849,618
139,1,1,8,2,1,1,4194304,0,1.840731,157
140,1,1,8,2,1,2,2097152,0,1.786844,198
141,1,1,8,2,1,4,1048576,0,1.886755,290
142,1,1,8,2,2,1,4194304,0,1.912618,217
143,1,1,8,2,2,2,2097152,0,1.938286,294
144,1,1,8,2,2,4,1048576,0,1.988004,461
145,1,1,8,2,4,1,4194304,0,1.901153,296
146,1,1,8,2,4,2,2097152,0,2.04752,418
147,1,1,8,2,4,4,1048576,0,1.939999,654
148,1,1,8,4,1,1,4194304,0,1.878429,210
149,1,1,8,4,1,2,2097152,0,1.880741,289
150,1,1,8,4,1,4,1048576,0,1.901325,451
151,1,1,8,4,2,1,4194304,0,1.967885,316
152,1,1,8,4,2,2,2097152,0,2.00234,434
153,1,1,8,4,2,4,1048576,0,2.052752,627
154,1,1,8,8,1,1,4194304,0,1.888836,300
155,1,1,8,8,1,2,2097152,0,1.999386,462
156,1,1,8,8,1,4,1048576,0,2.010025,655
157,1,2,1,1,1,1,4194304,0,1.582949,81
158,1,2,1,1,1,2,2097152,0,1.624202,128
159,1,2,1,1,1,4,1048576,0,1.652254,147
160,1,2,1,1,2,1,4194304,0,1.623505,85
161,1,2,1,1,2,2,2097152,0,1.713778,102
162,1,2,1,1,2,4,1048576,0,1.678187,153
163,1,2,1,1,4,1,4194304,0,1.971026,135
164,1,2,1,1,4,2,2097152,0,2.231457,164
165,1,2,1,1,4,4,1048576,0,1.954764,207
166,1,2,1,1,8,1,4194304,0,1.897898,157
167,1,2,1,1,8,2,2097152,0,1.795615,208
168,1,2,1,1,8,4,1048576,0,1.879044,292
169,1,2,1,2,1,1,4194304,0,1.664512,93
170,1,2,1,2,1,2,2097152,0,1.716844,125
171,1,2,1,2,1,4,1048576,0,1.647067,148
172,1,2,1,2,2,1,4194304,0,1.888196,132
173,1,2,1,2,2,2,2097152,0,1.913651,182
174,1,2,1,2,2,4,1048576,0,1.969041,237
175,1,2,1,2,4,1,4194304,0,1.891835,181
176,1,2,1,2,4,2,2097152,0,1.89867,225
177,1,2,1,2,4,4,1048576,0,1.952642,319
178,1,2,1,2,8,1,4194304,0,1.9653,234
179,1,2,1,2,8,2,2097152,0,1.89554,279
180,1,2,1,2,8,4,1048576,0,1.90426,454
181,1,2,1,4,1,1,4194304,0,2.102975,119
182,1,2,1,4,1,2,2097152,0,1.978036,176
183,1,2,1,4,1,4,1048576,0,1.952813,227
184,1,2,1,4,2,1,4194304,0,1.789201,163
185,1,2,1,4,2,2,2097152,0,2.030558,188
186,1,2,1,4,2,4,1048576,0,1.872167,276
187,1,2,1,4,4,1,4194304,0,1.963718,261
188,1,2,1,4,4,2,2097152,0,1.969139,310
189,1,2,1,4,4,4,1048576,0,2.061291,469
190,1,2,1,4,8,1,4194304,0,2.175994,358
191,1,2,1,4,8,2,2097152,0,2.133808,465
192,1,2,1,4,8,4,1048576,0,2.046844,688
193,1,2,1,8,1,1,4194304,0,1.884214,154
194,1,2,1,8,1,2,2097152,0,1.81538,199
195,1,2,1,8,1,4,1048576,0,1.912266,330
196,1,2,1,8,2,1,4194304,0,2.060727,226
197,1,2,1,8,2,2,2097152,0,2.105982,289
198,1,2,1,8,2,4,1048576,0,1.893144,507
199,1,2,1,8,4,1,4194304,0,2.07826,401
200,1,2,1,8,4,2,2097152,0,1.92978,508
