Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,0.5687745070715735,catapult,CLB,89,FF,255,catapult_fpga_area
Throughput,0.5687745070715735,catapult,LUT,382,FF,255,catapult_fpga_area
Throughput,0.5687745070715735,catapult,FF,255,FF,255,catapult_fpga_area
Throughput,0.5687745070715735,catapult,DSP,1,FF,255,catapult_fpga_area
Throughput,0.5687745070715735,catapult,BRAM,0,FF,255,catapult_fpga_area
Throughput,0.6166140489344909,catapult,CLB,112,FF,257,catapult_fpga_area
Throughput,0.6166140489344909,catapult,LUT,414,FF,257,catapult_fpga_area
Throughput,0.6166140489344909,catapult,FF,257,FF,257,catapult_fpga_area
Throughput,0.6166140489344909,catapult,DSP,1,FF,257,catapult_fpga_area
Throughput,0.6166140489344909,catapult,BRAM,0,FF,257,catapult_fpga_area
Throughput,0.6067254300469848,catapult,CLB,189,FF,264,catapult_fpga_area
Throughput,0.6067254300469848,catapult,LUT,575,FF,264,catapult_fpga_area
Throughput,0.6067254300469848,catapult,FF,264,FF,264,catapult_fpga_area
Throughput,0.6067254300469848,catapult,DSP,1,FF,264,catapult_fpga_area
Throughput,0.6067254300469848,catapult,BRAM,0,FF,264,catapult_fpga_area
Throughput,0.6482040857599933,catapult,CLB,76,FF,292,catapult_fpga_area
Throughput,0.6482040857599933,catapult,LUT,357,FF,292,catapult_fpga_area
Throughput,0.6482040857599933,catapult,FF,292,FF,292,catapult_fpga_area
Throughput,0.6482040857599933,catapult,DSP,1,FF,292,catapult_fpga_area
Throughput,0.6482040857599933,catapult,BRAM,0,FF,292,catapult_fpga_area
Throughput,0.6147316757708429,catapult,CLB,119,FF,294,catapult_fpga_area
Throughput,0.6147316757708429,catapult,LUT,442,FF,294,catapult_fpga_area
Throughput,0.6147316757708429,catapult,FF,294,FF,294,catapult_fpga_area
Throughput,0.6147316757708429,catapult,DSP,1,FF,294,catapult_fpga_area
Throughput,0.6147316757708429,catapult,BRAM,0,FF,294,catapult_fpga_area
Throughput,0.6438710558068799,catapult,CLB,132,FF,303,catapult_fpga_area
Throughput,0.6438710558068799,catapult,LUT,567,FF,303,catapult_fpga_area
Throughput,0.6438710558068799,catapult,FF,303,FF,303,catapult_fpga_area
Throughput,0.6438710558068799,catapult,DSP,1,FF,303,catapult_fpga_area
Throughput,0.6438710558068799,catapult,BRAM,0,FF,303,catapult_fpga_area
Throughput,0.500502254011901,catapult,CLB,116,FF,331,catapult_fpga_area
Throughput,0.500502254011901,catapult,LUT,564,FF,331,catapult_fpga_area
Throughput,0.500502254011901,catapult,FF,331,FF,331,catapult_fpga_area
Throughput,0.500502254011901,catapult,DSP,1,FF,331,catapult_fpga_area
Throughput,0.500502254011901,catapult,BRAM,0,FF,331,catapult_fpga_area
Throughput,0.49065209626201606,catapult,CLB,129,FF,333,catapult_fpga_area
Throughput,0.49065209626201606,catapult,LUT,570,FF,333,catapult_fpga_area
Throughput,0.49065209626201606,catapult,FF,333,FF,333,catapult_fpga_area
Throughput,0.49065209626201606,catapult,DSP,1,FF,333,catapult_fpga_area
Throughput,0.49065209626201606,catapult,BRAM,0,FF,333,catapult_fpga_area
Throughput,0.5110640250789339,catapult,CLB,166,FF,340,catapult_fpga_area
Throughput,0.5110640250789339,catapult,LUT,840,FF,340,catapult_fpga_area
Throughput,0.5110640250789339,catapult,FF,340,FF,340,catapult_fpga_area
Throughput,0.5110640250789339,catapult,DSP,1,FF,340,catapult_fpga_area
Throughput,0.5110640250789339,catapult,BRAM,0,FF,340,catapult_fpga_area
Throughput,0.5461857391995867,catapult,CLB,115,FF,263,catapult_fpga_area
Throughput,0.5461857391995867,catapult,LUT,548,FF,263,catapult_fpga_area
Throughput,0.5461857391995867,catapult,FF,263,FF,263,catapult_fpga_area
Throughput,0.5461857391995867,catapult,DSP,1,FF,263,catapult_fpga_area
Throughput,0.5461857391995867,catapult,BRAM,0,FF,263,catapult_fpga_area
Throughput,0.5338036499358368,catapult,CLB,161,FF,265,catapult_fpga_area
Throughput,0.5338036499358368,catapult,LUT,638,FF,265,catapult_fpga_area
Throughput,0.5338036499358368,catapult,FF,265,FF,265,catapult_fpga_area
Throughput,0.5338036499358368,catapult,DSP,1,FF,265,catapult_fpga_area
Throughput,0.5338036499358368,catapult,BRAM,0,FF,265,catapult_fpga_area
Throughput,0.5182687129988531,catapult,CLB,234,FF,272,catapult_fpga_area
Throughput,0.5182687129988531,catapult,LUT,959,FF,272,catapult_fpga_area
