Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,0.7642145822841304,catapult,CLB,87,FF,248,catapult_fpga_latency
Throughput,0.7642145822841304,catapult,LUT,415,FF,248,catapult_fpga_latency
Throughput,0.7642145822841304,catapult,FF,248,FF,248,catapult_fpga_latency
Throughput,0.7642145822841304,catapult,DSP,1,FF,248,catapult_fpga_latency
Throughput,0.7642145822841304,catapult,BRAM,0,FF,248,catapult_fpga_latency
Throughput,0.7821843436417408,catapult,CLB,115,FF,251,catapult_fpga_latency
Throughput,0.7821843436417408,catapult,LUT,515,FF,251,catapult_fpga_latency
Throughput,0.7821843436417408,catapult,FF,251,FF,251,catapult_fpga_latency
Throughput,0.7821843436417408,catapult,DSP,1,FF,251,catapult_fpga_latency
Throughput,0.7821843436417408,catapult,BRAM,0,FF,251,catapult_fpga_latency
Throughput,0.7149403954192339,catapult,CLB,159,FF,260,catapult_fpga_latency
Throughput,0.7149403954192339,catapult,LUT,652,FF,260,catapult_fpga_latency
Throughput,0.7149403954192339,catapult,FF,260,FF,260,catapult_fpga_latency
Throughput,0.7149403954192339,catapult,DSP,1,FF,260,catapult_fpga_latency
Throughput,0.7149403954192339,catapult,BRAM,0,FF,260,catapult_fpga_latency
Throughput,0.8351832642636774,catapult,CLB,93,FF,265,catapult_fpga_latency
Throughput,0.8351832642636774,catapult,LUT,429,FF,265,catapult_fpga_latency
Throughput,0.8351832642636774,catapult,FF,265,FF,265,catapult_fpga_latency
Throughput,0.8351832642636774,catapult,DSP,1,FF,265,catapult_fpga_latency
Throughput,0.8351832642636774,catapult,BRAM,0,FF,265,catapult_fpga_latency
Throughput,0.7373364311294593,catapult,CLB,133,FF,267,catapult_fpga_latency
Throughput,0.7373364311294593,catapult,LUT,543,FF,267,catapult_fpga_latency
Throughput,0.7373364311294593,catapult,FF,267,FF,267,catapult_fpga_latency
Throughput,0.7373364311294593,catapult,DSP,1,FF,267,catapult_fpga_latency
Throughput,0.7373364311294593,catapult,BRAM,0,FF,267,catapult_fpga_latency
Throughput,0.7682297068281794,catapult,CLB,197,FF,276,catapult_fpga_latency
Throughput,0.7682297068281794,catapult,LUT,683,FF,276,catapult_fpga_latency
Throughput,0.7682297068281794,catapult,FF,276,FF,276,catapult_fpga_latency
Throughput,0.7682297068281794,catapult,DSP,1,FF,276,catapult_fpga_latency
Throughput,0.7682297068281794,catapult,BRAM,0,FF,276,catapult_fpga_latency
Throughput,0.7771758982210444,catapult,CLB,126,FF,234,catapult_fpga_latency
Throughput,0.7771758982210444,catapult,LUT,616,FF,234,catapult_fpga_latency
Throughput,0.7771758982210444,catapult,FF,234,FF,234,catapult_fpga_latency
Throughput,0.7771758982210444,catapult,DSP,1,FF,234,catapult_fpga_latency
Throughput,0.7771758982210444,catapult,BRAM,0,FF,234,catapult_fpga_latency
Throughput,0.696397258423273,catapult,CLB,164,FF,234,catapult_fpga_latency
Throughput,0.696397258423273,catapult,LUT,704,FF,234,catapult_fpga_latency
Throughput,0.696397258423273,catapult,FF,234,FF,234,catapult_fpga_latency
Throughput,0.696397258423273,catapult,DSP,1,FF,234,catapult_fpga_latency
Throughput,0.696397258423273,catapult,BRAM,0,FF,234,catapult_fpga_latency
Throughput,0.7164457983677931,catapult,CLB,245,FF,241,catapult_fpga_latency
Throughput,0.7164457983677931,catapult,LUT,903,FF,241,catapult_fpga_latency
Throughput,0.7164457983677931,catapult,FF,241,FF,241,catapult_fpga_latency
Throughput,0.7164457983677931,catapult,DSP,1,FF,241,catapult_fpga_latency
Throughput,0.7164457983677931,catapult,BRAM,0,FF,241,catapult_fpga_latency
Throughput,0.7428073959846804,catapult,CLB,150,FF,240,catapult_fpga_latency
Throughput,0.7428073959846804,catapult,LUT,743,FF,240,catapult_fpga_latency
Throughput,0.7428073959846804,catapult,FF,240,FF,240,catapult_fpga_latency
Throughput,0.7428073959846804,catapult,DSP,1,FF,240,catapult_fpga_latency
Throughput,0.7428073959846804,catapult,BRAM,0,FF,240,catapult_fpga_latency
Throughput,0.6734673398646196,catapult,CLB,208,FF,242,catapult_fpga_latency
Throughput,0.6734673398646196,catapult,LUT,923,FF,242,catapult_fpga_latency
Throughput,0.6734673398646196,catapult,FF,242,FF,242,catapult_fpga_latency
Throughput,0.6734673398646196,catapult,DSP,1,FF,242,catapult_fpga_latency
Throughput,0.6734673398646196,catapult,BRAM,0,FF,242,catapult_fpga_latency
Throughput,0.6888181396124158,catapult,CLB,269,FF,250,catapult_fpga_latency
Throughput,0.6888181396124158,catapult,LUT,1176,FF,250,catapult_fpga_latency
Throughput,0.6888181396124158,catapult,FF,250,FF,250,catapult_fpga_latency
Throughput,0.6888181396124158,catapult,DSP,1,FF,250,catapult_fpga_latency
Throughput,0.6888181396124158,catapult,BRAM,0,FF,250,catapult_fpga_latency
Throughput,0.7520815737758181,catapult,CLB,90,FF,266,catapult_fpga_latency
Throughput,0.7520815737758181,catapult,LUT,432,FF,266,catapult_fpga_latency
Throughput,0.7520815737758181,catapult,FF,266,FF,266,catapult_fpga_latency
Throughput,0.7520815737758181,catapult,DSP,1,FF,266,catapult_fpga_latency
Throughput,0.7520815737758181,catapult,BRAM,0,FF,266,catapult_fpga_latency
Throughput,0.6881843563308488,catapult,CLB,115,FF,268,catapult_fpga_latency
Throughput,0.6881843563308488,catapult,LUT,529,FF,268,catapult_fpga_latency
Throughput,0.6881843563308488,catapult,FF,268,FF,268,catapult_fpga_latency
Throughput,0.6881843563308488,catapult,DSP,1,FF,268,catapult_fpga_latency
Throughput,0.6881843563308488,catapult,BRAM,0,FF,268,catapult_fpga_latency
Throughput,0.7465817753415985,catapult,CLB,151,FF,277,catapult_fpga_latency
Throughput,0.7465817753415985,catapult,LUT,675,FF,277,catapult_fpga_latency
Throughput,0.7465817753415985,catapult,FF,277,FF,277,catapult_fpga_latency
Throughput,0.7465817753415985,catapult,DSP,1,FF,277,catapult_fpga_latency
Throughput,0.7465817753415985,catapult,BRAM,0,FF,277,catapult_fpga_latency
Throughput,0.6732932185233738,catapult,CLB,119,FF,301,catapult_fpga_latency
Throughput,0.6732932185233738,catapult,LUT,609,FF,301,catapult_fpga_latency
Throughput,0.6732932185233738,catapult,FF,301,FF,301,catapult_fpga_latency
Throughput,0.6732932185233738,catapult,DSP,1,FF,301,catapult_fpga_latency
Throughput,0.6732932185233738,catapult,BRAM,0,FF,301,catapult_fpga_latency
Throughput,0.5983319701336614,catapult,CLB,176,FF,303,catapult_fpga_latency
Throughput,0.5983319701336614,catapult,LUT,725,FF,303,catapult_fpga_latency
Throughput,0.5983319701336614,catapult,FF,303,FF,303,catapult_fpga_latency
Throughput,0.5983319701336614,catapult,DSP,1,FF,303,catapult_fpga_latency
Throughput,0.5983319701336614,catapult,BRAM,0,FF,303,catapult_fpga_latency
Throughput,0.6001507578703771,catapult,CLB,229,FF,310,catapult_fpga_latency
Throughput,0.6001507578703771,catapult,LUT,920,FF,310,catapult_fpga_latency
Throughput,0.6001507578703771,catapult,FF,310,FF,310,catapult_fpga_latency
Throughput,0.6001507578703771,catapult,DSP,1,FF,310,catapult_fpga_latency
Throughput,0.6001507578703771,catapult,BRAM,0,FF,310,catapult_fpga_latency
Throughput,0.6581692627056286,catapult,CLB,122,FF,240,catapult_fpga_latency
Throughput,0.6581692627056286,catapult,LUT,684,FF,240,catapult_fpga_latency
Throughput,0.6581692627056286,catapult,FF,240,FF,240,catapult_fpga_latency
Throughput,0.6581692627056286,catapult,DSP,1,FF,240,catapult_fpga_latency
Throughput,0.6581692627056286,catapult,BRAM,0,FF,240,catapult_fpga_latency
Throughput,0.6327844350215811,catapult,CLB,198,FF,242,catapult_fpga_latency
Throughput,0.6327844350215811,catapult,LUT,867,FF,242,catapult_fpga_latency
Throughput,0.6327844350215811,catapult,FF,242,FF,242,catapult_fpga_latency
Throughput,0.6327844350215811,catapult,DSP,1,FF,242,catapult_fpga_latency
Throughput,0.6327844350215811,catapult,BRAM,0,FF,242,catapult_fpga_latency
Throughput,0.6406560317765392,catapult,CLB,212,FF,249,catapult_fpga_latency
Throughput,0.6406560317765392,catapult,LUT,1148,FF,249,catapult_fpga_latency
Throughput,0.6406560317765392,catapult,FF,249,FF,249,catapult_fpga_latency
Throughput,0.6406560317765392,catapult,DSP,1,FF,249,catapult_fpga_latency
Throughput,0.6406560317765392,catapult,BRAM,0,FF,249,catapult_fpga_latency
Throughput,0.6397183192296768,catapult,CLB,172,FF,241,catapult_fpga_latency
Throughput,0.6397183192296768,catapult,LUT,951,FF,241,catapult_fpga_latency
Throughput,0.6397183192296768,catapult,FF,241,FF,241,catapult_fpga_latency
Throughput,0.6397183192296768,catapult,DSP,1,FF,241,catapult_fpga_latency
Throughput,0.6397183192296768,catapult,BRAM,0,FF,241,catapult_fpga_latency
Throughput,0.6180893744873721,catapult,CLB,256,FF,244,catapult_fpga_latency
Throughput,0.6180893744873721,catapult,LUT,1247,FF,244,catapult_fpga_latency
Throughput,0.6180893744873721,catapult,FF,244,FF,244,catapult_fpga_latency
Throughput,0.6180893744873721,catapult,DSP,1,FF,244,catapult_fpga_latency
Throughput,0.6180893744873721,catapult,BRAM,0,FF,244,catapult_fpga_latency
Throughput,0.627851623592906,catapult,CLB,371,FF,254,catapult_fpga_latency
Throughput,0.627851623592906,catapult,LUT,1544,FF,254,catapult_fpga_latency
Throughput,0.627851623592906,catapult,FF,254,FF,254,catapult_fpga_latency
Throughput,0.627851623592906,catapult,DSP,1,FF,254,catapult_fpga_latency
Throughput,0.627851623592906,catapult,BRAM,0,FF,254,catapult_fpga_latency
Throughput,0.7126176799021148,catapult,CLB,119,FF,235,catapult_fpga_latency
Throughput,0.7126176799021148,catapult,LUT,614,FF,235,catapult_fpga_latency
Throughput,0.7126176799021148,catapult,FF,235,FF,235,catapult_fpga_latency
Throughput,0.7126176799021148,catapult,DSP,1,FF,235,catapult_fpga_latency
Throughput,0.7126176799021148,catapult,BRAM,0,FF,235,catapult_fpga_latency
Throughput,0.6136535459356499,catapult,CLB,166,FF,234,catapult_fpga_latency
Throughput,0.6136535459356499,catapult,LUT,758,FF,234,catapult_fpga_latency
Throughput,0.6136535459356499,catapult,FF,234,FF,234,catapult_fpga_latency
Throughput,0.6136535459356499,catapult,DSP,1,FF,234,catapult_fpga_latency
Throughput,0.6136535459356499,catapult,BRAM,0,FF,234,catapult_fpga_latency
Throughput,0.6153115353068835,catapult,CLB,172,FF,241,catapult_fpga_latency
Throughput,0.6153115353068835,catapult,LUT,925,FF,241,catapult_fpga_latency
Throughput,0.6153115353068835,catapult,FF,241,FF,241,catapult_fpga_latency
Throughput,0.6153115353068835,catapult,DSP,1,FF,241,catapult_fpga_latency
Throughput,0.6153115353068835,catapult,BRAM,0,FF,241,catapult_fpga_latency
Throughput,0.6970681314391669,catapult,CLB,139,FF,240,catapult_fpga_latency
Throughput,0.6970681314391669,catapult,LUT,759,FF,240,catapult_fpga_latency
Throughput,0.6970681314391669,catapult,FF,240,FF,240,catapult_fpga_latency
Throughput,0.6970681314391669,catapult,DSP,1,FF,240,catapult_fpga_latency
Throughput,0.6970681314391669,catapult,BRAM,0,FF,240,catapult_fpga_latency
Throughput,0.6030231964932995,catapult,CLB,173,FF,242,catapult_fpga_latency
Throughput,0.6030231964932995,catapult,LUT,956,FF,242,catapult_fpga_latency
Throughput,0.6030231964932995,catapult,FF,242,FF,242,catapult_fpga_latency
Throughput,0.6030231964932995,catapult,DSP,1,FF,242,catapult_fpga_latency
Throughput,0.6030231964932995,catapult,BRAM,0,FF,242,catapult_fpga_latency
Throughput,0.6336713970236454,catapult,CLB,307,FF,249,catapult_fpga_latency
Throughput,0.6336713970236454,catapult,LUT,1245,FF,249,catapult_fpga_latency
Throughput,0.6336713970236454,catapult,FF,249,FF,249,catapult_fpga_latency
Throughput,0.6336713970236454,catapult,DSP,1,FF,249,catapult_fpga_latency
Throughput,0.6336713970236454,catapult,BRAM,0,FF,249,catapult_fpga_latency
Throughput,0.6394111279276238,catapult,CLB,166,FF,241,catapult_fpga_latency
Throughput,0.6394111279276238,catapult,LUT,851,FF,241,catapult_fpga_latency
Throughput,0.6394111279276238,catapult,FF,241,FF,241,catapult_fpga_latency
Throughput,0.6394111279276238,catapult,DSP,1,FF,241,catapult_fpga_latency
Throughput,0.6394111279276238,catapult,BRAM,0,FF,241,catapult_fpga_latency
Throughput,0.6350916056131937,catapult,CLB,213,FF,243,catapult_fpga_latency
Throughput,0.6350916056131937,catapult,LUT,1105,FF,243,catapult_fpga_latency
Throughput,0.6350916056131937,catapult,FF,243,FF,243,catapult_fpga_latency
Throughput,0.6350916056131937,catapult,DSP,1,FF,243,catapult_fpga_latency
Throughput,0.6350916056131937,catapult,BRAM,0,FF,243,catapult_fpga_latency
Throughput,0.618253310746479,catapult,CLB,328,FF,254,catapult_fpga_latency
Throughput,0.618253310746479,catapult,LUT,1548,FF,254,catapult_fpga_latency
Throughput,0.618253310746479,catapult,FF,254,FF,254,catapult_fpga_latency
Throughput,0.618253310746479,catapult,DSP,1,FF,254,catapult_fpga_latency
Throughput,0.618253310746479,catapult,BRAM,0,FF,254,catapult_fpga_latency
Throughput,0.6477640480589103,catapult,CLB,242,FF,242,catapult_fpga_latency
Throughput,0.6477640480589103,catapult,LUT,1293,FF,242,catapult_fpga_latency
Throughput,0.6477640480589103,catapult,FF,242,FF,242,catapult_fpga_latency
Throughput,0.6477640480589103,catapult,DSP,1,FF,242,catapult_fpga_latency
Throughput,0.6477640480589103,catapult,BRAM,0,FF,242,catapult_fpga_latency
Throughput,0.5964306014227255,catapult,CLB,377,FF,248,catapult_fpga_latency
Throughput,0.5964306014227255,catapult,LUT,1845,FF,248,catapult_fpga_latency
Throughput,0.5964306014227255,catapult,FF,248,FF,248,catapult_fpga_latency
Throughput,0.5964306014227255,catapult,DSP,1,FF,248,catapult_fpga_latency
Throughput,0.5964306014227255,catapult,BRAM,0,FF,248,catapult_fpga_latency
Throughput,0.6166741284236206,catapult,CLB,524,FF,253,catapult_fpga_latency
Throughput,0.6166741284236206,catapult,LUT,2418,FF,253,catapult_fpga_latency
Throughput,0.6166741284236206,catapult,FF,253,FF,253,catapult_fpga_latency
Throughput,0.6166741284236206,catapult,DSP,1,FF,253,catapult_fpga_latency
Throughput,0.6166741284236206,catapult,BRAM,0,FF,253,catapult_fpga_latency
Throughput,0.6950516492880586,catapult,CLB,140,FF,240,catapult_fpga_latency
Throughput,0.6950516492880586,catapult,LUT,779,FF,240,catapult_fpga_latency
Throughput,0.6950516492880586,catapult,FF,240,FF,240,catapult_fpga_latency
Throughput,0.6950516492880586,catapult,DSP,1,FF,240,catapult_fpga_latency
Throughput,0.6950516492880586,catapult,BRAM,0,FF,240,catapult_fpga_latency
Throughput,0.6010702657151323,catapult,CLB,192,FF,242,catapult_fpga_latency
Throughput,0.6010702657151323,catapult,LUT,951,FF,242,catapult_fpga_latency
Throughput,0.6010702657151323,catapult,FF,242,FF,242,catapult_fpga_latency
Throughput,0.6010702657151323,catapult,DSP,1,FF,242,catapult_fpga_latency
Throughput,0.6010702657151323,catapult,BRAM,0,FF,242,catapult_fpga_latency
Throughput,0.6171071989257398,catapult,CLB,304,FF,249,catapult_fpga_latency
Throughput,0.6171071989257398,catapult,LUT,1184,FF,249,catapult_fpga_latency
Throughput,0.6171071989257398,catapult,FF,249,FF,249,catapult_fpga_latency
Throughput,0.6171071989257398,catapult,DSP,1,FF,249,catapult_fpga_latency
