n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition,obj1,obj2
0,1,1,1,1,1,1,6.378942,342
1,1,1,1,1,1,2,6.592086,477
2,1,1,1,1,1,4,6.669332,478
3,1,1,1,1,1,8,5.497317,521
4,1,1,1,1,2,1,6.466405,373
5,1,1,1,1,2,2,7.677268,507
6,1,1,1,1,2,4,6.603298,489
7,1,1,1,1,2,8,5.955426,520
8,1,1,1,1,4,1,6.178011,401
9,1,1,1,1,4,2,6.644413,527
10,1,1,1,1,4,4,6.921003,507
11,1,1,1,1,4,8,6.567978,530
12,1,1,1,1,8,1,6.47586,447
13,1,1,1,1,8,2,6.614511,542
14,1,1,1,1,8,4,6.641921,587
15,1,1,1,1,8,8,5.666368,603
16,1,1,1,2,1,1,6.456772,352
17,1,1,1,2,1,2,7.294584,466
18,1,1,1,2,1,4,6.594404,543
19,1,1,1,2,1,8,5.662017,550
20,1,1,1,2,2,1,6.564325,386
21,1,1,1,2,2,2,6.675385,522
22,1,1,1,2,2,4,6.872233,538
23,1,1,1,2,2,8,5.883238,561
24,1,1,1,2,4,1,6.275938,422
25,1,1,1,2,4,2,6.716498,603
26,1,1,1,2,4,4,7.056622,549
27,1,1,1,2,4,8,6.150373,585
28,1,1,1,2,8,1,6.129382,514
29,1,1,1,2,8,2,6.44739,667
30,1,1,1,2,8,4,6.730203,608
31,1,1,1,2,8,8,5.811236,659
32,1,1,1,4,1,1,6.638694,368
33,1,1,1,4,1,2,7.130035,522
34,1,1,1,4,1,4,7.602215,513
35,1,1,1,4,1,8,5.520015,528
36,1,1,1,4,2,1,6.876253,408
37,1,1,1,4,2,2,6.546974,565
38,1,1,1,4,2,4,7.052792,555
39,1,1,1,4,2,8,5.551319,588
40,1,1,1,4,4,1,6.157662,486
41,1,1,1,4,4,2,6.736344,595
42,1,1,1,4,4,4,7.127543,611
43,1,1,1,4,4,8,5.524188,699
44,1,1,1,4,8,1,6.513412,670
45,1,1,1,4,8,2,6.914501,780
46,1,1,1,4,8,4,6.645396,777
47,1,1,1,4,8,8,5.625405,879
48,1,1,1,8,1,1,6.215533,431
49,1,1,1,8,1,2,6.535719,598
50,1,1,1,8,1,4,6.370021,560
51,1,1,1,8,1,8,5.590928,599
52,1,1,1,8,2,1,6.333721,502
53,1,1,1,8,2,2,6.999174,588
54,1,1,1,8,2,4,6.510801,648
55,1,1,1,8,2,8,5.745361,685
56,1,1,1,8,4,1,6.505094,661
57,1,1,1,8,4,2,6.690203,768
58,1,1,1,8,4,4,6.690203,799
59,1,1,1,8,4,8,5.425015,855
60,1,1,1,8,8,1,6.281717,1004
61,1,1,1,8,8,2,6.525751,1108
62,1,1,1,8,8,4,7.098841,1109
63,1,1,1,8,8,8,5.918577,1166
64,1,1,2,1,1,1,6.896892,374
65,1,1,2,1,1,2,7.83248,566
66,1,1,2,1,1,4,6.412896,578
67,1,1,2,1,1,8,6.058612,576
68,1,1,2,1,2,1,6.528256,389
69,1,1,2,1,2,2,7.88443,598
70,1,1,2,1,2,4,7.050802,628
71,1,1,2,1,2,8,5.854762,629
72,1,1,2,1,4,1,6.370438,420
73,1,1,2,1,4,2,6.392356,594
74,1,1,2,1,4,4,6.334364,631
75,1,1,2,1,4,8,5.513583,643
76,1,1,2,1,8,1,6.366904,464
77,1,1,2,1,8,2,6.646069,632
78,1,1,2,1,8,4,7.935172,688
79,1,1,2,1,8,8,5.615507,697
80,1,1,2,2,1,1,6.171228,366
81,1,1,2,2,1,2,6.589108,564
82,1,1,2,2,1,4,6.487625,591
83,1,1,2,2,1,8,5.827762,594
84,1,1,2,2,2,1,6.346707,397
85,1,1,2,2,2,2,6.465878,582
86,1,1,2,2,2,4,6.517828,635
87,1,1,2,2,2,8,6.004783,659
88,1,1,2,2,4,1,6.893166,447
89,1,1,2,2,4,2,6.52266,596
90,1,1,2,2,4,4,6.560112,675
91,1,1,2,2,4,8,5.960796,690
92,1,1,2,2,8,1,6.299597,525
93,1,1,2,2,8,2,6.649513,718
94,1,1,2,2,8,4,6.456213,775
95,1,1,2,2,8,8,5.968306,751
96,1,1,2,4,1,1,6.307755,424
97,1,1,2,4,1,2,6.648216,572
98,1,1,2,4,1,4,7.115753,629
99,1,1,2,4,1,8,6.884422,610
100,1,1,2,4,2,1,6.466744,442
101,1,1,2,4,2,2,6.410218,597
102,1,1,2,4,2,4,7.498723,685
103,1,1,2,4,2,8,5.772958,675
104,1,1,2,4,4,1,6.168785,520
105,1,1,2,4,4,2,6.759361,692
106,1,1,2,4,4,4,6.923663,755
107,1,1,2,4,4,8,5.849129,714
108,1,1,2,4,8,1,6.499719,685
109,1,1,2,4,8,2,6.335315,888
110,1,1,2,4,8,4,6.476663,926
111,1,1,2,4,8,8,5.823381,931
112,1,1,2,8,1,1,6.305356,457
113,1,1,2,8,1,2,7.178526,630
114,1,1,2,8,1,4,6.514072,654
115,1,1,2,8,1,8,5.798663,663
116,1,1,2,8,2,1,6.327731,532
117,1,1,2,8,2,2,6.72428,697
118,1,1,2,8,2,4,6.382388,755
119,1,1,2,8,2,8,5.927402,696
120,1,1,2,8,4,1,6.371305,711
121,1,1,2,8,4,2,6.768979,887
122,1,1,2,8,4,4,7.844188,917
123,1,1,2,8,4,8,5.97246,956
124,1,1,2,8,8,1,6.999014,1048
125,1,1,2,8,8,2,7.571157,1177
126,1,1,2,8,8,4,7.259468,1270
127,1,1,2,8,8,8,7.135411,1263
128,1,1,4,1,1,1,6.26857,404
129,1,1,4,1,1,2,6.528439,592
130,1,1,4,1,1,4,6.341461,637
131,1,1,4,1,1,8,5.60835,658
132,1,1,4,1,2,1,7.196158,410
133,1,1,4,1,2,2,6.396883,624
134,1,1,4,1,2,4,6.897454,672
135,1,1,4,1,2,8,5.875957,695
136,1,1,4,1,4,1,6.477835,444
137,1,1,4,1,4,2,6.282946,613
138,1,1,4,1,4,4,6.504278,672
139,1,1,4,1,4,8,5.653988,726
140,1,1,4,1,8,1,6.921055,482
141,1,1,4,1,8,2,6.410978,676
142,1,1,4,1,8,4,6.656241,733
143,1,1,4,1,8,8,5.734892,769
144,1,1,4,2,1,1,6.26722,415
145,1,1,4,2,1,2,6.267503,560
146,1,1,4,2,1,4,6.466715,635
147,1,1,4,2,1,8,5.596764,688
148,1,1,4,2,2,1,6.447089,452
149,1,1,4,2,2,2,6.368515,613
150,1,1,4,2,2,4,6.687418,673
151,1,1,4,2,2,8,5.531419,703
152,1,1,4,2,4,1,6.384781,455
153,1,1,4,2,4,2,6.521209,658
154,1,1,4,2,4,4,6.448624,697
155,1,1,4,2,4,8,5.652772,755
156,1,1,4,2,8,1,7.045478,547
157,1,1,4,2,8,2,6.52943,729
158,1,1,4,2,8,4,6.660885,820
159,1,1,4,2,8,8,5.703595,864
160,1,1,4,4,1,1,6.566911,442
161,1,1,4,4,1,2,6.893452,627
162,1,1,4,4,1,4,6.434065,672
163,1,1,4,4,1,8,7.379604,677
164,1,1,4,4,2,1,6.258903,474
165,1,1,4,4,2,2,6.58102,669
166,1,1,4,4,2,4,6.444919,717
167,1,1,4,4,2,8,5.604972,727
168,1,1,4,4,4,1,6.444647,564
169,1,1,4,4,4,2,6.364902,719
170,1,1,4,4,4,4,6.483511,793
171,1,1,4,4,4,8,5.803075,834
172,1,1,4,4,8,1,6.278887,710
173,1,1,4,4,8,2,6.496452,865
174,1,1,4,4,8,4,6.652352,963
175,1,1,4,4,8,8,5.749141,982
176,1,1,4,8,1,1,6.135422,492
177,1,1,4,8,1,2,6.611513,677
178,1,1,4,8,1,4,6.50397,709
179,1,1,4,8,1,8,5.692052,753
180,1,1,4,8,2,1,6.422266,549
181,1,1,4,8,2,2,6.340193,694
182,1,1,4,8,2,4,6.612509,790
183,1,1,4,8,2,8,5.667159,863
184,1,1,4,8,4,1,6.747905,719
