Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,0.156765808499278,vivado,CLB,342,FF,1534,vivado
Throughput,0.156765808499278,vivado,LUT,1668,FF,1534,vivado
Throughput,0.156765808499278,vivado,FF,1534,FF,1534,vivado
Throughput,0.156765808499278,vivado,DSP,10,FF,1534,vivado
Throughput,0.156765808499278,vivado,BRAM,0,FF,1534,vivado
Throughput,0.151697050068825,vivado,CLB,477,FF,2160,vivado
Throughput,0.151697050068825,vivado,LUT,1937,FF,2160,vivado
Throughput,0.151697050068825,vivado,FF,2160,FF,2160,vivado
Throughput,0.151697050068825,vivado,DSP,10,FF,2160,vivado
Throughput,0.151697050068825,vivado,BRAM,0,FF,2160,vivado
Throughput,0.149940053966424,vivado,CLB,478,FF,2016,vivado
Throughput,0.149940053966424,vivado,LUT,1937,FF,2016,vivado
Throughput,0.149940053966424,vivado,FF,2016,FF,2016,vivado
Throughput,0.149940053966424,vivado,DSP,10,FF,2016,vivado
Throughput,0.149940053966424,vivado,BRAM,0,FF,2016,vivado
Throughput,0.181906919320825,vivado,CLB,521,FF,2448,vivado
Throughput,0.181906919320825,vivado,LUT,2535,FF,2448,vivado
Throughput,0.181906919320825,vivado,FF,2448,FF,2448,vivado
Throughput,0.181906919320825,vivado,DSP,10,FF,2448,vivado
Throughput,0.181906919320825,vivado,BRAM,0,FF,2448,vivado
Throughput,0.154645432817771,vivado,CLB,373,FF,1616,vivado
Throughput,0.154645432817771,vivado,LUT,1827,FF,1616,vivado
Throughput,0.154645432817771,vivado,FF,1616,FF,1616,vivado
Throughput,0.154645432817771,vivado,DSP,10,FF,1616,vivado
Throughput,0.154645432817771,vivado,BRAM,0,FF,1616,vivado
Throughput,0.130254668718091,vivado,CLB,507,FF,2245,vivado
Throughput,0.130254668718091,vivado,LUT,2035,FF,2245,vivado
Throughput,0.130254668718091,vivado,FF,2245,FF,2245,vivado
Throughput,0.130254668718091,vivado,DSP,10,FF,2245,vivado
Throughput,0.130254668718091,vivado,BRAM,0,FF,2245,vivado
Throughput,0.151439477667069,vivado,CLB,489,FF,2104,vivado
Throughput,0.151439477667069,vivado,LUT,2024,FF,2104,vivado
Throughput,0.151439477667069,vivado,FF,2104,FF,2104,vivado
Throughput,0.151439477667069,vivado,DSP,10,FF,2104,vivado
Throughput,0.151439477667069,vivado,BRAM,0,FF,2104,vivado
Throughput,0.167914100519425,vivado,CLB,520,FF,2536,vivado
Throughput,0.167914100519425,vivado,LUT,2570,FF,2536,vivado
Throughput,0.167914100519425,vivado,FF,2536,FF,2536,vivado
Throughput,0.167914100519425,vivado,DSP,10,FF,2536,vivado
Throughput,0.167914100519425,vivado,BRAM,0,FF,2536,vivado
Throughput,0.161864392925166,vivado,CLB,401,FF,1784,vivado
Throughput,0.161864392925166,vivado,LUT,1928,FF,1784,vivado
Throughput,0.161864392925166,vivado,FF,1784,FF,1784,vivado
Throughput,0.161864392925166,vivado,DSP,10,FF,1784,vivado
Throughput,0.161864392925166,vivado,BRAM,0,FF,1784,vivado
Throughput,0.152533125237475,vivado,CLB,531,FF,2415,vivado
Throughput,0.152533125237475,vivado,LUT,2147,FF,2415,vivado
Throughput,0.152533125237475,vivado,FF,2415,FF,2415,vivado
Throughput,0.152533125237475,vivado,DSP,10,FF,2415,vivado
Throughput,0.152533125237475,vivado,BRAM,0,FF,2415,vivado
Throughput,0.144487728151541,vivado,CLB,507,FF,2274,vivado
Throughput,0.144487728151541,vivado,LUT,2130,FF,2274,vivado
Throughput,0.144487728151541,vivado,FF,2274,FF,2274,vivado
Throughput,0.144487728151541,vivado,DSP,10,FF,2274,vivado
Throughput,0.144487728151541,vivado,BRAM,0,FF,2274,vivado
Throughput,0.152253859559213,vivado,CLB,530,FF,2706,vivado
