n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2,FF
0000,256,1,1,1,0,1024,0.000285,882.056,92
0001,256,1,1,1,0,2048,0.000285,881.258,92
0002,256,1,1,1,0,4096,0.000285,879.396,92
0003,256,1,1,1,0,8192,0.000281,973.560,92
0004,256,1,1,1,0,16384,0.000292,880.992,92
0005,256,1,1,1,0,32768,0.000283,867.692,92
0006,256,1,1,1,0,65536,0.000283,868.756,92
0007,256,1,1,2,0,1024,0.000511,1162.952,110
0008,256,1,1,2,0,2048,0.000459,1127.042,96
0009,256,1,1,2,0,4096,0.000459,1126.244,96
0010,256,1,1,2,0,8192,0.000458,1126.244,96
0011,256,1,1,2,0,16384,0.000405,1139.810,113
0012,256,1,1,2,0,32768,0.000404,1073.842,111
0013,256,1,1,2,0,65536,0.000468,1091.132,88
0014,256,1,1,3,0,1024,0.000440,1210.832,109
0015,256,1,1,3,0,2048,0.000435,1185.562,108
0016,256,1,1,3,0,4096,0.000410,1267.756,108
0017,256,1,1,3,0,8192,0.000410,1272.012,108
0018,256,1,1,3,0,16384,0.000409,1335.852,116
0019,256,1,1,3,0,32768,0.000410,1262.436,108
0020,256,1,1,3,0,65536,0.000456,1231.048,108
0021,256,1,2,1,0,1024,0.000252,874.076,74
0022,256,1,2,1,0,2048,0.000255,871.682,74
0023,256,1,2,1,0,4096,0.000252,866.362,74
0024,256,1,2,1,0,8192,0.000255,923.020,74
0025,256,1,2,1,0,16384,0.000245,863.170,74
0026,256,1,2,1,0,32768,0.000253,851.732,74
0027,256,1,2,1,0,65536,0.000256,738.416,66
0028,256,1,2,2,0,1024,0.000420,1037.932,93
0029,256,1,2,2,0,2048,0.000371,1108.422,93
0030,256,1,2,2,0,4096,0.000378,1107.092,93
0031,256,1,2,2,0,8192,0.000371,1107.092,93
0032,256,1,2,2,0,16384,0.000352,1043.252,95
0033,256,1,2,2,0,32768,0.000345,1001.224,93
0034,256,1,2,2,0,65536,0.000377,1090.068,93
0035,256,1,2,3,0,1024,0.000417,1284.514,107
0036,256,1,2,3,0,2048,0.000381,1259.510,106
0037,256,1,2,3,0,4096,0.000382,1269.618,106
0038,256,1,2,3,0,8192,0.000384,1274.406,106
0039,256,1,2,3,0,16384,0.000390,1329.468,110
0040,256,1,2,3,0,32768,0.000405,1281.056,106
0041,256,1,2,3,0,65536,0.000419,1138.746,90
0042,256,1,3,1,0,1024,0.000342,1010.002,76
0043,256,1,3,1,0,2048,0.000344,996.968,76
0044,256,1,3,1,0,4096,0.000342,1006.544,76
0045,256,1,3,1,0,8192,0.000354,999.096,76
0046,256,1,3,1,0,16384,0.000333,1011.864,78
0047,256,1,3,1,0,32768,0.000334,983.668,76
0048,256,1,3,1,0,65536,0.000334,939.512,68
0049,256,1,3,2,0,1024,0.000483,1243.816,110
0050,256,1,3,2,0,2048,0.000460,1149.120,96
0051,256,1,3,2,0,4096,0.000462,1147.258,96
0052,256,1,3,2,0,8192,0.000462,1146.194,96
0053,256,1,3,2,0,16384,0.000364,1322.552,136
0054,256,1,3,2,0,32768,0.000359,1279.194,134
0055,256,1,3,2,0,65536,0.000472,1132.894,88
0056,256,1,3,3,0,1024,0.000412,1185.562,93
0057,256,1,3,3,0,2048,0.000405,1160.292,92
0058,256,1,3,3,0,4096,0.000374,1196.468,92
0059,256,1,3,3,0,8192,0.000385,1199.926,92
0060,256,1,3,3,0,16384,0.000386,1273.076,100
0061,256,1,3,3,0,32768,0.000374,1188.222,92
0062,256,1,3,3,0,65536,0.000401,1223.068,100
0063,256,1,4,1,0,1024,0.000303,1066.660,104
0064,256,1,4,1,0,2048,0.000293,1065.064,104
0065,256,1,4,1,0,4096,0.000293,1067.192,104
0066,256,1,4,1,0,8192,0.000293,1067.724,104
0067,256,1,4,1,0,16384,0.000302,937.384,82
0068,256,1,4,1,0,32768,0.000309,921.158,80
0069,256,1,4,1,0,65536,0.000316,909.188,74
0070,256,1,4,2,0,1024,0.000344,1312.710,132
0071,256,1,4,2,0,2048,0.000349,1284.514,130
0072,256,1,4,2,0,4096,0.000345,1290.366,130
0073,256,1,4,2,0,8192,0.000343,1289.568,130
0074,256,1,4,2,0,16384,0.000343,1307.922,132
0075,256,1,4,2,0,32768,0.000333,1282.918,130
0076,256,1,4,2,0,65536,0.000395,1038.198,92
0077,256,1,4,3,0,1024,0.000365,1272.278,105
0078,256,1,4,3,0,2048,0.000343,1256.850,104
0079,256,1,4,3,0,4096,0.000345,1263.766,104
0080,256,1,4,3,0,8192,0.000362,1256.850,104
0081,256,1,4,3,0,16384,0.000349,1308.454,110
0082,256,1,4,3,0,32768,0.000339,1261.106,104
0083,256,1,4,3,0,65536,0.000371,1191.680,96
0084,256,1,5,1,0,1024,0.000343,1006.012,84
0085,256,1,5,1,0,2048,0.000330,1012.396,84
0086,256,1,5,1,0,4096,0.000349,1010.534,84
0087,256,1,5,1,0,8192,0.000351,1013.460,84
0088,256,1,5,1,0,16384,0.000351,1013.460,84
0089,256,1,5,1,0,32768,0.000342,1007.342,84
0090,256,1,5,1,0,65536,0.000329,919.562,69
0091,256,1,5,2,0,1024,0.000413,1336.650,137
0092,256,1,5,2,0,2048,0.000416,1352.078,137
0093,256,1,5,2,0,4096,0.000425,1350.216,137
0094,256,1,5,2,0,8192,0.000377,1452.094,150
0095,256,1,5,2,0,16384,0.000389,1517.530,152
0096,256,1,5,2,0,32768,0.000389,1341.704,137
0097,256,1,5,2,0,65536,0.000430,1179.976,113
0098,256,1,5,3,0,1024,0.000363,1245.412,94
0099,256,1,5,3,0,2048,0.000359,1212.960,93
0100,256,1,5,3,0,4096,0.000357,1206.310,93
0101,256,1,5,3,0,8192,0.000364,1219.610,93
0102,256,1,5,3,0,16384,0.000364,1277.864,101
0103,256,1,5,3,0,32768,0.000353,1204.182,93
0104,256,1,5,3,0,65536,0.000391,1157.898,101
0105,256,1,6,1,0,1024,0.000327,1233.176,122
0106,256,1,6,1,0,2048,0.000323,1228.388,122
0107,256,1,6,1,0,4096,0.000321,1228.920,122
0108,256,1,6,1,0,8192,0.000326,1233.974,122
0109,256,1,6,1,0,16384,0.000319,1075.704,98
0110,256,1,6,1,0,32768,0.000313,1079.428,98
0111,256,1,6,1,0,65536,0.000307,1143.002,106
0112,256,1,6,2,0,1024,0.000235,1083.418,93
0113,256,1,6,2,0,2048,0.000235,1077.034,93
0114,256,1,6,2,0,4096,0.000235,1078.896,93
0115,256,1,6,2,0,8192,0.000242,1075.172,93
0116,256,1,6,2,0,16384,0.000233,1071.182,93
0117,256,1,6,2,0,32768,0.000205,1062.404,88
0118,256,1,6,2,0,65536,0.000231,1073.576,93
0119,256,1,6,3,0,1024,0.000486,1717.562,154
0120,256,1,6,3,0,2048,0.000469,1646.806,153
0121,256,1,6,3,0,4096,0.000460,1648.668,153
0122,256,1,6,3,0,8192,0.000476,1649.200,153
0123,256,1,6,3,0,16384,0.000458,1788.052,165
0124,256,1,6,3,0,32768,0.000447,1544.396,129
0125,256,1,6,3,0,65536,0.000464,1563.548,137
0126,256,1,7,1,0,1024,0.000415,994.840,85
0127,256,1,7,1,0,2048,0.000410,1014.258,85
0128,256,1,7,1,0,4096,0.000404,1011.066,85
0129,256,1,7,1,0,8192,0.000403,1004.682,85
0130,256,1,7,1,0,16384,0.000411,1001.756,85
0131,256,1,7,1,0,32768,0.000407,992.446,85
0132,256,1,7,1,0,65536,0.000384,988.988,85
0133,256,1,7,2,0,1024,0.000212,1143.534,106
0134,256,1,7,2,0,2048,0.000214,1144.332,106
0135,256,1,7,2,0,4096,0.000212,1145.928,106
0136,256,1,7,2,0,8192,0.000216,1138.214,106
0137,256,1,7,2,0,16384,0.000218,1143.534,106
0138,256,1,7,2,0,32768,0.000228,1163.484,105
