n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0,256,1,1,1,0,1024,0.000285,882.056
1,256,1,1,1,0,2048,0.000285,881.258
2,256,1,1,1,0,4096,0.000285,879.396
3,256,1,1,1,0,8192,0.000281,973.56
4,256,1,1,1,0,16384,0.000292,880.992
5,256,1,1,1,0,32768,0.000283,867.692
6,256,1,1,1,0,65536,0.000283,868.756
7,256,1,1,2,0,1024,0.000511,1162.952
8,256,1,1,2,0,2048,0.000459,1127.042
9,256,1,1,2,0,4096,0.000459,1126.244
10,256,1,1,2,0,8192,0.000458,1126.244
11,256,1,1,2,0,16384,0.000405,1139.81
12,256,1,1,2,0,32768,0.000404,1073.842
13,256,1,1,2,0,65536,0.000468,1091.132
14,256,1,1,3,0,1024,0.00044,1210.832
15,256,1,1,3,0,2048,0.000435,1185.562
16,256,1,1,3,0,4096,0.00041,1267.756
17,256,1,1,3,0,8192,0.00041,1272.012
18,256,1,1,3,0,16384,0.000409,1335.852
19,256,1,1,3,0,32768,0.00041,1262.436
20,256,1,1,3,0,65536,0.000456,1231.048
21,256,1,2,1,0,1024,0.000252,874.076
22,256,1,2,1,0,2048,0.000255,871.682
23,256,1,2,1,0,4096,0.000252,866.362
24,256,1,2,1,0,8192,0.000255,923.02
25,256,1,2,1,0,16384,0.000245,863.17
26,256,1,2,1,0,32768,0.000253,851.732
27,256,1,2,1,0,65536,0.000256,738.416
28,256,1,2,2,0,1024,0.00042,1037.932
29,256,1,2,2,0,2048,0.000371,1108.422
30,256,1,2,2,0,4096,0.000378,1107.092
31,256,1,2,2,0,8192,0.000371,1107.092
32,256,1,2,2,0,16384,0.000352,1043.252
33,256,1,2,2,0,32768,0.000345,1001.224
34,256,1,2,2,0,65536,0.000377,1090.068
35,256,1,2,3,0,1024,0.000417,1284.514
36,256,1,2,3,0,2048,0.000381,1259.51
37,256,1,2,3,0,4096,0.000382,1269.618
38,256,1,2,3,0,8192,0.000384,1274.406
39,256,1,2,3,0,16384,0.00039,1329.468
40,256,1,2,3,0,32768,0.000405,1281.056
41,256,1,2,3,0,65536,0.000419,1138.746
42,256,1,3,1,0,1024,0.000342,1010.002
43,256,1,3,1,0,2048,0.000344,996.968
44,256,1,3,1,0,4096,0.000342,1006.544
45,256,1,3,1,0,8192,0.000354,999.096
46,256,1,3,1,0,16384,0.000333,1011.864
47,256,1,3,1,0,32768,0.000334,983.668
48,256,1,3,1,0,65536,0.000334,939.512
49,256,1,3,2,0,1024,0.000483,1243.816
50,256,1,3,2,0,2048,0.00046,1149.12
51,256,1,3,2,0,4096,0.000462,1147.258
52,256,1,3,2,0,8192,0.000462,1146.194
53,256,1,3,2,0,16384,0.000364,1322.552
54,256,1,3,2,0,32768,0.000359,1279.194
55,256,1,3,2,0,65536,0.000472,1132.894
56,256,1,3,3,0,1024,0.000412,1185.562
57,256,1,3,3,0,2048,0.000405,1160.292
58,256,1,3,3,0,4096,0.000374,1196.468
59,256,1,3,3,0,8192,0.000385,1199.926
60,256,1,3,3,0,16384,0.000386,1273.076
61,256,1,3,3,0,32768,0.000374,1188.222
