n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0000,256,1,1,1,0,1024,0.000269,890.302
0001,256,1,1,1,0,2048,0.000273,897.750
0002,256,1,1,1,0,4096,0.000275,878.864
0003,256,1,1,1,0,8192,0.000293,984.998
0004,256,1,1,1,0,16384,0.000274,869.022
0005,256,1,1,1,0,32768,0.000274,864.766
0006,256,1,1,1,0,65536,0.000274,864.766
0007,256,1,1,2,0,1024,0.000439,1130.500
0008,256,1,1,2,0,2048,0.000439,1129.702
0009,256,1,1,2,0,4096,0.000439,1129.702
0010,256,1,1,2,0,8192,0.000437,1126.244
0011,256,1,1,2,0,16384,0.000410,1157.898
0012,256,1,1,2,0,32768,0.000423,1094.856
0013,256,1,1,2,0,65536,0.000438,1030.484
0014,256,1,1,3,0,1024,0.000454,1218.014
0015,256,1,1,3,0,2048,0.000459,1189.286
0016,256,1,1,3,0,4096,0.000408,1292.760
0017,256,1,1,3,0,8192,0.000410,1299.942
0018,256,1,1,3,0,16384,0.000411,1366.176
0019,256,1,1,3,0,32768,0.000408,1290.632
0020,256,1,1,3,0,65536,0.000448,1247.274
0021,256,1,2,1,0,1024,0.000250,868.490
0022,256,1,2,1,0,2048,0.000253,871.416
0023,256,1,2,1,0,4096,0.000256,867.160
0024,256,1,2,1,0,8192,0.000251,912.646
0025,256,1,2,1,0,16384,0.000250,874.874
0026,256,1,2,1,0,32768,0.000253,853.860
0027,256,1,2,1,0,65536,0.000243,746.662
0028,256,1,2,2,0,1024,0.000372,1013.726
0029,256,1,2,2,0,2048,0.000362,1009.470
0030,256,1,2,2,0,4096,0.000362,1010.002
0031,256,1,2,2,0,8192,0.000362,1003.086
0032,256,1,2,2,0,16384,0.000370,1033.676
0033,256,1,2,2,0,32768,0.000375,998.830
0034,256,1,2,2,0,65536,0.000365,1000.426
0035,256,1,2,3,0,1024,0.000395,1271.480
0036,256,1,2,3,0,2048,0.000380,1258.978
0037,256,1,2,3,0,4096,0.000384,1262.968
0038,256,1,2,3,0,8192,0.000387,1289.834
0039,256,1,2,3,0,16384,0.000393,1313.508
0040,256,1,2,3,0,32768,0.000383,1265.894
0041,256,1,2,3,0,65536,0.000419,1128.904
0042,256,1,3,1,0,1024,0.000287,1279.460
0043,256,1,3,1,0,2048,0.000287,1279.460
0044,256,1,3,1,0,4096,0.000289,1281.056
0045,256,1,3,1,0,8192,0.000305,1288.504
0046,256,1,3,1,0,16384,0.000291,1195.670
0047,256,1,3,1,0,32768,0.000290,1194.872
0048,256,1,3,1,0,65536,0.000307,1169.336
0049,256,1,3,2,0,1024,0.000391,1230.782
0050,256,1,3,2,0,2048,0.000404,1234.506
0051,256,1,3,2,0,4096,0.000404,1233.442
0052,256,1,3,2,0,8192,0.000408,1232.112
0053,256,1,3,2,0,16384,0.000409,1206.576
