n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0,256,1,1,1,0,1024,0.000269,890.302
1,256,1,1,1,0,2048,0.000273,897.75
2,256,1,1,1,0,4096,0.000275,878.864
3,256,1,1,1,0,8192,0.000293,984.998
4,256,1,1,1,0,16384,0.000274,869.022
5,256,1,1,1,0,32768,0.000274,864.766
6,256,1,1,1,0,65536,0.000274,864.766
7,256,1,1,2,0,1024,0.000439,1130.5
8,256,1,1,2,0,2048,0.000439,1129.702
9,256,1,1,2,0,4096,0.000439,1129.702
10,256,1,1,2,0,8192,0.000437,1126.244
11,256,1,1,2,0,16384,0.00041,1157.898
12,256,1,1,2,0,32768,0.000423,1094.856
13,256,1,1,2,0,65536,0.000438,1030.484
14,256,1,1,3,0,1024,0.000454,1218.014
15,256,1,1,3,0,2048,0.000459,1189.286
16,256,1,1,3,0,4096,0.000408,1292.76
17,256,1,1,3,0,8192,0.00041,1299.942
18,256,1,1,3,0,16384,0.000411,1366.176
19,256,1,1,3,0,32768,0.000408,1290.632
20,256,1,1,3,0,65536,0.000448,1247.274
21,256,1,2,1,0,1024,0.00025,868.49
22,256,1,2,1,0,2048,0.000253,871.416
23,256,1,2,1,0,4096,0.000256,867.16
24,256,1,2,1,0,8192,0.000251,912.646
25,256,1,2,1,0,16384,0.00025,874.874
26,256,1,2,1,0,32768,0.000253,853.86
27,256,1,2,1,0,65536,0.000243,746.662
28,256,1,2,2,0,1024,0.000372,1013.726
29,256,1,2,2,0,2048,0.000362,1009.47
30,256,1,2,2,0,4096,0.000362,1010.002
31,256,1,2,2,0,8192,0.000362,1003.086
32,256,1,2,2,0,16384,0.00037,1033.676
33,256,1,2,2,0,32768,0.000375,998.83
34,256,1,2,2,0,65536,0.000365,1000.426
35,256,1,2,3,0,1024,0.000395,1271.48
36,256,1,2,3,0,2048,0.00038,1258.978
37,256,1,2,3,0,4096,0.000384,1262.968
38,256,1,2,3,0,8192,0.000387,1289.834
39,256,1,2,3,0,16384,0.000393,1313.508
40,256,1,2,3,0,32768,0.000383,1265.894
41,256,1,2,3,0,65536,0.000419,1128.904
42,256,1,3,1,0,1024,0.000287,1279.46
43,256,1,3,1,0,2048,0.000287,1279.46
44,256,1,3,1,0,4096,0.000289,1281.056
45,256,1,3,1,0,8192,0.000305,1288.504
46,256,1,3,1,0,16384,0.000291,1195.67
47,256,1,3,1,0,32768,0.00029,1194.872
48,256,1,3,1,0,65536,0.000307,1169.336
49,256,1,3,2,0,1024,0.000391,1230.782
50,256,1,3,2,0,2048,0.000404,1234.506
51,256,1,3,2,0,4096,0.000404,1233.442
52,256,1,3,2,0,8192,0.000408,1232.112
53,256,1,3,2,0,16384,0.000409,1206.576
54,256,1,3,2,0,32768,0.000407,1183.434
55,256,1,3,2,0,65536,0.000396,1044.05
56,256,1,3,3,0,1024,0.000469,1312.444
57,256,1,3,3,0,2048,0.000479,1285.046
58,256,1,3,3,0,4096,0.000445,1171.73
59,256,1,3,3,0,8192,0.000435,1170.932
60,256,1,3,3,0,16384,0.000434,1231.58
61,256,1,3,3,0,32768,0.000422,1164.814
62,256,1,3,3,0,65536,0.000424,1091.93
63,256,1,4,1,0,1024,0.000292,1031.016
64,256,1,4,1,0,2048,0.000304,1033.41
65,256,1,4,1,0,4096,0.000296,1032.08
66,256,1,4,1,0,8192,0.000304,1033.41
67,256,1,4,1,0,16384,0.000303,1033.676
68,256,1,4,1,0,32768,0.000307,1029.42
69,256,1,4,1,0,65536,0.000314,948.29
70,256,1,4,2,0,1024,0.000344,1312.71
71,256,1,4,2,0,2048,0.000349,1284.514
72,256,1,4,2,0,4096,0.000345,1290.366
73,256,1,4,2,0,8192,0.000343,1289.568
74,256,1,4,2,0,16384,0.000343,1307.922
75,256,1,4,2,0,32768,0.000333,1282.918
76,256,1,4,2,0,65536,0.000387,1062.404
77,256,1,4,3,0,1024,0.000358,1257.382
78,256,1,4,3,0,2048,0.000331,1236.634
79,256,1,4,3,0,4096,0.000331,1240.89
80,256,1,4,3,0,8192,0.000344,1240.624
81,256,1,4,3,0,16384,0.000343,1291.43
82,256,1,4,3,0,32768,0.000334,1248.072
83,256,1,4,3,0,65536,0.000368,1162.686
84,256,1,5,1,0,1024,0.000274,1310.316
85,256,1,5,1,0,2048,0.0003,1314.838
86,256,1,5,1,0,4096,0.000296,1313.242
87,256,1,5,1,0,8192,0.000296,1313.242
88,256,1,5,1,0,16384,0.000292,1226.26
89,256,1,5,1,0,32768,0.000293,1255.786
90,256,1,5,1,0,65536,0.000297,1166.144
91,256,1,5,2,0,1024,0.000375,1356.334
92,256,1,5,2,0,2048,0.000364,1366.974
93,256,1,5,2,0,4096,0.000357,1368.57
94,256,1,5,2,0,8192,0.000325,1364.048
95,256,1,5,2,0,16384,0.000346,1385.062
96,256,1,5,2,0,32768,0.000361,1364.048
97,256,1,5,2,0,65536,0.000387,1225.462
98,256,1,5,3,0,1024,0.000438,1210.034
99,256,1,5,3,0,2048,0.000434,1150.716
100,256,1,5,3,0,4096,0.000423,1210.3
101,256,1,5,3,0,8192,0.00044,1193.808
102,256,1,5,3,0,16384,0.000446,1273.608
103,256,1,5,3,0,32768,0.000437,1202.32
104,256,1,5,3,0,65536,0.000456,1166.942
105,256,1,6,1,0,1024,0.000278,1133.16
106,256,1,6,1,0,2048,0.000284,1135.288
107,256,1,6,1,0,4096,0.000286,1136.352
108,256,1,6,1,0,8192,0.000276,1136.352
109,256,1,6,1,0,16384,0.000291,1099.91
110,256,1,6,1,0,32768,0.000297,1221.472
111,256,1,6,1,0,65536,0.00031,1137.416
112,256,1,6,2,0,1024,0.000227,1074.374
113,256,1,6,2,0,2048,0.000227,1072.778
114,256,1,6,2,0,4096,0.000225,1073.842
115,256,1,6,2,0,8192,0.00023,1080.226
116,256,1,6,2,0,16384,0.000221,1095.654
117,256,1,6,2,0,32768,0.000212,918.498
118,256,1,6,2,0,65536,0.000223,963.452
119,256,1,6,3,0,1024,0.000403,1651.062
120,256,1,6,3,0,2048,0.00039,1555.568
121,256,1,6,3,0,4096,0.000368,1562.484
122,256,1,6,3,0,8192,0.000368,1556.898
123,256,1,6,3,0,16384,0.000416,1674.736
124,256,1,6,3,0,32768,0.000422,1474.704
125,256,1,6,3,0,65536,0.000396,1531.096
126,256,1,7,1,0,1024,0.000334,1175.188
127,256,1,7,1,0,2048,0.000356,1168.538
128,256,1,7,1,0,4096,0.000353,1168.272
129,256,1,7,1,0,8192,0.000374,1165.346
130,256,1,7,1,0,16384,0.000359,1195.404
131,256,1,7,1,0,32768,0.000353,1182.104
132,256,1,7,1,0,65536,0.000361,1100.708
133,256,1,7,2,0,1024,0.000232,1254.19
134,256,1,7,2,0,2048,0.000235,1251.53
135,256,1,7,2,0,4096,0.000243,1242.486
136,256,1,7,2,0,8192,0.000234,1243.284
137,256,1,7,2,0,16384,0.00025,1237.166
138,256,1,7,2,0,32768,0.000222,1219.344
139,256,1,7,2,0,65536,0.000211,969.038
140,256,1,7,3,0,1024,0.0004,1324.946
141,256,1,7,3,0,2048,0.000399,1314.04
142,256,1,7,3,0,4096,0.0004,1327.872
143,256,1,7,3,0,8192,0.00039,1316.966
144,256,1,7,3,0,16384,0.000415,1333.724
145,256,1,7,3,0,32768,0.000395,1490.664
146,256,1,7,3,0,65536,0.000432,1612.758
147,256,2,1,1,0,1024,0.000269,890.302
148,256,2,1,1,0,2048,0.000273,897.75
149,256,2,1,1,0,4096,0.000275,878.864
150,256,2,1,1,0,8192,0.000293,984.998
