Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,3717.4721189591082,catapult,Area,890.302,FF,92,catapult_asic_latency
Throughput,3663.0036630036625,catapult,Area,897.750,FF,92,catapult_asic_latency
Throughput,3636.363636363636,catapult,Area,878.864,FF,92,catapult_asic_latency
Throughput,3412.9692832764504,catapult,Area,984.998,FF,92,catapult_asic_latency
Throughput,3649.6350364963505,catapult,Area,869.022,FF,92,catapult_asic_latency
Throughput,3649.6350364963505,catapult,Area,864.766,FF,92,catapult_asic_latency
Throughput,3649.6350364963505,catapult,Area,864.766,FF,92,catapult_asic_latency
Throughput,2277.904328018223,catapult,Area,1130.500,FF,111,catapult_asic_latency
Throughput,2277.904328018223,catapult,Area,1129.702,FF,111,catapult_asic_latency
Throughput,2277.904328018223,catapult,Area,1129.702,FF,111,catapult_asic_latency
Throughput,2288.329519450801,catapult,Area,1126.244,FF,111,catapult_asic_latency
Throughput,2439.0243902439024,catapult,Area,1157.898,FF,113,catapult_asic_latency
Throughput,2364.066193853428,catapult,Area,1094.856,FF,111,catapult_asic_latency
Throughput,2283.10502283105,catapult,Area,1030.484,FF,96,catapult_asic_latency
Throughput,2202.6431718061676,catapult,Area,1218.014,FF,109,catapult_asic_latency
Throughput,2178.649237472767,catapult,Area,1189.286,FF,108,catapult_asic_latency
Throughput,2450.9803921568628,catapult,Area,1292.760,FF,108,catapult_asic_latency
Throughput,2439.0243902439024,catapult,Area,1299.942,FF,108,catapult_asic_latency
Throughput,2433.0900243309,catapult,Area,1366.176,FF,116,catapult_asic_latency
Throughput,2450.9803921568628,catapult,Area,1290.632,FF,108,catapult_asic_latency
Throughput,2232.1428571428573,catapult,Area,1247.274,FF,108,catapult_asic_latency
Throughput,4000.0,catapult,Area,868.490,FF,74,catapult_asic_latency
Throughput,3952.569169960474,catapult,Area,871.416,FF,74,catapult_asic_latency
Throughput,3906.25,catapult,Area,867.160,FF,74,catapult_asic_latency
Throughput,3984.0637450199206,catapult,Area,912.646,FF,74,catapult_asic_latency
Throughput,4000.0,catapult,Area,874.874,FF,74,catapult_asic_latency
Throughput,3952.569169960474,catapult,Area,853.860,FF,74,catapult_asic_latency
Throughput,4115.22633744856,catapult,Area,746.662,FF,66,catapult_asic_latency
Throughput,2688.172043010753,catapult,Area,1013.726,FF,93,catapult_asic_latency
Throughput,2762.430939226519,catapult,Area,1009.470,FF,93,catapult_asic_latency
Throughput,2762.430939226519,catapult,Area,1010.002,FF,93,catapult_asic_latency
Throughput,2762.430939226519,catapult,Area,1003.086,FF,93,catapult_asic_latency
Throughput,2702.702702702703,catapult,Area,1033.676,FF,95,catapult_asic_latency
Throughput,2666.6666666666665,catapult,Area,998.830,FF,93,catapult_asic_latency
Throughput,2739.7260273972606,catapult,Area,1000.426,FF,93,catapult_asic_latency
Throughput,2531.645569620253,catapult,Area,1271.480,FF,107,catapult_asic_latency
Throughput,2631.578947368421,catapult,Area,1258.978,FF,106,catapult_asic_latency
