n,knob_HIST_SIZE,knob_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_UNROLL_FACTOR,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0000,256,1,1,1,0,1024,0.0023,7580
0001,256,1,1,1,0,2048,0.0022,7550
0002,256,1,1,1,0,4096,0.0024,7386
0003,256,1,1,1,0,8192,0.0024,7056
0004,256,1,1,1,0,16384,0.0025,7057
0005,256,1,1,1,0,32768,0.0023,7551
0006,256,1,1,1,0,65536,0.0024,7515
0008,256,1,1,2,0,2048,0.0021,7708
0009,256,1,1,2,0,4096,0.0019,7748
0011,256,1,1,2,0,16384,0.0021,7137
0012,256,1,1,2,0,32768,0.0020,7409
0013,256,1,1,2,0,65536,0.0021,7549
0014,256,1,1,3,0,1024,0.0018,8297
0015,256,1,1,3,0,2048,0.0020,7868
0016,256,1,1,3,0,4096,0.0019,7740
0018,256,1,1,3,0,16384,0.0019,7049
0019,256,1,1,3,0,32768,0.0020,7104
0020,256,1,1,3,0,65536,0.0019,7135
0021,256,1,2,1,0,1024,0.0019,7737
0023,256,1,2,1,0,4096,0.0021,7740
0025,256,1,2,1,0,16384,0.0020,7524
0026,256,1,2,1,0,32768,0.0020,7504
0027,256,1,2,1,0,65536,0.0020,7495
0028,256,1,2,2,0,1024,0.0017,8050
0029,256,1,2,2,0,2048,0.0017,7518
0030,256,1,2,2,0,4096,0.0018,7525
0032,256,1,2,2,0,16384,0.0017,7138
0033,256,1,2,2,0,32768,0.0016,7154
0035,256,1,2,3,0,1024,0.0016,8509
0037,256,1,2,3,0,4096,0.0016,7845
0039,256,1,2,3,0,16384,0.0016,7064
0040,256,1,2,3,0,32768,0.0016,7071
0041,256,1,2,3,0,65536,0.0016,7637
0043,256,1,3,1,0,2048,0.0014,8201
0044,256,1,3,1,0,4096,0.0014,7610
0045,256,1,3,1,0,8192,0.0013,7463
0047,256,1,3,1,0,32768,0.0013,7101
0048,256,1,3,1,0,65536,0.0013,7524
0050,256,1,3,2,0,2048,0.0019,7833
0052,256,1,3,2,0,8192,0.0018,7401
0053,256,1,3,2,0,16384,0.0018,7074
0054,256,1,3,2,0,32768,0.0017,7440
0056,256,1,3,3,0,1024,0.0017,7793
0058,256,1,3,3,0,4096,0.0017,7684
0062,256,1,3,3,0,65536,0.0016,7124
0064,256,1,4,1,0,2048,0.0014,7909
0066,256,1,4,1,0,8192,0.0014,7701
0069,256,1,4,1,0,65536,0.0014,7569
0070,256,1,4,2,0,1024,0.0017,8295
0073,256,1,4,2,0,8192,0.0017,7644
