n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2,lut,ff,dsp,bram
0000,256,1,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0001,256,1,1,1,0,2048,0.002245,7550,44285,8971,0,17.5
0002,256,1,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0003,256,1,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0004,256,1,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0005,256,1,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
0006,256,1,1,1,0,65536,0.002360,7515,42680,8544,0,17.5
0008,256,1,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0009,256,1,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0011,256,1,1,2,0,16384,0.002069,7137,42849,8586,0,17.5
0012,256,1,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0013,256,1,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
0014,256,1,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0015,256,1,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0016,256,1,1,3,0,4096,0.001949,7740,44030,8952,0,17.5
0018,256,1,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0019,256,1,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0020,256,1,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0021,256,1,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0023,256,1,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0025,256,1,2,1,0,16384,0.002043,7524,42804,8576,0,17.5
0026,256,1,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0027,256,1,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0028,256,1,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0029,256,1,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0030,256,1,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0032,256,1,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0033,256,1,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0035,256,1,2,3,0,1024,0.001607,8509,45946,9848,0,33.5
0037,256,1,2,3,0,4096,0.001637,7845,43768,8925,0,17.5
0039,256,1,2,3,0,16384,0.001585,7064,42978,8667,0,17.5
0040,256,1,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0041,256,1,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0043,256,1,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0044,256,1,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0045,256,1,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0047,256,1,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0048,256,1,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0050,256,1,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0052,256,1,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0053,256,1,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0054,256,1,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0056,256,1,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0058,256,1,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0062,256,1,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0064,256,1,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0066,256,1,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0069,256,1,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0070,256,1,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0073,256,1,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0076,256,1,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0078,256,1,4,3,0,2048,0.001459,7484,44564,9280,0,17.5
0079,256,1,4,3,0,4096,0.001600,7526,43681,8973,0,17.5
0080,256,1,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0081,256,1,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0083,256,1,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0084,256,1,5,1,0,1024,0.001353,8146,46093,9502,0,33.5
0086,256,1,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0087,256,1,5,1,0,8192,0.001301,7188,43144,8738,0,17.5
0088,256,1,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0089,256,1,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0090,256,1,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0091,256,1,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0092,256,1,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0093,256,1,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0095,256,1,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0097,256,1,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0100,256,1,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0101,256,1,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0102,256,1,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0103,256,1,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
