Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,426.8032437046522,catapult,CLB,7580,area
Throughput,426.8032437046522,catapult,LUT,45457,area
Throughput,426.8032437046522,catapult,FF,9390,area
Throughput,426.8032437046522,catapult,DSP,0,area
Throughput,426.8032437046522,catapult,BRAM,33.5,area
Throughput,445.43429844097994,catapult,CLB,7550,area
Throughput,445.43429844097994,catapult,LUT,44285,area
Throughput,445.43429844097994,catapult,FF,8971,area
Throughput,445.43429844097994,catapult,DSP,0,area
Throughput,445.43429844097994,catapult,BRAM,17.5,area
Throughput,413.0524576621231,catapult,CLB,7386,area
Throughput,413.0524576621231,catapult,LUT,43747,area
Throughput,413.0524576621231,catapult,FF,8769,area
Throughput,413.0524576621231,catapult,DSP,0,area
Throughput,413.0524576621231,catapult,BRAM,17.5,area
Throughput,414.9377593360996,catapult,CLB,7056,area
Throughput,414.9377593360996,catapult,LUT,43019,area
Throughput,414.9377593360996,catapult,FF,8641,area
Throughput,414.9377593360996,catapult,DSP,0,area
Throughput,414.9377593360996,catapult,BRAM,17.5,area
Throughput,407.1661237785016,catapult,CLB,7057,area
Throughput,407.1661237785016,catapult,LUT,42837,area
Throughput,407.1661237785016,catapult,FF,8592,area
Throughput,407.1661237785016,catapult,DSP,0,area
Throughput,407.1661237785016,catapult,BRAM,17.5,area
Throughput,433.2755632582322,catapult,CLB,7551,area
Throughput,433.2755632582322,catapult,LUT,42730,area
Throughput,433.2755632582322,catapult,FF,8570,area
Throughput,433.2755632582322,catapult,DSP,0,area
Throughput,433.2755632582322,catapult,BRAM,17.5,area
Throughput,423.728813559322,catapult,CLB,7515,area
Throughput,423.728813559322,catapult,LUT,42680,area
Throughput,423.728813559322,catapult,FF,8544,area
Throughput,423.728813559322,catapult,DSP,0,area
Throughput,423.728813559322,catapult,BRAM,17.5,area
Throughput,470.8097928436911,catapult,CLB,7708,area
Throughput,470.8097928436911,catapult,LUT,43723,area
Throughput,470.8097928436911,catapult,FF,8961,area
Throughput,470.8097928436911,catapult,DSP,0,area
Throughput,470.8097928436911,catapult,BRAM,17.5,area
Throughput,515.1983513652756,catapult,CLB,7748,area
Throughput,515.1983513652756,catapult,LUT,43229,area
Throughput,515.1983513652756,catapult,FF,8754,area
Throughput,515.1983513652756,catapult,DSP,0,area
Throughput,515.1983513652756,catapult,BRAM,17.5,area
