n,knob_HIST_SIZE,knob_NUM_HIST,knob_UNROLL_LLM,knob_UNROLL_LP,knob_I_B,knob_DATA_BLOCK,obj1,obj2
1,256,1,1,1,0,2048,0.0022,7550
2,256,1,1,1,0,4096,0.0024,7386
3,256,1,1,1,0,16384,0.0025,7057
4,256,1,1,1,0,32768,0.0023,7551
5,256,1,1,1,0,65536,0.0023,7530
6,256,1,1,2,0,2048,0.0021,7708
7,256,1,1,2,0,4096,0.0019,7748
8,256,1,1,2,0,16384,0.0021,7137
9,256,1,1,2,0,32768,0.002,7409
10,256,1,1,2,0,65536,0.0021,7549
11,256,1,1,3,0,1024,0.0018,8297
12,256,1,1,3,0,2048,0.002,7868
13,256,1,1,3,0,4096,0.0019,7740
14,256,1,1,3,0,16384,0.0019,7049
15,256,1,1,3,0,32768,0.002,7104
16,256,1,2,1,0,1024,0.0019,7737
17,256,1,2,1,0,2048,0.0021,8025
18,256,1,2,1,0,4096,0.0021,7740
19,256,1,2,1,0,32768,0.002,7504
20,256,1,2,1,0,65536,0.002,7495
21,256,1,2,2,0,1024,0.0017,8050
22,256,1,2,2,0,2048,0.0017,7518
23,256,1,2,2,0,16384,0.0017,7138
24,256,1,2,3,0,1024,0.0016,8509
25,256,1,2,3,0,4096,0.0016,7845
26,256,1,2,3,0,32768,0.0016,7071
27,256,1,2,3,0,65536,0.0016,7637
28,256,1,3,1,0,2048,0.0014,8201
29,256,1,3,1,0,4096,0.0014,7610
30,256,1,3,1,0,8192,0.0013,7463
31,256,1,3,1,0,16384,0.0013,7527
32,256,1,3,1,0,32768,0.0013,7101
33,256,1,3,1,0,65536,0.0013,7524
34,256,1,3,2,0,2048,0.0019,7833
35,256,1,3,2,0,4096,0.0018,7974
36,256,1,3,2,0,8192,0.0018,7401
37,256,1,3,2,0,16384,0.0018,7074
38,256,1,3,2,0,32768,0.0017,7440
39,256,1,3,3,0,1024,0.0017,7793
40,256,1,3,3,0,4096,0.0017,7684
41,256,1,3,3,0,8192,0.0018,7476
42,256,1,3,3,0,16384,0.0017,7036
43,256,1,4,1,0,1024,0.0014,7988
44,256,1,4,1,0,2048,0.0014,7909
45,256,1,4,1,0,8192,0.0014,7701
46,256,1,4,1,0,65536,0.0014,7569
47,256,1,4,2,0,1024,0.0017,8295
48,256,1,4,2,0,8192,0.0017,7644
49,256,1,4,2,0,65536,0.0016,7515
50,256,1,4,3,0,2048,0.0015,7484
51,256,1,4,3,0,8192,0.0014,7301
52,256,1,4,3,0,16384,0.0015,7087
53,256,1,4,3,0,65536,0.0015,7212
54,256,1,5,1,0,4096,0.0014,7656
55,256,1,5,1,0,8192,0.0013,7188
56,256,1,5,1,0,16384,0.0014,7552
57,256,1,5,1,0,32768,0.0013,7506
58,256,1,5,1,0,65536,0.0014,7546
59,256,1,5,2,0,2048,0.0016,7609
60,256,1,5,2,0,4096,0.0016,7736
61,256,1,5,2,0,16384,0.0017,7191
62,256,1,5,2,0,65536,0.0016,7413
63,256,1,5,3,0,4096,0.0017,7865
64,256,1,5,3,0,8192,0.0016,7463
65,256,1,5,3,0,16384,0.0018,9320
66,256,1,5,3,0,32768,0.0018,9306
