Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,426.8032437046522,catapult,CLB,7580,FF,9390,catapult_fpga_latency
Throughput,426.8032437046522,catapult,LUT,45457,FF,9390,catapult_fpga_latency
Throughput,426.8032437046522,catapult,FF,9390,FF,9390,catapult_fpga_latency
Throughput,426.8032437046522,catapult,DSP,0,FF,9390,catapult_fpga_latency
Throughput,426.8032437046522,catapult,BRAM,33.5,FF,9390,catapult_fpga_latency
Throughput,445.43429844097994,catapult,CLB,7550,FF,8971,catapult_fpga_latency
Throughput,445.43429844097994,catapult,LUT,44285,FF,8971,catapult_fpga_latency
Throughput,445.43429844097994,catapult,FF,8971,FF,8971,catapult_fpga_latency
Throughput,445.43429844097994,catapult,DSP,0,FF,8971,catapult_fpga_latency
Throughput,445.43429844097994,catapult,BRAM,17.5,FF,8971,catapult_fpga_latency
Throughput,413.0524576621231,catapult,CLB,7386,FF,8769,catapult_fpga_latency
Throughput,413.0524576621231,catapult,LUT,43747,FF,8769,catapult_fpga_latency
Throughput,413.0524576621231,catapult,FF,8769,FF,8769,catapult_fpga_latency
Throughput,413.0524576621231,catapult,DSP,0,FF,8769,catapult_fpga_latency
Throughput,413.0524576621231,catapult,BRAM,17.5,FF,8769,catapult_fpga_latency
Throughput,407.1661237785016,catapult,CLB,7057,FF,8592,catapult_fpga_latency
Throughput,407.1661237785016,catapult,LUT,42837,FF,8592,catapult_fpga_latency
Throughput,407.1661237785016,catapult,FF,8592,FF,8592,catapult_fpga_latency
Throughput,407.1661237785016,catapult,DSP,0,FF,8592,catapult_fpga_latency
Throughput,407.1661237785016,catapult,BRAM,17.5,FF,8592,catapult_fpga_latency
Throughput,433.2755632582322,catapult,CLB,7551,FF,8570,catapult_fpga_latency
Throughput,433.2755632582322,catapult,LUT,42730,FF,8570,catapult_fpga_latency
Throughput,433.2755632582322,catapult,FF,8570,FF,8570,catapult_fpga_latency
Throughput,433.2755632582322,catapult,DSP,0,FF,8570,catapult_fpga_latency
Throughput,433.2755632582322,catapult,BRAM,17.5,FF,8570,catapult_fpga_latency
Throughput,429.000429000429,catapult,CLB,7530,FF,8544,catapult_fpga_latency
Throughput,429.000429000429,catapult,LUT,42680,FF,8544,catapult_fpga_latency
Throughput,429.000429000429,catapult,FF,8544,FF,8544,catapult_fpga_latency
Throughput,429.000429000429,catapult,DSP,0,FF,8544,catapult_fpga_latency
Throughput,429.000429000429,catapult,BRAM,17.5,FF,8544,catapult_fpga_latency
Throughput,470.8097928436911,catapult,CLB,7708,FF,8961,catapult_fpga_latency
Throughput,470.8097928436911,catapult,LUT,43723,FF,8961,catapult_fpga_latency
Throughput,470.8097928436911,catapult,FF,8961,FF,8961,catapult_fpga_latency
Throughput,470.8097928436911,catapult,DSP,0,FF,8961,catapult_fpga_latency
Throughput,470.8097928436911,catapult,BRAM,17.5,FF,8961,catapult_fpga_latency
Throughput,515.1983513652756,catapult,CLB,7748,FF,8754,catapult_fpga_latency
Throughput,515.1983513652756,catapult,LUT,43229,FF,8754,catapult_fpga_latency
Throughput,515.1983513652756,catapult,FF,8754,FF,8754,catapult_fpga_latency
