n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0000,1,256,1,1,1,1,0,1,0,0.000577,30
0001,1,256,1,1,1,1,0,1,1,0.000407,34
0002,1,256,1,1,1,1,0,1,2,0.000407,34
0003,1,256,1,1,1,1,0,2,0,0.000495,35
0004,1,256,1,1,1,1,0,2,1,0.000396,39
0005,1,256,1,1,1,1,0,2,2,0.000396,39
0006,1,256,1,1,1,1,0,3,0,0.000514,56
0007,1,256,1,1,1,1,0,3,1,0.000398,65
0008,1,256,1,1,1,1,0,3,2,0.000398,65
0009,1,256,1,1,1,1,0,4,0,0.000428,39
0010,1,256,1,1,1,1,0,4,1,0.000403,49
0011,1,256,1,1,1,1,0,4,2,0.000403,49
0012,1,256,1,1,1,1,0,5,0,0.000458,69
0013,1,256,1,1,1,1,0,5,1,0.000473,77
0014,1,256,1,1,1,1,0,5,2,0.000473,77
0018,1,256,1,1,1,1,0,7,0,0.000457,80
0019,1,256,1,1,1,1,0,7,1,0.000459,93
0020,1,256,1,1,1,1,0,7,2,0.000459,93
0021,1,256,1,1,1,1,0,8,0,0.000421,42
0022,1,256,1,1,1,1,0,8,1,0.000413,61
0023,1,256,1,1,1,1,0,8,2,0.000413,61
0024,1,256,1,1,1,1,0,9,0,0.000409,67
0025,1,256,1,1,1,1,0,9,1,0.000529,111
0026,1,256,1,1,1,1,0,9,2,0.000529,111
0030,1,256,1,1,1,1,0,11,0,0.000517,85
0031,1,256,1,1,1,1,0,11,1,0.000545,119
0032,1,256,1,1,1,1,0,11,2,0.000545,119
0036,1,256,1,1,1,1,0,13,0,0.000553,105
0037,1,256,1,1,1,1,0,13,1,0.000570,143
0038,1,256,1,1,1,1,0,13,2,0.000570,143
0042,1,256,1,1,1,1,0,15,0,0.000424,112
0043,1,256,1,1,1,1,0,15,1,0.000510,154
0044,1,256,1,1,1,1,0,15,2,0.000510,154
0045,1,256,1,2,1,1,0,1,0,0.000565,118
0046,1,256,1,2,1,1,0,1,1,0.000401,148
0047,1,256,1,2,1,1,0,1,2,0.000401,148
0048,1,256,1,2,1,1,0,2,0,0.000498,118
0049,1,256,1,2,1,1,0,2,1,0.000440,140
0050,1,256,1,2,1,1,0,2,2,0.000440,140
0054,1,256,1,2,1,1,0,4,0,0.000455,158
0055,1,256,1,2,1,1,0,4,1,0.000426,149
0056,1,256,1,2,1,1,0,4,2,0.000426,149
0066,1,256,1,2,1,1,0,8,0,0.000514,180
0067,1,256,1,2,1,1,0,8,1,0.000471,190
0068,1,256,1,2,1,1,0,8,2,0.000471,190
0075,1,256,1,2,1,1,0,11,0,0.000485,253
0076,1,256,1,2,1,1,0,11,1,0.000490,349
0077,1,256,1,2,1,1,0,11,2,0.000490,349
0090,1,256,1,4,1,1,0,1,0,0.000239,278
0091,1,256,1,4,1,1,0,1,1,0.000221,288
0092,1,256,1,4,1,1,0,1,2,0.000221,288
0093,1,256,1,4,1,1,0,2,0,0.000206,276
0094,1,256,1,4,1,1,0,2,1,0.000172,281
0095,1,256,1,4,1,1,0,2,2,0.000172,281
0096,1,256,1,4,1,1,0,3,0,0.000220,356
0097,1,256,1,4,1,1,0,3,1,0.000211,417
0098,1,256,1,4,1,1,0,3,2,0.000211,417
0099,1,256,1,4,1,1,0,4,0,0.000201,308
0100,1,256,1,4,1,1,0,4,1,0.000169,325
0101,1,256,1,4,1,1,0,4,2,0.000169,325
0108,1,256,1,4,1,1,0,7,0,0.000209,460
0109,1,256,1,4,1,1,0,7,1,0.000227,543
0110,1,256,1,4,1,1,0,7,2,0.000227,543
0111,1,256,1,4,1,1,0,8,0,0.000235,344
0112,1,256,1,4,1,1,0,8,1,0.000194,387
0113,1,256,1,4,1,1,0,8,2,0.000194,387
0120,1,256,1,4,1,1,0,11,0,0.000201,513
0121,1,256,1,4,1,1,0,11,1,0.000213,652
0122,1,256,1,4,1,1,0,11,2,0.000213,652
0132,1,256,1,4,1,1,0,15,0,0.000212,608
0133,1,256,1,4,1,1,0,15,1,0.000220,784
0134,1,256,1,4,1,1,0,15,2,0.000220,784
0135,1,256,1,8,1,1,0,1,0,0.000140,475
0136,1,256,1,8,1,1,0,1,1,0.000099,489
0137,1,256,1,8,1,1,0,1,2,0.000099,489
0138,1,256,1,8,1,1,0,2,0,0.000110,483
0139,1,256,1,8,1,1,0,2,1,0.000088,500
0140,1,256,1,8,1,1,0,2,2,0.000088,500
0144,1,256,1,8,1,1,0,4,0,0.000107,574
0145,1,256,1,8,1,1,0,4,1,0.000097,554
0146,1,256,1,8,1,1,0,4,2,0.000097,554
0147,1,256,1,8,1,1,0,5,0,0.000106,757
0148,1,256,1,8,1,1,0,5,1,0.000106,862
0149,1,256,1,8,1,1,0,5,2,0.000106,862
0153,1,256,1,8,1,1,0,7,0,0.000116,852
0154,1,256,1,8,1,1,0,7,1,0.000114,969
0155,1,256,1,8,1,1,0,7,2,0.000114,969
0156,1,256,1,8,1,1,0,8,0,0.000099,587
0157,1,256,1,8,1,1,0,8,1,0.000131,659
0158,1,256,1,8,1,1,0,8,2,0.000131,659
0171,1,256,1,8,1,1,0,13,0,0.000117,986
0172,1,256,1,8,1,1,0,13,1,0.000127,1327
0173,1,256,1,8,1,1,0,13,2,0.000127,1327
0177,1,256,1,8,1,1,0,15,0,0.000114,1085
0178,1,256,1,8,1,1,0,15,1,0.000113,1434
0179,1,256,1,8,1,1,0,15,2,0.000113,1434
0180,1,256,2,1,1,1,0,1,0,0.000594,32
0181,1,256,2,1,1,1,0,1,1,0.000401,35
0182,1,256,2,1,1,1,0,1,2,0.000401,35
0183,1,256,2,1,1,1,0,2,0,0.000506,36
0184,1,256,2,1,1,1,0,2,1,0.000403,43
0185,1,256,2,1,1,1,0,2,2,0.000403,43
0189,1,256,2,1,1,1,0,4,0,0.000459,47
0190,1,256,2,1,1,1,0,4,1,0.000391,49
0191,1,256,2,1,1,1,0,4,2,0.000391,49
0201,1,256,2,1,1,1,0,8,0,0.000433,55
