n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0000,1,256,1,1,1,1,0,1,0,0.000577,30,118,93,0,1
0001,1,256,1,1,1,1,0,1,1,0.000407,34,165,96,0,1
0002,1,256,1,1,1,1,0,1,2,0.000407,34,165,96,0,1
0003,1,256,1,1,1,1,0,2,0,0.000495,35,123,111,0,1
0004,1,256,1,1,1,1,0,2,1,0.000396,39,183,114,0,1
0005,1,256,1,1,1,1,0,2,2,0.000396,39,183,114,0,1
0006,1,256,1,1,1,1,0,3,0,0.000514,56,181,225,0,1
0007,1,256,1,1,1,1,0,3,1,0.000398,65,278,244,0,1
0008,1,256,1,1,1,1,0,3,2,0.000398,65,278,244,0,1
0009,1,256,1,1,1,1,0,4,0,0.000428,39,171,144,0,1
0010,1,256,1,1,1,1,0,4,1,0.000403,49,199,165,0,1
0011,1,256,1,1,1,1,0,4,2,0.000403,49,199,165,0,1
0012,1,256,1,1,1,1,0,5,0,0.000458,69,271,247,0,1
0013,1,256,1,1,1,1,0,5,1,0.000473,77,337,274,0,1
0014,1,256,1,1,1,1,0,5,2,0.000473,77,337,274,0,1
0018,1,256,1,1,1,1,0,7,0,0.000457,80,333,269,0,1
0019,1,256,1,1,1,1,0,7,1,0.000459,93,415,312,0,1
0020,1,256,1,1,1,1,0,7,2,0.000459,93,415,312,0,1
0021,1,256,1,1,1,1,0,8,0,0.000421,42,197,181,0,1
0022,1,256,1,1,1,1,0,8,1,0.000413,61,258,230,0,1
0023,1,256,1,1,1,1,0,8,2,0.000413,61,258,230,0,1
0024,1,256,1,1,1,1,0,9,0,0.000409,67,256,291,0,1
0025,1,256,1,1,1,1,0,9,1,0.000529,111,520,342,0,1
0026,1,256,1,1,1,1,0,9,2,0.000529,111,520,342,0,1
0030,1,256,1,1,1,1,0,11,0,0.000517,85,342,304,0,1
0031,1,256,1,1,1,1,0,11,1,0.000545,119,555,380,0,1
0032,1,256,1,1,1,1,0,11,2,0.000545,119,555,380,0,1
0036,1,256,1,1,1,1,0,13,0,0.000553,105,435,324,0,1
0037,1,256,1,1,1,1,0,13,1,0.000570,143,675,410,0,1
0038,1,256,1,1,1,1,0,13,2,0.000570,143,675,410,0,1
0042,1,256,1,1,1,1,0,15,0,0.000424,112,467,344,0,1
0043,1,256,1,1,1,1,0,15,1,0.000510,154,753,448,0,1
0044,1,256,1,1,1,1,0,15,2,0.000510,154,753,448,0,1
0045,1,256,1,2,1,1,0,1,0,0.000565,118,538,347,0,38
0046,1,256,1,2,1,1,0,1,1,0.000401,148,688,359,0,38
0047,1,256,1,2,1,1,0,1,2,0.000401,148,688,359,0,38
0048,1,256,1,2,1,1,0,2,0,0.000498,118,499,367,0,38
0049,1,256,1,2,1,1,0,2,1,0.000440,140,691,379,0,38
0050,1,256,1,2,1,1,0,2,2,0.000440,140,691,379,0,38
0054,1,256,1,2,1,1,0,4,0,0.000455,158,722,437,0,38
0055,1,256,1,2,1,1,0,4,1,0.000426,149,712,495,0,38
0056,1,256,1,2,1,1,0,4,2,0.000426,149,712,495,0,38
0066,1,256,1,2,1,1,0,8,0,0.000514,180,757,511,0,38
0067,1,256,1,2,1,1,0,8,1,0.000471,190,837,625,0,38
0068,1,256,1,2,1,1,0,8,2,0.000471,190,837,625,0,38
0075,1,256,1,2,1,1,0,11,0,0.000485,253,1145,777,0,38
0076,1,256,1,2,1,1,0,11,1,0.000490,349,1549,929,0,38
0077,1,256,1,2,1,1,0,11,2,0.000490,349,1549,929,0,38
0090,1,256,1,4,1,1,0,1,0,0.000239,278,1157,615,0,44
0091,1,256,1,4,1,1,0,1,1,0.000221,288,1349,628,0,44
0092,1,256,1,4,1,1,0,1,2,0.000221,288,1349,628,0,44
0093,1,256,1,4,1,1,0,2,0,0.000206,276,1152,655,0,44
0094,1,256,1,4,1,1,0,2,1,0.000172,281,1359,667,0,44
0095,1,256,1,4,1,1,0,2,2,0.000172,281,1359,667,0,44
0096,1,256,1,4,1,1,0,3,0,0.000220,356,1513,1151,0,44
0097,1,256,1,4,1,1,0,3,1,0.000211,417,1811,1195,0,44
0098,1,256,1,4,1,1,0,3,2,0.000211,417,1811,1195,0,44
0099,1,256,1,4,1,1,0,4,0,0.000201,308,1391,780,0,44
0100,1,256,1,4,1,1,0,4,1,0.000169,325,1427,895,0,44
0101,1,256,1,4,1,1,0,4,2,0.000169,325,1427,895,0,44
0108,1,256,1,4,1,1,0,7,0,0.000209,460,2015,1327,0,44
0109,1,256,1,4,1,1,0,7,1,0.000227,543,2412,1500,0,44
0110,1,256,1,4,1,1,0,7,2,0.000227,543,2412,1500,0,44
0111,1,256,1,4,1,1,0,8,0,0.000235,344,1463,928,0,44
0112,1,256,1,4,1,1,0,8,1,0.000194,387,1665,1155,0,44
0113,1,256,1,4,1,1,0,8,2,0.000194,387,1665,1155,0,44
0120,1,256,1,4,1,1,0,11,0,0.000201,513,2129,1467,0,44
0121,1,256,1,4,1,1,0,11,1,0.000213,652,2968,1772,0,44
0122,1,256,1,4,1,1,0,11,2,0.000213,652,2968,1772,0,44
0132,1,256,1,4,1,1,0,15,0,0.000212,608,2606,1627,0,44
0133,1,256,1,4,1,1,0,15,1,0.000220,784,3631,2044,0,44
0134,1,256,1,4,1,1,0,15,2,0.000220,784,3631,2044,0,44
0135,1,256,1,8,1,1,0,1,0,0.000140,475,2054,965,0,56
0136,1,256,1,8,1,1,0,1,1,0.000099,489,2410,989,0,56
0137,1,256,1,8,1,1,0,1,2,0.000099,489,2410,989,0,56
0138,1,256,1,8,1,1,0,2,0,0.000110,483,2010,1043,0,56
0139,1,256,1,8,1,1,0,2,1,0.000088,500,2397,1066,0,56
0140,1,256,1,8,1,1,0,2,2,0.000088,500,2397,1066,0,56
0144,1,256,1,8,1,1,0,4,0,0.000107,574,2429,1284,0,56
0145,1,256,1,8,1,1,0,4,1,0.000097,554,2428,1489,0,56
0146,1,256,1,8,1,1,0,4,2,0.000097,554,2428,1489,0,56
0147,1,256,1,8,1,1,0,5,0,0.000106,757,3255,2221,0,56
0148,1,256,1,8,1,1,0,5,1,0.000106,862,3949,2436,0,56
0149,1,256,1,8,1,1,0,5,2,0.000106,862,3949,2436,0,56
0153,1,256,1,8,1,1,0,7,0,0.000116,852,3715,2397,0,56
0154,1,256,1,8,1,1,0,7,1,0.000114,969,4467,2740,0,56
0155,1,256,1,8,1,1,0,7,2,0.000114,969,4467,2740,0,56
