n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0,1,256,1,1,1,1,0,1,0,0.000577,30
1,1,256,1,1,1,1,0,1,1,0.000407,34
2,1,256,1,1,1,1,0,1,2,0.000407,34
3,1,256,1,1,1,1,0,2,0,0.000495,35
4,1,256,1,1,1,1,0,2,1,0.000396,39
5,1,256,1,1,1,1,0,2,2,0.000396,39
6,1,256,1,1,1,1,0,3,0,0.000514,56
7,1,256,1,1,1,1,0,3,1,0.000398,65
8,1,256,1,1,1,1,0,3,2,0.000398,65
9,1,256,1,1,1,1,0,4,0,0.000428,39
10,1,256,1,1,1,1,0,4,1,0.000403,49
11,1,256,1,1,1,1,0,4,2,0.000403,49
12,1,256,1,1,1,1,0,5,0,0.000458,69
13,1,256,1,1,1,1,0,5,1,0.000473,77
14,1,256,1,1,1,1,0,5,2,0.000473,77
15,1,256,1,1,1,1,0,7,0,0.000457,80
16,1,256,1,1,1,1,0,7,1,0.000459,93
17,1,256,1,1,1,1,0,7,2,0.000459,93
18,1,256,1,1,1,1,0,8,0,0.000421,42
19,1,256,1,1,1,1,0,8,1,0.000413,61
20,1,256,1,1,1,1,0,8,2,0.000413,61
21,1,256,1,1,1,1,0,9,0,0.000409,67
22,1,256,1,1,1,1,0,9,1,0.000529,111
23,1,256,1,1,1,1,0,9,2,0.000529,111
24,1,256,1,1,1,1,0,11,0,0.000517,85
25,1,256,1,1,1,1,0,11,1,0.000545,119
26,1,256,1,1,1,1,0,11,2,0.000545,119
27,1,256,1,1,1,1,0,13,0,0.000553,105
28,1,256,1,1,1,1,0,13,1,0.00057,143
29,1,256,1,1,1,1,0,13,2,0.00057,143
30,1,256,1,1,1,1,0,15,0,0.000424,112
31,1,256,1,1,1,1,0,15,1,0.00051,154
