Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,1733.1022530329287,vivado,CLB,30,FF,93,None
Throughput,1733.1022530329287,vivado,LUT,118,FF,93,None
Throughput,1733.1022530329287,vivado,FF,93,FF,93,None
Throughput,1733.1022530329287,vivado,DSP,0,FF,93,None
Throughput,1733.1022530329287,vivado,BRAM,1,FF,93,None
Throughput,2457.002457002457,vivado,CLB,34,FF,96,None
Throughput,2457.002457002457,vivado,LUT,165,FF,96,None
Throughput,2457.002457002457,vivado,FF,96,FF,96,None
Throughput,2457.002457002457,vivado,DSP,0,FF,96,None
Throughput,2457.002457002457,vivado,BRAM,1,FF,96,None
Throughput,2457.002457002457,vivado,CLB,34,FF,96,None
Throughput,2457.002457002457,vivado,LUT,165,FF,96,None
Throughput,2457.002457002457,vivado,FF,96,FF,96,None
Throughput,2457.002457002457,vivado,DSP,0,FF,96,None
Throughput,2457.002457002457,vivado,BRAM,1,FF,96,None
Throughput,2020.2020202020203,vivado,CLB,35,FF,111,None
Throughput,2020.2020202020203,vivado,LUT,123,FF,111,None
Throughput,2020.2020202020203,vivado,FF,111,FF,111,None
Throughput,2020.2020202020203,vivado,DSP,0,FF,111,None
Throughput,2020.2020202020203,vivado,BRAM,1,FF,111,None
Throughput,2525.2525252525256,vivado,CLB,39,FF,114,None
Throughput,2525.2525252525256,vivado,LUT,183,FF,114,None
Throughput,2525.2525252525256,vivado,FF,114,FF,114,None
Throughput,2525.2525252525256,vivado,DSP,0,FF,114,None
Throughput,2525.2525252525256,vivado,BRAM,1,FF,114,None
Throughput,2525.2525252525256,vivado,CLB,39,FF,114,None
Throughput,2525.2525252525256,vivado,LUT,183,FF,114,None
Throughput,2525.2525252525256,vivado,FF,114,FF,114,None
Throughput,2525.2525252525256,vivado,DSP,0,FF,114,None
Throughput,2525.2525252525256,vivado,BRAM,1,FF,114,None
Throughput,1945.5252918287936,vivado,CLB,56,FF,225,None
Throughput,1945.5252918287936,vivado,LUT,181,FF,225,None
Throughput,1945.5252918287936,vivado,FF,225,FF,225,None
Throughput,1945.5252918287936,vivado,DSP,0,FF,225,None
Throughput,1945.5252918287936,vivado,BRAM,1,FF,225,None
Throughput,2512.5628140703516,vivado,CLB,65,FF,244,None
Throughput,2512.5628140703516,vivado,LUT,278,FF,244,None
Throughput,2512.5628140703516,vivado,FF,244,FF,244,None
Throughput,2512.5628140703516,vivado,DSP,0,FF,244,None
Throughput,2512.5628140703516,vivado,BRAM,1,FF,244,None
Throughput,2512.5628140703516,vivado,CLB,65,FF,244,None
Throughput,2512.5628140703516,vivado,LUT,278,FF,244,None
Throughput,2512.5628140703516,vivado,FF,244,FF,244,None
Throughput,2512.5628140703516,vivado,DSP,0,FF,244,None
Throughput,2512.5628140703516,vivado,BRAM,1,FF,244,None
Throughput,2336.448598130841,vivado,CLB,39,FF,144,None
Throughput,2336.448598130841,vivado,LUT,171,FF,144,None
Throughput,2336.448598130841,vivado,FF,144,FF,144,None
Throughput,2336.448598130841,vivado,DSP,0,FF,144,None
Throughput,2336.448598130841,vivado,BRAM,1,FF,144,None
Throughput,2481.3895781637716,vivado,CLB,49,FF,165,None
Throughput,2481.3895781637716,vivado,LUT,199,FF,165,None
Throughput,2481.3895781637716,vivado,FF,165,FF,165,None
Throughput,2481.3895781637716,vivado,DSP,0,FF,165,None
Throughput,2481.3895781637716,vivado,BRAM,1,FF,165,None
Throughput,2481.3895781637716,vivado,CLB,49,FF,165,None
Throughput,2481.3895781637716,vivado,LUT,199,FF,165,None
Throughput,2481.3895781637716,vivado,FF,165,FF,165,None
Throughput,2481.3895781637716,vivado,DSP,0,FF,165,None
Throughput,2481.3895781637716,vivado,BRAM,1,FF,165,None
Throughput,2183.406113537118,vivado,CLB,69,FF,247,None
Throughput,2183.406113537118,vivado,LUT,271,FF,247,None
Throughput,2183.406113537118,vivado,FF,247,FF,247,None
Throughput,2183.406113537118,vivado,DSP,0,FF,247,None
Throughput,2183.406113537118,vivado,BRAM,1,FF,247,None
Throughput,2114.164904862579,vivado,CLB,77,FF,274,None
Throughput,2114.164904862579,vivado,LUT,337,FF,274,None
Throughput,2114.164904862579,vivado,FF,274,FF,274,None
Throughput,2114.164904862579,vivado,DSP,0,FF,274,None
Throughput,2114.164904862579,vivado,BRAM,1,FF,274,None
Throughput,2114.164904862579,vivado,CLB,77,FF,274,None
Throughput,2114.164904862579,vivado,LUT,337,FF,274,None
Throughput,2114.164904862579,vivado,FF,274,FF,274,None
Throughput,2114.164904862579,vivado,DSP,0,FF,274,None
Throughput,2114.164904862579,vivado,BRAM,1,FF,274,None
Throughput,2188.183807439825,vivado,CLB,80,FF,269,None
Throughput,2188.183807439825,vivado,LUT,333,FF,269,None
Throughput,2188.183807439825,vivado,FF,269,FF,269,None
Throughput,2188.183807439825,vivado,DSP,0,FF,269,None
Throughput,2188.183807439825,vivado,BRAM,1,FF,269,None
Throughput,2178.649237472767,vivado,CLB,93,FF,312,None
Throughput,2178.649237472767,vivado,LUT,415,FF,312,None
Throughput,2178.649237472767,vivado,FF,312,FF,312,None
Throughput,2178.649237472767,vivado,DSP,0,FF,312,None
Throughput,2178.649237472767,vivado,BRAM,1,FF,312,None
Throughput,2178.649237472767,vivado,CLB,93,FF,312,None
Throughput,2178.649237472767,vivado,LUT,415,FF,312,None
Throughput,2178.649237472767,vivado,FF,312,FF,312,None
Throughput,2178.649237472767,vivado,DSP,0,FF,312,None
Throughput,2178.649237472767,vivado,BRAM,1,FF,312,None
Throughput,2375.2969121140145,vivado,CLB,42,FF,181,None
Throughput,2375.2969121140145,vivado,LUT,197,FF,181,None
Throughput,2375.2969121140145,vivado,FF,181,FF,181,None
Throughput,2375.2969121140145,vivado,DSP,0,FF,181,None
Throughput,2375.2969121140145,vivado,BRAM,1,FF,181,None
Throughput,2421.3075060532688,vivado,CLB,61,FF,230,None
Throughput,2421.3075060532688,vivado,LUT,258,FF,230,None
Throughput,2421.3075060532688,vivado,FF,230,FF,230,None
Throughput,2421.3075060532688,vivado,DSP,0,FF,230,None
Throughput,2421.3075060532688,vivado,BRAM,1,FF,230,None
Throughput,2421.3075060532688,vivado,CLB,61,FF,230,None
Throughput,2421.3075060532688,vivado,LUT,258,FF,230,None
Throughput,2421.3075060532688,vivado,FF,230,FF,230,None
Throughput,2421.3075060532688,vivado,DSP,0,FF,230,None
Throughput,2421.3075060532688,vivado,BRAM,1,FF,230,None
Throughput,2444.9877750611245,vivado,CLB,67,FF,291,None
Throughput,2444.9877750611245,vivado,LUT,256,FF,291,None
Throughput,2444.9877750611245,vivado,FF,291,FF,291,None
Throughput,2444.9877750611245,vivado,DSP,0,FF,291,None
Throughput,2444.9877750611245,vivado,BRAM,1,FF,291,None
Throughput,1890.359168241966,vivado,CLB,111,FF,342,None
Throughput,1890.359168241966,vivado,LUT,520,FF,342,None
Throughput,1890.359168241966,vivado,FF,342,FF,342,None
Throughput,1890.359168241966,vivado,DSP,0,FF,342,None
Throughput,1890.359168241966,vivado,BRAM,1,FF,342,None
Throughput,1890.359168241966,vivado,CLB,111,FF,342,None
Throughput,1890.359168241966,vivado,LUT,520,FF,342,None
Throughput,1890.359168241966,vivado,FF,342,FF,342,None
Throughput,1890.359168241966,vivado,DSP,0,FF,342,None
Throughput,1890.359168241966,vivado,BRAM,1,FF,342,None
Throughput,1934.2359767891683,vivado,CLB,85,FF,304,None
Throughput,1934.2359767891683,vivado,LUT,342,FF,304,None
Throughput,1934.2359767891683,vivado,FF,304,FF,304,None
Throughput,1934.2359767891683,vivado,DSP,0,FF,304,None
Throughput,1934.2359767891683,vivado,BRAM,1,FF,304,None
Throughput,1834.8623853211009,vivado,CLB,119,FF,380,None
Throughput,1834.8623853211009,vivado,LUT,555,FF,380,None
Throughput,1834.8623853211009,vivado,FF,380,FF,380,None
Throughput,1834.8623853211009,vivado,DSP,0,FF,380,None
Throughput,1834.8623853211009,vivado,BRAM,1,FF,380,None
Throughput,1834.8623853211009,vivado,CLB,119,FF,380,None
Throughput,1834.8623853211009,vivado,LUT,555,FF,380,None
Throughput,1834.8623853211009,vivado,FF,380,FF,380,None
Throughput,1834.8623853211009,vivado,DSP,0,FF,380,None
Throughput,1834.8623853211009,vivado,BRAM,1,FF,380,None
Throughput,1808.3182640144666,vivado,CLB,105,FF,324,None
Throughput,1808.3182640144666,vivado,LUT,435,FF,324,None
Throughput,1808.3182640144666,vivado,FF,324,FF,324,None
Throughput,1808.3182640144666,vivado,DSP,0,FF,324,None
Throughput,1808.3182640144666,vivado,BRAM,1,FF,324,None
Throughput,1754.3859649122808,vivado,CLB,143,FF,410,None
Throughput,1754.3859649122808,vivado,LUT,675,FF,410,None
Throughput,1754.3859649122808,vivado,FF,410,FF,410,None
Throughput,1754.3859649122808,vivado,DSP,0,FF,410,None
Throughput,1754.3859649122808,vivado,BRAM,1,FF,410,None
Throughput,1754.3859649122808,vivado,CLB,143,FF,410,None
Throughput,1754.3859649122808,vivado,LUT,675,FF,410,None
Throughput,1754.3859649122808,vivado,FF,410,FF,410,None
Throughput,1754.3859649122808,vivado,DSP,0,FF,410,None
Throughput,1754.3859649122808,vivado,BRAM,1,FF,410,None
Throughput,2358.490566037736,vivado,CLB,112,FF,344,None
Throughput,2358.490566037736,vivado,LUT,467,FF,344,None
Throughput,2358.490566037736,vivado,FF,344,FF,344,None
Throughput,2358.490566037736,vivado,DSP,0,FF,344,None
Throughput,2358.490566037736,vivado,BRAM,1,FF,344,None
Throughput,1960.7843137254902,vivado,CLB,154,FF,448,None
Throughput,1960.7843137254902,vivado,LUT,753,FF,448,None
Throughput,1960.7843137254902,vivado,FF,448,FF,448,None
Throughput,1960.7843137254902,vivado,DSP,0,FF,448,None
Throughput,1960.7843137254902,vivado,BRAM,1,FF,448,None
Throughput,1960.7843137254902,vivado,CLB,154,FF,448,None
Throughput,1960.7843137254902,vivado,LUT,753,FF,448,None
Throughput,1960.7843137254902,vivado,FF,448,FF,448,None
Throughput,1960.7843137254902,vivado,DSP,0,FF,448,None
Throughput,1960.7843137254902,vivado,BRAM,1,FF,448,None
Throughput,1769.911504424779,vivado,CLB,118,FF,347,None
Throughput,1769.911504424779,vivado,LUT,538,FF,347,None
Throughput,1769.911504424779,vivado,FF,347,FF,347,None
Throughput,1769.911504424779,vivado,DSP,0,FF,347,None
Throughput,1769.911504424779,vivado,BRAM,38,FF,347,None
Throughput,2493.7655860349128,vivado,CLB,148,FF,359,None
Throughput,2493.7655860349128,vivado,LUT,688,FF,359,None
Throughput,2493.7655860349128,vivado,FF,359,FF,359,None
Throughput,2493.7655860349128,vivado,DSP,0,FF,359,None
Throughput,2493.7655860349128,vivado,BRAM,38,FF,359,None
Throughput,2493.7655860349128,vivado,CLB,148,FF,359,None
Throughput,2493.7655860349128,vivado,LUT,688,FF,359,None
Throughput,2493.7655860349128,vivado,FF,359,FF,359,None
Throughput,2493.7655860349128,vivado,DSP,0,FF,359,None
Throughput,2493.7655860349128,vivado,BRAM,38,FF,359,None
Throughput,2008.0321285140565,vivado,CLB,118,FF,367,None
Throughput,2008.0321285140565,vivado,LUT,499,FF,367,None
Throughput,2008.0321285140565,vivado,FF,367,FF,367,None
Throughput,2008.0321285140565,vivado,DSP,0,FF,367,None
Throughput,2008.0321285140565,vivado,BRAM,38,FF,367,None
Throughput,2272.7272727272725,vivado,CLB,140,FF,379,None
Throughput,2272.7272727272725,vivado,LUT,691,FF,379,None
Throughput,2272.7272727272725,vivado,FF,379,FF,379,None
Throughput,2272.7272727272725,vivado,DSP,0,FF,379,None
Throughput,2272.7272727272725,vivado,BRAM,38,FF,379,None
Throughput,2272.7272727272725,vivado,CLB,140,FF,379,None
Throughput,2272.7272727272725,vivado,LUT,691,FF,379,None
Throughput,2272.7272727272725,vivado,FF,379,FF,379,None
Throughput,2272.7272727272725,vivado,DSP,0,FF,379,None
Throughput,2272.7272727272725,vivado,BRAM,38,FF,379,None
Throughput,2197.802197802198,vivado,CLB,158,FF,437,None
Throughput,2197.802197802198,vivado,LUT,722,FF,437,None
Throughput,2197.802197802198,vivado,FF,437,FF,437,None
Throughput,2197.802197802198,vivado,DSP,0,FF,437,None
Throughput,2197.802197802198,vivado,BRAM,38,FF,437,None
Throughput,2347.417840375587,vivado,CLB,149,FF,495,None
Throughput,2347.417840375587,vivado,LUT,712,FF,495,None
Throughput,2347.417840375587,vivado,FF,495,FF,495,None
Throughput,2347.417840375587,vivado,DSP,0,FF,495,None
Throughput,2347.417840375587,vivado,BRAM,38,FF,495,None
Throughput,2347.417840375587,vivado,CLB,149,FF,495,None
Throughput,2347.417840375587,vivado,LUT,712,FF,495,None
Throughput,2347.417840375587,vivado,FF,495,FF,495,None
Throughput,2347.417840375587,vivado,DSP,0,FF,495,None
Throughput,2347.417840375587,vivado,BRAM,38,FF,495,None
Throughput,1945.5252918287936,vivado,CLB,180,FF,511,None
Throughput,1945.5252918287936,vivado,LUT,757,FF,511,None
