n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0014,1,256,1,1,1,1,0,5,2,0.0010,147
0018,1,256,1,1,1,1,0,7,0,0.0013,155
0019,1,256,1,1,1,1,0,7,1,0.0010,165
0020,1,256,1,1,1,1,0,7,2,0.0010,165
0021,1,256,1,1,1,1,0,8,0,0.0011,87
0022,1,256,1,1,1,1,0,8,1,0.0010,100
0023,1,256,1,1,1,1,0,8,2,0.0010,100
0024,1,256,1,1,1,1,0,9,0,0.0014,178
0025,1,256,1,1,1,1,0,9,1,0.0010,201
0032,1,256,1,1,1,1,0,11,2,0.0011,222
0038,1,256,1,1,1,1,0,13,2,0.0011,246
0042,1,256,1,1,1,1,0,15,0,0.0016,242
0044,1,256,1,1,1,1,0,15,2,0.0011,278
0045,1,256,1,2,1,1,0,1,0,0.0011,247
0046,1,256,1,2,1,1,0,1,1,0.0006,274
0047,1,256,1,2,1,1,0,1,2,0.0006,274
0048,1,256,1,2,1,1,0,2,0,0.0009,252
0049,1,256,1,2,1,1,0,2,1,0.0006,251
0050,1,256,1,2,1,1,0,2,2,0.0006,251
0054,1,256,1,2,1,1,0,4,0,0.0009,313
0055,1,256,1,2,1,1,0,4,1,0.0006,283
0056,1,256,1,2,1,1,0,4,2,0.0006,283
0066,1,256,1,2,1,1,0,8,0,0.0010,309
0067,1,256,1,2,1,1,0,8,1,0.0007,325
0068,1,256,1,2,1,1,0,8,2,0.0007,325
0075,1,256,1,2,1,1,0,11,0,0.0010,479
0076,1,256,1,2,1,1,0,11,1,0.0007,577
0077,1,256,1,2,1,1,0,11,2,0.0007,577
0090,1,256,1,4,1,1,0,1,0,0.0005,464
0091,1,256,1,4,1,1,0,1,1,0.0003,506
0108,1,256,1,4,1,1,0,7,0,0.0005,849
0109,1,256,1,4,1,1,0,7,1,0.0003,925
0110,1,256,1,4,1,1,0,7,2,0.0003,925
0111,1,256,1,4,1,1,0,8,0,0.0005,551
0112,1,256,1,4,1,1,0,8,1,0.0003,626
0113,1,256,1,4,1,1,0,8,2,0.0003,626
0132,1,256,1,4,1,1,0,15,0,0.0005,1161
0133,1,256,1,4,1,1,0,15,1,0.0004,1321
0134,1,256,1,4,1,1,0,15,2,0.0004,1321
0135,1,256,1,8,1,1,0,1,0,0.0003,946
0136,1,256,1,8,1,1,0,1,1,0.0002,954
0137,1,256,1,8,1,1,0,1,2,0.0002,954
0138,1,256,1,8,1,1,0,2,0,0.0002,986
0139,1,256,1,8,1,1,0,2,1,0.0002,939
0140,1,256,1,8,1,1,0,2,2,0.0002,939
0144,1,256,1,8,1,1,0,4,0,0.0002,1009
0145,1,256,1,8,1,1,0,4,1,0.0002,1010
0149,1,256,1,8,1,1,0,5,2,0.0002,1508
0153,1,256,1,8,1,1,0,7,0,0.0003,1628
0154,1,256,1,8,1,1,0,7,1,0.0002,1739
0155,1,256,1,8,1,1,0,7,2,0.0002,1739
0156,1,256,1,8,1,1,0,8,0,0.0002,1108
0157,1,256,1,8,1,1,0,8,1,0.0002,1173
0158,1,256,1,8,1,1,0,8,2,0.0002,1173
0171,1,256,1,8,1,1,0,13,0,0.0003,1897
0172,1,256,1,8,1,1,0,13,1,0.0002,2279
0173,1,256,1,8,1,1,0,13,2,0.0002,2279
0177,1,256,1,8,1,1,0,15,0,0.0003,2229
0178,1,256,1,8,1,1,0,15,1,0.0002,2472
