Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,0.13833095404092383,catapult,Area,2413.418,FF,65,catapult_asic_area
Throughput,0.13586651929678206,catapult,Area,2493.750,FF,65,catapult_asic_area
Throughput,0.13590621927245325,catapult,Area,2569.294,FF,65,catapult_asic_area
Throughput,0.13422013471138042,catapult,Area,2718.254,FF,65,catapult_asic_area
Throughput,0.13174935475753508,catapult,Area,3068.576,FF,65,catapult_asic_area
Throughput,0.12865237664681475,catapult,Area,3684.100,FF,65,catapult_asic_area
Throughput,0.10418086130902002,catapult,Area,2362.878,FF,54,catapult_asic_area
Throughput,0.10251672406578048,catapult,Area,2424.590,FF,54,catapult_asic_area
Throughput,0.10251672406578048,catapult,Area,2500.134,FF,54,catapult_asic_area
Throughput,0.1018993218396333,catapult,Area,2649.892,FF,54,catapult_asic_area
Throughput,0.1002796900836122,catapult,Area,2991.170,FF,54,catapult_asic_area
Throughput,0.09574028494606567,catapult,Area,3643.136,FF,54,catapult_asic_area
Throughput,0.12297416964458867,catapult,Area,2405.438,FF,57,catapult_asic_area
Throughput,0.12078333305955778,catapult,Area,2484.174,FF,57,catapult_asic_area
Throughput,0.12064239663359458,catapult,Area,2558.122,FF,57,catapult_asic_area
Throughput,0.11931972483916894,catapult,Area,2706.284,FF,57,catapult_asic_area
Throughput,0.11712324234614252,catapult,Area,3048.892,FF,57,catapult_asic_area
Throughput,0.11150233563942463,catapult,Area,3689.952,FF,57,catapult_asic_area
Throughput,0.13020131466871449,catapult,Area,2407.034,FF,58,catapult_asic_area
Throughput,0.12788171861776232,catapult,Area,2486.568,FF,58,catapult_asic_area
Throughput,0.1277325015733451,catapult,Area,2561.846,FF,58,catapult_asic_area
Throughput,0.12633207700293825,catapult,Area,2710.806,FF,58,catapult_asic_area
Throughput,0.1240065063733764,catapult,Area,3060.862,FF,58,catapult_asic_area
Throughput,0.12129279194538235,catapult,Area,3686.494,FF,58,catapult_asic_area
Throughput,0.13414307458878105,catapult,Area,2408.896,FF,59,catapult_asic_area
Throughput,0.13175326039912014,catapult,Area,2488.430,FF,59,catapult_asic_area
Throughput,0.1315995184510421,catapult,Area,2563.708,FF,59,catapult_asic_area
Throughput,0.13015671128351958,catapult,Area,2712.668,FF,59,catapult_asic_area
Throughput,0.12776073378610886,catapult,Area,3056.872,FF,59,catapult_asic_area
Throughput,0.12475750260431288,catapult,Area,3684.632,FF,59,catapult_asic_area
Throughput,0.1383646980737005,catapult,Area,2422.994,FF,65,catapult_asic_area
Throughput,0.13589966256113786,catapult,Area,2503.592,FF,65,catapult_asic_area
Throughput,0.1359393819108183,catapult,Area,2577.008,FF,65,catapult_asic_area
Throughput,0.13448567835114103,catapult,Area,2726.766,FF,65,catapult_asic_area
Throughput,0.13107618396857001,catapult,Area,3062.458,FF,65,catapult_asic_area
Throughput,0.12868376582231242,catapult,Area,3689.686,FF,65,catapult_asic_area
Throughput,0.10574010140475724,catapult,Area,2366.868,FF,54,catapult_asic_area
Throughput,0.10310464585410033,catapult,Area,2436.294,FF,54,catapult_asic_area
Throughput,0.10350594294897332,catapult,Area,2502.528,FF,54,catapult_asic_area
Throughput,0.10248028945352795,catapult,Area,2654.680,FF,54,catapult_asic_area
Throughput,0.09859927892375338,catapult,Area,2994.362,FF,54,catapult_asic_area
Throughput,0.09637868650885363,catapult,Area,3641.274,FF,54,catapult_asic_area
Throughput,0.12300085178089859,catapult,Area,2411.822,FF,57,catapult_asic_area
Throughput,0.12080952529950796,catapult,Area,2491.090,FF,57,catapult_asic_area
Throughput,0.12066857146029002,catapult,Area,2562.378,FF,57,catapult_asic_area
Throughput,0.11934559943535208,catapult,Area,2710.274,FF,57,catapult_asic_area
Throughput,0.1171486395997078,catapult,Area,3055.276,FF,57,catapult_asic_area
Throughput,0.11439486659899831,catapult,Area,3685.164,FF,57,catapult_asic_area
Throughput,0.13023120858077805,catapult,Area,2414.748,FF,58,catapult_asic_area
Throughput,0.12791108031012297,catapult,Area,2494.282,FF,58,catapult_asic_area
Throughput,0.12776182742341188,catapult,Area,2564.772,FF,58,catapult_asic_area
Throughput,0.1263610826061569,catapult,Area,2712.934,FF,58,catapult_asic_area
Throughput,0.12403499225587526,catapult,Area,3057.936,FF,58,catapult_asic_area
Throughput,0.12111933645982713,catapult,Area,3692.080,FF,58,catapult_asic_area
Throughput,0.13417480615765756,catapult,Area,2416.876,FF,59,catapult_asic_area
Throughput,0.13178442703425736,catapult,Area,2496.410,FF,59,catapult_asic_area
Throughput,0.13163064703702704,catapult,Area,2566.900,FF,59,catapult_asic_area
Throughput,0.13018749994304296,catapult,Area,2715.062,FF,59,catapult_asic_area
Throughput,0.12779095444508057,catapult,Area,3057.936,FF,59,catapult_asic_area
Throughput,0.124614706903094,catapult,Area,3690.750,FF,59,catapult_asic_area
Throughput,0.13831407863044717,catapult,Area,2424.856,FF,65,catapult_asic_area
Throughput,0.1358499629537151,catapult,Area,2504.922,FF,65,catapult_asic_area
Throughput,0.13588965325308958,catapult,Area,2577.806,FF,65,catapult_asic_area
Throughput,0.13443648326527935,catapult,Area,2727.564,FF,65,catapult_asic_area
Throughput,0.13173330066347477,catapult,Area,3069.374,FF,65,catapult_asic_area
Throughput,0.1286366878008169,catapult,Area,3691.016,FF,65,catapult_asic_area
Throughput,0.11067555361848744,catapult,Area,2384.424,FF,55,catapult_asic_area
Throughput,0.10870382859232455,catapult,Area,2472.204,FF,55,catapult_asic_area
Throughput,0.10857698461084107,catapult,Area,2537.374,FF,55,catapult_asic_area
Throughput,0.10738658634150007,catapult,Area,2685.536,FF,55,catapult_asic_area
Throughput,0.10540976623592371,catapult,Area,3028.942,FF,55,catapult_asic_area
Throughput,0.10293194438340009,catapult,Area,3667.874,FF,55,catapult_asic_area
Throughput,0.12126608094341132,catapult,Area,2403.842,FF,58,catapult_asic_area
Throughput,0.11920360547993278,catapult,Area,2467.682,FF,58,catapult_asic_area
Throughput,0.11916925681046345,catapult,Area,2540.566,FF,58,catapult_asic_area
Throughput,0.11831682951597886,catapult,Area,2687.132,FF,58,catapult_asic_area
Throughput,0.1158636312867027,catapult,Area,3027.080,FF,58,catapult_asic_area
Throughput,0.11319937545640574,catapult,Area,3673.460,FF,58,catapult_asic_area
Throughput,0.13018636438434347,catapult,Area,2425.920,FF,59,catapult_asic_area
Throughput,0.12786703465094346,catapult,Area,2512.636,FF,59,catapult_asic_area
Throughput,0.12771783554029753,catapult,Area,2578.870,FF,59,catapult_asic_area
Throughput,0.1263175871723985,catapult,Area,2727.032,FF,59,catapult_asic_area
Throughput,0.12185269714852502,catapult,Area,3064.852,FF,59,catapult_asic_area
Throughput,0.12127887604559066,catapult,Area,3702.454,FF,59,catapult_asic_area
Throughput,0.1341272054368731,catapult,Area,2433.634,FF,60,catapult_asic_area
Throughput,0.13173767393160418,catapult,Area,2512.636,FF,60,catapult_asic_area
Throughput,0.13158395102129541,catapult,Area,2580.200,FF,60,catapult_asic_area
Throughput,0.130141313945748,catapult,Area,2728.362,FF,60,catapult_asic_area
Throughput,0.12554127119073888,catapult,Area,3066.714,FF,60,catapult_asic_area
Throughput,0.12495008244206438,catapult,Area,3706.976,FF,60,catapult_asic_area
Throughput,0.13832251582098357,catapult,Area,2421.132,FF,65,catapult_asic_area
Throughput,0.13585824984957096,catapult,Area,2503.592,FF,65,catapult_asic_area
Throughput,0.13569971931870056,catapult,Area,2579.402,FF,65,catapult_asic_area
Throughput,0.13421195637950364,catapult,Area,2728.894,FF,65,catapult_asic_area
Throughput,0.13174131854352594,catapult,Area,3068.044,FF,65,catapult_asic_area
Throughput,0.12864453174548246,catapult,Area,3689.952,FF,65,catapult_asic_area
Throughput,0.11068095572562545,catapult,Area,2384.956,FF,55,catapult_asic_area
Throughput,0.10870913446982935,catapult,Area,2470.874,FF,55,catapult_asic_area
Throughput,0.10858227811265758,catapult,Area,2537.906,FF,55,catapult_asic_area
Throughput,0.10739182206979266,catapult,Area,2685.802,FF,55,catapult_asic_area
Throughput,0.10420494027285437,catapult,Area,3022.026,FF,55,catapult_asic_area
Throughput,0.10310804774809962,catapult,Area,3670.800,FF,55,catapult_asic_area
Throughput,0.1229675160401902,catapult,Area,2420.866,FF,58,catapult_asic_area
Throughput,0.12077679771432326,catapult,Area,2508.912,FF,58,catapult_asic_area
Throughput,0.12063586197761507,catapult,Area,2573.816,FF,58,catapult_asic_area
Throughput,0.11931324726632471,catapult,Area,2721.712,FF,58,catapult_asic_area
Throughput,0.11442715933203833,catapult,Area,3060.596,FF,58,catapult_asic_area
Throughput,0.11436386074553115,catapult,Area,3701.656,FF,58,catapult_asic_area
Throughput,0.12930946418554562,catapult,Area,2406.768,FF,59,catapult_asic_area
Throughput,0.12702114457483166,catapult,Area,2475.130,FF,59,catapult_asic_area
Throughput,0.12683715694512707,catapult,Area,2548.014,FF,59,catapult_asic_area
Throughput,0.1255280651882306,catapult,Area,2694.314,FF,59,catapult_asic_area
Throughput,0.1202531858676532,catapult,Area,3035.858,FF,59,catapult_asic_area
Throughput,0.12035235317735028,catapult,Area,3680.908,FF,59,catapult_asic_area
Throughput,0.13413513954346837,catapult,Area,2430.708,FF,60,catapult_asic_area
Throughput,0.13174546670436343,catapult,Area,2509.710,FF,60,catapult_asic_area
Throughput,0.13159174293395107,catapult,Area,2576.476,FF,60,catapult_asic_area
Throughput,0.1301490036898544,catapult,Area,2724.638,FF,60,catapult_asic_area
Throughput,0.12575870225067834,catapult,Area,3064.586,FF,60,catapult_asic_area
Throughput,0.12475012549862625,catapult,Area,3697.134,FF,60,catapult_asic_area
Throughput,0.1383267252351243,catapult,Area,2419.270,FF,65,catapult_asic_area
Throughput,0.13586238444734375,catapult,Area,2501.730,FF,65,catapult_asic_area
Throughput,0.1357038442727821,catapult,Area,2577.806,FF,65,catapult_asic_area
Throughput,0.13421604542085722,catapult,Area,2727.298,FF,65,catapult_asic_area
Throughput,0.12929204331593752,catapult,Area,3049.690,FF,65,catapult_asic_area
Throughput,0.1286484540765543,catapult,Area,3689.952,FF,65,catapult_asic_area
Throughput,0.11068365085152253,catapult,Area,2390.276,FF,55,catapult_asic_area
Throughput,0.10871178169369695,catapult,Area,2469.810,FF,55,catapult_asic_area
Throughput,0.10858493095247118,catapult,Area,2536.576,FF,55,catapult_asic_area
Throughput,0.10739444012539803,catapult,Area,2684.472,FF,55,catapult_asic_area
Throughput,0.1049123860926882,catapult,Area,3025.750,FF,55,catapult_asic_area
Throughput,0.10293947796920173,catapult,Area,3669.204,FF,55,catapult_asic_area
Throughput,0.12297084275238751,catapult,Area,2417.408,FF,58,catapult_asic_area
Throughput,0.1207800652985345,catapult,Area,2504.390,FF,58,catapult_asic_area
Throughput,0.12063913649401437,catapult,Area,2570.358,FF,58,catapult_asic_area
Throughput,0.11931649308304391,catapult,Area,2718.254,FF,58,catapult_asic_area
Throughput,0.11712005989051383,catapult,Area,3061.394,FF,58,catapult_asic_area
Throughput,0.1145570508432831,catapult,Area,3694.208,FF,58,catapult_asic_area
Throughput,0.13019756830001686,catapult,Area,2418.738,FF,59,catapult_asic_area
Throughput,0.1278780391334933,catapult,Area,2505.188,FF,59,catapult_asic_area
Throughput,0.12772883067065555,catapult,Area,2571.688,FF,59,catapult_asic_area
Throughput,0.12632845423366443,catapult,Area,2719.850,FF,59,catapult_asic_area
Throughput,0.12389768232039546,catapult,Area,3059.798,FF,59,catapult_asic_area
Throughput,0.12108806832079426,catapult,Area,3694.474,FF,59,catapult_asic_area
Throughput,0.13322794115002093,catapult,Area,2417.142,FF,60,catapult_asic_area
Throughput,0.13087026764932788,catapult,Area,2480.450,FF,60,catapult_asic_area
Throughput,0.1306807066533076,catapult,Area,2553.866,FF,60,catapult_asic_area
Throughput,0.12944326967485922,catapult,Area,2703.624,FF,60,catapult_asic_area
Throughput,0.124788327798971,catapult,Area,3043.572,FF,60,catapult_asic_area
Throughput,0.1239994023228808,catapult,Area,3689.952,FF,60,catapult_asic_area
Throughput,0.13156305593613823,catapult,Area,2409.162,FF,64,catapult_asic_area
Throughput,0.12936789681306068,catapult,Area,2472.204,FF,64,catapult_asic_area
Throughput,0.12936789681306068,catapult,Area,2546.418,FF,64,catapult_asic_area
Throughput,0.12759379036748542,catapult,Area,2768.262,FF,74,catapult_asic_area
Throughput,0.12277829603860739,catapult,Area,3261.958,FF,96,catapult_asic_area
Throughput,0.1206136872653536,catapult,Area,4136.300,FF,128,catapult_asic_area
Throughput,0.11689149967352204,catapult,Area,2348.248,FF,54,catapult_asic_area
Throughput,0.11497419289266331,catapult,Area,2410.492,FF,54,catapult_asic_area
Throughput,0.11497419289266331,catapult,Area,2487.366,FF,54,catapult_asic_area
Throughput,0.11342900767653495,catapult,Area,2709.476,FF,64,catapult_asic_area
Throughput,0.10914809475451721,catapult,Area,3201.842,FF,86,catapult_asic_area
Throughput,0.10917690873443654,catapult,Area,4069.800,FF,118,catapult_asic_area
Throughput,0.13020131466871449,catapult,Area,2395.862,FF,57,catapult_asic_area
Throughput,0.12788171861776232,catapult,Area,2476.194,FF,57,catapult_asic_area
Throughput,0.12791908145912692,catapult,Area,2551.206,FF,57,catapult_asic_area
Throughput,0.12460643058898468,catapult,Area,2765.070,FF,67,catapult_asic_area
Throughput,0.12129279194538235,catapult,Area,3247.860,FF,89,catapult_asic_area
Throughput,0.11710804493623057,catapult,Area,4105.710,FF,121,catapult_asic_area
Throughput,0.13414307458878105,catapult,Area,2400.650,FF,58,catapult_asic_area
Throughput,0.13175326039912014,catapult,Area,2480.982,FF,58,catapult_asic_area
Throughput,0.1317917390038574,catapult,Area,2555.728,FF,58,catapult_asic_area
Throughput,0.12852510628704977,catapult,Area,2772.518,FF,68,catapult_asic_area
