n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,knob_I_B,knob_DATA_BLOCK,obj1,obj2
1,1024,1,1,1,1,1,0,1024,0.000241,24
2,1024,1,1,1,1,1,0,512,0.000229,51
3,1024,1,1,1,1,1,0,256,0.000254,84
4,1024,1,1,1,1,1,0,128,0.000327,132
5,1024,1,1,1,1,2,0,1024,0.000241,24
6,1024,1,1,1,1,2,0,512,0.000229,51
7,1024,1,1,1,1,2,0,256,0.000254,84
8,1024,1,1,1,1,2,0,128,0.000327,132
9,1024,1,1,1,1,4,0,1024,0.000241,24
10,1024,1,1,1,1,4,0,512,0.000229,51
11,1024,1,1,1,1,4,0,256,0.000254,84
12,1024,1,1,1,1,4,0,128,0.000327,132
13,1024,1,1,1,1,8,0,1024,0.000241,24
14,1024,1,1,1,1,8,0,512,0.000229,51
15,1024,1,1,1,1,8,0,256,0.000254,84
16,1024,1,1,1,1,8,0,128,0.000327,132
17,1024,1,1,1,1,16,0,1024,0.000241,24
18,1024,1,1,1,1,16,0,512,0.000229,51
19,1024,1,1,1,1,16,0,256,0.000254,84
20,1024,1,1,1,1,16,0,128,0.000327,132
21,1024,1,1,1,2,1,0,1024,0.000125,26
22,1024,1,1,1,2,1,0,512,0.000112,48
23,1024,1,1,1,2,1,0,256,0.000176,68
24,1024,1,1,1,2,1,0,128,0.000157,140
25,1024,1,1,1,2,2,0,1024,0.000125,26
26,1024,1,1,1,2,2,0,512,0.000112,48
27,1024,1,1,1,2,2,0,256,0.000176,68
28,1024,1,1,1,2,2,0,128,0.000157,140
29,1024,1,1,1,2,4,0,1024,0.000125,26
30,1024,1,1,1,2,4,0,512,0.000112,48
31,1024,1,1,1,2,4,0,256,0.000176,68
32,1024,1,1,1,2,4,0,128,0.000157,140
33,1024,1,1,1,2,8,0,1024,0.000125,26
34,1024,1,1,1,2,8,0,512,0.000112,48
35,1024,1,1,1,2,8,0,256,0.000176,68
36,1024,1,1,1,2,8,0,128,0.000157,140
37,1024,1,1,1,2,16,0,1024,0.000125,26
38,1024,1,1,1,2,16,0,512,0.000112,48
39,1024,1,1,1,2,16,0,256,0.000176,68
40,1024,1,1,1,2,16,0,128,0.000157,140
41,1024,1,1,1,4,1,0,1024,0.000122,34
42,1024,1,1,1,4,1,0,512,0.000113,50
43,1024,1,1,1,4,1,0,256,0.000126,101
44,1024,1,1,1,4,1,0,128,0.000222,173
45,1024,1,1,1,4,2,0,1024,0.000122,34
46,1024,1,1,1,4,2,0,512,0.000113,50
47,1024,1,1,1,4,2,0,256,0.000126,101
48,1024,1,1,1,4,2,0,128,0.000222,173
49,1024,1,1,1,4,4,0,1024,0.000122,34
50,1024,1,1,1,4,4,0,512,0.000113,50
51,1024,1,1,1,4,4,0,256,0.000126,101
52,1024,1,1,1,4,4,0,128,0.000222,173
53,1024,1,1,1,4,8,0,1024,0.000122,34
