Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,0.0646929452860709,catapult,CLB,33,FF,50,catapult_fpga_area
Throughput,0.0646929452860709,catapult,LUT,138,FF,50,catapult_fpga_area
Throughput,0.0646929452860709,catapult,FF,50,FF,50,catapult_fpga_area
Throughput,0.0646929452860709,catapult,DSP,1,FF,50,catapult_fpga_area
Throughput,0.0646929452860709,catapult,BRAM,0,FF,50,catapult_fpga_area
Throughput,0.11525008750362893,catapult,CLB,59,FF,52,catapult_fpga_area
Throughput,0.11525008750362893,catapult,LUT,181,FF,52,catapult_fpga_area
Throughput,0.11525008750362893,catapult,FF,52,FF,52,catapult_fpga_area
Throughput,0.11525008750362893,catapult,DSP,1,FF,52,catapult_fpga_area
Throughput,0.11525008750362893,catapult,BRAM,0,FF,52,catapult_fpga_area
Throughput,0.1254096191686095,catapult,CLB,112,FF,66,catapult_fpga_area
Throughput,0.1254096191686095,catapult,LUT,439,FF,66,catapult_fpga_area
Throughput,0.1254096191686095,catapult,FF,66,FF,66,catapult_fpga_area
Throughput,0.1254096191686095,catapult,DSP,1,FF,66,catapult_fpga_area
Throughput,0.1254096191686095,catapult,BRAM,0,FF,66,catapult_fpga_area
Throughput,0.05232623881977959,catapult,CLB,35,FF,44,catapult_fpga_area
Throughput,0.05232623881977959,catapult,LUT,127,FF,44,catapult_fpga_area
Throughput,0.05232623881977959,catapult,FF,44,FF,44,catapult_fpga_area
Throughput,0.05232623881977959,catapult,DSP,1,FF,44,catapult_fpga_area
Throughput,0.05232623881977959,catapult,BRAM,0,FF,44,catapult_fpga_area
Throughput,0.04755314122973849,catapult,CLB,42,FF,46,catapult_fpga_area
Throughput,0.04755314122973849,catapult,LUT,198,FF,46,catapult_fpga_area
Throughput,0.04755314122973849,catapult,FF,46,FF,46,catapult_fpga_area
Throughput,0.04755314122973849,catapult,DSP,1,FF,46,catapult_fpga_area
Throughput,0.04755314122973849,catapult,BRAM,0,FF,46,catapult_fpga_area
Throughput,0.03724707467062598,catapult,CLB,105,FF,52,catapult_fpga_area
Throughput,0.03724707467062598,catapult,LUT,316,FF,52,catapult_fpga_area
Throughput,0.03724707467062598,catapult,FF,52,FF,52,catapult_fpga_area
Throughput,0.03724707467062598,catapult,DSP,1,FF,52,catapult_fpga_area
Throughput,0.03724707467062598,catapult,BRAM,0,FF,52,catapult_fpga_area
Throughput,0.05765257841356016,catapult,CLB,30,FF,47,catapult_fpga_area
Throughput,0.05765257841356016,catapult,LUT,126,FF,47,catapult_fpga_area
Throughput,0.05765257841356016,catapult,FF,47,FF,47,catapult_fpga_area
Throughput,0.05765257841356016,catapult,DSP,1,FF,47,catapult_fpga_area
Throughput,0.05765257841356016,catapult,BRAM,0,FF,47,catapult_fpga_area
Throughput,0.1331640551863804,catapult,CLB,50,FF,49,catapult_fpga_area
Throughput,0.1331640551863804,catapult,LUT,196,FF,49,catapult_fpga_area
Throughput,0.1331640551863804,catapult,FF,49,FF,49,catapult_fpga_area
Throughput,0.1331640551863804,catapult,DSP,1,FF,49,catapult_fpga_area
Throughput,0.1331640551863804,catapult,BRAM,0,FF,49,catapult_fpga_area
Throughput,0.08755434279171224,catapult,CLB,104,FF,56,catapult_fpga_area
Throughput,0.08755434279171224,catapult,LUT,300,FF,56,catapult_fpga_area
Throughput,0.08755434279171224,catapult,FF,56,FF,56,catapult_fpga_area
Throughput,0.08755434279171224,catapult,DSP,1,FF,56,catapult_fpga_area
Throughput,0.08755434279171224,catapult,BRAM,0,FF,56,catapult_fpga_area
Throughput,0.05966815317936682,catapult,CLB,30,FF,48,catapult_fpga_area
Throughput,0.05966815317936682,catapult,LUT,124,FF,48,catapult_fpga_area
Throughput,0.05966815317936682,catapult,FF,48,FF,48,catapult_fpga_area
Throughput,0.05966815317936682,catapult,DSP,1,FF,48,catapult_fpga_area
Throughput,0.05966815317936682,catapult,BRAM,0,FF,48,catapult_fpga_area
Throughput,0.14225708216214264,catapult,CLB,44,FF,50,catapult_fpga_area
Throughput,0.14225708216214264,catapult,LUT,196,FF,50,catapult_fpga_area
Throughput,0.14225708216214264,catapult,FF,50,FF,50,catapult_fpga_area
Throughput,0.14225708216214264,catapult,DSP,1,FF,50,catapult_fpga_area
Throughput,0.14225708216214264,catapult,BRAM,0,FF,50,catapult_fpga_area
Throughput,0.08744320017628548,catapult,CLB,104,FF,57,catapult_fpga_area
Throughput,0.08744320017628548,catapult,LUT,300,FF,57,catapult_fpga_area
Throughput,0.08744320017628548,catapult,FF,57,FF,57,catapult_fpga_area
Throughput,0.08744320017628548,catapult,DSP,1,FF,57,catapult_fpga_area
Throughput,0.08744320017628548,catapult,BRAM,0,FF,57,catapult_fpga_area
Throughput,0.05979427182834739,catapult,CLB,32,FF,49,catapult_fpga_area
Throughput,0.05979427182834739,catapult,LUT,123,FF,49,catapult_fpga_area
Throughput,0.05979427182834739,catapult,FF,49,FF,49,catapult_fpga_area
Throughput,0.05979427182834739,catapult,DSP,1,FF,49,catapult_fpga_area
Throughput,0.05979427182834739,catapult,BRAM,0,FF,49,catapult_fpga_area
Throughput,0.1293929722794966,catapult,CLB,52,FF,51,catapult_fpga_area
Throughput,0.1293929722794966,catapult,LUT,197,FF,51,catapult_fpga_area
Throughput,0.1293929722794966,catapult,FF,51,FF,51,catapult_fpga_area
Throughput,0.1293929722794966,catapult,DSP,1,FF,51,catapult_fpga_area
Throughput,0.1293929722794966,catapult,BRAM,0,FF,51,catapult_fpga_area
Throughput,0.0911535232249606,catapult,CLB,112,FF,58,catapult_fpga_area
Throughput,0.0911535232249606,catapult,LUT,301,FF,58,catapult_fpga_area
Throughput,0.0911535232249606,catapult,FF,58,FF,58,catapult_fpga_area
Throughput,0.0911535232249606,catapult,DSP,1,FF,58,catapult_fpga_area
Throughput,0.0911535232249606,catapult,BRAM,0,FF,58,catapult_fpga_area
Throughput,0.11687581593929004,catapult,CLB,27,FF,50,catapult_fpga_area
Throughput,0.11687581593929004,catapult,LUT,139,FF,50,catapult_fpga_area
Throughput,0.11687581593929004,catapult,FF,50,FF,50,catapult_fpga_area
Throughput,0.11687581593929004,catapult,DSP,1,FF,50,catapult_fpga_area
Throughput,0.11687581593929004,catapult,BRAM,0,FF,50,catapult_fpga_area
Throughput,0.13569047591263378,catapult,CLB,58,FF,52,catapult_fpga_area
Throughput,0.13569047591263378,catapult,LUT,182,FF,52,catapult_fpga_area
Throughput,0.13569047591263378,catapult,FF,52,FF,52,catapult_fpga_area
Throughput,0.13569047591263378,catapult,DSP,1,FF,52,catapult_fpga_area
Throughput,0.13569047591263378,catapult,BRAM,0,FF,52,catapult_fpga_area
Throughput,0.15947991685355056,catapult,CLB,120,FF,66,catapult_fpga_area
Throughput,0.15947991685355056,catapult,LUT,441,FF,66,catapult_fpga_area
Throughput,0.15947991685355056,catapult,FF,66,FF,66,catapult_fpga_area
Throughput,0.15947991685355056,catapult,DSP,1,FF,66,catapult_fpga_area
Throughput,0.15947991685355056,catapult,BRAM,0,FF,66,catapult_fpga_area
Throughput,0.10800434220657408,catapult,CLB,39,FF,44,catapult_fpga_area
Throughput,0.10800434220657408,catapult,LUT,135,FF,44,catapult_fpga_area
Throughput,0.10800434220657408,catapult,FF,44,FF,44,catapult_fpga_area
Throughput,0.10800434220657408,catapult,DSP,1,FF,44,catapult_fpga_area
Throughput,0.10800434220657408,catapult,BRAM,0,FF,44,catapult_fpga_area
Throughput,0.10535129811762516,catapult,CLB,53,FF,46,catapult_fpga_area
Throughput,0.10535129811762516,catapult,LUT,185,FF,46,catapult_fpga_area
Throughput,0.10535129811762516,catapult,FF,46,FF,46,catapult_fpga_area
Throughput,0.10535129811762516,catapult,DSP,1,FF,46,catapult_fpga_area
Throughput,0.10535129811762516,catapult,BRAM,0,FF,46,catapult_fpga_area
Throughput,0.07331311650832499,catapult,CLB,111,FF,53,catapult_fpga_area
Throughput,0.07331311650832499,catapult,LUT,286,FF,53,catapult_fpga_area
Throughput,0.07331311650832499,catapult,FF,53,FF,53,catapult_fpga_area
Throughput,0.07331311650832499,catapult,DSP,1,FF,53,catapult_fpga_area
Throughput,0.07331311650832499,catapult,BRAM,0,FF,53,catapult_fpga_area
Throughput,0.13733605679889702,catapult,CLB,42,FF,47,catapult_fpga_area
Throughput,0.13733605679889702,catapult,LUT,128,FF,47,catapult_fpga_area
Throughput,0.13733605679889702,catapult,FF,47,FF,47,catapult_fpga_area
Throughput,0.13733605679889702,catapult,DSP,1,FF,47,catapult_fpga_area
Throughput,0.13733605679889702,catapult,BRAM,0,FF,47,catapult_fpga_area
Throughput,0.1646611216485081,catapult,CLB,56,FF,49,catapult_fpga_area
Throughput,0.1646611216485081,catapult,LUT,195,FF,49,catapult_fpga_area
Throughput,0.1646611216485081,catapult,FF,49,FF,49,catapult_fpga_area
Throughput,0.1646611216485081,catapult,DSP,1,FF,49,catapult_fpga_area
Throughput,0.1646611216485081,catapult,BRAM,0,FF,49,catapult_fpga_area
Throughput,0.12263199157174848,catapult,CLB,97,FF,56,catapult_fpga_area
Throughput,0.12263199157174848,catapult,LUT,311,FF,56,catapult_fpga_area
Throughput,0.12263199157174848,catapult,FF,56,FF,56,catapult_fpga_area
Throughput,0.12263199157174848,catapult,DSP,1,FF,56,catapult_fpga_area
Throughput,0.12263199157174848,catapult,BRAM,0,FF,56,catapult_fpga_area
Throughput,0.17283261420563106,catapult,CLB,39,FF,48,catapult_fpga_area
Throughput,0.17283261420563106,catapult,LUT,130,FF,48,catapult_fpga_area
Throughput,0.17283261420563106,catapult,FF,48,FF,48,catapult_fpga_area
Throughput,0.17283261420563106,catapult,DSP,1,FF,48,catapult_fpga_area
Throughput,0.17283261420563106,catapult,BRAM,0,FF,48,catapult_fpga_area
Throughput,0.15039928000856675,catapult,CLB,48,FF,50,catapult_fpga_area
Throughput,0.15039928000856675,catapult,LUT,195,FF,50,catapult_fpga_area
Throughput,0.15039928000856675,catapult,FF,50,FF,50,catapult_fpga_area
Throughput,0.15039928000856675,catapult,DSP,1,FF,50,catapult_fpga_area
Throughput,0.15039928000856675,catapult,BRAM,0,FF,50,catapult_fpga_area
Throughput,0.09886804981090992,catapult,CLB,94,FF,57,catapult_fpga_area
Throughput,0.09886804981090992,catapult,LUT,311,FF,57,catapult_fpga_area
Throughput,0.09886804981090992,catapult,FF,57,FF,57,catapult_fpga_area
Throughput,0.09886804981090992,catapult,DSP,1,FF,57,catapult_fpga_area
Throughput,0.09886804981090992,catapult,BRAM,0,FF,57,catapult_fpga_area
Throughput,0.16310417251463086,catapult,CLB,45,FF,49,catapult_fpga_area
Throughput,0.16310417251463086,catapult,LUT,131,FF,49,catapult_fpga_area
Throughput,0.16310417251463086,catapult,FF,49,FF,49,catapult_fpga_area
Throughput,0.16310417251463086,catapult,DSP,1,FF,49,catapult_fpga_area
Throughput,0.16310417251463086,catapult,BRAM,0,FF,49,catapult_fpga_area
Throughput,0.14120031849143838,catapult,CLB,49,FF,51,catapult_fpga_area
Throughput,0.14120031849143838,catapult,LUT,196,FF,51,catapult_fpga_area
Throughput,0.14120031849143838,catapult,FF,51,FF,51,catapult_fpga_area
Throughput,0.14120031849143838,catapult,DSP,1,FF,51,catapult_fpga_area
Throughput,0.14120031849143838,catapult,BRAM,0,FF,51,catapult_fpga_area
Throughput,0.130357395657378,catapult,CLB,98,FF,58,catapult_fpga_area
Throughput,0.130357395657378,catapult,LUT,312,FF,58,catapult_fpga_area
Throughput,0.130357395657378,catapult,FF,58,FF,58,catapult_fpga_area
Throughput,0.130357395657378,catapult,DSP,1,FF,58,catapult_fpga_area
Throughput,0.130357395657378,catapult,BRAM,0,FF,58,catapult_fpga_area
Throughput,0.11941192492858868,catapult,CLB,34,FF,55,catapult_fpga_area
Throughput,0.11941192492858868,catapult,LUT,139,FF,55,catapult_fpga_area
Throughput,0.11941192492858868,catapult,FF,55,FF,55,catapult_fpga_area
Throughput,0.11941192492858868,catapult,DSP,1,FF,55,catapult_fpga_area
Throughput,0.11941192492858868,catapult,BRAM,0,FF,55,catapult_fpga_area
Throughput,0.14669478316677365,catapult,CLB,54,FF,57,catapult_fpga_area
Throughput,0.14669478316677365,catapult,LUT,201,FF,57,catapult_fpga_area
Throughput,0.14669478316677365,catapult,FF,57,FF,57,catapult_fpga_area
Throughput,0.14669478316677365,catapult,DSP,1,FF,57,catapult_fpga_area
Throughput,0.14669478316677365,catapult,BRAM,0,FF,57,catapult_fpga_area
Throughput,0.1381348643833342,catapult,CLB,96,FF,64,catapult_fpga_area
Throughput,0.1381348643833342,catapult,LUT,317,FF,64,catapult_fpga_area
Throughput,0.1381348643833342,catapult,FF,64,FF,64,catapult_fpga_area
Throughput,0.1381348643833342,catapult,DSP,1,FF,64,catapult_fpga_area
Throughput,0.1381348643833342,catapult,BRAM,0,FF,64,catapult_fpga_area
Throughput,0.12534232555889202,catapult,CLB,35,FF,45,catapult_fpga_area
Throughput,0.12534232555889202,catapult,LUT,141,FF,45,catapult_fpga_area
Throughput,0.12534232555889202,catapult,FF,45,FF,45,catapult_fpga_area
Throughput,0.12534232555889202,catapult,DSP,1,FF,45,catapult_fpga_area
Throughput,0.12534232555889202,catapult,BRAM,0,FF,45,catapult_fpga_area
Throughput,0.1252832654632123,catapult,CLB,61,FF,47,catapult_fpga_area
Throughput,0.1252832654632123,catapult,LUT,186,FF,47,catapult_fpga_area
Throughput,0.1252832654632123,catapult,FF,47,FF,47,catapult_fpga_area
Throughput,0.1252832654632123,catapult,DSP,1,FF,47,catapult_fpga_area
Throughput,0.1252832654632123,catapult,BRAM,0,FF,47,catapult_fpga_area
Throughput,0.11483848770573603,catapult,CLB,108,FF,54,catapult_fpga_area
Throughput,0.11483848770573603,catapult,LUT,303,FF,54,catapult_fpga_area
Throughput,0.11483848770573603,catapult,FF,54,FF,54,catapult_fpga_area
Throughput,0.11483848770573603,catapult,DSP,1,FF,54,catapult_fpga_area
Throughput,0.11483848770573603,catapult,BRAM,0,FF,54,catapult_fpga_area
Throughput,0.08991244416100046,catapult,CLB,43,FF,48,catapult_fpga_area
Throughput,0.08991244416100046,catapult,LUT,142,FF,48,catapult_fpga_area
Throughput,0.08991244416100046,catapult,FF,48,FF,48,catapult_fpga_area
Throughput,0.08991244416100046,catapult,DSP,1,FF,48,catapult_fpga_area
Throughput,0.08991244416100046,catapult,BRAM,0,FF,48,catapult_fpga_area
Throughput,0.1292466073088698,catapult,CLB,54,FF,50,catapult_fpga_area
Throughput,0.1292466073088698,catapult,LUT,192,FF,50,catapult_fpga_area
Throughput,0.1292466073088698,catapult,FF,50,FF,50,catapult_fpga_area
