n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2,lut,ff,dsp,bram
0,1024,1,1,1,1,1,0,1048576,15.457636,33,138,50,1,0
1,1024,1,1,1,1,1,0,524288,8.676783,59,181,52,1,0
2,1024,1,1,1,1,1,0,262144,7.97387,112,439,66,1,0
6,1024,1,1,1,1,2,0,1048576,19.110871,35,127,44,1,0
7,1024,1,1,1,1,2,0,524288,21.029105,42,198,46,1,0
8,1024,1,1,1,1,2,0,262144,26.847746,105,316,52,1,0
12,1024,1,1,1,1,4,0,1048576,17.345278,30,126,47,1,0
13,1024,1,1,1,1,4,0,524288,7.509534,50,196,49,1,0
14,1024,1,1,1,1,4,0,262144,11.421478,104,300,56,1,0
18,1024,1,1,1,1,8,0,1048576,16.759359,30,124,48,1,0
19,1024,1,1,1,1,8,0,524288,7.029527,44,196,50,1,0
20,1024,1,1,1,1,8,0,262144,11.435995,104,300,57,1,0
24,1024,1,1,1,1,16,0,1048576,16.72401,32,123,49,1,0
25,1024,1,1,1,1,16,0,524288,7.728395,52,197,51,1,0
26,1024,1,1,1,1,16,0,262144,10.970503,112,301,58,1,0
30,1024,1,1,1,2,1,0,1048576,8.55609,27,139,50,1,0
31,1024,1,1,1,2,1,0,524288,7.369714,58,182,52,1,0
32,1024,1,1,1,2,1,0,262144,6.270382,120,441,66,1,0
36,1024,1,1,1,2,2,0,1048576,9.258887,39,135,44,1,0
37,1024,1,1,1,2,2,0,524288,9.492052,53,185,46,1,0
38,1024,1,1,1,2,2,0,262144,13.640124,111,286,53,1,0
42,1024,1,1,1,2,4,0,1048576,7.281409,42,128,47,1,0
43,1024,1,1,1,2,4,0,524288,6.073079,56,195,49,1,0
44,1024,1,1,1,2,4,0,262144,8.154479,97,311,56,1,0
48,1024,1,1,1,2,8,0,1048576,5.785945,39,130,48,1,0
49,1024,1,1,1,2,8,0,524288,6.648968,48,195,50,1,0
50,1024,1,1,1,2,8,0,262144,10.114491,94,311,57,1,0
54,1024,1,1,1,2,16,0,1048576,6.131051,45,131,49,1,0
55,1024,1,1,1,2,16,0,524288,7.082137,49,196,51,1,0
56,1024,1,1,1,2,16,0,262144,7.671218,98,312,58,1,0
60,1024,1,1,1,4,1,0,1048576,8.374373,34,139,55,1,0
61,1024,1,1,1,4,1,0,524288,6.816875,54,201,57,1,0
62,1024,1,1,1,4,1,0,262144,7.239302,96,317,64,1,0
66,1024,1,1,1,4,2,0,1048576,7.978151,35,141,45,1,0
67,1024,1,1,1,4,2,0,524288,7.981912,61,186,47,1,0
68,1024,1,1,1,4,2,0,262144,8.707882,108,303,54,1,0
72,1024,1,1,1,4,4,0,1048576,11.121931,43,142,48,1,0
73,1024,1,1,1,4,4,0,524288,7.737147,54,192,50,1,0
74,1024,1,1,1,4,4,0,262144,7.286542,103,307,57,1,0
78,1024,1,1,1,4,8,0,1048576,8.900955,42,143,49,1,0
79,1024,1,1,1,4,8,0,524288,8.581864,47,195,51,1,0
80,1024,1,1,1,4,8,0,262144,7.910094,102,313,58,1,0
84,1024,1,1,1,4,16,0,1048576,6.718446,39,149,50,1,0
85,1024,1,1,1,4,16,0,524288,7.893598,53,196,52,1,0
86,1024,1,1,1,4,16,0,262144,6.560442,81,314,59,1,0
90,1024,1,1,1,8,1,0,1048576,6.41676,33,139,55,1,0
91,1024,1,1,1,8,1,0,524288,7.406682,50,200,57,1,0
92,1024,1,1,1,8,1,0,262144,5.720267,98,316,64,1,0
96,1024,1,1,1,8,2,0,1048576,7.808611,39,141,45,1,0
97,1024,1,1,1,8,2,0,524288,7.473849,53,191,47,1,0
98,1024,1,1,1,8,2,0,262144,7.917691,99,305,54,1,0
102,1024,1,1,1,8,4,0,1048576,7.066213,44,147,48,1,0
103,1024,1,1,1,8,4,0,524288,9.5951,54,194,50,1,0
104,1024,1,1,1,8,4,0,262144,7.935955,101,312,57,1,0
108,1024,1,1,1,8,8,0,1048576,10.213868,41,143,49,1,0
109,1024,1,1,1,8,8,0,524288,8.900608,54,193,51,1,0
110,1024,1,1,1,8,8,0,262144,7.274988,99,306,58,1,0
114,1024,1,1,1,8,16,0,1048576,7.063798,41,148,50,1,0
115,1024,1,1,1,8,16,0,524288,7.468666,46,195,52,1,0
116,1024,1,1,1,8,16,0,262144,8.02824,96,312,59,1,0
120,1024,1,1,1,16,1,0,1048576,9.873225,39,146,55,1,0
121,1024,1,1,1,16,1,0,524288,10.514888,63,207,57,1,0
122,1024,1,1,1,16,1,0,262144,9.289602,99,327,65,1,0
126,1024,1,1,1,16,2,0,1048576,8.188367,31,148,48,1,0
127,1024,1,1,1,16,2,0,524288,8.045437,55,201,47,1,0
128,1024,1,1,1,16,2,0,262144,8.086811,91,306,53,1,0
132,1024,1,1,1,16,4,0,1048576,7.24771,42,163,48,1,0
133,1024,1,1,1,16,4,0,524288,8.351457,52,203,50,1,0
134,1024,1,1,1,16,4,0,262144,8.753138,98,318,56,1,0
138,1024,1,1,1,16,8,0,1048576,7.244618,44,152,49,1,0
139,1024,1,1,1,16,8,0,524288,10.180082,51,201,51,1,0
140,1024,1,1,1,16,8,0,262144,9.763609,104,306,57,1,0
144,1024,1,1,1,16,16,0,1048576,8.120243,39,151,51,1,0
145,1024,1,1,1,16,16,0,524288,8.037954,53,198,52,1,0
146,1024,1,1,1,16,16,0,262144,8.215698,93,303,58,1,0
150,1024,1,1,2,1,1,0,1048576,9.73805,31,134,53,1,0
151,1024,1,1,2,1,1,0,524288,4.221685,51,180,55,1,0
152,1024,1,1,2,1,1,0,262144,5.135703,98,285,64,1,0
156,1024,1,1,2,1,2,0,1048576,11.391376,27,136,44,1,0
157,1024,1,1,2,1,2,0,524288,14.347474,55,199,46,1,0
158,1024,1,1,2,1,2,0,262144,18.672761,105,327,54,1,0
162,1024,1,1,2,1,4,0,1048576,11.821799,29,136,47,1,0
163,1024,1,1,2,1,4,0,524288,5.314554,46,195,49,1,0
164,1024,1,1,2,1,4,0,262144,6.242202,94,316,59,1,0
168,1024,1,1,2,1,8,0,1048576,9.605024,36,145,48,1,0
169,1024,1,1,2,1,8,0,524288,4.348985,52,195,50,1,0
170,1024,1,1,2,1,8,0,262144,5.076403,94,316,60,1,0
174,1024,1,1,2,1,16,0,1048576,4.386214,29,135,53,1,0
175,1024,1,1,2,1,16,0,524288,4.147553,49,180,55,1,0
176,1024,1,1,2,1,16,0,262144,3.760534,97,299,64,1,0
180,1024,1,1,2,2,1,0,1048576,6.222905,38,142,44,1,0
181,1024,1,1,2,2,1,0,524288,4.815314,49,185,46,1,0
182,1024,1,1,2,2,1,0,262144,4.631505,93,302,55,1,0
186,1024,1,1,2,2,2,0,1048576,5.815886,43,125,47,1,0
187,1024,1,1,2,2,2,0,524288,5.923249,44,196,49,1,0
188,1024,1,1,2,2,2,0,262144,4.685146,95,317,59,1,0
192,1024,1,1,2,2,4,0,1048576,4.733752,39,130,48,1,0
193,1024,1,1,2,2,4,0,524288,4.500944,47,196,50,1,0
194,1024,1,1,2,2,4,0,262144,4.962125,102,317,60,1,0
198,1024,1,1,2,2,8,0,1048576,6.203171,33,141,54,1,0
199,1024,1,1,2,2,8,0,524288,5.699863,57,199,56,1,0
200,1024,1,1,2,2,8,0,262144,4.802941,89,314,66,1,0
204,1024,1,1,2,2,16,0,1048576,4.78059,35,139,45,1,0
205,1024,1,1,2,2,16,0,524288,4.272531,54,187,47,1,0
206,1024,1,1,2,2,16,0,262144,4.192694,88,304,56,1,0
210,1024,1,1,2,4,1,0,1048576,4.796444,34,139,48,1,0
211,1024,1,1,2,4,1,0,524288,5.465981,56,190,50,1,0
212,1024,1,1,2,4,1,0,262144,4.327997,95,293,59,1,0
216,1024,1,1,2,4,2,0,1048576,4.203111,35,142,49,1,0
217,1024,1,1,2,4,2,0,524288,5.562745,54,196,51,1,0
218,1024,1,1,2,4,2,0,262144,5.378651,98,312,61,1,0
222,1024,1,1,2,4,4,0,1048576,4.890829,31,141,54,1,0
223,1024,1,1,2,4,4,0,524288,5.039232,55,198,56,1,0
224,1024,1,1,2,4,4,0,262144,3.927289,93,310,66,1,0
228,1024,1,1,2,4,8,0,1048576,4.850488,35,140,45,1,0
229,1024,1,1,2,4,8,0,524288,5.351261,47,189,47,1,0
230,1024,1,1,2,4,8,0,262144,5.68753,94,305,56,1,0
234,1024,1,1,2,4,16,0,1048576,6.016348,32,141,48,1,0
235,1024,1,1,2,4,16,0,524288,5.182331,52,195,50,1,0
236,1024,1,1,2,4,16,0,262144,5.77414,92,308,60,1,0
240,1024,1,1,2,8,1,0,1048576,4.646436,31,139,49,1,0
