Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,4366.812227074236,catapult,CLB,51,latency
Throughput,4366.812227074236,catapult,LUT,152,latency
Throughput,4366.812227074236,catapult,FF,37,latency
Throughput,4366.812227074236,catapult,DSP,1,latency
Throughput,4366.812227074236,catapult,BRAM,0,latency
Throughput,3937.0078740157483,catapult,CLB,84,latency
Throughput,3937.0078740157483,catapult,LUT,224,latency
Throughput,3937.0078740157483,catapult,FF,41,latency
Throughput,3937.0078740157483,catapult,DSP,1,latency
Throughput,3937.0078740157483,catapult,BRAM,0,latency
Throughput,3058.1039755351685,catapult,CLB,132,latency
Throughput,3058.1039755351685,catapult,LUT,429,latency
Throughput,3058.1039755351685,catapult,FF,65,latency
Throughput,3058.1039755351685,catapult,DSP,1,latency
Throughput,3058.1039755351685,catapult,BRAM,0,latency
Throughput,4149.377593360996,catapult,CLB,24,latency
Throughput,4149.377593360996,catapult,LUT,112,latency
Throughput,4149.377593360996,catapult,FF,35,latency
Throughput,4149.377593360996,catapult,DSP,1,latency
Throughput,4149.377593360996,catapult,BRAM,0,latency
Throughput,4366.812227074236,catapult,CLB,51,latency
Throughput,4366.812227074236,catapult,LUT,152,latency
Throughput,4366.812227074236,catapult,FF,37,latency
Throughput,4366.812227074236,catapult,DSP,1,latency
Throughput,4366.812227074236,catapult,BRAM,0,latency
Throughput,3937.0078740157483,catapult,CLB,84,latency
Throughput,3937.0078740157483,catapult,LUT,224,latency
Throughput,3937.0078740157483,catapult,FF,41,latency
Throughput,3937.0078740157483,catapult,DSP,1,latency
Throughput,3937.0078740157483,catapult,BRAM,0,latency
Throughput,3058.1039755351685,catapult,CLB,132,latency
Throughput,3058.1039755351685,catapult,LUT,429,latency
Throughput,3058.1039755351685,catapult,FF,65,latency
Throughput,3058.1039755351685,catapult,DSP,1,latency
Throughput,3058.1039755351685,catapult,BRAM,0,latency
Throughput,4149.377593360996,catapult,CLB,24,latency
Throughput,4149.377593360996,catapult,LUT,112,latency
Throughput,4149.377593360996,catapult,FF,35,latency
Throughput,4149.377593360996,catapult,DSP,1,latency
Throughput,4149.377593360996,catapult,BRAM,0,latency
Throughput,4366.812227074236,catapult,CLB,51,latency
Throughput,4366.812227074236,catapult,LUT,152,latency
Throughput,4366.812227074236,catapult,FF,37,latency
Throughput,4366.812227074236,catapult,DSP,1,latency
Throughput,4366.812227074236,catapult,BRAM,0,latency
Throughput,3937.0078740157483,catapult,CLB,84,latency
Throughput,3937.0078740157483,catapult,LUT,224,latency
Throughput,3937.0078740157483,catapult,FF,41,latency
Throughput,3937.0078740157483,catapult,DSP,1,latency
Throughput,3937.0078740157483,catapult,BRAM,0,latency
Throughput,3058.1039755351685,catapult,CLB,132,latency
Throughput,3058.1039755351685,catapult,LUT,429,latency
Throughput,3058.1039755351685,catapult,FF,65,latency
Throughput,3058.1039755351685,catapult,DSP,1,latency
Throughput,3058.1039755351685,catapult,BRAM,0,latency
Throughput,4149.377593360996,catapult,CLB,24,latency
Throughput,4149.377593360996,catapult,LUT,112,latency
Throughput,4149.377593360996,catapult,FF,35,latency
Throughput,4149.377593360996,catapult,DSP,1,latency
Throughput,4149.377593360996,catapult,BRAM,0,latency
Throughput,4366.812227074236,catapult,CLB,51,latency
Throughput,4366.812227074236,catapult,LUT,152,latency
Throughput,4366.812227074236,catapult,FF,37,latency
Throughput,4366.812227074236,catapult,DSP,1,latency
Throughput,4366.812227074236,catapult,BRAM,0,latency
Throughput,3937.0078740157483,catapult,CLB,84,latency
Throughput,3937.0078740157483,catapult,LUT,224,latency
Throughput,3937.0078740157483,catapult,FF,41,latency
Throughput,3937.0078740157483,catapult,DSP,1,latency
Throughput,3937.0078740157483,catapult,BRAM,0,latency
Throughput,3058.1039755351685,catapult,CLB,132,latency
Throughput,3058.1039755351685,catapult,LUT,429,latency
Throughput,3058.1039755351685,catapult,FF,65,latency
Throughput,3058.1039755351685,catapult,DSP,1,latency
Throughput,3058.1039755351685,catapult,BRAM,0,latency
Throughput,4149.377593360996,catapult,CLB,24,latency
Throughput,4149.377593360996,catapult,LUT,112,latency
Throughput,4149.377593360996,catapult,FF,35,latency
Throughput,4149.377593360996,catapult,DSP,1,latency
Throughput,4149.377593360996,catapult,BRAM,0,latency
Throughput,4366.812227074236,catapult,CLB,51,latency
Throughput,4366.812227074236,catapult,LUT,152,latency
Throughput,4366.812227074236,catapult,FF,37,latency
Throughput,4366.812227074236,catapult,DSP,1,latency
Throughput,4366.812227074236,catapult,BRAM,0,latency
Throughput,3058.1039755351685,catapult,CLB,132,latency
Throughput,3058.1039755351685,catapult,LUT,429,latency
Throughput,3058.1039755351685,catapult,FF,65,latency
Throughput,3058.1039755351685,catapult,DSP,1,latency
Throughput,3058.1039755351685,catapult,BRAM,0,latency
Throughput,8000.0,catapult,CLB,26,latency
Throughput,8000.0,catapult,LUT,121,latency
Throughput,8000.0,catapult,FF,34,latency
Throughput,8000.0,catapult,DSP,1,latency
Throughput,8000.0,catapult,BRAM,0,latency
Throughput,8928.57142857143,catapult,CLB,48,latency
Throughput,8928.57142857143,catapult,LUT,204,latency
Throughput,8928.57142857143,catapult,FF,36,latency
Throughput,8928.57142857143,catapult,DSP,1,latency
Throughput,8928.57142857143,catapult,BRAM,0,latency
Throughput,5681.818181818182,catapult,CLB,68,latency
Throughput,5681.818181818182,catapult,LUT,236,latency
Throughput,5681.818181818182,catapult,FF,40,latency
Throughput,5681.818181818182,catapult,DSP,1,latency
Throughput,5681.818181818182,catapult,BRAM,0,latency
Throughput,6369.426751592357,catapult,CLB,140,latency
Throughput,6369.426751592357,catapult,LUT,575,latency
Throughput,6369.426751592357,catapult,FF,65,latency
Throughput,6369.426751592357,catapult,DSP,1,latency
Throughput,6369.426751592357,catapult,BRAM,0,latency
Throughput,8000.0,catapult,CLB,26,latency
Throughput,8000.0,catapult,LUT,121,latency
Throughput,8000.0,catapult,FF,34,latency
Throughput,8000.0,catapult,DSP,1,latency
Throughput,8000.0,catapult,BRAM,0,latency
Throughput,8928.57142857143,catapult,CLB,48,latency
Throughput,8928.57142857143,catapult,LUT,204,latency
Throughput,8928.57142857143,catapult,FF,36,latency
Throughput,8928.57142857143,catapult,DSP,1,latency
Throughput,8928.57142857143,catapult,BRAM,0,latency
Throughput,5681.818181818182,catapult,CLB,68,latency
Throughput,5681.818181818182,catapult,LUT,236,latency
Throughput,5681.818181818182,catapult,FF,40,latency
Throughput,5681.818181818182,catapult,DSP,1,latency
Throughput,5681.818181818182,catapult,BRAM,0,latency
Throughput,6369.426751592357,catapult,CLB,140,latency
Throughput,6369.426751592357,catapult,LUT,575,latency
Throughput,6369.426751592357,catapult,FF,65,latency
Throughput,6369.426751592357,catapult,DSP,1,latency
Throughput,6369.426751592357,catapult,BRAM,0,latency
Throughput,8928.57142857143,catapult,CLB,48,latency
Throughput,8928.57142857143,catapult,LUT,204,latency
Throughput,8928.57142857143,catapult,FF,36,latency
Throughput,8928.57142857143,catapult,DSP,1,latency
Throughput,8928.57142857143,catapult,BRAM,0,latency
Throughput,5681.818181818182,catapult,CLB,68,latency
Throughput,5681.818181818182,catapult,LUT,236,latency
Throughput,5681.818181818182,catapult,FF,40,latency
Throughput,5681.818181818182,catapult,DSP,1,latency
Throughput,5681.818181818182,catapult,BRAM,0,latency
Throughput,6369.426751592357,catapult,CLB,140,latency
Throughput,6369.426751592357,catapult,LUT,575,latency
Throughput,6369.426751592357,catapult,FF,65,latency
Throughput,6369.426751592357,catapult,DSP,1,latency
Throughput,6369.426751592357,catapult,BRAM,0,latency
Throughput,8000.0,catapult,CLB,26,latency
Throughput,8000.0,catapult,LUT,121,latency
Throughput,8000.0,catapult,FF,34,latency
Throughput,8000.0,catapult,DSP,1,latency
Throughput,8000.0,catapult,BRAM,0,latency
Throughput,8928.57142857143,catapult,CLB,48,latency
Throughput,8928.57142857143,catapult,LUT,204,latency
Throughput,8928.57142857143,catapult,FF,36,latency
Throughput,8928.57142857143,catapult,DSP,1,latency
Throughput,8928.57142857143,catapult,BRAM,0,latency
Throughput,5681.818181818182,catapult,CLB,68,latency
Throughput,5681.818181818182,catapult,LUT,236,latency
Throughput,5681.818181818182,catapult,FF,40,latency
Throughput,5681.818181818182,catapult,DSP,1,latency
Throughput,5681.818181818182,catapult,BRAM,0,latency
Throughput,6369.426751592357,catapult,CLB,140,latency
Throughput,6369.426751592357,catapult,LUT,575,latency
Throughput,6369.426751592357,catapult,FF,65,latency
Throughput,6369.426751592357,catapult,DSP,1,latency
Throughput,6369.426751592357,catapult,BRAM,0,latency
Throughput,8000.0,catapult,CLB,26,latency
Throughput,8000.0,catapult,LUT,121,latency
Throughput,8000.0,catapult,FF,34,latency
Throughput,8000.0,catapult,DSP,1,latency
Throughput,8000.0,catapult,BRAM,0,latency
Throughput,8928.57142857143,catapult,CLB,48,latency
Throughput,8928.57142857143,catapult,LUT,204,latency
Throughput,8928.57142857143,catapult,FF,36,latency
Throughput,8928.57142857143,catapult,DSP,1,latency
Throughput,8928.57142857143,catapult,BRAM,0,latency
Throughput,5681.818181818182,catapult,CLB,68,latency
Throughput,5681.818181818182,catapult,LUT,236,latency
Throughput,5681.818181818182,catapult,FF,40,latency
Throughput,5681.818181818182,catapult,DSP,1,latency
Throughput,5681.818181818182,catapult,BRAM,0,latency
Throughput,6369.426751592357,catapult,CLB,140,latency
Throughput,6369.426751592357,catapult,LUT,575,latency
Throughput,6369.426751592357,catapult,FF,65,latency
Throughput,6369.426751592357,catapult,DSP,1,latency
Throughput,6369.426751592357,catapult,BRAM,0,latency
Throughput,8196.72131147541,catapult,CLB,34,latency
Throughput,8196.72131147541,catapult,LUT,140,latency
Throughput,8196.72131147541,catapult,FF,34,latency
Throughput,8196.72131147541,catapult,DSP,1,latency
Throughput,8196.72131147541,catapult,BRAM,0,latency
Throughput,8849.557522123894,catapult,CLB,50,latency
Throughput,8849.557522123894,catapult,LUT,195,latency
Throughput,8849.557522123894,catapult,FF,36,latency
Throughput,8849.557522123894,catapult,DSP,1,latency
Throughput,8849.557522123894,catapult,BRAM,0,latency
Throughput,7936.507936507936,catapult,CLB,101,latency
Throughput,7936.507936507936,catapult,LUT,280,latency
Throughput,7936.507936507936,catapult,FF,40,latency
Throughput,7936.507936507936,catapult,DSP,1,latency
Throughput,7936.507936507936,catapult,BRAM,0,latency
Throughput,4504.504504504504,catapult,CLB,173,latency
Throughput,4504.504504504504,catapult,LUT,464,latency
Throughput,4504.504504504504,catapult,FF,58,latency
Throughput,4504.504504504504,catapult,DSP,1,latency
Throughput,4504.504504504504,catapult,BRAM,0,latency
Throughput,8196.72131147541,catapult,CLB,34,latency
Throughput,8196.72131147541,catapult,LUT,140,latency
Throughput,8196.72131147541,catapult,FF,34,latency
Throughput,8196.72131147541,catapult,DSP,1,latency
Throughput,8196.72131147541,catapult,BRAM,0,latency
Throughput,8849.557522123894,catapult,CLB,50,latency
Throughput,8849.557522123894,catapult,LUT,195,latency
Throughput,8849.557522123894,catapult,FF,36,latency
Throughput,8849.557522123894,catapult,DSP,1,latency
Throughput,8849.557522123894,catapult,BRAM,0,latency
Throughput,7936.507936507936,catapult,CLB,101,latency
Throughput,7936.507936507936,catapult,LUT,280,latency
Throughput,7936.507936507936,catapult,FF,40,latency
Throughput,7936.507936507936,catapult,DSP,1,latency
Throughput,7936.507936507936,catapult,BRAM,0,latency
Throughput,4504.504504504504,catapult,CLB,173,latency
Throughput,4504.504504504504,catapult,LUT,464,latency
Throughput,4504.504504504504,catapult,FF,58,latency
Throughput,4504.504504504504,catapult,DSP,1,latency
Throughput,4504.504504504504,catapult,BRAM,0,latency
Throughput,8196.72131147541,catapult,CLB,34,latency
Throughput,8196.72131147541,catapult,LUT,140,latency
Throughput,8196.72131147541,catapult,FF,34,latency
Throughput,8196.72131147541,catapult,DSP,1,latency
Throughput,8196.72131147541,catapult,BRAM,0,latency
Throughput,8849.557522123894,catapult,CLB,50,latency
Throughput,8849.557522123894,catapult,LUT,195,latency
Throughput,8849.557522123894,catapult,FF,36,latency
Throughput,8849.557522123894,catapult,DSP,1,latency
Throughput,8849.557522123894,catapult,BRAM,0,latency
Throughput,7936.507936507936,catapult,CLB,101,latency
Throughput,7936.507936507936,catapult,LUT,280,latency
Throughput,7936.507936507936,catapult,FF,40,latency
Throughput,7936.507936507936,catapult,DSP,1,latency
Throughput,7936.507936507936,catapult,BRAM,0,latency
Throughput,4504.504504504504,catapult,CLB,173,latency
Throughput,4504.504504504504,catapult,LUT,464,latency
Throughput,4504.504504504504,catapult,FF,58,latency
Throughput,4504.504504504504,catapult,DSP,1,latency
Throughput,4504.504504504504,catapult,BRAM,0,latency
Throughput,8196.72131147541,catapult,CLB,34,latency
Throughput,8196.72131147541,catapult,LUT,140,latency
Throughput,8196.72131147541,catapult,FF,34,latency
Throughput,8196.72131147541,catapult,DSP,1,latency
Throughput,8196.72131147541,catapult,BRAM,0,latency
Throughput,8849.557522123894,catapult,CLB,50,latency
Throughput,8849.557522123894,catapult,LUT,195,latency
Throughput,8849.557522123894,catapult,FF,36,latency
Throughput,8849.557522123894,catapult,DSP,1,latency
Throughput,8849.557522123894,catapult,BRAM,0,latency
Throughput,7936.507936507936,catapult,CLB,101,latency
Throughput,7936.507936507936,catapult,LUT,280,latency
Throughput,7936.507936507936,catapult,FF,40,latency
Throughput,7936.507936507936,catapult,DSP,1,latency
Throughput,7936.507936507936,catapult,BRAM,0,latency
Throughput,4504.504504504504,catapult,CLB,173,latency
Throughput,4504.504504504504,catapult,LUT,464,latency
Throughput,4504.504504504504,catapult,FF,58,latency
Throughput,4504.504504504504,catapult,DSP,1,latency
Throughput,4504.504504504504,catapult,BRAM,0,latency
Throughput,8196.72131147541,catapult,CLB,34,latency
