n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_SUBDIM_Y,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,obj1,obj2
0016,2,1,1,2,1,1,5.830,50
0017,2,1,1,2,1,2,5.830,50
0018,2,1,1,2,1,4,5.830,50
0019,2,1,1,2,1,8,5.830,50
0020,2,1,1,2,2,1,5.830,50
0021,2,1,1,2,2,2,5.830,50
0022,2,1,1,2,2,4,5.830,50
0023,2,1,1,2,2,8,5.830,50
0024,2,1,1,2,4,1,5.830,50
0025,2,1,1,2,4,2,5.830,50
0026,2,1,1,2,4,4,5.830,50
0027,2,1,1,2,4,8,5.830,50
0028,2,1,1,2,8,1,5.830,50
0029,2,1,1,2,8,2,5.830,50
0030,2,1,1,2,8,4,5.830,50
0031,2,1,1,2,8,8,5.830,50
0032,2,1,1,4,1,1,5.583,71
0033,2,1,1,4,1,2,5.583,71
0034,2,1,1,4,1,4,5.583,71
0035,2,1,1,4,1,8,5.583,71
0036,2,1,1,4,2,1,5.583,71
0037,2,1,1,4,2,2,5.583,71
0038,2,1,1,4,2,4,5.583,71
0039,2,1,1,4,2,8,5.583,71
0040,2,1,1,4,4,1,5.583,71
0041,2,1,1,4,4,2,5.583,71
0042,2,1,1,4,4,4,5.583,71
0043,2,1,1,4,4,8,5.583,71
0044,2,1,1,4,8,1,5.583,71
0045,2,1,1,4,8,2,5.583,71
0046,2,1,1,4,8,4,5.583,71
0047,2,1,1,4,8,8,5.583,71
0048,2,1,1,8,1,1,7.333,166
0049,2,1,1,8,1,2,7.333,166
0050,2,1,1,8,1,4,7.333,166
0051,2,1,1,8,1,8,7.333,166
0052,2,1,1,8,2,1,7.333,166
0053,2,1,1,8,2,2,7.333,166
0054,2,1,1,8,2,4,7.333,166
0055,2,1,1,8,2,8,7.333,166
0056,2,1,1,8,4,1,7.333,166
0057,2,1,1,8,4,2,7.333,166
0058,2,1,1,8,4,4,7.333,166
0059,2,1,1,8,4,8,7.333,166
0060,2,1,1,8,8,1,7.333,166
0061,2,1,1,8,8,2,7.333,166
0062,2,1,1,8,8,4,7.333,166
0063,2,1,1,8,8,8,7.333,166
0064,2,1,2,1,1,1,6.817,43
0065,2,1,2,1,1,2,3.809,46
0066,2,1,2,1,1,4,3.809,46
0067,2,1,2,1,1,8,3.809,46
0068,2,1,2,1,2,1,6.817,43
0069,2,1,2,1,2,2,3.809,46
0070,2,1,2,1,2,4,3.809,46
0071,2,1,2,1,2,8,3.809,46
0072,2,1,2,1,4,1,6.817,43
0073,2,1,2,1,4,2,3.809,46
0074,2,1,2,1,4,4,3.809,46
0075,2,1,2,1,4,8,3.304,47
0076,2,1,2,1,8,1,6.817,43
0077,2,1,2,1,8,2,3.809,46
0078,2,1,2,1,8,4,3.809,46
0079,2,1,2,1,8,8,3.304,47
0080,2,1,2,2,1,1,7.877,57
0081,2,1,2,2,1,2,3.574,80
0082,2,1,2,2,1,4,3.574,80
0083,2,1,2,2,1,8,3.574,80
0084,2,1,2,2,2,1,7.877,57
0085,2,1,2,2,2,2,3.574,80
0086,2,1,2,2,2,4,3.574,80
0087,2,1,2,2,2,8,3.574,80
0088,2,1,2,2,4,1,7.877,57
0089,2,1,2,2,4,2,3.574,80
0090,2,1,2,2,4,4,3.574,80
0091,2,1,2,2,4,8,3.574,80
0092,2,1,2,2,8,1,7.877,57
