n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_SUBDIM_Y,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,1,1,11.810403,37,113,181,3,0
0001,1,1,1,1,1,2,11.810403,37,113,181,3,0
0002,1,1,1,1,1,4,11.810403,37,113,181,3,0
0003,1,1,1,1,1,8,11.810403,37,113,181,3,0
0004,1,1,1,1,2,1,11.810403,37,113,181,3,0
0005,1,1,1,1,2,2,11.810403,37,113,181,3,0
0006,1,1,1,1,2,4,11.810403,37,113,181,3,0
0007,1,1,1,1,2,8,11.810403,37,113,181,3,0
0008,1,1,1,1,4,1,11.810403,37,113,181,3,0
0009,1,1,1,1,4,2,11.810403,37,113,181,3,0
0010,1,1,1,1,4,4,11.810403,37,113,181,3,0
0011,1,1,1,1,4,8,11.810403,37,113,181,3,0
0012,1,1,1,1,8,1,11.810403,37,113,181,3,0
0013,1,1,1,1,8,2,11.810403,37,113,181,3,0
0014,1,1,1,1,8,4,11.810403,37,113,181,3,0
0015,1,1,1,1,8,8,11.810403,37,113,181,3,0
0016,1,1,1,2,1,1,12.174429,42,165,214,3,0
0017,1,1,1,2,1,2,12.174429,42,165,214,3,0
0018,1,1,1,2,1,4,12.174429,42,165,214,3,0
0019,1,1,1,2,1,8,12.174429,42,165,214,3,0
0020,1,1,1,2,2,1,12.174429,42,165,214,3,0
0021,1,1,1,2,2,2,12.174429,42,165,214,3,0
0022,1,1,1,2,2,4,12.174429,42,165,214,3,0
0023,1,1,1,2,2,8,12.174429,42,165,214,3,0
0024,1,1,1,2,4,1,12.174429,42,165,214,3,0
0025,1,1,1,2,4,2,12.174429,42,165,214,3,0
0026,1,1,1,2,4,4,12.174429,42,165,214,3,0
0027,1,1,1,2,4,8,12.174429,42,165,214,3,0
0028,1,1,1,2,8,1,12.174429,42,165,214,3,0
0029,1,1,1,2,8,2,12.174429,42,165,214,3,0
0030,1,1,1,2,8,4,12.174429,42,165,214,3,0
0031,1,1,1,2,8,8,12.174429,42,165,214,3,0
0032,1,1,1,4,1,1,12.995448,63,252,321,3,0
0033,1,1,1,4,1,2,12.995448,63,252,321,3,0
0034,1,1,1,4,1,4,12.995448,63,252,321,3,0
0035,1,1,1,4,1,8,12.995448,63,252,321,3,0
0036,1,1,1,4,2,1,12.651767,63,252,321,3,0
0037,1,1,1,4,2,2,12.995448,63,252,321,3,0
0038,1,1,1,4,2,4,12.995448,63,252,321,3,0
0039,1,1,1,4,2,8,12.995448,63,252,321,3,0
0040,1,1,1,4,4,1,12.995448,63,252,321,3,0
0041,1,1,1,4,4,2,12.995448,63,252,321,3,0
0042,1,1,1,4,4,4,12.995448,63,252,321,3,0
0043,1,1,1,4,4,8,12.995448,63,252,321,3,0
0044,1,1,1,4,8,1,12.995448,63,252,321,3,0
0045,1,1,1,4,8,2,12.995448,63,252,321,3,0
0046,1,1,1,4,8,4,12.995448,63,252,321,3,0
0047,1,1,1,4,8,8,12.995448,63,252,321,3,0
0048,1,1,1,8,1,1,16.335202,99,440,532,3,0
0049,1,1,1,8,1,2,16.335202,99,440,532,3,0
0050,1,1,1,8,1,4,16.335202,99,440,532,3,0
0051,1,1,1,8,1,8,16.335202,99,440,532,3,0
0052,1,1,1,8,2,1,16.335202,99,440,532,3,0
0053,1,1,1,8,2,2,16.335202,99,440,532,3,0
0054,1,1,1,8,2,4,16.335202,99,440,532,3,0
0055,1,1,1,8,2,8,16.335202,99,440,532,3,0
0056,1,1,1,8,4,1,16.335202,99,440,532,3,0
0057,1,1,1,8,4,2,16.335202,99,440,532,3,0
0058,1,1,1,8,4,4,16.335202,99,440,532,3,0
