Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,0.0447339846631323,vivado,CLB,1270,FF,6916,None
Throughput,0.0447339846631323,vivado,LUT,4872,FF,6916,None
Throughput,0.0447339846631323,vivado,FF,6916,FF,6916,None
Throughput,0.0447339846631323,vivado,DSP,12,FF,6916,None
Throughput,0.0447339846631323,vivado,BRAM,0,FF,6916,None
Throughput,0.043991691729100044,vivado,CLB,1270,FF,6852,None
Throughput,0.043991691729100044,vivado,LUT,4850,FF,6852,None
Throughput,0.043991691729100044,vivado,FF,6852,FF,6852,None
Throughput,0.043991691729100044,vivado,DSP,12,FF,6852,None
Throughput,0.043991691729100044,vivado,BRAM,0,FF,6852,None
Throughput,0.038098870913291276,vivado,CLB,2779,FF,11903,None
Throughput,0.038098870913291276,vivado,LUT,11400,FF,11903,None
Throughput,0.038098870913291276,vivado,FF,11903,FF,11903,None
Throughput,0.038098870913291276,vivado,DSP,12,FF,11903,None
Throughput,0.038098870913291276,vivado,BRAM,0,FF,11903,None
Throughput,0.0414622027242989,vivado,CLB,2716,FF,11749,None
Throughput,0.0414622027242989,vivado,LUT,11180,FF,11749,None
Throughput,0.0414622027242989,vivado,FF,11749,FF,11749,None
Throughput,0.0414622027242989,vivado,DSP,12,FF,11749,None
Throughput,0.0414622027242989,vivado,BRAM,0,FF,11749,None
Throughput,0.043228808092709535,vivado,CLB,4262,FF,17259,None
Throughput,0.043228808092709535,vivado,LUT,18010,FF,17259,None
Throughput,0.043228808092709535,vivado,FF,17259,FF,17259,None
Throughput,0.043228808092709535,vivado,DSP,12,FF,17259,None
Throughput,0.043228808092709535,vivado,BRAM,0,FF,17259,None
Throughput,0.042917963128920364,vivado,CLB,1191,FF,5947,None
Throughput,0.042917963128920364,vivado,LUT,4300,FF,5947,None
Throughput,0.042917963128920364,vivado,FF,5947,FF,5947,None
Throughput,0.042917963128920364,vivado,DSP,12,FF,5947,None
Throughput,0.042917963128920364,vivado,BRAM,0,FF,5947,None
Throughput,0.14262043368591956,vivado,CLB,1369,FF,4855,None
Throughput,0.14262043368591956,vivado,LUT,6457,FF,4855,None
Throughput,0.14262043368591956,vivado,FF,4855,FF,4855,None
Throughput,0.14262043368591956,vivado,DSP,12,FF,4855,None
Throughput,0.14262043368591956,vivado,BRAM,0,FF,4855,None
Throughput,0.14262043368591956,vivado,CLB,1369,FF,4855,None
Throughput,0.14262043368591956,vivado,LUT,6457,FF,4855,None
Throughput,0.14262043368591956,vivado,FF,4855,FF,4855,None
Throughput,0.14262043368591956,vivado,DSP,12,FF,4855,None
Throughput,0.14262043368591956,vivado,BRAM,0,FF,4855,None
Throughput,0.03832252938197908,vivado,CLB,1192,FF,5883,None
Throughput,0.03832252938197908,vivado,LUT,4260,FF,5883,None
Throughput,0.03832252938197908,vivado,FF,5883,FF,5883,None
Throughput,0.03832252938197908,vivado,DSP,12,FF,5883,None
Throughput,0.03832252938197908,vivado,BRAM,0,FF,5883,None
Throughput,0.03686208820117175,vivado,CLB,2596,FF,10969,None
Throughput,0.03686208820117175,vivado,LUT,10783,FF,10969,None
Throughput,0.03686208820117175,vivado,FF,10969,FF,10969,None
Throughput,0.03686208820117175,vivado,DSP,12,FF,10969,None
Throughput,0.03686208820117175,vivado,BRAM,0,FF,10969,None
Throughput,0.11239252324474067,vivado,CLB,4358,FF,15071,None
Throughput,0.11239252324474067,vivado,LUT,13646,FF,15071,None
Throughput,0.11239252324474067,vivado,FF,15071,FF,15071,None
Throughput,0.11239252324474067,vivado,DSP,12,FF,15071,None
Throughput,0.11239252324474067,vivado,BRAM,0,FF,15071,None
Throughput,0.040295483557286904,vivado,CLB,1138,FF,5819,None
Throughput,0.040295483557286904,vivado,LUT,4046,FF,5819,None
Throughput,0.040295483557286904,vivado,FF,5819,FF,5819,None
Throughput,0.040295483557286904,vivado,DSP,12,FF,5819,None
Throughput,0.040295483557286904,vivado,BRAM,0,FF,5819,None
Throughput,0.04197573047215561,vivado,CLB,2562,FF,10854,None
Throughput,0.04197573047215561,vivado,LUT,10568,FF,10854,None
Throughput,0.04197573047215561,vivado,FF,10854,FF,10854,None
Throughput,0.04197573047215561,vivado,DSP,12,FF,10854,None
Throughput,0.04197573047215561,vivado,BRAM,0,FF,10854,None
Throughput,0.04185604784313693,vivado,CLB,4041,FF,16403,None
Throughput,0.04185604784313693,vivado,LUT,17301,FF,16403,None
Throughput,0.04185604784313693,vivado,FF,16403,FF,16403,None
Throughput,0.04185604784313693,vivado,DSP,12,FF,16403,None
Throughput,0.04185604784313693,vivado,BRAM,0,FF,16403,None
Throughput,0.06840440767905144,vivado,CLB,2495,FF,5895,None
Throughput,0.06840440767905144,vivado,LUT,11849,FF,5895,None
Throughput,0.06840440767905144,vivado,FF,5895,FF,5895,None
Throughput,0.06840440767905144,vivado,DSP,192,FF,5895,None
Throughput,0.06840440767905144,vivado,BRAM,0,FF,5895,None
Throughput,0.06761257104306387,vivado,CLB,3389,FF,8467,None
Throughput,0.06761257104306387,vivado,LUT,16348,FF,8467,None
Throughput,0.06761257104306387,vivado,FF,8467,FF,8467,None
Throughput,0.06761257104306387,vivado,DSP,192,FF,8467,None
Throughput,0.06761257104306387,vivado,BRAM,0,FF,8467,None
Throughput,0.06840440767905144,vivado,CLB,2495,FF,5895,None
Throughput,0.06840440767905144,vivado,LUT,11849,FF,5895,None
Throughput,0.06840440767905144,vivado,FF,5895,FF,5895,None
Throughput,0.06840440767905144,vivado,DSP,192,FF,5895,None
Throughput,0.06840440767905144,vivado,BRAM,0,FF,5895,None
Throughput,0.06761257104306387,vivado,CLB,3389,FF,8467,None
Throughput,0.06761257104306387,vivado,LUT,16348,FF,8467,None
Throughput,0.06761257104306387,vivado,FF,8467,FF,8467,None
Throughput,0.06761257104306387,vivado,DSP,192,FF,8467,None
Throughput,0.06761257104306387,vivado,BRAM,0,FF,8467,None
Throughput,0.05139129071796203,vivado,CLB,4384,FF,9049,None
Throughput,0.05139129071796203,vivado,LUT,17118,FF,9049,None
Throughput,0.05139129071796203,vivado,FF,9049,FF,9049,None
Throughput,0.05139129071796203,vivado,DSP,384,FF,9049,None
Throughput,0.05139129071796203,vivado,BRAM,0,FF,9049,None
Throughput,0.05973663907929114,vivado,CLB,2833,FF,5908,None
Throughput,0.05973663907929114,vivado,LUT,13210,FF,5908,None
Throughput,0.05973663907929114,vivado,FF,5908,FF,5908,None
Throughput,0.05973663907929114,vivado,DSP,192,FF,5908,None
Throughput,0.05973663907929114,vivado,BRAM,0,FF,5908,None
Throughput,0.061640808039490055,vivado,CLB,2787,FF,6266,None
Throughput,0.061640808039490055,vivado,LUT,13457,FF,6266,None
Throughput,0.061640808039490055,vivado,FF,6266,FF,6266,None
Throughput,0.061640808039490055,vivado,DSP,192,FF,6266,None
Throughput,0.061640808039490055,vivado,BRAM,0,FF,6266,None
Throughput,0.05817474074863096,vivado,CLB,4269,FF,8653,None
Throughput,0.05817474074863096,vivado,LUT,15516,FF,8653,None
Throughput,0.05817474074863096,vivado,FF,8653,FF,8653,None
Throughput,0.05817474074863096,vivado,DSP,384,FF,8653,None
Throughput,0.05817474074863096,vivado,BRAM,0,FF,8653,None
Throughput,0.05492350501377454,vivado,CLB,5137,FF,12343,None
Throughput,0.05492350501377454,vivado,LUT,23617,FF,12343,None
Throughput,0.05492350501377454,vivado,FF,12343,FF,12343,None
Throughput,0.05492350501377454,vivado,DSP,384,FF,12343,None
Throughput,0.05492350501377454,vivado,BRAM,0,FF,12343,None
Throughput,0.18286824452702774,vivado,CLB,3775,FF,10044,None
Throughput,0.18286824452702774,vivado,LUT,16179,FF,10044,None
Throughput,0.18286824452702774,vivado,FF,10044,FF,10044,None
Throughput,0.18286824452702774,vivado,DSP,102,FF,10044,None
Throughput,0.18286824452702774,vivado,BRAM,0,FF,10044,None
Throughput,0.06477329992758346,vivado,CLB,2389,FF,5892,None
Throughput,0.06477329992758346,vivado,LUT,11572,FF,5892,None
Throughput,0.06477329992758346,vivado,FF,5892,FF,5892,None
Throughput,0.06477329992758346,vivado,DSP,192,FF,5892,None
Throughput,0.06477329992758346,vivado,BRAM,0,FF,5892,None
Throughput,0.06795871127721126,vivado,CLB,3353,FF,8467,None
Throughput,0.06795871127721126,vivado,LUT,16349,FF,8467,None
Throughput,0.06795871127721126,vivado,FF,8467,FF,8467,None
Throughput,0.06795871127721126,vivado,DSP,192,FF,8467,None
Throughput,0.06795871127721126,vivado,BRAM,0,FF,8467,None
Throughput,0.06451458900658501,vivado,CLB,2469,FF,6439,None
Throughput,0.06451458900658501,vivado,LUT,11547,FF,6439,None
Throughput,0.06451458900658501,vivado,FF,6439,FF,6439,None
Throughput,0.06451458900658501,vivado,DSP,192,FF,6439,None
Throughput,0.06451458900658501,vivado,BRAM,0,FF,6439,None
Throughput,0.06349514754208696,vivado,CLB,3547,FF,8550,None
Throughput,0.06349514754208696,vivado,LUT,16679,FF,8550,None
Throughput,0.06349514754208696,vivado,FF,8550,FF,8550,None
Throughput,0.06349514754208696,vivado,DSP,192,FF,8550,None
Throughput,0.06349514754208696,vivado,BRAM,0,FF,8550,None
Throughput,0.05486786008651784,vivado,CLB,4379,FF,8554,None
Throughput,0.05486786008651784,vivado,LUT,17164,FF,8554,None
Throughput,0.05486786008651784,vivado,FF,8554,FF,8554,None
Throughput,0.05486786008651784,vivado,DSP,384,FF,8554,None
Throughput,0.05486786008651784,vivado,BRAM,0,FF,8554,None
Throughput,0.05634276413544169,vivado,CLB,5052,FF,12302,None
Throughput,0.05634276413544169,vivado,LUT,23133,FF,12302,None
Throughput,0.05634276413544169,vivado,FF,12302,FF,12302,None
Throughput,0.05634276413544169,vivado,DSP,384,FF,12302,None
Throughput,0.05634276413544169,vivado,BRAM,0,FF,12302,None
Throughput,0.05500564880510404,vivado,CLB,6710,FF,16225,None
Throughput,0.05500564880510404,vivado,LUT,29880,FF,16225,None
Throughput,0.05500564880510404,vivado,FF,16225,FF,16225,None
Throughput,0.05500564880510404,vivado,DSP,384,FF,16225,None
Throughput,0.05500564880510404,vivado,BRAM,0,FF,16225,None
Throughput,0.05286882920973208,vivado,CLB,4780,FF,9218,None
Throughput,0.05286882920973208,vivado,LUT,17772,FF,9218,None
Throughput,0.05286882920973208,vivado,FF,9218,FF,9218,None
Throughput,0.05286882920973208,vivado,DSP,384,FF,9218,None
Throughput,0.05286882920973208,vivado,BRAM,0,FF,9218,None
Throughput,0.1449587128594034,vivado,CLB,3271,FF,6589,None
Throughput,0.1449587128594034,vivado,LUT,13905,FF,6589,None
Throughput,0.1449587128594034,vivado,FF,6589,FF,6589,None
Throughput,0.1449587128594034,vivado,DSP,207,FF,6589,None
Throughput,0.1449587128594034,vivado,BRAM,0,FF,6589,None
Throughput,0.1449587128594034,vivado,CLB,3271,FF,6589,None
Throughput,0.1449587128594034,vivado,LUT,13905,FF,6589,None
Throughput,0.1449587128594034,vivado,FF,6589,FF,6589,None
Throughput,0.1449587128594034,vivado,DSP,207,FF,6589,None
Throughput,0.1449587128594034,vivado,BRAM,0,FF,6589,None
