n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,obj1,obj2
0000,1,1,1,1,88.322,216
0001,1,1,1,2,88.322,216
0002,1,1,1,3,88.322,216
0003,1,1,1,4,88.322,216
0004,1,1,1,5,88.322,216
0005,1,1,1,6,88.322,216
0006,1,1,1,7,88.322,216
0007,1,1,1,8,88.322,216
0008,1,1,2,1,87.114,256
0009,1,1,2,2,87.114,256
0010,1,1,2,3,87.114,256
0011,1,1,2,4,87.114,256
0012,1,1,2,5,87.114,256
0013,1,1,2,6,87.114,256
0014,1,1,2,7,87.114,256
0015,1,1,2,8,87.114,256
0016,1,1,3,1,88.907,277
0017,1,1,3,2,88.907,277
0018,1,1,3,3,88.907,277
0019,1,1,3,4,88.907,277
0020,1,1,3,5,88.907,277
0021,1,1,3,6,88.907,277
0022,1,1,3,7,88.907,277
0023,1,1,3,8,88.907,277
0024,1,1,4,1,89.594,283
0025,1,1,4,2,89.594,283
0026,1,1,4,3,89.594,283
0027,1,1,4,4,89.594,283
0028,1,1,4,5,89.594,283
0029,1,1,4,6,89.594,283
0030,1,1,4,7,89.594,283
0031,1,1,4,8,89.594,283
0032,1,1,5,1,89.916,355
0033,1,1,5,2,89.916,355
0034,1,1,5,3,89.916,355
0035,1,1,5,4,89.916,355
0036,1,1,5,5,89.916,355
0037,1,1,5,6,89.916,355
0038,1,1,5,7,89.916,355
0039,1,1,5,8,89.916,355
0040,1,1,6,1,88.669,393
0041,1,1,6,2,88.669,393
0042,1,1,6,3,88.669,393
0043,1,1,6,4,88.669,393
0044,1,1,6,5,88.669,393
0045,1,1,6,6,88.669,393
0046,1,1,6,7,88.669,393
0047,1,1,6,8,88.669,393
0048,1,1,7,1,89.873,422
0049,1,1,7,2,89.873,422
0050,1,1,7,3,89.873,422
0051,1,1,7,4,89.873,422
0052,1,1,7,5,89.873,422
0053,1,1,7,6,89.873,422
0054,1,1,7,7,89.873,422
0055,1,1,7,8,89.873,422
0056,1,1,8,1,89.271,395
0057,1,1,8,2,89.271,395
0058,1,1,8,3,89.271,395
0059,1,1,8,4,89.271,395
0060,1,1,8,5,89.271,395
0061,1,1,8,6,89.271,395
0062,1,1,8,7,89.271,395
0063,1,1,8,8,89.271,395
0064,1,2,1,1,88.483,239
0065,1,2,1,2,88.812,232
0066,1,2,1,3,88.812,232
0067,1,2,1,4,88.812,232
0068,1,2,1,5,88.812,232
0069,1,2,1,6,88.812,232
0070,1,2,1,7,88.812,232
0071,1,2,1,8,88.812,232
0072,1,2,2,1,91.885,280
0073,1,2,2,2,92.301,285
0074,1,2,2,3,92.301,285
0075,1,2,2,4,92.301,285
0076,1,2,2,5,92.301,285
0077,1,2,2,6,92.301,285
0078,1,2,2,7,92.301,285
0079,1,2,2,8,92.301,285
0080,1,2,3,1,89.693,323
0081,1,2,3,2,89.862,384
0082,1,2,3,3,89.862,384
0083,1,2,3,4,89.862,384
0084,1,2,3,5,89.862,384
0085,1,2,3,6,89.862,384
0086,1,2,3,7,89.862,384
0087,1,2,3,8,89.862,384
0088,1,2,4,1,89.305,366
0089,1,2,4,2,90.205,404
0090,1,2,4,3,90.205,404
0091,1,2,4,4,90.205,404
0092,1,2,4,5,90.205,404
0093,1,2,4,6,90.205,404
0094,1,2,4,7,90.205,404
0095,1,2,4,8,90.205,404
0096,1,2,5,1,92.722,441
0097,1,2,5,2,89.604,538
0098,1,2,5,3,89.604,538
0099,1,2,5,4,89.604,538
0100,1,2,5,5,89.604,538
0101,1,2,5,6,89.604,538
0102,1,2,5,7,89.604,538
0103,1,2,5,8,89.604,538
0104,1,2,6,1,90.864,414
0105,1,2,6,2,90.420,582
0106,1,2,6,3,90.420,582
0107,1,2,6,4,90.420,582
0108,1,2,6,5,90.420,582
0109,1,2,6,6,90.420,582
0110,1,2,6,7,90.420,582
0111,1,2,6,8,90.420,582
0112,1,2,7,1,91.036,477
0113,1,2,7,2,88.787,695
0114,1,2,7,3,88.787,695
0115,1,2,7,4,88.787,695
0116,1,2,7,5,88.787,695
0117,1,2,7,6,88.787,695
0118,1,2,7,7,88.787,695
0119,1,2,7,8,88.787,695
0120,1,2,8,1,89.025,432
0121,1,2,8,2,90.506,680
0122,1,2,8,3,90.506,680
0123,1,2,8,4,90.506,680
0124,1,2,8,5,90.506,680
0125,1,2,8,6,90.506,680
0126,1,2,8,7,90.506,680
