n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
0,16,1,1,1,1,1,0,9.00E-06,7375.116,793
1,16,1,1,1,1,2,0,1.10E-05,11456.62,1286
2,16,1,1,1,1,4,0,1.10E-05,12114.704,1334
3,16,1,1,1,1,8,0,1.10E-05,13496.042,1480
4,16,1,1,1,1,16,0,8.00E-06,10753.848,1186
5,16,1,1,1,2,1,0,8.00E-06,7272.174,774
6,16,1,1,1,2,2,0,1.00E-05,10456.46,1281
7,16,1,1,1,2,4,0,1.10E-05,12034.904,1326
8,16,1,1,1,2,8,0,1.00E-05,13329.792,1474
9,16,1,1,1,2,16,0,7.00E-06,10241.266,1181
10,16,1,1,1,3,1,0,9.00E-06,7437.094,793
11,16,1,1,1,3,2,0,1.10E-05,11775.288,1222
12,16,1,1,1,3,4,0,1.10E-05,12355.7,1335
13,16,1,1,1,3,8,0,1.10E-05,13594.462,1480
14,16,1,1,1,3,16,0,8.00E-06,12751.508,1406
15,16,1,1,1,4,1,0,8.00E-06,7291.06,768
16,16,1,1,1,4,2,0,1.00E-05,10447.416,1279
17,16,1,1,1,4,4,0,1.00E-05,11017.454,1329
18,16,1,1,1,4,8,0,1.00E-05,12924.674,1476
19,16,1,1,1,4,16,0,7.00E-06,10209.08,1183
20,16,1,1,2,1,1,0,2.20E-05,8157.156,903
21,16,1,1,2,1,2,0,2.40E-05,12411.56,1357
22,16,1,1,2,1,4,0,2.20E-05,15292.872,1785
23,16,1,1,2,1,8,0,2.20E-05,15414.966,1804
24,16,1,1,2,1,16,0,2.70E-05,16208.178,1833
25,16,1,1,2,2,1,0,2.50E-05,8051.82,882
26,16,1,1,2,2,2,0,2.70E-05,11429.222,1352
27,16,1,1,2,2,4,0,2.50E-05,15223.712,1777
28,16,1,1,2,2,8,0,2.60E-05,15329.048,1798
29,16,1,1,2,2,16,0,2.60E-05,15588.664,1828
30,16,1,1,2,3,1,0,2.20E-05,8119.916,900
31,16,1,1,2,3,2,0,2.40E-05,12677.028,1290
32,16,1,1,2,3,4,0,2.20E-05,15346.604,1784
33,16,1,1,2,3,8,0,2.30E-05,15397.144,1801
34,16,1,1,2,3,16,0,3.20E-05,17384.695,1925
35,16,1,1,2,4,1,0,2.10E-05,7949.942,876
36,16,1,1,2,4,2,0,2.30E-05,11285.848,1350
37,16,1,1,2,4,4,0,2.20E-05,12185.726,1394
38,16,1,1,2,4,8,0,2.20E-05,14853.44,1800
39,16,1,1,2,4,16,0,2.60E-05,15675.114,1830
40,16,1,1,3,1,1,0,3.90E-05,8436.19,874
41,16,1,1,3,1,2,0,4.10E-05,12360.488,1364
42,16,1,1,3,1,4,0,4.20E-05,12996.76,1406
43,16,1,1,3,1,8,0,4.10E-05,14273.56,1553
44,16,1,1,3,1,16,0,2.30E-05,18759.65,1820
45,16,1,1,3,2,1,0,3.90E-05,8289.624,855
46,16,1,1,3,2,2,0,4.20E-05,11309.256,1359
47,16,1,1,3,2,4,0,4.20E-05,12834.234,1398
48,16,1,1,3,2,8,0,4.10E-05,14182.322,1547
49,16,1,1,3,2,16,0,3.20E-05,18081.615,1815
50,16,1,1,3,3,1,0,4.00E-05,8365.168,875
51,16,1,1,3,3,2,0,4.30E-05,12693.786,1301
52,16,1,1,3,3,4,0,4.20E-05,12917.226,1409
53,16,1,1,3,3,8,0,4.20E-05,14312.928,1554
54,16,1,1,3,3,16,0,2.50E-05,20295.801,1944
55,16,1,1,3,4,1,0,3.80E-05,8263.822,849
56,16,1,1,3,4,2,0,4.10E-05,11285.582,1357
57,16,1,1,3,4,4,0,4.00E-05,11867.324,1399
58,16,1,1,3,4,8,0,4.00E-05,13729.59,1549
59,16,1,1,3,4,16,0,3.40E-05,18222.33,1817
60,16,1,1,4,1,1,0,4.50E-05,9457.63,1012
61,16,1,1,4,1,2,0,4.80E-05,13633.298,1466
62,16,1,1,4,1,4,0,4.50E-05,16633.777,1894
63,16,1,1,4,1,8,0,4.70E-05,16704.002,1911
64,16,1,1,4,1,16,0,3.20E-05,18728.527,1901
65,16,1,1,4,2,1,0,4.80E-05,9427.838,991
66,16,1,1,4,2,2,0,5.00E-05,12740.602,1461
67,16,1,1,4,2,4,0,4.60E-05,16565.682,1886
68,16,1,1,4,2,8,0,4.60E-05,16578.717,1905
69,16,1,1,4,2,16,0,3.30E-05,18296.277,1896
70,16,1,1,4,3,1,0,4.90E-05,9436.084,1009
71,16,1,1,4,3,2,0,5.10E-05,14097.202,1399
72,16,1,1,4,3,4,0,5.00E-05,16694.957,1893
73,16,1,1,4,3,8,0,5.00E-05,16772.363,1908
74,16,1,1,4,3,16,0,3.10E-05,20440.77,2061
75,16,1,1,4,4,1,0,4.50E-05,9325.694,985
76,16,1,1,4,4,2,0,4.60E-05,12681.018,1459
77,16,1,1,4,4,4,0,4.40E-05,13566.532,1503
78,16,1,1,4,4,8,0,4.60E-05,16294.096,1907
79,16,1,1,4,4,16,0,3.90E-05,18440.449,1898
80,16,1,2,1,1,1,0,1.70E-05,8019.634,816
81,16,1,2,1,1,2,0,2.20E-05,11932.76,1304
82,16,1,2,1,1,4,0,2.10E-05,12567.436,1348
83,16,1,2,1,1,8,0,2.20E-05,14106.512,1496
84,16,1,2,1,1,16,0,1.90E-05,11113.48,1204
85,16,1,2,1,2,1,0,1.80E-05,7910.308,795
86,16,1,2,1,2,2,0,2.10E-05,10946.432,1299
87,16,1,2,1,2,4,0,2.20E-05,12542.964,1340
88,16,1,2,1,2,8,0,2.20E-05,13966.596,1490
89,16,1,2,1,2,16,0,1.80E-05,10620.582,1199
90,16,1,2,1,3,1,0,2.00E-05,8117.522,817
91,16,1,2,1,3,2,0,2.30E-05,12357.03,1240
92,16,1,2,1,3,4,0,2.40E-05,12626.488,1349
93,16,1,2,1,3,8,0,2.30E-05,14189.77,1498
94,16,1,2,1,3,16,0,1.80E-05,13052.088,1424
95,16,1,2,1,4,1,0,1.70E-05,7857.906,787
96,16,1,2,1,4,2,0,2.00E-05,11103.904,1295
97,16,1,2,1,4,4,0,2.10E-05,11521.524,1343
98,16,1,2,1,4,8,0,2.10E-05,14038.416,1492
99,16,1,2,1,4,16,0,1.80E-05,11007.878,1197
100,16,1,2,2,1,1,0,4.70E-05,8754.592,917
101,16,1,2,2,1,2,0,5.00E-05,12864.026,1373
102,16,1,2,2,1,4,0,4.50E-05,15922.494,1800
103,16,1,2,2,1,8,0,4.30E-05,16124.388,1815
104,16,1,2,2,1,16,0,6.90E-05,16737.783,1848
105,16,1,2,2,2,1,0,5.20E-05,8521.044,896
106,16,1,2,2,2,2,0,5.70E-05,11822.636,1368
107,16,1,2,2,2,4,0,4.30E-05,15675.38,1792
108,16,1,2,2,2,8,0,4.30E-05,16020.914,1809
109,16,1,2,2,2,16,0,6.10E-05,16242.492,1843
110,16,1,2,2,3,1,0,5.70E-05,8745.282,917
111,16,1,2,2,3,2,0,6.50E-05,13421.828,1309
112,16,1,2,2,3,4,0,5.60E-05,15972.236,1801
113,16,1,2,2,3,8,0,5.80E-05,15983.94,1815
114,16,1,2,2,3,16,0,7.50E-05,17878.658,1940
115,16,1,2,2,4,1,0,4.60E-05,8543.388,888
116,16,1,2,2,4,2,0,5.00E-05,11819.444,1362
117,16,1,2,2,4,4,0,4.30E-05,12897.542,1411
118,16,1,2,2,4,8,0,4.50E-05,15451.94,1809
119,16,1,2,2,4,16,0,6.90E-05,16212.168,1843
120,16,1,2,3,1,1,0,6.20E-05,9229.668,890
121,16,1,2,3,1,2,0,6.70E-05,13179.502,1382
122,16,1,2,3,1,4,0,6.70E-05,13576.64,1420
123,16,1,2,3,1,8,0,6.70E-05,15120.77,1565
124,16,1,2,3,1,16,0,6.40E-05,19266.646,1837
125,16,1,2,3,2,1,0,6.10E-05,9088.156,869
126,16,1,2,3,2,2,0,6.80E-05,12168.436,1377
127,16,1,2,3,2,4,0,6.60E-05,13512.268,1412
128,16,1,2,3,2,8,0,6.90E-05,14997.878,1559
129,16,1,2,3,2,16,0,6.20E-05,18835.193,1832
130,16,1,2,3,3,1,0,8.40E-05,9323.832,890
131,16,1,2,3,3,2,0,7.80E-05,13565.468,1318
132,16,1,2,3,3,4,0,7.40E-05,13601.644,1421
133,16,1,2,3,3,8,0,7.80E-05,15077.146,1565
134,16,1,2,3,3,16,0,7.80E-05,20778.324,1961
135,16,1,2,3,4,1,0,6.10E-05,9137.366,861
136,16,1,2,3,4,2,0,6.70E-05,12218.178,1373
137,16,1,2,3,4,4,0,7.30E-05,12603.612,1415
138,16,1,2,3,4,8,0,6.90E-05,15056.664,1559
139,16,1,2,3,4,16,0,6.40E-05,19244.303,1830
140,16,1,2,4,1,1,0,9.10E-05,11646.278,1092
141,16,1,2,4,1,2,0,0.000102,14897.862,1482
142,16,1,2,4,1,4,0,9.70E-05,18226.852,1910
143,16,1,2,4,1,8,0,8.80E-05,17911.643,1921
144,16,1,2,4,1,16,0,7.70E-05,19691.447,1928
145,16,1,2,4,2,1,0,8.60E-05,11197.004,1071
146,16,1,2,4,2,2,0,9.60E-05,14388.206,1477
147,16,1,2,4,2,4,0,9.70E-05,18305.588,1902
148,16,1,2,4,2,8,0,8.70E-05,17865.357,1915
149,16,1,2,4,2,16,0,7.70E-05,19586.645,1923
150,16,1,2,4,3,1,0,0.000105,11506.096,1093
151,16,1,2,4,3,2,0,0.000113,15514.45,1418
152,16,1,2,4,3,4,0,0.000107,18517.324,1911
153,16,1,2,4,3,8,0,0.000111,18083.744,1923
154,16,1,2,4,3,16,0,7.60E-05,21337.723,2088
155,16,1,2,4,4,1,0,8.60E-05,11313.512,1063
156,16,1,2,4,4,2,0,9.60E-05,14359.744,1473
157,16,1,2,4,4,4,0,9.50E-05,15113.854,1521
158,16,1,2,4,4,8,0,9.30E-05,17203.018,1915
159,16,1,2,4,4,16,0,7.60E-05,19359.215,1923
160,16,1,3,1,1,1,0,3.00E-05,7823.858,804
161,16,1,3,1,1,2,0,3.50E-05,11783.002,1293
162,16,1,3,1,1,4,0,3.60E-05,12385.492,1339
163,16,1,3,1,1,8,0,3.60E-05,13939.464,1486
164,16,1,3,1,1,16,0,2.60E-05,11016.922,1193
165,16,1,3,1,2,1,0,3.10E-05,7756.294,787
166,16,1,3,1,2,2,0,3.70E-05,10809.176,1292
167,16,1,3,1,2,4,0,3.70E-05,12463.696,1335
168,16,1,3,1,2,8,0,3.80E-05,13843.438,1484
169,16,1,3,1,2,16,0,2.50E-05,10560.2,1192
170,16,1,3,1,3,1,0,2.70E-05,8018.304,804
171,16,1,3,1,3,2,0,3.50E-05,12054.854,1229
172,16,1,3,1,3,4,0,3.50E-05,12605.74,1342
173,16,1,3,1,3,8,0,3.60E-05,14096.404,1486
174,16,1,3,1,3,16,0,2.50E-05,13075.762,1417
175,16,1,3,1,4,1,0,3.10E-05,7702.03,781
176,16,1,3,1,4,2,0,3.70E-05,10796.674,1290
177,16,1,3,1,4,4,0,3.40E-05,11431.616,1338
178,16,1,3,1,4,8,0,3.70E-05,13470.506,1486
179,16,1,3,1,4,16,0,2.50E-05,10530.142,1194
180,16,1,3,2,1,1,0,6.80E-05,8575.84,907
181,16,1,3,2,1,2,0,7.40E-05,13176.842,1364
182,16,1,3,2,1,4,0,6.80E-05,15727.25,1790
183,16,1,3,2,1,8,0,7.00E-05,15941.912,1809
184,16,1,3,2,1,16,0,0.000111,16847.377,1842
185,16,1,3,2,2,1,0,7.90E-05,8556.422,890
186,16,1,3,2,2,2,0,8.40E-05,12198.494,1363
187,16,1,3,2,2,4,0,8.10E-05,15704.906,1786
188,16,1,3,2,2,8,0,7.80E-05,15864.24,1807
189,16,1,3,2,2,16,0,0.000112,16369.64,1841
190,16,1,3,2,3,1,0,6.90E-05,8738.898,907
191,16,1,3,2,3,2,0,7.70E-05,13790.504,1300
192,16,1,3,2,3,4,0,7.00E-05,15855.728,1793
193,16,1,3,2,3,8,0,7.20E-05,15990.058,1809
194,16,1,3,2,3,16,0,9.80E-05,17769.863,1938
195,16,1,3,2,4,1,0,7.70E-05,8527.96,884
196,16,1,3,2,4,2,0,8.80E-05,12304.628,1361
