n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,16,1,1,1,1,1,0,9.00E-06,7375.116
1,16,1,1,1,1,2,0,1.10E-05,11456.62
2,16,1,1,1,1,4,0,1.10E-05,12114.704
3,16,1,1,1,1,8,0,1.10E-05,13496.042
4,16,1,1,1,1,16,0,8.00E-06,10753.848
5,16,1,1,1,2,1,0,8.00E-06,7272.174
6,16,1,1,1,2,2,0,1.00E-05,10456.46
7,16,1,1,1,2,4,0,1.10E-05,12034.904
8,16,1,1,1,2,8,0,1.00E-05,13329.792
9,16,1,1,1,2,16,0,7.00E-06,10241.266
10,16,1,1,1,3,1,0,9.00E-06,7437.094
11,16,1,1,1,3,2,0,1.10E-05,11775.288
12,16,1,1,1,3,4,0,1.10E-05,12355.7
13,16,1,1,1,3,8,0,1.10E-05,13594.462
14,16,1,1,1,3,16,0,8.00E-06,12751.508
15,16,1,1,1,4,1,0,8.00E-06,7291.06
16,16,1,1,1,4,2,0,1.00E-05,10447.416
17,16,1,1,1,4,4,0,1.00E-05,11017.454
18,16,1,1,1,4,8,0,1.00E-05,12924.674
19,16,1,1,1,4,16,0,7.00E-06,10209.08
20,16,1,1,2,1,1,0,2.20E-05,8157.156
21,16,1,1,2,1,2,0,2.40E-05,12411.56
22,16,1,1,2,1,4,0,2.20E-05,15292.872
23,16,1,1,2,1,8,0,2.20E-05,15414.966
24,16,1,1,2,1,16,0,2.70E-05,16208.178
25,16,1,1,2,2,1,0,2.50E-05,8051.82
26,16,1,1,2,2,2,0,2.70E-05,11429.222
27,16,1,1,2,2,4,0,2.50E-05,15223.712
28,16,1,1,2,2,8,0,2.60E-05,15329.048
29,16,1,1,2,2,16,0,2.60E-05,15588.664
30,16,1,1,2,3,1,0,2.20E-05,8119.916
31,16,1,1,2,3,2,0,2.40E-05,12677.028
32,16,1,1,2,3,4,0,2.20E-05,15346.604
33,16,1,1,2,3,8,0,2.30E-05,15397.144
34,16,1,1,2,3,16,0,3.20E-05,17384.695
35,16,1,1,2,4,1,0,2.10E-05,7949.942
36,16,1,1,2,4,2,0,2.30E-05,11285.848
37,16,1,1,2,4,4,0,2.20E-05,12185.726
38,16,1,1,2,4,8,0,2.20E-05,14853.44
39,16,1,1,2,4,16,0,2.60E-05,15675.114
40,16,1,1,3,1,1,0,3.90E-05,8436.19
41,16,1,1,3,1,2,0,4.10E-05,12360.488
42,16,1,1,3,1,4,0,4.20E-05,12996.76
43,16,1,1,3,1,8,0,4.10E-05,14273.56
44,16,1,1,3,1,16,0,2.30E-05,18759.65
45,16,1,1,3,2,1,0,3.90E-05,8289.624
46,16,1,1,3,2,2,0,4.20E-05,11309.256
47,16,1,1,3,2,4,0,4.20E-05,12834.234
48,16,1,1,3,2,8,0,4.10E-05,14182.322
49,16,1,1,3,2,16,0,3.20E-05,18081.615
50,16,1,1,3,3,1,0,4.00E-05,8365.168
51,16,1,1,3,3,2,0,4.30E-05,12693.786
52,16,1,1,3,3,4,0,4.20E-05,12917.226
53,16,1,1,3,3,8,0,4.20E-05,14312.928
54,16,1,1,3,3,16,0,2.50E-05,20295.801
55,16,1,1,3,4,1,0,3.80E-05,8263.822
56,16,1,1,3,4,2,0,4.10E-05,11285.582
57,16,1,1,3,4,4,0,4.00E-05,11867.324
58,16,1,1,3,4,8,0,4.00E-05,13729.59
59,16,1,1,3,4,16,0,3.40E-05,18222.33
60,16,1,1,4,1,1,0,4.50E-05,9457.63
61,16,1,1,4,1,2,0,4.80E-05,13633.298
62,16,1,1,4,1,4,0,4.50E-05,16633.777
63,16,1,1,4,1,8,0,4.70E-05,16704.002
64,16,1,1,4,1,16,0,3.20E-05,18728.527
65,16,1,1,4,2,1,0,4.80E-05,9427.838
66,16,1,1,4,2,2,0,5.00E-05,12740.602
67,16,1,1,4,2,4,0,4.60E-05,16565.682
68,16,1,1,4,2,8,0,4.60E-05,16578.717
69,16,1,1,4,2,16,0,3.30E-05,18296.277
70,16,1,1,4,3,1,0,4.90E-05,9436.084
71,16,1,1,4,3,2,0,5.10E-05,14097.202
72,16,1,1,4,3,4,0,5.00E-05,16694.957
73,16,1,1,4,3,8,0,5.00E-05,16772.363
74,16,1,1,4,3,16,0,3.10E-05,20440.77
75,16,1,1,4,4,1,0,4.50E-05,9325.694
76,16,1,1,4,4,2,0,4.60E-05,12681.018
77,16,1,1,4,4,4,0,4.40E-05,13566.532
78,16,1,1,4,4,8,0,4.60E-05,16294.096
79,16,1,1,4,4,16,0,3.90E-05,18440.449
80,16,1,2,1,1,1,0,1.70E-05,8019.634
81,16,1,2,1,1,2,0,2.20E-05,11932.76
