Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,111111.11111111111,catapult,Area,7375.116,FF,793,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,11456.620,FF,1286,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12114.704,FF,1334,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,13496.042,FF,1480,catapult_asic_area
Throughput,125000.0,catapult,Area,10753.848,FF,1186,catapult_asic_area
Throughput,125000.0,catapult,Area,7272.174,FF,774,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,10456.460,FF,1281,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12034.904,FF,1326,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,13329.792,FF,1474,catapult_asic_area
Throughput,142857.14285714287,catapult,Area,10241.266,FF,1181,catapult_asic_area
Throughput,111111.11111111111,catapult,Area,7437.094,FF,793,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,11775.288,FF,1222,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12355.700,FF,1335,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,13594.462,FF,1480,catapult_asic_area
Throughput,125000.0,catapult,Area,12751.508,FF,1406,catapult_asic_area
Throughput,125000.0,catapult,Area,7291.060,FF,768,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,10447.416,FF,1279,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,11017.454,FF,1329,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,12924.674,FF,1476,catapult_asic_area
Throughput,142857.14285714287,catapult,Area,10209.080,FF,1183,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,8157.156,FF,903,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,12411.560,FF,1357,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15292.872,FF,1785,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15414.966,FF,1804,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,16208.178,FF,1833,catapult_asic_area
Throughput,40000.0,catapult,Area,8051.820,FF,882,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,11429.222,FF,1352,catapult_asic_area
Throughput,40000.0,catapult,Area,15223.712,FF,1777,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15329.048,FF,1798,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15588.664,FF,1828,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,8119.916,FF,900,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,12677.028,FF,1290,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15346.604,FF,1784,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,15397.144,FF,1801,catapult_asic_area
Throughput,31250.0,catapult,Area,17384.695,FF,1925,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,7949.942,FF,876,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,11285.848,FF,1350,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,12185.726,FF,1394,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,14853.440,FF,1800,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15675.114,FF,1830,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,8436.190,FF,874,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,12360.488,FF,1364,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12996.760,FF,1406,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,14273.560,FF,1553,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,18759.650,FF,1820,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,8289.624,FF,855,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,11309.256,FF,1359,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12834.234,FF,1398,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,14182.322,FF,1547,catapult_asic_area
Throughput,31250.0,catapult,Area,18081.615,FF,1815,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,8365.168,FF,875,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,12693.786,FF,1301,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12917.226,FF,1409,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,14312.928,FF,1554,catapult_asic_area
Throughput,40000.0,catapult,Area,20295.801,FF,1944,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,8263.822,FF,849,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,11285.582,FF,1357,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,11867.324,FF,1399,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,13729.590,FF,1549,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,18222.330,FF,1817,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,9457.630,FF,1012,catapult_asic_area
Throughput,20833.333333333332,catapult,Area,13633.298,FF,1466,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,16633.777,FF,1894,catapult_asic_area
Throughput,21276.595744680853,catapult,Area,16704.002,FF,1911,catapult_asic_area
Throughput,31250.0,catapult,Area,18728.527,FF,1901,catapult_asic_area
Throughput,20833.333333333332,catapult,Area,9427.838,FF,991,catapult_asic_area
Throughput,20000.0,catapult,Area,12740.602,FF,1461,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16565.682,FF,1886,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16578.717,FF,1905,catapult_asic_area
Throughput,30303.0303030303,catapult,Area,18296.277,FF,1896,catapult_asic_area
Throughput,20408.163265306124,catapult,Area,9436.084,FF,1009,catapult_asic_area
Throughput,19607.843137254902,catapult,Area,14097.202,FF,1399,catapult_asic_area
Throughput,20000.0,catapult,Area,16694.957,FF,1893,catapult_asic_area
Throughput,20000.0,catapult,Area,16772.363,FF,1908,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,20440.770,FF,2061,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,9325.694,FF,985,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,12681.018,FF,1459,catapult_asic_area
Throughput,22727.272727272728,catapult,Area,13566.532,FF,1503,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16294.096,FF,1907,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,18440.449,FF,1898,catapult_asic_area
Throughput,58823.529411764706,catapult,Area,8019.634,FF,816,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,11932.760,FF,1304,catapult_asic_area
