n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
0,16,1,1,1,1,1,0,1.40E-05,7872.802,824
1,16,1,1,1,1,2,0,1.70E-05,11930.898,1318
2,16,1,1,1,1,4,0,1.80E-05,12636.064,1366
3,16,1,1,1,1,8,0,1.80E-05,14010.752,1511
4,16,1,1,1,1,16,0,1.20E-05,10941.112,1186
5,16,1,1,1,2,1,0,1.40E-05,7513.968,805
6,16,1,1,1,2,2,0,1.70E-05,10658.354,1313
7,16,1,1,1,2,4,0,1.70E-05,12371.394,1358
8,16,1,1,1,2,8,0,1.80E-05,13616.274,1505
9,16,1,1,1,2,16,0,1.20E-05,10446.086,1181
10,16,1,1,1,3,1,0,1.40E-05,7926.002,824
11,16,1,1,1,3,2,0,1.70E-05,12301.968,1254
12,16,1,1,1,3,4,0,1.70E-05,12716.662,1369
13,16,1,1,1,3,8,0,1.70E-05,14076.72,1511
14,16,1,1,1,3,16,0,1.10E-05,13668.942,1573
15,16,1,1,1,4,1,0,1.40E-05,7418.74,799
16,16,1,1,1,4,2,0,1.70E-05,10600.898,1311
17,16,1,1,1,4,4,0,1.70E-05,11311.65,1361
18,16,1,1,1,4,8,0,1.70E-05,13186.152,1507
19,16,1,1,1,4,16,0,1.20E-05,10300.584,1183
20,16,1,1,2,1,1,0,1.50E-05,7496.146,837
21,16,1,1,2,1,2,0,1.80E-05,11959.626,1356
22,16,1,1,2,1,4,0,1.50E-05,14736.134,1721
23,16,1,1,2,1,8,0,1.50E-05,14768.852,1739
24,16,1,1,2,1,16,0,1.70E-05,13240.682,1288
25,16,1,1,2,2,1,0,1.40E-05,7383.362,816
26,16,1,1,2,2,2,0,1.70E-05,10976.756,1351
27,16,1,1,2,2,4,0,1.40E-05,14585.046,1713
28,16,1,1,2,2,8,0,1.40E-05,14666.442,1733
29,16,1,1,2,2,16,0,1.70E-05,12756.03,1283
30,16,1,1,2,3,1,0,1.40E-05,7729.96,837
31,16,1,1,2,3,2,0,1.80E-05,12524.61,1292
32,16,1,1,2,3,4,0,1.50E-05,14976.864,1725
33,16,1,1,2,3,8,0,1.50E-05,15037.778,1739
34,16,1,1,2,3,16,0,1.60E-05,14770.98,1412
35,16,1,1,2,4,1,0,1.30E-05,7562.646,810
36,16,1,1,2,4,2,0,1.80E-05,10941.644,1349
