n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,16,1,1,1,1,1,0,1.40E-05,7872.802
1,16,1,1,1,1,2,0,1.70E-05,11930.898
2,16,1,1,1,1,4,0,1.80E-05,12636.064
3,16,1,1,1,1,8,0,1.80E-05,14010.752
4,16,1,1,1,1,16,0,1.20E-05,10941.112
5,16,1,1,1,2,1,0,1.40E-05,7513.968
6,16,1,1,1,2,2,0,1.70E-05,10658.354
7,16,1,1,1,2,4,0,1.70E-05,12371.394
8,16,1,1,1,2,8,0,1.80E-05,13616.274
9,16,1,1,1,2,16,0,1.20E-05,10446.086
10,16,1,1,1,3,1,0,1.40E-05,7926.002
11,16,1,1,1,3,2,0,1.70E-05,12301.968
12,16,1,1,1,3,4,0,1.70E-05,12716.662
13,16,1,1,1,3,8,0,1.70E-05,14076.72
14,16,1,1,1,3,16,0,1.10E-05,13668.942
15,16,1,1,1,4,1,0,1.40E-05,7418.74
16,16,1,1,1,4,2,0,1.70E-05,10600.898
17,16,1,1,1,4,4,0,1.70E-05,11311.65
18,16,1,1,1,4,8,0,1.70E-05,13186.152
19,16,1,1,1,4,16,0,1.20E-05,10300.584
20,16,1,1,2,1,1,0,1.50E-05,7496.146
21,16,1,1,2,1,2,0,1.80E-05,11959.626
22,16,1,1,2,1,4,0,1.50E-05,14736.134
23,16,1,1,2,1,8,0,1.50E-05,14768.852
24,16,1,1,2,1,16,0,1.70E-05,13240.682
25,16,1,1,2,2,1,0,1.40E-05,7383.362
26,16,1,1,2,2,2,0,1.70E-05,10976.756
27,16,1,1,2,2,4,0,1.40E-05,14585.046
28,16,1,1,2,2,8,0,1.40E-05,14666.442
29,16,1,1,2,2,16,0,1.70E-05,12756.03
30,16,1,1,2,3,1,0,1.40E-05,7729.96
31,16,1,1,2,3,2,0,1.80E-05,12524.61
32,16,1,1,2,3,4,0,1.50E-05,14976.864
33,16,1,1,2,3,8,0,1.50E-05,15037.778
34,16,1,1,2,3,16,0,1.60E-05,14770.98
35,16,1,1,2,4,1,0,1.30E-05,7562.646
36,16,1,1,2,4,2,0,1.80E-05,10941.644
37,16,1,1,2,4,4,0,1.40E-05,12059.376
38,16,1,1,2,4,8,0,1.30E-05,14480.242
39,16,1,1,2,4,16,0,1.60E-05,12717.992
40,16,1,1,3,1,1,0,2.20E-05,8463.056
41,16,1,1,3,1,2,0,2.60E-05,12182.534
42,16,1,1,3,1,4,0,2.60E-05,12721.184
43,16,1,1,3,1,8,0,2.50E-05,14122.472
44,16,1,1,3,1,16,0,2.20E-05,19255.475
45,16,1,1,3,2,1,0,2.00E-05,8288.294
46,16,1,1,3,2,2,0,2.60E-05,11134.494
47,16,1,1,3,2,4,0,2.50E-05,12787.418
48,16,1,1,3,2,8,0,2.60E-05,14018.732
49,16,1,1,3,2,16,0,2.00E-05,18739.168
50,16,1,1,3,3,1,0,2.30E-05,8514.394
51,16,1,1,3,3,2,0,2.70E-05,12722.248
52,16,1,1,3,3,4,0,2.60E-05,12803.112
53,16,1,1,3,3,8,0,2.50E-05,14185.78
54,16,1,1,3,3,16,0,2.10E-05,20716.611
55,16,1,1,3,4,1,0,2.20E-05,8204.238
56,16,1,1,3,4,2,0,2.50E-05,11112.682
57,16,1,1,3,4,4,0,2.50E-05,11653.992
58,16,1,1,3,4,8,0,2.60E-05,13587.28
59,16,1,1,3,4,16,0,2.70E-05,18731.721
60,16,1,1,4,1,1,0,2.90E-05,8945.048
61,16,1,1,4,1,2,0,3.40E-05,13202.644
62,16,1,1,4,1,4,0,2.80E-05,16089.276
63,16,1,1,4,1,8,0,2.70E-05,16165.086
64,16,1,1,4,1,16,0,2.50E-05,19390.602
65,16,1,1,4,2,1,0,2.80E-05,8688.624
66,16,1,1,4,2,2,0,3.20E-05,12583.13
67,16,1,1,4,2,4,0,2.60E-05,15902.012
68,16,1,1,4,2,8,0,2.70E-05,15983.408
69,16,1,1,4,2,16,0,2.50E-05,18819.234
70,16,1,1,4,3,1,0,2.80E-05,8905.148
71,16,1,1,4,3,2,0,3.40E-05,13560.68
72,16,1,1,4,3,4,0,2.90E-05,16369.374
73,16,1,1,4,3,8,0,2.90E-05,16287.712
74,16,1,1,4,3,16,0,2.60E-05,20893.768
75,16,1,1,4,4,1,0,2.90E-05,8802.738
76,16,1,1,4,4,2,0,3.40E-05,12292.126
77,16,1,1,4,4,4,0,2.90E-05,13037.99
78,16,1,1,4,4,8,0,2.80E-05,15697.458
79,16,1,1,4,4,16,0,3.20E-05,18695.012
80,16,1,2,1,1,1,0,2.80E-05,8089.06
81,16,1,2,1,1,2,0,3.50E-05,11996.068
82,16,1,2,1,1,4,0,3.40E-05,12739.272
83,16,1,2,1,1,8,0,3.50E-05,14161.574
84,16,1,2,1,1,16,0,2.40E-05,11181.842
85,16,1,2,1,2,1,0,3.10E-05,8336.44
86,16,1,2,1,2,2,0,3.60E-05,11412.464
87,16,1,2,1,2,4,0,3.60E-05,13051.556
88,16,1,2,1,2,8,0,3.60E-05,14401.24
89,16,1,2,1,2,16,0,2.30E-05,10756.242
90,16,1,2,1,3,1,0,2.80E-05,8166.466
91,16,1,2,1,3,2,0,3.50E-05,12443.214
92,16,1,2,1,3,4,0,3.50E-05,12719.056
93,16,1,2,1,3,8,0,3.40E-05,14261.058
94,16,1,2,1,3,16,0,2.20E-05,13976.172
95,16,1,2,1,4,1,0,2.70E-05,8327.396
96,16,1,2,1,4,2,0,3.40E-05,11390.12
97,16,1,2,1,4,4,0,3.40E-05,11787.258
98,16,1,2,1,4,8,0,3.40E-05,14278.348
99,16,1,2,1,4,16,0,2.30E-05,11064.27
100,16,1,2,2,1,1,0,2.90E-05,8273.664
101,16,1,2,2,1,2,0,4.00E-05,12543.23
102,16,1,2,2,1,4,0,2.90E-05,15286.488
103,16,1,2,2,1,8,0,2.80E-05,15428.798
104,16,1,2,2,1,16,0,4.40E-05,14564.298
105,16,1,2,2,2,1,0,2.90E-05,7858.438
106,16,1,2,2,2,2,0,3.50E-05,11650.002
107,16,1,2,2,2,4,0,2.90E-05,15314.418
108,16,1,2,2,2,8,0,2.90E-05,15406.986
109,16,1,2,2,2,16,0,4.40E-05,14040.278
110,16,1,2,2,3,1,0,2.90E-05,8020.964
111,16,1,2,2,3,2,0,3.40E-05,13135.08
112,16,1,2,2,3,4,0,2.80E-05,15481.466
113,16,1,2,2,3,8,0,2.90E-05,15656.228
114,16,1,2,2,3,16,0,4.50E-05,16082.094
115,16,1,2,2,4,1,0,3.10E-05,7860.566
116,16,1,2,2,4,2,0,3.40E-05,11665.696
117,16,1,2,2,4,4,0,2.80E-05,12205.676
118,16,1,2,2,4,8,0,2.80E-05,14934.304
119,16,1,2,2,4,16,0,4.40E-05,14068.208
120,16,1,2,3,1,1,0,4.20E-05,9223.55
121,16,1,2,3,1,2,0,5.30E-05,13109.81
122,16,1,2,3,1,4,0,5.20E-05,13494.978
123,16,1,2,3,1,8,0,5.20E-05,15065.974
124,16,1,2,3,1,16,0,5.10E-05,20312.025
125,16,1,2,3,2,1,0,4.80E-05,9157.582
126,16,1,2,3,2,2,0,4.70E-05,12480.986
127,16,1,2,3,2,4,0,4.80E-05,13671.602
128,16,1,2,3,2,8,0,4.70E-05,15173.438
129,16,1,2,3,2,16,0,5.00E-05,19808.223
130,16,1,2,3,3,1,0,4.70E-05,9423.05
131,16,1,2,3,3,2,0,5.00E-05,13905.948
132,16,1,2,3,3,4,0,5.00E-05,13843.704
133,16,1,2,3,3,8,0,4.90E-05,15410.444
134,16,1,2,3,3,16,0,5.00E-05,21880.361
135,16,1,2,3,4,1,0,4.10E-05,9204.132
136,16,1,2,3,4,2,0,5.10E-05,12028.786
137,16,1,2,3,4,4,0,5.30E-05,12578.874
138,16,1,2,3,4,8,0,5.20E-05,14990.43
139,16,1,2,3,4,16,0,5.20E-05,20246.59
140,16,1,2,4,1,1,0,5.60E-05,10164.392
141,16,1,2,4,1,2,0,6.90E-05,14555.786
142,16,1,2,4,1,4,0,7.10E-05,18370.227
143,16,1,2,4,1,8,0,5.60E-05,16926.645
144,16,1,2,4,1,16,0,6.70E-05,20338.893
145,16,1,2,4,2,1,0,5.70E-05,10028.732
146,16,1,2,4,2,2,0,6.90E-05,13465.452
147,16,1,2,4,2,4,0,6.40E-05,17888.5
148,16,1,2,4,2,8,0,5.70E-05,16846.844
149,16,1,2,4,2,16,0,6.40E-05,20177.43
150,16,1,2,4,3,1,0,5.70E-05,10188.332
151,16,1,2,4,3,2,0,7.00E-05,14806.092
152,16,1,2,4,3,4,0,6.50E-05,17954.734
153,16,1,2,4,3,8,0,5.60E-05,17093.426
154,16,1,2,4,3,16,0,6.60E-05,22237.068
155,16,1,2,4,4,1,0,5.60E-05,10078.208
156,16,1,2,4,4,2,0,7.50E-05,13322.078
157,16,1,2,4,4,4,0,7.00E-05,15288.084
