Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,71428.57142857143,catapult,Area,7872.802,FF,824,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,11930.898,FF,1318,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,12636.064,FF,1366,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,14010.752,FF,1511,catapult_asic_latency
Throughput,83333.33333333333,catapult,Area,10941.112,FF,1186,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,7513.968,FF,805,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,10658.354,FF,1313,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,12371.394,FF,1358,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,13616.274,FF,1505,catapult_asic_latency
Throughput,83333.33333333333,catapult,Area,10446.086,FF,1181,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,7926.002,FF,824,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,12301.968,FF,1254,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,12716.662,FF,1369,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,14076.720,FF,1511,catapult_asic_latency
Throughput,90909.09090909091,catapult,Area,13668.942,FF,1573,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,7418.740,FF,799,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,10600.898,FF,1311,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,11311.650,FF,1361,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,13186.152,FF,1507,catapult_asic_latency
Throughput,83333.33333333333,catapult,Area,10300.584,FF,1183,catapult_asic_latency
Throughput,66666.66666666667,catapult,Area,7496.146,FF,837,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,11959.626,FF,1356,catapult_asic_latency
Throughput,66666.66666666667,catapult,Area,14736.134,FF,1721,catapult_asic_latency
Throughput,66666.66666666667,catapult,Area,14768.852,FF,1739,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,13240.682,FF,1288,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,7383.362,FF,816,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,10976.756,FF,1351,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,14585.046,FF,1713,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,14666.442,FF,1733,catapult_asic_latency
Throughput,58823.529411764706,catapult,Area,12756.030,FF,1283,catapult_asic_latency
Throughput,71428.57142857143,catapult,Area,7729.960,FF,837,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,12524.610,FF,1292,catapult_asic_latency
Throughput,66666.66666666667,catapult,Area,14976.864,FF,1725,catapult_asic_latency
Throughput,66666.66666666667,catapult,Area,15037.778,FF,1739,catapult_asic_latency
Throughput,62500.0,catapult,Area,14770.980,FF,1412,catapult_asic_latency
Throughput,76923.07692307692,catapult,Area,7562.646,FF,810,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,10941.644,FF,1349,catapult_asic_latency
