Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,111111.11111111111,catapult,Area,7375.116,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,11456.620,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12114.704,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,13496.042,catapult_asic_area
Throughput,125000.0,catapult,Area,10753.848,catapult_asic_area
Throughput,125000.0,catapult,Area,7272.174,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,10456.460,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12034.904,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,13329.792,catapult_asic_area
Throughput,142857.14285714287,catapult,Area,10241.266,catapult_asic_area
Throughput,111111.11111111111,catapult,Area,7437.094,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,11775.288,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,12355.700,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,13594.462,catapult_asic_area
Throughput,125000.0,catapult,Area,12751.508,catapult_asic_area
Throughput,125000.0,catapult,Area,7291.060,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,10447.416,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,11017.454,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,12924.674,catapult_asic_area
Throughput,142857.14285714287,catapult,Area,10209.080,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,8157.156,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,12411.560,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15292.872,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15414.966,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,16208.178,catapult_asic_area
Throughput,40000.0,catapult,Area,8051.820,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,11429.222,catapult_asic_area
Throughput,40000.0,catapult,Area,15223.712,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15329.048,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15588.664,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,8119.916,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,12677.028,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,15346.604,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,15397.144,catapult_asic_area
Throughput,31250.0,catapult,Area,17384.695,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,7949.942,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,11285.848,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,12185.726,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,14853.440,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,15675.114,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,8436.190,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,12360.488,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12996.760,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,14273.560,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,18759.650,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,8289.624,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,11309.256,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12834.234,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,14182.322,catapult_asic_area
Throughput,31250.0,catapult,Area,18081.615,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,8365.168,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,12693.786,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,12917.226,catapult_asic_area
Throughput,23809.52380952381,catapult,Area,14312.928,catapult_asic_area
Throughput,40000.0,catapult,Area,20295.801,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,8263.822,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,11285.582,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,11867.324,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,13729.590,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,18222.330,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,9457.630,catapult_asic_area
Throughput,20833.333333333332,catapult,Area,13633.298,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,16633.777,catapult_asic_area
Throughput,21276.595744680853,catapult,Area,16704.002,catapult_asic_area
Throughput,31250.0,catapult,Area,18728.527,catapult_asic_area
Throughput,20833.333333333332,catapult,Area,9427.838,catapult_asic_area
Throughput,20000.0,catapult,Area,12740.602,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16565.682,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16578.717,catapult_asic_area
Throughput,30303.0303030303,catapult,Area,18296.277,catapult_asic_area
Throughput,20408.163265306124,catapult,Area,9436.084,catapult_asic_area
Throughput,19607.843137254902,catapult,Area,14097.202,catapult_asic_area
Throughput,20000.0,catapult,Area,16694.957,catapult_asic_area
Throughput,20000.0,catapult,Area,16772.363,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,20440.770,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,9325.694,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,12681.018,catapult_asic_area
Throughput,22727.272727272728,catapult,Area,13566.532,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,16294.096,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,18440.449,catapult_asic_area
Throughput,58823.529411764706,catapult,Area,8019.634,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,11932.760,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,12567.436,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,14106.512,catapult_asic_area
Throughput,52631.57894736842,catapult,Area,11113.480,catapult_asic_area
Throughput,55555.555555555555,catapult,Area,7910.308,catapult_asic_area
Throughput,47619.04761904762,catapult,Area,10946.432,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,12542.964,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,13966.596,catapult_asic_area
Throughput,55555.555555555555,catapult,Area,10620.582,catapult_asic_area
Throughput,49999.99999999999,catapult,Area,8117.522,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,12357.030,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,12626.488,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,14189.770,catapult_asic_area
