Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,58823.529411764706,catapult,CLB,231,area
Throughput,58823.529411764706,catapult,LUT,1269,area
Throughput,58823.529411764706,catapult,FF,792,area
Throughput,58823.529411764706,catapult,DSP,0,area
Throughput,58823.529411764706,catapult,BRAM,0,area
Throughput,62500.0,catapult,CLB,401,area
Throughput,62500.0,catapult,LUT,2092,area
Throughput,62500.0,catapult,FF,1314,area
Throughput,62500.0,catapult,DSP,0,area
Throughput,62500.0,catapult,BRAM,0,area
Throughput,62500.0,catapult,CLB,444,area
Throughput,62500.0,catapult,LUT,2748,area
Throughput,62500.0,catapult,FF,1351,area
Throughput,62500.0,catapult,DSP,0,area
Throughput,62500.0,catapult,BRAM,0,area
Throughput,62500.0,catapult,CLB,451,area
Throughput,62500.0,catapult,LUT,2940,area
Throughput,62500.0,catapult,FF,1512,area
Throughput,62500.0,catapult,DSP,0,area
Throughput,62500.0,catapult,BRAM,0,area
Throughput,83333.33333333333,catapult,CLB,318,area
Throughput,83333.33333333333,catapult,LUT,1845,area
Throughput,83333.33333333333,catapult,FF,1214,area
Throughput,83333.33333333333,catapult,DSP,0,area
Throughput,83333.33333333333,catapult,BRAM,0,area
Throughput,58823.529411764706,catapult,CLB,244,area
Throughput,58823.529411764706,catapult,LUT,1269,area
Throughput,58823.529411764706,catapult,FF,774,area
Throughput,58823.529411764706,catapult,DSP,0,area
Throughput,58823.529411764706,catapult,BRAM,0,area
Throughput,49999.99999999999,catapult,CLB,401,area
Throughput,49999.99999999999,catapult,LUT,1812,area
Throughput,49999.99999999999,catapult,FF,1297,area
Throughput,49999.99999999999,catapult,DSP,0,area
Throughput,49999.99999999999,catapult,BRAM,0,area
Throughput,55555.555555555555,catapult,CLB,433,area
Throughput,55555.555555555555,catapult,LUT,2808,area
Throughput,55555.555555555555,catapult,FF,1344,area
Throughput,55555.555555555555,catapult,DSP,0,area
Throughput,55555.555555555555,catapult,BRAM,0,area
Throughput,55555.555555555555,catapult,CLB,445,area
Throughput,55555.555555555555,catapult,LUT,2828,area
Throughput,55555.555555555555,catapult,FF,1498,area
Throughput,55555.555555555555,catapult,DSP,0,area
Throughput,55555.555555555555,catapult,BRAM,0,area
Throughput,83333.33333333333,catapult,CLB,262,area
Throughput,83333.33333333333,catapult,LUT,1684,area
Throughput,83333.33333333333,catapult,FF,1195,area
Throughput,83333.33333333333,catapult,DSP,0,area
Throughput,83333.33333333333,catapult,BRAM,0,area
Throughput,58823.529411764706,catapult,CLB,232,area
Throughput,58823.529411764706,catapult,LUT,1250,area
Throughput,58823.529411764706,catapult,FF,808,area
Throughput,58823.529411764706,catapult,DSP,0,area
