n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,16,1,1,1,1,1,0,1.7E-05,231
1,16,1,1,1,1,2,0,1.6E-05,401
2,16,1,1,1,1,4,0,1.6E-05,444
3,16,1,1,1,1,8,0,1.6E-05,451
4,16,1,1,1,1,16,0,1.2E-05,318
5,16,1,1,1,2,1,0,1.7E-05,244
6,16,1,1,1,2,2,0,2E-05,401
7,16,1,1,1,2,4,0,1.8E-05,433
8,16,1,1,1,2,8,0,1.8E-05,447
9,16,1,1,1,2,16,0,1.2E-05,262
10,16,1,1,1,3,1,0,1.7E-05,232
11,16,1,1,1,3,2,0,1.8E-05,463
12,16,1,1,1,3,4,0,1.8E-05,413
13,16,1,1,1,3,8,0,1.8E-05,446
14,16,1,1,1,3,16,0,1.1E-05,345
15,16,1,1,1,4,1,0,1.6E-05,222
16,16,1,1,1,4,2,0,2E-05,308
17,16,1,1,1,4,4,0,2.1E-05,328
18,16,1,1,1,4,8,0,1.9E-05,391
19,16,1,1,1,4,16,0,1E-05,270
20,16,1,1,2,1,1,0,2.6E-05,229
21,16,1,1,2,1,2,0,3E-05,412
22,16,1,1,2,1,4,0,2.7E-05,449
23,16,1,1,2,1,8,0,2.6E-05,426
24,16,1,1,2,1,16,0,2.7E-05,461
25,16,1,1,2,2,1,0,2.4E-05,252
26,16,1,1,2,2,2,0,3.4E-05,375
27,16,1,1,2,2,4,0,2.6E-05,390
28,16,1,1,2,2,8,0,2.7E-05,392
29,16,1,1,2,2,16,0,2.3E-05,431
30,16,1,1,2,3,1,0,2.9E-05,248
31,16,1,1,2,3,2,0,3.7E-05,473
32,16,1,1,2,3,4,0,2.8E-05,425
33,16,1,1,2,3,8,0,2.8E-05,406
34,16,1,1,2,3,16,0,2.6E-05,474
35,16,1,1,2,4,1,0,2.6E-05,222
36,16,1,1,2,4,2,0,3E-05,366
37,16,1,1,2,4,4,0,2.4E-05,316
38,16,1,1,2,4,8,0,2.6E-05,349
39,16,1,1,2,4,16,0,2.5E-05,400
40,16,1,1,3,1,1,0,4.1E-05,321
41,16,1,1,3,1,2,0,5.2E-05,452
42,16,1,1,3,1,4,0,4.6E-05,448
43,16,1,1,3,1,8,0,4.8E-05,532
44,16,1,1,3,1,16,0,4E-05,666
45,16,1,1,3,2,1,0,3.9E-05,293
46,16,1,1,3,2,2,0,4.9E-05,392
47,16,1,1,3,2,4,0,4.8E-05,455
48,16,1,1,3,2,8,0,4.6E-05,481
49,16,1,1,3,2,16,0,3.7E-05,701
50,16,1,1,3,3,1,0,3.8E-05,300
51,16,1,1,3,3,2,0,4.9E-05,552
52,16,1,1,3,3,4,0,4.8E-05,411
53,16,1,1,3,3,8,0,4.9E-05,514
54,16,1,1,3,3,16,0,3.9E-05,687
55,16,1,1,3,4,1,0,4.4E-05,293
56,16,1,1,3,4,2,0,4.9E-05,372
57,16,1,1,3,4,4,0,4.7E-05,373
58,16,1,1,3,4,8,0,4.9E-05,483
59,16,1,1,3,4,16,0,3.7E-05,616
60,16,1,1,4,1,1,0,5.7E-05,299
61,16,1,1,4,1,2,0,6.4E-05,477
62,16,1,1,4,1,4,0,5.6E-05,559
63,16,1,1,4,1,8,0,5.3E-05,520
64,16,1,1,4,1,16,0,5.4E-05,680
65,16,1,1,4,2,1,0,5.7E-05,288
66,16,1,1,4,2,2,0,7E-05,445
67,16,1,1,4,2,4,0,5.6E-05,500
68,16,1,1,4,2,8,0,5.3E-05,461
69,16,1,1,4,2,16,0,5.2E-05,654
70,16,1,1,4,3,1,0,6.1E-05,303
71,16,1,1,4,3,2,0,7.4E-05,571
72,16,1,1,4,3,4,0,6.3E-05,532
73,16,1,1,4,3,8,0,6.5E-05,482
74,16,1,1,4,3,16,0,5.5E-05,737
75,16,1,1,4,4,1,0,5.8E-05,292
76,16,1,1,4,4,2,0,6.4E-05,424
77,16,1,1,4,4,4,0,5.7E-05,442
78,16,1,1,4,4,8,0,4.9E-05,446
79,16,1,1,4,4,16,0,5.3E-05,629
80,16,1,2,1,1,1,0,3.6E-05,260
81,16,1,2,1,1,2,0,3.5E-05,411
82,16,1,2,1,1,4,0,3.6E-05,419
83,16,1,2,1,1,8,0,3.4E-05,480
84,16,1,2,1,1,16,0,2.7E-05,346
85,16,1,2,1,2,1,0,3.5E-05,271
86,16,1,2,1,2,2,0,4.1E-05,370
87,16,1,2,1,2,4,0,3.5E-05,364
88,16,1,2,1,2,8,0,3.7E-05,428
89,16,1,2,1,2,16,0,2.2E-05,274
90,16,1,2,1,3,1,0,3.7E-05,274
91,16,1,2,1,3,2,0,3.9E-05,497
92,16,1,2,1,3,4,0,4.1E-05,405
93,16,1,2,1,3,8,0,3.9E-05,467
94,16,1,2,1,3,16,0,2.4E-05,348
95,16,1,2,1,4,1,0,3.5E-05,270
96,16,1,2,1,4,2,0,3.9E-05,365
97,16,1,2,1,4,4,0,3.9E-05,436
98,16,1,2,1,4,8,0,3.2E-05,381
99,16,1,2,1,4,16,0,2.5E-05,266
100,16,1,2,2,1,1,0,5.6E-05,262
101,16,1,2,2,1,2,0,7E-05,445
102,16,1,2,2,1,4,0,5.3E-05,510
103,16,1,2,2,1,8,0,5E-05,485
104,16,1,2,2,1,16,0,4.7E-05,479
105,16,1,2,2,2,1,0,5.1E-05,242
106,16,1,2,2,2,2,0,7E-05,399
107,16,1,2,2,2,4,0,5E-05,457
108,16,1,2,2,2,8,0,4.9E-05,423
109,16,1,2,2,2,16,0,4.6E-05,428
110,16,1,2,2,3,1,0,5.5E-05,245
111,16,1,2,2,3,2,0,7.2E-05,521
112,16,1,2,2,3,4,0,5.5E-05,486
113,16,1,2,2,3,8,0,5.2E-05,464
114,16,1,2,2,3,16,0,4.8E-05,549
115,16,1,2,2,4,1,0,5.3E-05,255
116,16,1,2,2,4,2,0,6.6E-05,363
117,16,1,2,2,4,4,0,5.2E-05,399
118,16,1,2,2,4,8,0,5.1E-05,387
119,16,1,2,2,4,16,0,4.4E-05,426
120,16,1,2,3,1,1,0,8.2E-05,333
121,16,1,2,3,1,2,0,9.6E-05,475
122,16,1,2,3,1,4,0,9.9E-05,508
123,16,1,2,3,1,8,0,9.7E-05,537
124,16,1,2,3,1,16,0,7.3E-05,713
125,16,1,2,3,2,1,0,8.5E-05,320
126,16,1,2,3,2,2,0,0.000105,474
127,16,1,2,3,2,4,0,9.3E-05,459
128,16,1,2,3,2,8,0,9.5E-05,493
129,16,1,2,3,2,16,0,7.3E-05,682
130,16,1,2,3,3,1,0,8.3E-05,327
131,16,1,2,3,3,2,0,0.000101,566
132,16,1,2,3,3,4,0,1E-04,501
133,16,1,2,3,3,8,0,0.000109,517
134,16,1,2,3,3,16,0,7.5E-05,716
135,16,1,2,3,4,1,0,8E-05,317
136,16,1,2,3,4,2,0,0.000105,470
137,16,1,2,3,4,4,0,1E-04,439
138,16,1,2,3,4,8,0,0.000102,464
139,16,1,2,3,4,16,0,7.4E-05,604
140,16,1,2,4,1,1,0,0.000112,356
141,16,1,2,4,1,2,0,0.000147,566
142,16,1,2,4,1,4,0,0.000122,621
143,16,1,2,4,1,8,0,0.000112,556
144,16,1,2,4,1,16,0,0.000118,725
145,16,1,2,4,2,1,0,0.000109,361
146,16,1,2,4,2,2,0,0.000142,552
147,16,1,2,4,2,4,0,0.000134,594
148,16,1,2,4,2,8,0,0.000111,522
149,16,1,2,4,2,16,0,0.000115,731
150,16,1,2,4,3,1,0,0.000111,335
151,16,1,2,4,3,2,0,0.00015,548
152,16,1,2,4,3,4,0,0.000119,566
153,16,1,2,4,3,8,0,0.000113,575
154,16,1,2,4,3,16,0,0.00012,748
155,16,1,2,4,4,1,0,0.000109,358
156,16,1,2,4,4,2,0,0.000145,541
157,16,1,2,4,4,4,0,0.00012,504
158,16,1,2,4,4,8,0,9.9E-05,490
159,16,1,2,4,4,16,0,0.000114,678
160,16,1,3,1,1,1,0,6E-05,269
161,16,1,3,1,1,2,0,5.5E-05,424
162,16,1,3,1,1,4,0,5.6E-05,422
163,16,1,3,1,1,8,0,5.8E-05,482
164,16,1,3,1,1,16,0,3.8E-05,338
165,16,1,3,1,2,1,0,5.7E-05,254
166,16,1,3,1,2,2,0,6.3E-05,381
167,16,1,3,1,2,4,0,6.7E-05,376
168,16,1,3,1,2,8,0,6E-05,428
169,16,1,3,1,2,16,0,4.1E-05,305
170,16,1,3,1,3,1,0,6.1E-05,262
171,16,1,3,1,3,2,0,6.5E-05,490
172,16,1,3,1,3,4,0,6.2E-05,388
173,16,1,3,1,3,8,0,6.1E-05,466
174,16,1,3,1,3,16,0,3.8E-05,427
175,16,1,3,1,4,1,0,5.7E-05,249
176,16,1,3,1,4,2,0,6.5E-05,399
177,16,1,3,1,4,4,0,6.6E-05,342
178,16,1,3,1,4,8,0,6E-05,419
179,16,1,3,1,4,16,0,3.6E-05,292
180,16,1,3,2,1,1,0,8.2E-05,250
181,16,1,3,2,1,2,0,0.000114,397
182,16,1,3,2,1,4,0,8.3E-05,395
183,16,1,3,2,1,8,0,8.4E-05,430
184,16,1,3,2,1,16,0,7.1E-05,465
185,16,1,3,2,2,1,0,7.9E-05,243
186,16,1,3,2,2,2,0,0.000114,361
187,16,1,3,2,2,4,0,8.7E-05,394
188,16,1,3,2,2,8,0,8.3E-05,379
189,16,1,3,2,2,16,0,6.9E-05,480
190,16,1,3,2,3,1,0,8.2E-05,263
191,16,1,3,2,3,2,0,0.000137,485
192,16,1,3,2,3,4,0,8.1E-05,415
193,16,1,3,2,3,8,0,9.6E-05,437
194,16,1,3,2,3,16,0,7.2E-05,491
195,16,1,3,2,4,1,0,8.3E-05,237
196,16,1,3,2,4,2,0,0.000106,375
197,16,1,3,2,4,4,0,8.4E-05,347
198,16,1,3,2,4,8,0,8.4E-05,367
199,16,1,3,2,4,16,0,6.8E-05,407
200,16,1,3,3,1,1,0,0.000132,313
201,16,1,3,3,1,2,0,0.000179,514
202,16,1,3,3,1,4,0,0.000186,505
203,16,1,3,3,1,8,0,0.000181,596
204,16,1,3,3,1,16,0,0.000115,693
205,16,1,3,3,2,1,0,0.000132,298
206,16,1,3,3,2,2,0,0.000195,535
207,16,1,3,3,2,4,0,0.00019,447
208,16,1,3,3,2,8,0,0.000199,525
209,16,1,3,3,2,16,0,0.000112,665
210,16,1,3,3,3,1,0,0.000141,416
211,16,1,3,3,3,2,0,0.000178,659
212,16,1,3,3,3,4,0,0.000167,469
213,16,1,3,3,3,8,0,0.000184,533
214,16,1,3,3,3,16,0,0.000111,720
215,16,1,3,3,4,1,0,0.000133,320
216,16,1,3,3,4,2,0,0.000185,566
217,16,1,3,3,4,4,0,0.000189,439
218,16,1,3,3,4,8,0,0.000202,527
219,16,1,3,3,4,16,0,0.000112,623
220,16,1,3,4,1,1,0,0.000198,398
221,16,1,3,4,1,2,0,0.000244,627
222,16,1,3,4,1,4,0,0.000198,645
223,16,1,3,4,1,8,0,0.000198,624
224,16,1,3,4,1,16,0,0.000171,770
225,16,1,3,4,2,1,0,0.000186,394
226,16,1,3,4,2,2,0,0.000238,572
227,16,1,3,4,2,4,0,0.000199,596
228,16,1,3,4,2,8,0,0.000202,568
229,16,1,3,4,2,16,0,0.000168,739
230,16,1,3,4,3,1,0,0.000202,423
231,16,1,3,4,3,2,0,0.000254,642
232,16,1,3,4,3,4,0,0.000183,589
233,16,1,3,4,3,8,0,0.000194,554
234,16,1,3,4,3,16,0,0.000181,816
235,16,1,3,4,4,1,0,0.000205,413
236,16,1,3,4,4,2,0,0.000249,566
237,16,1,3,4,4,4,0,0.000198,524
238,16,1,3,4,4,8,0,0.000197,598
239,16,1,3,4,4,16,0,0.000172,752
240,16,1,4,1,1,1,0,8E-05,335
241,16,1,4,1,1,2,0,8.7E-05,433
242,16,1,4,1,1,4,0,8.4E-05,409
243,16,1,4,1,1,8,0,7.8E-05,537
244,16,1,4,1,1,16,0,6.1E-05,351
245,16,1,4,1,2,1,0,7.8E-05,291
246,16,1,4,1,2,2,0,9.5E-05,398
247,16,1,4,1,2,4,0,9E-05,393
248,16,1,4,1,2,8,0,8.2E-05,491
249,16,1,4,1,2,16,0,6.1E-05,291
250,16,1,4,1,3,1,0,6.7E-05,336
251,16,1,4,1,3,2,0,9.1E-05,618
252,16,1,4,1,3,4,0,9.2E-05,524
253,16,1,4,1,3,8,0,9.8E-05,554
254,16,1,4,1,3,16,0,4.5E-05,392
255,16,1,4,1,4,1,0,6.2E-05,296
256,16,1,4,1,4,2,0,8.6E-05,408
257,16,1,4,1,4,4,0,7.7E-05,411
258,16,1,4,1,4,8,0,7.8E-05,442
259,16,1,4,1,4,16,0,4.5E-05,283
260,16,1,4,2,1,1,0,0.000119,324
261,16,1,4,2,1,2,0,0.000168,531
262,16,1,4,2,1,4,0,0.000121,546
263,16,1,4,2,1,8,0,0.000123,547
264,16,1,4,2,1,16,0,9.8E-05,557
265,16,1,4,2,2,1,0,0.000121,332
266,16,1,4,2,2,2,0,0.000162,516
267,16,1,4,2,2,4,0,0.000122,473
268,16,1,4,2,2,8,0,0.000127,456
269,16,1,4,2,2,16,0,9.9E-05,449
270,16,1,4,2,3,1,0,0.000128,327
271,16,1,4,2,3,2,0,0.000177,609
272,16,1,4,2,3,4,0,0.000125,532
273,16,1,4,2,3,8,0,0.000121,538
274,16,1,4,2,3,16,0,1E-04,518
275,16,1,4,2,4,1,0,0.000123,305
276,16,1,4,2,4,2,0,0.000152,517
277,16,1,4,2,4,4,0,0.00012,446
278,16,1,4,2,4,8,0,0.000124,464
279,16,1,4,2,4,16,0,9.5E-05,449
280,16,1,4,3,1,1,0,0.000193,505
281,16,1,4,3,1,2,0,0.000254,687
282,16,1,4,3,1,4,0,0.000239,718
283,16,1,4,3,1,8,0,0.000256,632
284,16,1,4,3,1,16,0,0.000151,821
285,16,1,4,3,2,1,0,0.000194,504
286,16,1,4,3,2,2,0,0.000238,606
287,16,1,4,3,2,4,0,0.000254,561
288,16,1,4,3,2,8,0,0.000239,599
289,16,1,4,3,2,16,0,0.000152,682
290,16,1,4,3,3,1,0,0.000195,599
291,16,1,4,3,3,2,0,0.000244,770
292,16,1,4,3,3,4,0,0.00025,608
293,16,1,4,3,3,8,0,0.00024,644
294,16,1,4,3,3,16,0,0.000152,732
295,16,1,4,3,4,1,0,0.000186,518
296,16,1,4,3,4,2,0,0.000239,576
297,16,1,4,3,4,4,0,0.000241,571
298,16,1,4,3,4,8,0,0.000258,540
299,16,1,4,3,4,16,0,0.000148,618
300,16,1,4,4,1,1,0,0.000249,531
301,16,1,4,4,1,2,0,0.000334,670
302,16,1,4,4,1,4,0,0.000308,707
303,16,1,4,4,1,8,0,0.000251,712
304,16,1,4,4,1,16,0,0.000231,893
305,16,1,4,4,2,1,0,0.000271,508
307,16,1,4,4,2,4,0,0.000287,623
308,16,1,4,4,2,8,0,0.000264,653
309,16,1,4,4,2,16,0,0.000267,995
310,16,1,4,4,3,1,0,0.00025,528
311,16,1,4,4,3,2,0,0.000334,711
312,16,1,4,4,3,4,0,0.000287,676
313,16,1,4,4,3,8,0,0.000272,648
314,16,1,4,4,3,16,0,0.000244,793
315,16,1,4,4,4,1,0,0.000259,537
316,16,1,4,4,4,2,0,0.00035,623
317,16,1,4,4,4,4,0,0.000302,590
318,16,1,4,4,4,8,0,0.000257,638
319,16,1,4,4,4,16,0,0.000233,675
320,16,2,1,1,1,1,0,1.8E-05,273
321,16,2,1,1,1,2,0,1.8E-05,434
322,16,2,1,1,1,4,0,1.7E-05,488
323,16,2,1,1,1,8,0,1.8E-05,479
324,16,2,1,1,1,16,0,1.4E-05,333
325,16,2,1,1,2,1,0,1.9E-05,286
326,16,2,1,1,2,2,0,2.1E-05,363
327,16,2,1,1,2,4,0,1.9E-05,432
328,16,2,1,1,2,8,0,1.7E-05,448
329,16,2,1,1,2,16,0,1.3E-05,297
330,16,2,1,1,3,1,0,1.9E-05,278
331,16,2,1,1,3,2,0,1.8E-05,447
332,16,2,1,1,3,4,0,1.8E-05,456
333,16,2,1,1,3,8,0,1.9E-05,475
334,16,2,1,1,3,16,0,1.1E-05,448
335,16,2,1,1,4,1,0,1.7E-05,290
336,16,2,1,1,4,2,0,1.9E-05,378
337,16,2,1,1,4,4,0,2E-05,351
338,16,2,1,1,4,8,0,1.6E-05,409
339,16,2,1,1,4,16,0,1.2E-05,251
340,16,2,1,2,1,1,0,2.7E-05,258
341,16,2,1,2,1,2,0,3.4E-05,425
342,16,2,1,2,1,4,0,2.6E-05,531
343,16,2,1,2,1,8,0,2.9E-05,477
344,16,2,1,2,1,16,0,2.4E-05,483
345,16,2,1,2,2,1,0,2.6E-05,269
346,16,2,1,2,2,2,0,3E-05,383
347,16,2,1,2,2,4,0,2.7E-05,454
348,16,2,1,2,2,8,0,2.6E-05,427
349,16,2,1,2,2,16,0,2.4E-05,493
350,16,2,1,2,3,1,0,2.7E-05,282
351,16,2,1,2,3,2,0,3.6E-05,486
352,16,2,1,2,3,4,0,3E-05,495
353,16,2,1,2,3,8,0,2.8E-05,457
354,16,2,1,2,3,16,0,2.5E-05,633
355,16,2,1,2,4,1,0,3.3E-05,248
356,16,2,1,2,4,2,0,3.7E-05,405
357,16,2,1,2,4,4,0,2.8E-05,393
358,16,2,1,2,4,8,0,2.6E-05,411
359,16,2,1,2,4,16,0,2.3E-05,407
360,16,2,1,3,1,1,0,4.1E-05,362
361,16,2,1,3,1,2,0,5.5E-05,486
362,16,2,1,3,1,4,0,5.1E-05,540
363,16,2,1,3,1,8,0,5.6E-05,527
364,16,2,1,3,1,16,0,3.9E-05,679
365,16,2,1,3,2,1,0,4.1E-05,313
366,16,2,1,3,2,2,0,5.3E-05,429
367,16,2,1,3,2,4,0,5E-05,427
368,16,2,1,3,2,8,0,5.1E-05,465
369,16,2,1,3,2,16,0,3.8E-05,624
370,16,2,1,3,3,1,0,4.6E-05,340
371,16,2,1,3,3,2,0,5.7E-05,552
372,16,2,1,3,3,4,0,5.1E-05,505
373,16,2,1,3,3,8,0,5.7E-05,540
375,16,2,1,3,4,1,0,4.4E-05,313
376,16,2,1,3,4,2,0,5.2E-05,429
377,16,2,1,3,4,4,0,5.3E-05,400
378,16,2,1,3,4,8,0,5.2E-05,455
379,16,2,1,3,4,16,0,3.7E-05,606
380,16,2,1,4,1,1,0,5.8E-05,368
381,16,2,1,4,1,2,0,7.3E-05,578
382,16,2,1,4,1,4,0,6.4E-05,621
383,16,2,1,4,1,8,0,5.6E-05,606
384,16,2,1,4,1,16,0,5.8E-05,732
385,16,2,1,4,2,1,0,5.6E-05,348
386,16,2,1,4,2,2,0,7.5E-05,483
387,16,2,1,4,2,4,0,6.3E-05,602
388,16,2,1,4,2,8,0,5.7E-05,508
389,16,2,1,4,2,16,0,5.9E-05,707
390,16,2,1,4,3,1,0,5.8E-05,362
391,16,2,1,4,3,2,0,8.2E-05,602
392,16,2,1,4,3,4,0,7E-05,603
393,16,2,1,4,3,8,0,5.8E-05,604
394,16,2,1,4,3,16,0,5.7E-05,808
395,16,2,1,4,4,1,0,5.2E-05,366
396,16,2,1,4,4,2,0,6.9E-05,525
397,16,2,1,4,4,4,0,6.4E-05,490
398,16,2,1,4,4,8,0,5.7E-05,503
399,16,2,1,4,4,16,0,5.9E-05,697
400,16,2,2,1,1,1,0,3.5E-05,314
401,16,2,2,1,1,2,0,4.5E-05,524
402,16,2,2,1,1,4,0,4.9E-05,506
403,16,2,2,1,1,8,0,4.8E-05,569
404,16,2,2,1,1,16,0,2.4E-05,354
405,16,2,2,1,2,1,0,3.4E-05,308
406,16,2,2,1,2,2,0,4.5E-05,516
407,16,2,2,1,2,4,0,4.4E-05,496
408,16,2,2,1,2,8,0,4.6E-05,524
409,16,2,2,1,2,16,0,2.4E-05,380
410,16,2,2,1,3,1,0,4E-05,363
411,16,2,2,1,3,2,0,4.5E-05,666
412,16,2,2,1,3,4,0,4.5E-05,538
413,16,2,2,1,3,8,0,4.8E-05,581
414,16,2,2,1,3,16,0,2.4E-05,429
415,16,2,2,1,4,1,0,3.7E-05,291
416,16,2,2,1,4,2,0,4.4E-05,475
417,16,2,2,1,4,4,0,4.8E-05,409
418,16,2,2,1,4,8,0,4.6E-05,486
419,16,2,2,1,4,16,0,2.3E-05,316
420,16,2,2,2,1,1,0,6.4E-05,360
421,16,2,2,2,1,2,0,8.1E-05,514
422,16,2,2,2,1,4,0,6.2E-05,597
423,16,2,2,2,1,8,0,7.1E-05,589
424,16,2,2,2,1,16,0,5.1E-05,537
425,16,2,2,2,2,1,0,6.4E-05,338
426,16,2,2,2,2,2,0,8.2E-05,492
427,16,2,2,2,2,4,0,5.9E-05,519
428,16,2,2,2,2,8,0,6.5E-05,514
429,16,2,2,2,2,16,0,5E-05,549
430,16,2,2,2,3,1,0,6.5E-05,331
431,16,2,2,2,3,2,0,8.7E-05,604
432,16,2,2,2,3,4,0,6.2E-05,533
433,16,2,2,2,3,8,0,6.8E-05,562
434,16,2,2,2,3,16,0,4.8E-05,611
