Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,58823.529411764706,catapult,CLB,231,catapult_fpga_latency
Throughput,58823.529411764706,catapult,LUT,1269,catapult_fpga_latency
Throughput,58823.529411764706,catapult,FF,792,catapult_fpga_latency
Throughput,58823.529411764706,catapult,DSP,0,catapult_fpga_latency
Throughput,58823.529411764706,catapult,BRAM,0,catapult_fpga_latency
Throughput,62500.0,catapult,CLB,401,catapult_fpga_latency
Throughput,62500.0,catapult,LUT,2092,catapult_fpga_latency
Throughput,62500.0,catapult,FF,1314,catapult_fpga_latency
Throughput,62500.0,catapult,DSP,0,catapult_fpga_latency
Throughput,62500.0,catapult,BRAM,0,catapult_fpga_latency
Throughput,62500.0,catapult,CLB,444,catapult_fpga_latency
Throughput,62500.0,catapult,LUT,2748,catapult_fpga_latency
Throughput,62500.0,catapult,FF,1351,catapult_fpga_latency
Throughput,62500.0,catapult,DSP,0,catapult_fpga_latency
Throughput,62500.0,catapult,BRAM,0,catapult_fpga_latency
Throughput,62500.0,catapult,CLB,451,catapult_fpga_latency
Throughput,62500.0,catapult,LUT,2940,catapult_fpga_latency
Throughput,62500.0,catapult,FF,1512,catapult_fpga_latency
Throughput,62500.0,catapult,DSP,0,catapult_fpga_latency
Throughput,62500.0,catapult,BRAM,0,catapult_fpga_latency
Throughput,83333.33333333333,catapult,CLB,318,catapult_fpga_latency
Throughput,83333.33333333333,catapult,LUT,1845,catapult_fpga_latency
Throughput,83333.33333333333,catapult,FF,1214,catapult_fpga_latency
Throughput,83333.33333333333,catapult,DSP,0,catapult_fpga_latency
Throughput,83333.33333333333,catapult,BRAM,0,catapult_fpga_latency
Throughput,58823.529411764706,catapult,CLB,244,catapult_fpga_latency
Throughput,58823.529411764706,catapult,LUT,1269,catapult_fpga_latency
Throughput,58823.529411764706,catapult,FF,774,catapult_fpga_latency
Throughput,58823.529411764706,catapult,DSP,0,catapult_fpga_latency
Throughput,58823.529411764706,catapult,BRAM,0,catapult_fpga_latency
Throughput,49999.99999999999,catapult,CLB,401,catapult_fpga_latency
Throughput,49999.99999999999,catapult,LUT,1812,catapult_fpga_latency
Throughput,49999.99999999999,catapult,FF,1297,catapult_fpga_latency
Throughput,49999.99999999999,catapult,DSP,0,catapult_fpga_latency
Throughput,49999.99999999999,catapult,BRAM,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,CLB,433,catapult_fpga_latency
Throughput,55555.555555555555,catapult,LUT,2808,catapult_fpga_latency
Throughput,55555.555555555555,catapult,FF,1344,catapult_fpga_latency
Throughput,55555.555555555555,catapult,DSP,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,BRAM,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,CLB,447,catapult_fpga_latency
Throughput,55555.555555555555,catapult,LUT,2828,catapult_fpga_latency
Throughput,55555.555555555555,catapult,FF,1498,catapult_fpga_latency
Throughput,55555.555555555555,catapult,DSP,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,BRAM,0,catapult_fpga_latency
Throughput,83333.33333333333,catapult,CLB,262,catapult_fpga_latency
Throughput,83333.33333333333,catapult,LUT,1684,catapult_fpga_latency
Throughput,83333.33333333333,catapult,FF,1195,catapult_fpga_latency
Throughput,83333.33333333333,catapult,DSP,0,catapult_fpga_latency
Throughput,83333.33333333333,catapult,BRAM,0,catapult_fpga_latency
Throughput,58823.529411764706,catapult,CLB,232,catapult_fpga_latency
Throughput,58823.529411764706,catapult,LUT,1250,catapult_fpga_latency
Throughput,58823.529411764706,catapult,FF,808,catapult_fpga_latency
Throughput,58823.529411764706,catapult,DSP,0,catapult_fpga_latency
Throughput,58823.529411764706,catapult,BRAM,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,CLB,463,catapult_fpga_latency
Throughput,55555.555555555555,catapult,LUT,2253,catapult_fpga_latency
Throughput,55555.555555555555,catapult,FF,1242,catapult_fpga_latency
Throughput,55555.555555555555,catapult,DSP,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,BRAM,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,CLB,413,catapult_fpga_latency
Throughput,55555.555555555555,catapult,LUT,2659,catapult_fpga_latency
Throughput,55555.555555555555,catapult,FF,1356,catapult_fpga_latency
Throughput,55555.555555555555,catapult,DSP,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,BRAM,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,CLB,446,catapult_fpga_latency
Throughput,55555.555555555555,catapult,LUT,2909,catapult_fpga_latency
Throughput,55555.555555555555,catapult,FF,1499,catapult_fpga_latency
Throughput,55555.555555555555,catapult,DSP,0,catapult_fpga_latency
Throughput,55555.555555555555,catapult,BRAM,0,catapult_fpga_latency
Throughput,90909.09090909091,catapult,CLB,345,catapult_fpga_latency
Throughput,90909.09090909091,catapult,LUT,2078,catapult_fpga_latency
Throughput,90909.09090909091,catapult,FF,1431,catapult_fpga_latency
Throughput,90909.09090909091,catapult,DSP,0,catapult_fpga_latency
Throughput,90909.09090909091,catapult,BRAM,0,catapult_fpga_latency
Throughput,62500.0,catapult,CLB,222,catapult_fpga_latency
Throughput,62500.0,catapult,LUT,1225,catapult_fpga_latency
Throughput,62500.0,catapult,FF,767,catapult_fpga_latency
Throughput,62500.0,catapult,DSP,0,catapult_fpga_latency
Throughput,62500.0,catapult,BRAM,0,catapult_fpga_latency
Throughput,49999.99999999999,catapult,CLB,308,catapult_fpga_latency
Throughput,49999.99999999999,catapult,LUT,1505,catapult_fpga_latency
Throughput,49999.99999999999,catapult,FF,1293,catapult_fpga_latency
Throughput,49999.99999999999,catapult,DSP,0,catapult_fpga_latency
Throughput,49999.99999999999,catapult,BRAM,0,catapult_fpga_latency
Throughput,47619.04761904762,catapult,CLB,328,catapult_fpga_latency
Throughput,47619.04761904762,catapult,LUT,1811,catapult_fpga_latency
Throughput,47619.04761904762,catapult,FF,1344,catapult_fpga_latency
Throughput,47619.04761904762,catapult,DSP,0,catapult_fpga_latency
Throughput,47619.04761904762,catapult,BRAM,0,catapult_fpga_latency
Throughput,52631.57894736842,catapult,CLB,391,catapult_fpga_latency
Throughput,52631.57894736842,catapult,LUT,2686,catapult_fpga_latency
Throughput,52631.57894736842,catapult,FF,1491,catapult_fpga_latency
Throughput,52631.57894736842,catapult,DSP,0,catapult_fpga_latency
Throughput,52631.57894736842,catapult,BRAM,0,catapult_fpga_latency
Throughput,99999.99999999999,catapult,CLB,270,catapult_fpga_latency
Throughput,99999.99999999999,catapult,LUT,1741,catapult_fpga_latency
Throughput,99999.99999999999,catapult,FF,1193,catapult_fpga_latency
Throughput,99999.99999999999,catapult,DSP,0,catapult_fpga_latency
Throughput,99999.99999999999,catapult,BRAM,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,CLB,229,catapult_fpga_latency
Throughput,38461.53846153846,catapult,LUT,1176,catapult_fpga_latency
Throughput,38461.53846153846,catapult,FF,838,catapult_fpga_latency
Throughput,38461.53846153846,catapult,DSP,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,BRAM,0,catapult_fpga_latency
Throughput,33333.333333333336,catapult,CLB,412,catapult_fpga_latency
Throughput,33333.333333333336,catapult,LUT,2248,catapult_fpga_latency
Throughput,33333.333333333336,catapult,FF,1321,catapult_fpga_latency
Throughput,33333.333333333336,catapult,DSP,0,catapult_fpga_latency
Throughput,33333.333333333336,catapult,BRAM,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,CLB,449,catapult_fpga_latency
Throughput,37037.03703703704,catapult,LUT,2467,catapult_fpga_latency
Throughput,37037.03703703704,catapult,FF,1723,catapult_fpga_latency
Throughput,37037.03703703704,catapult,DSP,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,BRAM,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,CLB,426,catapult_fpga_latency
Throughput,38461.53846153846,catapult,LUT,2749,catapult_fpga_latency
Throughput,38461.53846153846,catapult,FF,1749,catapult_fpga_latency
Throughput,38461.53846153846,catapult,DSP,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,BRAM,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,CLB,461,catapult_fpga_latency
Throughput,37037.03703703704,catapult,LUT,2587,catapult_fpga_latency
Throughput,37037.03703703704,catapult,FF,1210,catapult_fpga_latency
Throughput,37037.03703703704,catapult,DSP,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,BRAM,0,catapult_fpga_latency
Throughput,41666.666666666664,catapult,CLB,252,catapult_fpga_latency
Throughput,41666.666666666664,catapult,LUT,1223,catapult_fpga_latency
Throughput,41666.666666666664,catapult,FF,817,catapult_fpga_latency
Throughput,41666.666666666664,catapult,DSP,0,catapult_fpga_latency
Throughput,41666.666666666664,catapult,BRAM,0,catapult_fpga_latency
Throughput,29411.764705882353,catapult,CLB,375,catapult_fpga_latency
Throughput,29411.764705882353,catapult,LUT,1689,catapult_fpga_latency
Throughput,29411.764705882353,catapult,FF,1309,catapult_fpga_latency
Throughput,29411.764705882353,catapult,DSP,0,catapult_fpga_latency
Throughput,29411.764705882353,catapult,BRAM,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,CLB,390,catapult_fpga_latency
Throughput,38461.53846153846,catapult,LUT,2400,catapult_fpga_latency
Throughput,38461.53846153846,catapult,FF,1715,catapult_fpga_latency
Throughput,38461.53846153846,catapult,DSP,0,catapult_fpga_latency
Throughput,38461.53846153846,catapult,BRAM,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,CLB,392,catapult_fpga_latency
Throughput,37037.03703703704,catapult,LUT,2366,catapult_fpga_latency
Throughput,37037.03703703704,catapult,FF,1736,catapult_fpga_latency
Throughput,37037.03703703704,catapult,DSP,0,catapult_fpga_latency
Throughput,37037.03703703704,catapult,BRAM,0,catapult_fpga_latency
Throughput,43478.260869565216,catapult,CLB,431,catapult_fpga_latency
Throughput,43478.260869565216,catapult,LUT,2772,catapult_fpga_latency
Throughput,43478.260869565216,catapult,FF,1201,catapult_fpga_latency
Throughput,43478.260869565216,catapult,DSP,0,catapult_fpga_latency
Throughput,43478.260869565216,catapult,BRAM,0,catapult_fpga_latency
Throughput,34482.75862068965,catapult,CLB,248,catapult_fpga_latency
Throughput,34482.75862068965,catapult,LUT,1229,catapult_fpga_latency
Throughput,34482.75862068965,catapult,FF,853,catapult_fpga_latency
Throughput,34482.75862068965,catapult,DSP,0,catapult_fpga_latency
Throughput,34482.75862068965,catapult,BRAM,0,catapult_fpga_latency
Throughput,27027.027027027027,catapult,CLB,473,catapult_fpga_latency
Throughput,27027.027027027027,catapult,LUT,2342,catapult_fpga_latency
Throughput,27027.027027027027,catapult,FF,1251,catapult_fpga_latency
Throughput,27027.027027027027,catapult,DSP,0,catapult_fpga_latency
Throughput,27027.027027027027,catapult,BRAM,0,catapult_fpga_latency
Throughput,35714.28571428572,catapult,CLB,425,catapult_fpga_latency
