n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2
0,16,1,1,1,1,4,1E-06,218
1,16,1,1,1,1,8,1E-06,272
2,16,1,1,1,1,16,1E-06,551
3,16,1,1,1,2,4,2E-06,292
4,16,1,1,1,2,8,2E-06,418
5,16,1,1,1,2,16,1E-06,586
6,16,1,1,1,3,4,2E-06,356
7,16,1,1,1,3,8,2E-06,502
8,16,1,1,1,3,16,2E-06,860
9,16,1,1,1,4,4,2E-06,414
10,16,1,1,1,4,8,2E-06,590
11,16,1,1,1,4,16,2E-06,849
12,16,1,1,2,1,4,1E-06,238
13,16,1,1,2,1,8,1E-06,8
14,16,1,1,2,1,16,1E-06,579
15,16,1,1,2,2,4,1E-06,303
16,16,1,1,2,2,8,2E-06,417
17,16,1,1,2,2,16,1E-06,608
18,16,1,1,2,3,4,1E-06,357
19,16,1,1,2,3,8,2E-06,527
20,16,1,1,2,3,16,2E-06,895
21,16,1,1,2,4,4,1E-06,442
22,16,1,1,2,4,8,2E-06,659
23,16,1,1,2,4,16,2E-06,881
24,16,1,1,3,1,4,1E-06,248
25,16,1,1,3,1,8,1E-06,353
26,16,1,1,3,1,16,1E-06,541
27,16,1,1,3,2,4,1E-06,327
28,16,1,1,3,2,8,2E-06,479
29,16,1,1,3,2,16,1E-06,585
30,16,1,1,3,3,4,1E-06,389
31,16,1,1,3,3,8,2E-06,556
32,16,1,1,3,3,16,1E-06,869
33,16,1,1,3,4,4,1E-06,469
34,16,1,1,3,4,8,2E-06,637
35,16,1,1,3,4,16,1E-06,872
36,16,1,1,4,1,4,1E-06,234
37,16,1,1,4,1,8,1E-06,312
38,16,1,1,4,1,16,1E-06,598
39,16,1,1,4,2,4,1E-06,308
40,16,1,1,4,2,8,1E-06,437
41,16,1,1,4,2,16,1E-06,630
42,16,1,1,4,3,4,1E-06,407
43,16,1,1,4,3,8,1E-06,528
44,16,1,1,4,3,16,1E-06,912
45,16,1,1,4,4,4,1E-06,433
46,16,1,1,4,4,8,1E-06,600
47,16,1,1,4,4,16,1E-06,900
48,16,1,2,1,1,4,1E-06,430
49,16,1,2,1,1,8,1E-06,647
50,16,1,2,1,1,16,2E-06,925
51,16,1,2,1,2,4,2E-06,579
52,16,1,2,1,2,8,3E-06,764
53,16,1,2,1,2,16,2E-06,1306
54,16,1,2,1,3,4,2E-06,696
55,16,1,2,1,3,8,3E-06,953
56,16,1,2,1,3,16,2E-06,1986
57,16,1,2,1,4,4,2E-06,856
58,16,1,2,1,4,8,3E-06,1152
59,16,1,2,1,4,16,2E-06,1975
60,16,1,2,2,1,4,1E-06,419
61,16,1,2,2,1,8,1E-06,628
62,16,1,2,2,1,16,2E-06,963
63,16,1,2,2,2,4,1E-06,577
64,16,1,2,2,2,8,2E-06,787
65,16,1,2,2,2,16,2E-06,1324
66,16,1,2,2,3,4,2E-06,712
67,16,1,2,2,3,8,2E-06,930
68,16,1,2,2,3,16,2E-06,1669
69,16,1,2,2,4,4,2E-06,856
70,16,1,2,2,4,8,2E-06,1173
71,16,1,2,2,4,16,2E-06,2048
72,16,1,2,3,1,4,1E-06,457
73,16,1,2,3,1,8,1E-06,612
74,16,1,2,3,1,16,1E-06,944
75,16,1,2,3,2,4,1E-06,689
76,16,1,2,3,2,8,2E-06,801
77,16,1,2,3,2,16,1E-06,1311
78,16,1,2,3,3,4,2E-06,724
79,16,1,2,3,3,8,2E-06,990
80,16,1,2,3,3,16,2E-06,1737
81,16,1,2,3,4,4,2E-06,845
82,16,1,2,3,4,8,2E-06,1230
83,16,1,2,3,4,16,1E-06,1956
84,16,1,2,4,1,4,1E-06,436
85,16,1,2,4,1,8,1E-06,672
86,16,1,2,4,1,16,1E-06,979
87,16,1,2,4,2,4,1E-06,586
88,16,1,2,4,2,8,1E-06,794
89,16,1,2,4,2,16,1E-06,1326
90,16,1,2,4,3,4,2E-06,696
91,16,1,2,4,3,8,2E-06,984
92,16,1,2,4,3,16,2E-06,1829
93,16,1,2,4,4,4,2E-06,896
94,16,1,2,4,4,8,2E-06,1166
95,16,1,2,4,4,16,2E-06,2010
96,16,1,3,1,1,4,2E-06,622
97,16,1,3,1,1,8,2E-06,810
98,16,1,3,1,1,16,3E-06,1371
99,16,1,3,1,2,4,3E-06,906
100,16,1,3,1,2,8,4E-06,1127
101,16,1,3,1,2,16,4E-06,1878
102,16,1,3,1,3,4,4E-06,1101
103,16,1,3,1,3,8,4E-06,1439
104,16,1,3,1,3,16,4E-06,2599
105,16,1,3,1,4,4,4E-06,1277
106,16,1,3,1,4,8,4E-06,1717
107,16,1,3,1,4,16,4E-06,2986
108,16,1,3,2,1,4,2E-06,638
109,16,1,3,2,1,8,2E-06,850
110,16,1,3,2,1,16,3E-06,1366
111,16,1,3,2,2,4,3E-06,881
112,16,1,3,2,2,8,3E-06,1154
113,16,1,3,2,2,16,3E-06,1902
114,16,1,3,2,3,4,3E-06,1094
115,16,1,3,2,3,8,4E-06,1400
116,16,1,3,2,3,16,4E-06,2421
117,16,1,3,2,4,4,3E-06,1272
118,16,1,3,2,4,8,4E-06,1772
119,16,1,3,2,4,16,4E-06,2859
120,16,1,3,3,1,4,2E-06,650
121,16,1,3,3,1,8,2E-06,892
122,16,1,3,3,1,16,2E-06,1398
123,16,1,3,3,2,4,3E-06,935
124,16,1,3,3,2,8,4E-06,1176
125,16,1,3,3,2,16,3E-06,1979
126,16,1,3,3,3,4,3E-06,1123
127,16,1,3,3,3,8,4E-06,1546
128,16,1,3,3,3,16,3E-06,2471
129,16,1,3,3,4,4,3E-06,1297
130,16,1,3,3,4,8,4E-06,1828
131,16,1,3,3,4,16,3E-06,2861
132,16,1,3,4,1,4,2E-06,668
133,16,1,3,4,1,8,2E-06,874
134,16,1,3,4,1,16,3E-06,1426
135,16,1,3,4,2,4,3E-06,931
136,16,1,3,4,2,8,3E-06,1236
137,16,1,3,4,2,16,3E-06,1986
138,16,1,3,4,3,4,3E-06,1096
139,16,1,3,4,3,8,3E-06,1485
140,16,1,3,4,3,16,3E-06,2442
141,16,1,3,4,4,4,4E-06,1288
142,16,1,3,4,4,8,3E-06,1794
143,16,1,3,4,4,16,4E-06,3119
144,16,1,4,1,1,4,1E-06,763
145,16,1,4,1,1,8,2E-06,1091
146,16,1,4,1,1,16,2E-06,1753
147,16,1,4,1,2,4,3E-06,1148
148,16,1,4,1,2,8,3E-06,1572
149,16,1,4,1,2,16,3E-06,2427
150,16,1,4,1,3,4,3E-06,1384
151,16,1,4,1,3,8,4E-06,1885
152,16,1,4,1,3,16,3E-06,3385
153,16,1,4,1,4,4,3E-06,1624
154,16,1,4,1,4,8,4E-06,2361
155,16,1,4,1,4,16,3E-06,3134
156,16,1,4,2,1,4,1E-06,778
157,16,1,4,2,1,8,1E-06,1126
158,16,1,4,2,1,16,2E-06,1947
159,16,1,4,2,2,4,2E-06,1145
160,16,1,4,2,2,8,3E-06,1495
161,16,1,4,2,2,16,2E-06,2493
162,16,1,4,2,3,4,2E-06,1451
163,16,1,4,2,3,8,3E-06,1933
164,16,1,4,2,3,16,3E-06,3316
165,16,1,4,2,4,4,3E-06,1622
166,16,1,4,2,4,8,3E-06,2307
167,16,1,4,2,4,16,3E-06,3919
168,16,1,4,3,1,4,1E-06,815
169,16,1,4,3,1,8,2E-06,1054
170,16,1,4,3,1,16,1E-06,1974
171,16,1,4,3,2,4,2E-06,1196
172,16,1,4,3,2,8,3E-06,1540
173,16,1,4,3,2,16,2E-06,2630
174,16,1,4,3,3,4,2E-06,1358
175,16,1,4,3,3,8,3E-06,1955
176,16,1,4,3,3,16,2E-06,3358
177,16,1,4,3,4,4,3E-06,1648
178,16,1,4,3,4,8,3E-06,2359
179,16,1,4,3,4,16,2E-06,3882
180,16,1,4,4,1,4,1E-06,780
181,16,1,4,4,1,8,1E-06,1129
182,16,1,4,4,1,16,2E-06,1746
183,16,1,4,4,2,4,2E-06,1140
184,16,1,4,4,2,8,2E-06,1657
185,16,1,4,4,2,16,2E-06,2490
186,16,1,4,4,3,4,2E-06,1362
187,16,1,4,4,3,8,2E-06,1887
188,16,1,4,4,3,16,2E-06,3312
189,16,1,4,4,4,4,3E-06,1658
190,16,1,4,4,4,8,3E-06,2353
191,16,1,4,4,4,16,2E-06,4387
192,16,2,1,1,1,4,1E-06,435
193,16,2,1,1,1,8,2E-06,694
194,16,2,1,1,1,16,1E-06,1007
195,16,2,1,1,2,4,2E-06,587
196,16,2,1,1,2,8,2E-06,757
197,16,2,1,1,2,16,2E-06,1233
198,16,2,1,1,3,4,2E-06,714
199,16,2,1,1,3,8,2E-06,974
200,16,2,1,1,3,16,2E-06,1875
201,16,2,1,1,4,4,2E-06,809
