Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,214.96130696474634,vivado,CLB,218,FF,834,None
Throughput,214.96130696474634,vivado,LUT,1199,FF,834,None
Throughput,214.96130696474634,vivado,FF,834,FF,834,None
Throughput,214.96130696474634,vivado,DSP,3,FF,834,None
Throughput,214.96130696474634,vivado,BRAM,0,FF,834,None
Throughput,160.77170418006432,vivado,CLB,272,FF,840,None
Throughput,160.77170418006432,vivado,LUT,1506,FF,840,None
Throughput,160.77170418006432,vivado,FF,840,FF,840,None
Throughput,160.77170418006432,vivado,DSP,3,FF,840,None
Throughput,160.77170418006432,vivado,BRAM,0,FF,840,None
Throughput,133.95847287340925,vivado,CLB,551,FF,1152,None
Throughput,133.95847287340925,vivado,LUT,3019,FF,1152,None
Throughput,133.95847287340925,vivado,FF,1152,FF,1152,None
Throughput,133.95847287340925,vivado,DSP,3,FF,1152,None
Throughput,133.95847287340925,vivado,BRAM,0,FF,1152,None
Throughput,125.91286829513977,vivado,CLB,292,FF,1029,None
Throughput,125.91286829513977,vivado,LUT,1571,FF,1029,None
Throughput,125.91286829513977,vivado,FF,1029,FF,1029,None
Throughput,125.91286829513977,vivado,DSP,3,FF,1029,None
Throughput,125.91286829513977,vivado,BRAM,0,FF,1029,None
Throughput,98.62905611993293,vivado,CLB,418,FF,1036,None
Throughput,98.62905611993293,vivado,LUT,2232,FF,1036,None
Throughput,98.62905611993293,vivado,FF,1036,FF,1036,None
Throughput,98.62905611993293,vivado,DSP,3,FF,1036,None
Throughput,98.62905611993293,vivado,BRAM,0,FF,1036,None
Throughput,133.8508901084192,vivado,CLB,586,FF,1245,None
Throughput,133.8508901084192,vivado,LUT,3317,FF,1245,None
Throughput,133.8508901084192,vivado,FF,1245,FF,1245,None
Throughput,133.8508901084192,vivado,DSP,3,FF,1245,None
Throughput,133.8508901084192,vivado,BRAM,0,FF,1245,None
Throughput,119.43150603129105,vivado,CLB,356,FF,1128,None
Throughput,119.43150603129105,vivado,LUT,1902,FF,1128,None
Throughput,119.43150603129105,vivado,FF,1128,FF,1128,None
Throughput,119.43150603129105,vivado,DSP,3,FF,1128,None
Throughput,119.43150603129105,vivado,BRAM,0,FF,1128,None
Throughput,82.14901831923109,vivado,CLB,502,FF,1137,None
Throughput,82.14901831923109,vivado,LUT,2870,FF,1137,None
Throughput,82.14901831923109,vivado,FF,1137,FF,1137,None
Throughput,82.14901831923109,vivado,DSP,3,FF,1137,None
Throughput,82.14901831923109,vivado,BRAM,0,FF,1137,None
Throughput,120.07684918347742,vivado,CLB,860,FF,1288,None
Throughput,120.07684918347742,vivado,LUT,4573,FF,1288,None
Throughput,120.07684918347742,vivado,FF,1288,FF,1288,None
Throughput,120.07684918347742,vivado,DSP,3,FF,1288,None
Throughput,120.07684918347742,vivado,BRAM,0,FF,1288,None
Throughput,112.87955751213454,vivado,CLB,414,FF,1227,None
Throughput,112.87955751213454,vivado,LUT,2261,FF,1227,None
Throughput,112.87955751213454,vivado,FF,1227,FF,1227,None
Throughput,112.87955751213454,vivado,DSP,3,FF,1227,None
Throughput,112.87955751213454,vivado,BRAM,0,FF,1227,None
Throughput,81.30081300813008,vivado,CLB,590,FF,1236,None
Throughput,81.30081300813008,vivado,LUT,3453,FF,1236,None
Throughput,81.30081300813008,vivado,FF,1236,FF,1236,None
Throughput,81.30081300813008,vivado,DSP,3,FF,1236,None
Throughput,81.30081300813008,vivado,BRAM,0,FF,1236,None
Throughput,117.31581417175035,vivado,CLB,849,FF,1355,None
Throughput,117.31581417175035,vivado,LUT,4569,FF,1355,None
Throughput,117.31581417175035,vivado,FF,1355,FF,1355,None
Throughput,117.31581417175035,vivado,DSP,3,FF,1355,None
Throughput,117.31581417175035,vivado,BRAM,0,FF,1355,None
Throughput,315.6565656565657,vivado,CLB,238,FF,824,None
Throughput,315.6565656565657,vivado,LUT,1232,FF,824,None
Throughput,315.6565656565657,vivado,FF,824,FF,824,None
Throughput,315.6565656565657,vivado,DSP,3,FF,824,None
Throughput,315.6565656565657,vivado,BRAM,0,FF,824,None
Throughput,236.18327822390177,vivado,CLB,8 ,FF,0,None
Throughput,236.18327822390177,vivado,LUT,0,FF,0,None
Throughput,236.18327822390177,vivado,FF,0,FF,0,None
Throughput,236.18327822390177,vivado,DSP,0,FF,0,None
Throughput,236.18327822390177,vivado,BRAM,0,FF,0,None
Throughput,150.42117930204572,vivado,CLB,579,FF,1190,None
Throughput,150.42117930204572,vivado,LUT,3380,FF,1190,None
Throughput,150.42117930204572,vivado,FF,1190,FF,1190,None
Throughput,150.42117930204572,vivado,DSP,3,FF,1190,None
Throughput,150.42117930204572,vivado,BRAM,0,FF,1190,None
Throughput,174.24638438752396,vivado,CLB,303,FF,1019,None
Throughput,174.24638438752396,vivado,LUT,1602,FF,1019,None
Throughput,174.24638438752396,vivado,FF,1019,FF,1019,None
Throughput,174.24638438752396,vivado,DSP,3,FF,1019,None
Throughput,174.24638438752396,vivado,BRAM,0,FF,1019,None
Throughput,129.60082944530845,vivado,CLB,417,FF,1025,None
Throughput,129.60082944530845,vivado,LUT,2325,FF,1025,None
Throughput,129.60082944530845,vivado,FF,1025,FF,1025,None
Throughput,129.60082944530845,vivado,DSP,3,FF,1025,None
Throughput,129.60082944530845,vivado,BRAM,0,FF,1025,None
Throughput,152.95197308045272,vivado,CLB,608,FF,1284,None
Throughput,152.95197308045272,vivado,LUT,3550,FF,1284,None
Throughput,152.95197308045272,vivado,FF,1284,FF,1284,None
Throughput,152.95197308045272,vivado,DSP,3,FF,1284,None
Throughput,152.95197308045272,vivado,BRAM,0,FF,1284,None
Throughput,172.92062943109113,vivado,CLB,357,FF,1118,None
Throughput,172.92062943109113,vivado,LUT,1934,FF,1118,None
Throughput,172.92062943109113,vivado,FF,1118,FF,1118,None
Throughput,172.92062943109113,vivado,DSP,3,FF,1118,None
Throughput,172.92062943109113,vivado,BRAM,0,FF,1118,None
Throughput,126.598303582732,vivado,CLB,527,FF,1126,None
Throughput,126.598303582732,vivado,LUT,2933,FF,1126,None
Throughput,126.598303582732,vivado,FF,1126,FF,1126,None
Throughput,126.598303582732,vivado,DSP,3,FF,1126,None
Throughput,126.598303582732,vivado,BRAM,0,FF,1126,None
Throughput,114.11617026132603,vivado,CLB,895,FF,1357,None
Throughput,114.11617026132603,vivado,LUT,4893,FF,1357,None
Throughput,114.11617026132603,vivado,FF,1357,FF,1357,None
Throughput,114.11617026132603,vivado,DSP,3,FF,1357,None
Throughput,114.11617026132603,vivado,BRAM,0,FF,1357,None
Throughput,149.23145799134457,vivado,CLB,442,FF,1220,None
Throughput,149.23145799134457,vivado,LUT,2422,FF,1220,None
Throughput,149.23145799134457,vivado,FF,1220,FF,1220,None
Throughput,149.23145799134457,vivado,DSP,3,FF,1220,None
Throughput,149.23145799134457,vivado,BRAM,0,FF,1220,None
Throughput,109.70927043335162,vivado,CLB,659,FF,1245,None
Throughput,109.70927043335162,vivado,LUT,3776,FF,1245,None
Throughput,109.70927043335162,vivado,FF,1245,FF,1245,None
Throughput,109.70927043335162,vivado,DSP,3,FF,1245,None
Throughput,109.70927043335162,vivado,BRAM,0,FF,1245,None
Throughput,101.28633647320977,vivado,CLB,881,FF,1425,None
Throughput,101.28633647320977,vivado,LUT,4889,FF,1425,None
Throughput,101.28633647320977,vivado,FF,1425,FF,1425,None
Throughput,101.28633647320977,vivado,DSP,3,FF,1425,None
Throughput,101.28633647320977,vivado,BRAM,0,FF,1425,None
Throughput,277.3925104022191,vivado,CLB,248,FF,921,None
Throughput,277.3925104022191,vivado,LUT,1312,FF,921,None
Throughput,277.3925104022191,vivado,FF,921,FF,921,None
Throughput,277.3925104022191,vivado,DSP,3,FF,921,None
Throughput,277.3925104022191,vivado,BRAM,0,FF,921,None
Throughput,221.43489813994685,vivado,CLB,353,FF,1147,None
Throughput,221.43489813994685,vivado,LUT,1833,FF,1147,None
Throughput,221.43489813994685,vivado,FF,1147,FF,1147,None
Throughput,221.43489813994685,vivado,DSP,3,FF,1147,None
Throughput,221.43489813994685,vivado,BRAM,0,FF,1147,None
Throughput,218.96211955331728,vivado,CLB,541,FF,1210,None
Throughput,218.96211955331728,vivado,LUT,3039,FF,1210,None
Throughput,218.96211955331728,vivado,FF,1210,FF,1210,None
Throughput,218.96211955331728,vivado,DSP,3,FF,1210,None
Throughput,218.96211955331728,vivado,BRAM,0,FF,1210,None
Throughput,167.9261125104954,vivado,CLB,327,FF,1114,None
Throughput,167.9261125104954,vivado,LUT,1687,FF,1114,None
Throughput,167.9261125104954,vivado,FF,1114,FF,1114,None
Throughput,167.9261125104954,vivado,DSP,3,FF,1114,None
Throughput,167.9261125104954,vivado,BRAM,0,FF,1114,None
Throughput,112.89230074508919,vivado,CLB,479,FF,1343,None
Throughput,112.89230074508919,vivado,LUT,2463,FF,1343,None
Throughput,112.89230074508919,vivado,FF,1343,FF,1343,None
Throughput,112.89230074508919,vivado,DSP,3,FF,1343,None
Throughput,112.89230074508919,vivado,BRAM,0,FF,1343,None
Throughput,235.12814483893723,vivado,CLB,585,FF,1303,None
Throughput,235.12814483893723,vivado,LUT,3399,FF,1303,None
Throughput,235.12814483893723,vivado,FF,1303,FF,1303,None
Throughput,235.12814483893723,vivado,DSP,3,FF,1303,None
Throughput,235.12814483893723,vivado,BRAM,0,FF,1303,None
Throughput,149.83518130056936,vivado,CLB,389,FF,1213,None
Throughput,149.83518130056936,vivado,LUT,2035,FF,1213,None
Throughput,149.83518130056936,vivado,FF,1213,FF,1213,None
Throughput,149.83518130056936,vivado,DSP,3,FF,1213,None
Throughput,149.83518130056936,vivado,BRAM,0,FF,1213,None
Throughput,117.46740279572418,vivado,CLB,556,FF,1444,None
Throughput,117.46740279572418,vivado,LUT,3146,FF,1444,None
Throughput,117.46740279572418,vivado,FF,1444,FF,1444,None
Throughput,117.46740279572418,vivado,DSP,3,FF,1444,None
Throughput,117.46740279572418,vivado,BRAM,0,FF,1444,None
Throughput,156.12802498048399,vivado,CLB,869,FF,1346,None
Throughput,156.12802498048399,vivado,LUT,4655,FF,1346,None
Throughput,156.12802498048399,vivado,FF,1346,FF,1346,None
Throughput,156.12802498048399,vivado,DSP,3,FF,1346,None
Throughput,156.12802498048399,vivado,BRAM,0,FF,1346,None
Throughput,134.35442697836893,vivado,CLB,469,FF,1312,None
Throughput,134.35442697836893,vivado,LUT,2493,FF,1312,None
Throughput,134.35442697836893,vivado,FF,1312,FF,1312,None
Throughput,134.35442697836893,vivado,DSP,3,FF,1312,None
Throughput,134.35442697836893,vivado,BRAM,0,FF,1312,None
Throughput,111.65698972755693,vivado,CLB,637,FF,1544,None
Throughput,111.65698972755693,vivado,LUT,3537,FF,1544,None
Throughput,111.65698972755693,vivado,FF,1544,FF,1544,None
Throughput,111.65698972755693,vivado,DSP,3,FF,1544,None
Throughput,111.65698972755693,vivado,BRAM,0,FF,1544,None
Throughput,171.76228100309172,vivado,CLB,872,FF,1413,None
Throughput,171.76228100309172,vivado,LUT,4656,FF,1413,None
Throughput,171.76228100309172,vivado,FF,1413,FF,1413,None
Throughput,171.76228100309172,vivado,DSP,3,FF,1413,None
Throughput,171.76228100309172,vivado,BRAM,0,FF,1413,None
Throughput,313.9717425431711,vivado,CLB,234,FF,891,None
Throughput,313.9717425431711,vivado,LUT,1267,FF,891,None
Throughput,313.9717425431711,vivado,FF,891,FF,891,None
Throughput,313.9717425431711,vivado,DSP,3,FF,891,None
Throughput,313.9717425431711,vivado,BRAM,0,FF,891,None
Throughput,326.90421706440014,vivado,CLB,312,FF,894,None
