n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2
0000,16,1,1,1,1,4,0.0000,218
0001,16,1,1,1,1,8,0.0000,272
0002,16,1,1,1,1,16,0.0000,551
0003,16,1,1,1,2,4,0.0000,292
0004,16,1,1,1,2,8,0.0000,418
0005,16,1,1,1,2,16,0.0000,586
0006,16,1,1,1,3,4,0.0000,356
0007,16,1,1,1,3,8,0.0000,502
0008,16,1,1,1,3,16,0.0000,860
0009,16,1,1,1,4,4,0.0000,414
0010,16,1,1,1,4,8,0.0000,590
0011,16,1,1,1,4,16,0.0000,849
0012,16,1,1,2,1,4,0.0000,238
0014,16,1,1,2,1,16,0.0000,579
0015,16,1,1,2,2,4,0.0000,303
0016,16,1,1,2,2,8,0.0000,417
0017,16,1,1,2,2,16,0.0000,608
0018,16,1,1,2,3,4,0.0000,357
0019,16,1,1,2,3,8,0.0000,527
0020,16,1,1,2,3,16,0.0000,895
0021,16,1,1,2,4,4,0.0000,442
0022,16,1,1,2,4,8,0.0000,659
0023,16,1,1,2,4,16,0.0000,881
0024,16,1,1,3,1,4,0.0000,248
0025,16,1,1,3,1,8,0.0000,353
0026,16,1,1,3,1,16,0.0000,541
0027,16,1,1,3,2,4,0.0000,327
0028,16,1,1,3,2,8,0.0000,479
0029,16,1,1,3,2,16,0.0000,585
0030,16,1,1,3,3,4,0.0000,389
0031,16,1,1,3,3,8,0.0000,556
0032,16,1,1,3,3,16,0.0000,869
0033,16,1,1,3,4,4,0.0000,469
0034,16,1,1,3,4,8,0.0000,637
0035,16,1,1,3,4,16,0.0000,872
0036,16,1,1,4,1,4,0.0000,234
0037,16,1,1,4,1,8,0.0000,312
0038,16,1,1,4,1,16,0.0000,598
0039,16,1,1,4,2,4,0.0000,308
0040,16,1,1,4,2,8,0.0000,437
0041,16,1,1,4,2,16,0.0000,630
0042,16,1,1,4,3,4,0.0000,407
0043,16,1,1,4,3,8,0.0000,528
0044,16,1,1,4,3,16,0.0000,912
0045,16,1,1,4,4,4,0.0000,433
0046,16,1,1,4,4,8,0.0000,600
0047,16,1,1,4,4,16,0.0000,900
0048,16,1,2,1,1,4,0.0000,430
0049,16,1,2,1,1,8,0.0000,647
0050,16,1,2,1,1,16,0.0000,925
0051,16,1,2,1,2,4,0.0000,579
0052,16,1,2,1,2,8,0.0000,764
0053,16,1,2,1,2,16,0.0000,1306
0054,16,1,2,1,3,4,0.0000,696
0055,16,1,2,1,3,8,0.0000,953
0056,16,1,2,1,3,16,0.0000,1986
0057,16,1,2,1,4,4,0.0000,856
0058,16,1,2,1,4,8,0.0000,1152
0059,16,1,2,1,4,16,0.0000,1975
0060,16,1,2,2,1,4,0.0000,419
0061,16,1,2,2,1,8,0.0000,628
0062,16,1,2,2,1,16,0.0000,963
0063,16,1,2,2,2,4,0.0000,577
0064,16,1,2,2,2,8,0.0000,787
0065,16,1,2,2,2,16,0.0000,1324
0066,16,1,2,2,3,4,0.0000,712
0067,16,1,2,2,3,8,0.0000,930
0068,16,1,2,2,3,16,0.0000,1669
0069,16,1,2,2,4,4,0.0000,856
0070,16,1,2,2,4,8,0.0000,1173
0071,16,1,2,2,4,16,0.0000,2048
0072,16,1,2,3,1,4,0.0000,457
0073,16,1,2,3,1,8,0.0000,612
0074,16,1,2,3,1,16,0.0000,944
0075,16,1,2,3,2,4,0.0000,689
0076,16,1,2,3,2,8,0.0000,801
0077,16,1,2,3,2,16,0.0000,1311
0078,16,1,2,3,3,4,0.0000,724
0079,16,1,2,3,3,8,0.0000,990
0080,16,1,2,3,3,16,0.0000,1737
0081,16,1,2,3,4,4,0.0000,845
0082,16,1,2,3,4,8,0.0000,1230
0083,16,1,2,3,4,16,0.0000,1956
0084,16,1,2,4,1,4,0.0000,436
0085,16,1,2,4,1,8,0.0000,672
0086,16,1,2,4,1,16,0.0000,979
0087,16,1,2,4,2,4,0.0000,586
0088,16,1,2,4,2,8,0.0000,794
0089,16,1,2,4,2,16,0.0000,1326
0090,16,1,2,4,3,4,0.0000,696
0091,16,1,2,4,3,8,0.0000,984
0092,16,1,2,4,3,16,0.0000,1829
0093,16,1,2,4,4,4,0.0000,896
0094,16,1,2,4,4,8,0.0000,1166
0095,16,1,2,4,4,16,0.0000,2010
0096,16,1,3,1,1,4,0.0000,622
0097,16,1,3,1,1,8,0.0000,810
0098,16,1,3,1,1,16,0.0000,1371
0099,16,1,3,1,2,4,0.0000,906
0100,16,1,3,1,2,8,0.0000,1127
0101,16,1,3,1,2,16,0.0000,1878
0102,16,1,3,1,3,4,0.0000,1101
0103,16,1,3,1,3,8,0.0000,1439
0104,16,1,3,1,3,16,0.0000,2599
0105,16,1,3,1,4,4,0.0000,1277
0106,16,1,3,1,4,8,0.0000,1717
0107,16,1,3,1,4,16,0.0000,2986
0108,16,1,3,2,1,4,0.0000,638
0109,16,1,3,2,1,8,0.0000,850
0110,16,1,3,2,1,16,0.0000,1366
0111,16,1,3,2,2,4,0.0000,881
0112,16,1,3,2,2,8,0.0000,1154
0113,16,1,3,2,2,16,0.0000,1902
0114,16,1,3,2,3,4,0.0000,1094
0115,16,1,3,2,3,8,0.0000,1400
0116,16,1,3,2,3,16,0.0000,2421
0117,16,1,3,2,4,4,0.0000,1272
0118,16,1,3,2,4,8,0.0000,1772
0119,16,1,3,2,4,16,0.0000,2859
0120,16,1,3,3,1,4,0.0000,650
0121,16,1,3,3,1,8,0.0000,892
0122,16,1,3,3,1,16,0.0000,1398
0123,16,1,3,3,2,4,0.0000,935
0124,16,1,3,3,2,8,0.0000,1176
0125,16,1,3,3,2,16,0.0000,1979
0126,16,1,3,3,3,4,0.0000,1123
0127,16,1,3,3,3,8,0.0000,1546
0128,16,1,3,3,3,16,0.0000,2471
0129,16,1,3,3,4,4,0.0000,1297
0130,16,1,3,3,4,8,0.0000,1828
0131,16,1,3,3,4,16,0.0000,2861
0132,16,1,3,4,1,4,0.0000,668
0133,16,1,3,4,1,8,0.0000,874
0134,16,1,3,4,1,16,0.0000,1426
0135,16,1,3,4,2,4,0.0000,931
0136,16,1,3,4,2,8,0.0000,1236
0137,16,1,3,4,2,16,0.0000,1986
0138,16,1,3,4,3,4,0.0000,1096
0139,16,1,3,4,3,8,0.0000,1485
0140,16,1,3,4,3,16,0.0000,2442
0141,16,1,3,4,4,4,0.0000,1288
0142,16,1,3,4,4,8,0.0000,1794
0143,16,1,3,4,4,16,0.0000,3119
0144,16,1,4,1,1,4,0.0000,763
0145,16,1,4,1,1,8,0.0000,1091
0146,16,1,4,1,1,16,0.0000,1753
0147,16,1,4,1,2,4,0.0000,1148
0148,16,1,4,1,2,8,0.0000,1572
0149,16,1,4,1,2,16,0.0000,2427
0150,16,1,4,1,3,4,0.0000,1384
0151,16,1,4,1,3,8,0.0000,1885
0152,16,1,4,1,3,16,0.0000,3385
0153,16,1,4,1,4,4,0.0000,1624
0154,16,1,4,1,4,8,0.0000,2361
0155,16,1,4,1,4,16,0.0000,3134
0156,16,1,4,2,1,4,0.0000,778
0157,16,1,4,2,1,8,0.0000,1126
