n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0000,16,1,1,1,1,4,0.000001,218,1199,834,3,0
0001,16,1,1,1,1,8,0.000001,272,1506,840,3,0
0002,16,1,1,1,1,16,0.000001,551,3019,1152,3,0
0003,16,1,1,1,2,4,0.000002,292,1571,1029,3,0
0004,16,1,1,1,2,8,0.000002,418,2232,1036,3,0
0005,16,1,1,1,2,16,0.000001,586,3317,1245,3,0
0006,16,1,1,1,3,4,0.000002,356,1902,1128,3,0
0007,16,1,1,1,3,8,0.000002,502,2870,1137,3,0
0008,16,1,1,1,3,16,0.000002,860,4573,1288,3,0
0009,16,1,1,1,4,4,0.000002,414,2261,1227,3,0
0010,16,1,1,1,4,8,0.000002,590,3453,1236,3,0
0011,16,1,1,1,4,16,0.000002,849,4569,1355,3,0
0012,16,1,1,2,1,4,0.000001,238,1232,824,3,0
0013,16,1,1,2,1,8,0.000001,8 ,0,0,0,0
0014,16,1,1,2,1,16,0.000001,579,3380,1190,3,0
0015,16,1,1,2,2,4,0.000001,303,1602,1019,3,0
0016,16,1,1,2,2,8,0.000002,417,2325,1025,3,0
0017,16,1,1,2,2,16,0.000001,608,3550,1284,3,0
0018,16,1,1,2,3,4,0.000001,357,1934,1118,3,0
0019,16,1,1,2,3,8,0.000002,527,2933,1126,3,0
0020,16,1,1,2,3,16,0.000002,895,4893,1357,3,0
0021,16,1,1,2,4,4,0.000001,442,2422,1220,3,0
0022,16,1,1,2,4,8,0.000002,659,3776,1245,3,0
0023,16,1,1,2,4,16,0.000002,881,4889,1425,3,0
0024,16,1,1,3,1,4,0.000001,248,1312,921,3,0
0025,16,1,1,3,1,8,0.000001,353,1833,1147,3,0
0026,16,1,1,3,1,16,0.000001,541,3039,1210,3,0
0027,16,1,1,3,2,4,0.000001,327,1687,1114,3,0
0028,16,1,1,3,2,8,0.000002,479,2463,1343,3,0
0029,16,1,1,3,2,16,0.000001,585,3399,1303,3,0
0030,16,1,1,3,3,4,0.000001,389,2035,1213,3,0
0031,16,1,1,3,3,8,0.000002,556,3146,1444,3,0
0032,16,1,1,3,3,16,0.000001,869,4655,1346,3,0
0033,16,1,1,3,4,4,0.000001,469,2493,1312,3,0
0034,16,1,1,3,4,8,0.000002,637,3537,1544,3,0
0035,16,1,1,3,4,16,0.000001,872,4656,1413,3,0
0036,16,1,1,4,1,4,0.000001,234,1267,891,3,0
0037,16,1,1,4,1,8,0.000001,312,1601,894,3,0
0038,16,1,1,4,1,16,0.000001,598,3329,1220,3,0
0039,16,1,1,4,2,4,0.000001,308,1644,1086,3,0
0040,16,1,1,4,2,8,0.000001,437,2360,1090,3,0
0041,16,1,1,4,2,16,0.000001,630,3526,1313,3,0
0042,16,1,1,4,3,4,0.000001,407,1975,1185,3,0
0043,16,1,1,4,3,8,0.000001,528,2975,1191,3,0
0044,16,1,1,4,3,16,0.000001,912,4886,1393,3,0
0045,16,1,1,4,4,4,0.000001,433,2338,1285,3,0
0046,16,1,1,4,4,8,0.000001,600,3458,1290,3,0
0047,16,1,1,4,4,16,0.000001,900,4888,1493,3,0
0048,16,1,2,1,1,4,0.000001,430,2310,1385,6,0
0049,16,1,2,1,1,8,0.000001,647,3597,1398,6,0
0050,16,1,2,1,1,16,0.000002,925,4966,1513,6,0
0051,16,1,2,1,2,4,0.000002,579,3077,1773,6,0
0052,16,1,2,1,2,8,0.000003,764,4211,1791,6,0
0053,16,1,2,1,2,16,0.000002,1306,7057,1776,6,0
0054,16,1,2,1,3,4,0.000002,696,3885,1973,6,0
0055,16,1,2,1,3,8,0.000003,953,5466,1992,6,0
0056,16,1,2,1,3,16,0.000002,1986,10841,1872,6,0
0057,16,1,2,1,4,4,0.000002,856,4675,2167,6,0
0058,16,1,2,1,4,8,0.000003,1152,6587,2208,6,0
0059,16,1,2,1,4,16,0.000002,1975,10987,1992,6,0
0060,16,1,2,2,1,4,0.000001,419,2339,1375,6,0
0061,16,1,2,2,1,8,0.000001,628,3563,1385,6,0
0062,16,1,2,2,1,16,0.000002,963,5284,1552,6,0
0063,16,1,2,2,2,4,0.000001,577,3116,1763,6,0
0064,16,1,2,2,2,8,0.000002,787,4298,1780,6,0
0065,16,1,2,2,2,16,0.000002,1324,7378,1815,6,0
0066,16,1,2,2,3,4,0.000002,712,3955,1961,6,0
0067,16,1,2,2,3,8,0.000002,930,5253,1976,6,0
0068,16,1,2,2,3,16,0.000002,1669,9338,1923,6,0
0069,16,1,2,2,4,4,0.000002,856,4735,2156,6,0
0070,16,1,2,2,4,8,0.000002,1173,6653,2189,6,0
0071,16,1,2,2,4,16,0.000002,2048,11315,2058,6,0
0072,16,1,2,3,1,4,0.000001,457,2444,1470,6,0
0073,16,1,2,3,1,8,0.000001,612,3393,1702,6,0
0074,16,1,2,3,1,16,0.000001,944,5048,1571,6,0
0075,16,1,2,3,2,4,0.000001,689,3498,1862,6,0
0076,16,1,2,3,2,8,0.000002,801,4431,2094,6,0
0077,16,1,2,3,2,16,0.000001,1311,7141,1834,6,0
0078,16,1,2,3,3,4,0.000002,724,3875,2056,6,0
0079,16,1,2,3,3,8,0.000002,990,5654,2296,6,0
0080,16,1,2,3,3,16,0.000002,1737,9485,1912,6,0
0081,16,1,2,3,4,4,0.000002,845,4662,2255,6,0
0082,16,1,2,3,4,8,0.000002,1230,6814,2519,6,0
0083,16,1,2,3,4,16,0.000001,1956,10715,2046,6,0
0084,16,1,2,4,1,4,0.000001,436,2379,1440,6,0
0085,16,1,2,4,1,8,0.000001,672,3675,1453,6,0
0086,16,1,2,4,1,16,0.000001,979,5214,1581,6,0
0087,16,1,2,4,2,4,0.000001,586,3099,1830,6,0
0088,16,1,2,4,2,8,0.000001,794,4332,1844,6,0
0089,16,1,2,4,2,16,0.000001,1326,7308,1844,6,0
0090,16,1,2,4,3,4,0.000002,696,3891,2028,6,0
0091,16,1,2,4,3,8,0.000002,984,5514,2046,6,0
0092,16,1,2,4,3,16,0.000002,1829,10093,1964,6,0
0093,16,1,2,4,4,4,0.000002,896,4811,2224,6,0
0094,16,1,2,4,4,8,0.000002,1166,6692,2253,6,0
0095,16,1,2,4,4,16,0.000002,2010,10938,2122,6,0
0096,16,1,3,1,1,4,0.000002,622,3618,2197,9,0
0097,16,1,3,1,1,8,0.000002,810,4723,2213,9,0
0098,16,1,3,1,1,16,0.000003,1371,7299,2137,9,0
0099,16,1,3,1,2,4,0.000003,906,4750,2781,9,0
0100,16,1,3,1,2,8,0.000004,1127,6357,2803,9,0
0101,16,1,3,1,2,16,0.000004,1878,10298,2563,9,0
0102,16,1,3,1,3,4,0.000004,1101,6007,3078,9,0
0103,16,1,3,1,3,8,0.000004,1439,8244,3105,9,0
0104,16,1,3,1,3,16,0.000004,2599,14053,2692,9,0
0105,16,1,3,1,4,4,0.000004,1277,7012,3373,9,0
0106,16,1,3,1,4,8,0.000004,1717,10103,3417,9,0
0107,16,1,3,1,4,16,0.000004,2986,15560,2884,9,0
0108,16,1,3,2,1,4,0.000002,638,3698,2186,9,0
0109,16,1,3,2,1,8,0.000002,850,5027,2205,9,0
0110,16,1,3,2,1,16,0.000003,1366,7614,2206,9,0
0111,16,1,3,2,2,4,0.000003,881,4857,2771,9,0
0112,16,1,3,2,2,8,0.000003,1154,6498,2821,9,0
0113,16,1,3,2,2,16,0.000003,1902,10403,2635,9,0
0114,16,1,3,2,3,4,0.000003,1094,5995,3068,9,0
0115,16,1,3,2,3,8,0.000004,1400,8187,3109,9,0
0116,16,1,3,2,3,16,0.000004,2421,13989,2753,9,0
0117,16,1,3,2,4,4,0.000003,1272,7025,3364,9,0
0118,16,1,3,2,4,8,0.000004,1772,10081,3416,9,0
0119,16,1,3,2,4,16,0.000004,2859,16075,2954,9,0
0120,16,1,3,3,1,4,0.000002,650,3727,2279,9,0
0121,16,1,3,3,1,8,0.000002,892,5020,2522,9,0
0122,16,1,3,3,1,16,0.000002,1398,7370,2195,9,0
0123,16,1,3,3,2,4,0.000003,935,4968,2867,9,0
0124,16,1,3,3,2,8,0.000004,1176,6470,3144,9,0
0125,16,1,3,3,2,16,0.000003,1979,10357,2624,9,0
0126,16,1,3,3,3,4,0.000003,1123,6148,3163,9,0
