n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0000,1,1,1,1,1,1,4194304,0,0.418103,3823.484,192
0001,1,1,1,1,1,2,2097152,0,0.419731,3863.384,192
0002,1,1,1,1,2,1,4194304,0,0.708004,4161.038,231
0003,1,1,1,1,2,2,2097152,0,0.706484,4194.288,231
0004,1,1,1,2,1,1,4194304,0,0.696488,4177.796,231
0005,1,1,1,2,1,2,2097152,0,0.701047,4227.538,231
0006,1,1,1,2,2,1,4194304,0,0.697028,4296.166,231
0007,1,1,1,2,2,2,2097152,0,0.713744,4396.714,231
0008,1,1,2,1,1,1,4194304,0,0.556457,4306.274,252
0009,1,1,2,1,1,2,2097152,0,0.559137,4464.544,252
0010,1,1,2,1,2,1,4194304,0,0.700497,4537.960,271
0011,1,1,2,1,2,2,2097152,0,0.703848,4583.180,271
0012,1,1,2,2,1,1,4194304,0,0.700634,4584.510,271
0013,1,1,2,2,1,2,2097152,0,0.717224,4605.258,271
0014,1,1,2,2,2,1,4194304,0,0.700497,5151.622,309
0015,1,1,2,2,2,2,2097152,0,0.702340,5219.718,309
0016,1,2,1,1,1,1,4194304,0,0.554192,4270.364,233
0017,1,2,1,1,1,2,2097152,0,0.562161,4328.884,233
0018,1,2,1,1,2,1,4194304,0,0.705050,4207.056,231
0019,1,2,1,1,2,2,2097152,0,0.708591,4266.108,231
0020,1,2,1,2,1,1,4194304,0,0.706198,4140.024,231
0021,1,2,1,2,1,2,2097152,0,0.701140,4284.462,231
0022,1,2,1,2,2,1,4194304,0,0.695608,4531.310,231
0023,1,2,1,2,2,2,2097152,0,0.703701,4601.800,231
0024,1,2,2,1,1,1,4194304,0,0.694854,4477.578,269
0025,1,2,2,1,1,2,2097152,0,0.712756,4473.322,269
0026,1,2,2,1,2,1,4194304,0,0.693881,4946.004,307
0027,1,2,2,1,2,2,2097152,0,0.696223,5009.578,307
0028,1,2,2,2,1,1,4194304,0,0.696359,5070.758,307
0029,1,2,2,2,1,2,2097152,0,0.696694,5166.784,307
0030,1,2,2,2,2,1,4194304,0,0.695219,5896.688,383
0031,1,2,2,2,2,2,2097152,0,0.708434,6339.312,383
0032,2,1,1,1,1,1,4194304,0,0.418103,3823.484,192
0033,2,1,1,1,1,2,2097152,0,0.419731,3863.384,192
0034,2,1,1,1,2,1,4194304,0,0.708004,4161.038,231
0035,2,1,1,1,2,2,2097152,0,0.706484,4194.288,231
0036,2,1,1,2,1,1,4194304,0,0.696488,4177.796,231
0037,2,1,1,2,1,2,2097152,0,0.701047,4227.538,231
0038,2,1,1,2,2,1,4194304,0,0.697028,4296.166,231
0039,2,1,1,2,2,2,2097152,0,0.713744,4396.714,231
0040,2,1,2,1,1,1,4194304,0,0.556457,4306.274,252
0041,2,1,2,1,1,2,2097152,0,0.559137,4464.544,252
0042,2,1,2,1,2,1,4194304,0,0.700497,4537.960,271
0043,2,1,2,1,2,2,2097152,0,0.703848,4583.180,271
0044,2,1,2,2,1,1,4194304,0,0.700634,4584.510,271
0045,2,1,2,2,1,2,2097152,0,0.717224,4605.258,271
0046,2,1,2,2,2,1,4194304,0,0.700497,5151.622,309
0047,2,1,2,2,2,2,2097152,0,0.702340,5219.718,309
0048,2,2,1,1,1,1,4194304,0,0.554192,4270.364,233
0049,2,2,1,1,1,2,2097152,0,0.562161,4328.884,233
0050,2,2,1,1,2,1,4194304,0,0.705050,4207.056,231
0051,2,2,1,1,2,2,2097152,0,0.708591,4266.108,231
0052,2,2,1,2,1,1,4194304,0,0.706198,4140.024,231
0053,2,2,1,2,1,2,2097152,0,0.701140,4284.462,231
0054,2,2,1,2,2,1,4194304,0,0.695608,4531.310,231
0055,2,2,1,2,2,2,2097152,0,0.703701,4601.800,231
0056,2,2,2,1,1,1,4194304,0,0.694854,4477.578,269
0057,2,2,2,1,1,2,2097152,0,0.712756,4473.322,269
0058,2,2,2,1,2,1,4194304,0,0.693881,4946.004,307
0059,2,2,2,1,2,2,2097152,0,0.696223,5009.578,307
0060,2,2,2,2,1,1,4194304,0,0.696359,5070.758,307
0061,2,2,2,2,1,2,2097152,0,0.696694,5166.784,307
0062,2,2,2,2,2,1,4194304,0,0.695219,5896.688,383
0063,2,2,2,2,2,2,2097152,0,0.708434,6339.312,383
