n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0000,1,1,1,1,1,1,4194304,0,0.237044,8646.330,305
0001,1,1,1,1,1,2,2097152,0,0.237755,6920.788,345
0002,1,1,1,1,2,1,4194304,0,0.303816,8545.782,305
0004,1,1,1,2,1,1,4194304,0,0.304153,8336.706,311
0005,1,1,1,2,1,2,2097152,0,0.323618,7036.232,351
0006,1,1,1,2,2,1,4194304,0,0.303512,8721.342,311
0007,1,1,1,2,2,2,2097152,0,0.304120,13775.874,351
0008,1,1,2,1,1,1,4194304,0,0.269018,8459.864,333
0009,1,1,2,1,1,2,2097152,0,0.289754,7244.510,373
0010,1,1,2,1,2,1,4194304,0,0.302809,9079.644,346
0011,1,1,2,1,2,2,2097152,0,0.302809,9944.410,386
0012,1,1,2,2,1,1,4194304,0,0.342514,7427.518,352
0013,1,1,2,2,1,2,2097152,0,0.334338,7806.834,392
0014,1,1,2,2,2,1,4194304,0,0.302809,10138.856,390
0015,1,1,2,2,2,2,2097152,0,0.361857,9035.754,430
0016,1,2,1,1,1,1,4194304,0,0.270336,8265.950,312
0017,1,2,1,1,1,2,2097152,0,0.274121,7089.432,352
0018,1,2,1,1,2,1,4194304,0,0.303554,9070.600,306
0019,1,2,1,1,2,2,2097152,0,0.303858,9587.704,346
0020,1,2,1,2,1,1,4194304,0,0.303891,9103.584,312
0021,1,2,1,2,1,2,2097152,0,0.334280,7679.952,352
0022,1,2,1,2,2,1,4194304,0,0.303858,9476.250,312
0023,1,2,1,2,2,2,2097152,0,0.303858,10290.476,352
0024,1,2,2,1,1,1,4194304,0,0.302580,8983.352,349
0025,1,2,2,1,1,2,2097152,0,0.318012,7621.698,389
0026,1,2,2,1,2,1,4194304,0,0.302245,9271.164,381
0028,1,2,2,2,1,1,4194304,0,0.302277,9641.170,387
0029,1,2,2,2,1,2,2097152,0,0.302580,10490.508,427
0030,1,2,2,2,2,1,4194304,0,0.358216,9088.688,463
0031,1,2,2,2,2,2,2097152,0,0.373948,9542.750,503
0032,2,1,1,1,1,1,4194304,0,0.237044,8646.330,305
0033,2,1,1,1,1,2,2097152,0,0.237755,6920.788,345
0034,2,1,1,1,2,1,4194304,0,0.303816,8545.782,305
0036,2,1,1,2,1,1,4194304,0,0.304153,8336.706,311
0038,2,1,1,2,2,1,4194304,0,0.303512,8721.342,311
0039,2,1,1,2,2,2,2097152,0,0.304120,13775.874,351
0040,2,1,2,1,1,1,4194304,0,0.269018,8459.864,333
0041,2,1,2,1,1,2,2097152,0,0.289754,7244.510,373
0042,2,1,2,1,2,1,4194304,0,0.302809,9079.644,346
0043,2,1,2,1,2,2,2097152,0,0.302809,9944.410,386
0044,2,1,2,2,1,1,4194304,0,0.342514,7427.518,352
0045,2,1,2,2,1,2,2097152,0,0.334338,7806.834,392
0046,2,1,2,2,2,1,4194304,0,0.302809,10138.856,390
0047,2,1,2,2,2,2,2097152,0,0.361857,9035.754,430
0048,2,2,1,1,1,1,4194304,0,0.270336,8265.950,312
0049,2,2,1,1,1,2,2097152,0,0.274121,7089.432,352
0050,2,2,1,1,2,1,4194304,0,0.303554,9070.600,306
0051,2,2,1,1,2,2,2097152,0,0.303858,9587.704,346
0052,2,2,1,2,1,1,4194304,0,0.303891,9103.584,312
0053,2,2,1,2,1,2,2097152,0,0.334280,7679.952,352
0054,2,2,1,2,2,1,4194304,0,0.303858,9476.250,312
0055,2,2,1,2,2,2,2097152,0,0.303858,10290.476,352
0056,2,2,2,1,1,1,4194304,0,0.302580,8983.352,349
0057,2,2,2,1,1,2,2097152,0,0.318012,7621.698,389
0058,2,2,2,1,2,1,4194304,0,0.302245,9271.164,381
0059,2,2,2,1,2,2,2097152,0,0.303455,10222.114,421
0060,2,2,2,2,1,1,4194304,0,0.302277,9641.170,387
0061,2,2,2,2,1,2,2097152,0,0.302580,10490.508,427
0062,2,2,2,2,2,1,4194304,0,0.358216,9088.688,463
0063,2,2,2,2,2,2,2097152,0,0.373948,9542.750,503
