n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0000,1,1,1,1,1,1,4194304,0,0.336760,4679.738,251
0001,1,1,1,1,1,2,2097152,0,0.321560,5346.866,251
0002,1,1,1,1,2,1,4194304,0,0.451397,5474.812,251
0003,1,1,1,1,2,2,2097152,0,0.458003,5593.714,251
0004,1,1,1,2,1,1,4194304,0,0.469631,4869.662,251
0005,1,1,1,2,1,2,2097152,0,0.434467,5600.364,251
0006,1,1,1,2,2,1,4194304,0,0.467206,5770.870,251
0007,1,1,1,2,2,2,2097152,0,0.469801,6003.886,251
0008,1,1,2,1,1,1,4194304,0,0.400853,4929.778,273
0009,1,1,2,1,1,2,2097152,0,0.400249,5772.200,273
0010,1,1,2,1,2,1,4194304,0,0.440676,6074.110,291
0011,1,1,2,1,2,2,2097152,0,0.453817,6041.924,291
0012,1,1,2,2,1,1,4194304,0,0.448717,6027.028,292
0013,1,1,2,2,1,2,2097152,0,0.468665,6048.308,292
0014,1,1,2,2,2,1,4194304,0,0.468365,6772.094,329
0015,1,1,2,2,2,2,2097152,0,0.468834,6844.180,329
0016,1,2,1,1,1,1,4194304,0,0.400112,5403.524,251
0017,1,2,1,1,1,2,2097152,0,0.402942,4929.512,251
0018,1,2,1,1,2,1,4194304,0,0.458673,5532.002,251
0019,1,2,1,1,2,2,2097152,0,0.465273,5617.654,251
0020,1,2,1,2,1,1,4194304,0,0.447421,5563.390,251
0021,1,2,1,2,1,2,2097152,0,0.467930,5076.876,251
0022,1,2,1,2,2,1,4194304,0,0.460087,5906.530,251
0023,1,2,1,2,2,2,2097152,0,0.469044,6321.224,251
0024,1,2,2,1,1,1,4194304,0,0.464391,5895.624,289
0025,1,2,2,1,1,2,2097152,0,0.457593,5950.952,289
0026,1,2,2,1,2,1,4194304,0,0.454482,6497.582,327
0027,1,2,2,1,2,2,2097152,0,0.461748,6624.730,327
0028,1,2,2,2,1,1,4194304,0,0.466735,6584.564,327
0029,1,2,2,2,1,2,2097152,0,0.463688,6684.048,327
0030,1,2,2,2,2,1,4194304,0,0.467842,8258.502,403
0031,1,2,2,2,2,2,2097152,0,0.468076,8110.074,403
0032,2,1,1,1,1,1,4194304,0,0.336760,4679.738,251
0033,2,1,1,1,1,2,2097152,0,0.321560,5346.866,251
0034,2,1,1,1,2,1,4194304,0,0.451397,5474.812,251
0035,2,1,1,1,2,2,2097152,0,0.458003,5593.714,251
0036,2,1,1,2,1,1,4194304,0,0.469631,4869.662,251
0037,2,1,1,2,1,2,2097152,0,0.434467,5600.364,251
0038,2,1,1,2,2,1,4194304,0,0.467206,5770.870,251
0039,2,1,1,2,2,2,2097152,0,0.469801,6003.886,251
0040,2,1,2,1,1,1,4194304,0,0.400853,4929.778,273
0041,2,1,2,1,1,2,2097152,0,0.400249,5772.200,273
0042,2,1,2,1,2,1,4194304,0,0.440676,6074.110,291
0043,2,1,2,1,2,2,2097152,0,0.453817,6041.924,291
0044,2,1,2,2,1,1,4194304,0,0.448717,6027.028,292
0045,2,1,2,2,1,2,2097152,0,0.468665,6048.308,292
0046,2,1,2,2,2,1,4194304,0,0.468365,6772.094,329
0047,2,1,2,2,2,2,2097152,0,0.468834,6844.180,329
0048,2,2,1,1,1,1,4194304,0,0.400112,5403.524,251
0049,2,2,1,1,1,2,2097152,0,0.402942,4929.512,251
0050,2,2,1,1,2,1,4194304,0,0.458673,5532.002,251
0051,2,2,1,1,2,2,2097152,0,0.465273,5617.654,251
0052,2,2,1,2,1,1,4194304,0,0.447421,5563.390,251
0053,2,2,1,2,1,2,2097152,0,0.467930,5076.876,251
0054,2,2,1,2,2,1,4194304,0,0.460087,5906.530,251
0055,2,2,1,2,2,2,2097152,0,0.469044,6321.224,251
0056,2,2,2,1,1,1,4194304,0,0.464391,5895.624,289
0057,2,2,2,1,1,2,2097152,0,0.457593,5950.952,289
0058,2,2,2,1,2,1,4194304,0,0.454482,6497.582,327
0059,2,2,2,1,2,2,2097152,0,0.461748,6624.730,327
0060,2,2,2,2,1,1,4194304,0,0.466735,6584.564,327
0061,2,2,2,2,1,2,2097152,0,0.463688,6684.048,327
0062,2,2,2,2,2,1,4194304,0,0.467842,8258.502,403
0063,2,2,2,2,2,2,2097152,0,0.468076,8110.074,403
