n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,Slack(100MHZ),Slack(500MHZ),Slack(1GHZ)
0,1,1,1,1,1,1,4194304,5.892,0.006,0
1,1,1,1,1,1,2,2097152,5.876,0.096,-0.003
2,1,1,1,1,2,1,4194304,5.807,0.087,0.001
3,1,1,1,1,2,2,2097152,5.816,0.059,0
4,1,1,1,2,1,1,4194304,5.876,0.01,0
5,1,1,1,2,1,2,2097152,5.849,0.159,-0.064
6,1,1,1,2,2,1,4194304,5.872,0.02,0.002
7,1,1,1,2,2,2,2097152,5.773,0.009,0
8,1,1,2,1,1,1,4194304,5.848,0.007,0.001
9,1,1,2,1,1,2,2097152,5.828,0.01,-0.076
10,1,1,2,1,2,1,4194304,5.819,0.122,0
11,1,1,2,1,2,2,2097152,5.799,0.066,0
12,1,1,2,2,1,1,4194304,5.819,0.088,-0.131
13,1,1,2,2,1,2,2097152,5.72,0.003,-0.104
14,1,1,2,2,2,1,4194304,5.819,0.004,0
15,1,1,2,2,2,2,2097152,5.808,0.002,-0.195
16,1,2,1,1,1,1,4194304,5.897,0.021,0
17,1,2,1,1,1,2,2097152,5.838,0.007,-0.014
18,1,2,1,1,2,1,4194304,5.818,0.054,0.001
19,1,2,1,1,2,2,2097152,5.797,0.026,0
20,1,2,1,2,1,1,4194304,5.812,0.102,0
21,1,2,1,2,1,2,2097152,5.842,0.015,-0.1
22,1,2,1,2,2,1,4194304,5.874,0.048,0
23,1,2,1,2,2,2,2097152,5.826,0.01,0
24,1,2,2,1,1,1,4194304,5.847,0.019,0
25,1,2,2,1,1,2,2097152,5.74,0.048,-0.051
26,1,2,2,1,2,1,4194304,5.852,0.061,0.001
27,1,2,2,1,2,2,2097152,5.838,0.03,0
28,1,2,2,2,1,1,4194304,5.838,0.009,0.001
29,1,2,2,2,1,2,2097152,5.836,0.022,0
30,1,2,2,2,2,1,4194304,5.844,0.004,-0.184
31,1,2,2,2,2,2,2097152,5.765,0.003,-0.236
32,2,1,1,1,1,1,4194304,5.892,0.006,0
33,2,1,1,1,1,2,2097152,5.876,0.096,-0.003
34,2,1,1,1,2,1,4194304,5.807,0.087,0.001
35,2,1,1,1,2,2,2097152,5.816,0.059,0
36,2,1,1,2,1,1,4194304,5.876,0.01,0
37,2,1,1,2,1,2,2097152,5.849,0.159,0
38,2,1,1,2,2,1,4194304,5.872,0.02,0.002
39,2,1,1,2,2,2,2097152,5.773,0.009,0
40,2,1,2,1,1,1,4194304,5.848,0.007,0.001
41,2,1,2,1,1,2,2097152,5.828,0.01,-0.076
42,2,1,2,1,2,1,4194304,5.819,0.122,0
43,2,1,2,1,2,2,2097152,5.799,0.066,0
44,2,1,2,2,1,1,4194304,5.819,0.088,-0.131
45,2,1,2,2,1,2,2097152,5.72,0.003,-0.104
46,2,1,2,2,2,1,4194304,5.819,0.004,0
47,2,1,2,2,2,2,2097152,5.808,0.002,-0.195
48,2,2,1,1,1,1,4194304,5.897,0.021,0
49,2,2,1,1,1,2,2097152,5.838,0.007,-0.014
50,2,2,1,1,2,1,4194304,5.818,0.054,0.001
51,2,2,1,1,2,2,2097152,5.797,0.026,0
52,2,2,1,2,1,1,4194304,5.812,0.102,0
53,2,2,1,2,1,2,2097152,5.842,0.015,-0.1
54,2,2,1,2,2,1,4194304,5.874,0.048,0
55,2,2,1,2,2,2,2097152,5.826,0.01,0
56,2,2,2,1,1,1,4194304,5.847,0.019,0
57,2,2,2,1,1,2,2097152,5.74,0.048,-0.051
58,2,2,2,1,2,1,4194304,5.852,0.061,0.001
59,2,2,2,1,2,2,2097152,5.838,0.03,-0.003
60,2,2,2,2,1,1,4194304,5.838,0.009,0.001
61,2,2,2,2,1,2,2097152,5.836,0.022,0
62,2,2,2,2,2,1,4194304,5.844,0.004,-0.184
63,2,2,2,2,2,2,2097152,5.765,0.003,-0.236
