n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_SUBDIM_Y,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,obj1,obj2
0000,2,1,1,1,1,1,110.068,189
0001,2,1,1,1,1,2,110.068,189
0002,2,1,1,1,1,4,110.068,189
0003,2,1,1,1,1,8,110.068,189
0004,2,1,1,1,2,1,110.068,189
0005,2,1,1,1,2,2,110.068,189
0006,2,1,1,1,2,4,110.068,189
0007,2,1,1,1,2,8,110.068,189
0008,2,1,1,1,4,1,110.068,189
0009,2,1,1,1,4,2,110.068,189
0010,2,1,1,1,4,4,110.068,189
0011,2,1,1,1,4,8,110.068,189
0012,2,1,1,1,8,1,110.068,189
0013,2,1,1,1,8,2,110.068,189
0014,2,1,1,1,8,4,110.068,189
0015,2,1,1,1,8,8,110.068,189
0016,2,1,1,2,1,1,109.999,287
0017,2,1,1,2,1,2,109.999,287
0018,2,1,1,2,1,4,109.999,287
0019,2,1,1,2,1,8,109.999,287
0020,2,1,1,2,2,1,109.999,287
0021,2,1,1,2,2,2,109.999,287
0022,2,1,1,2,2,4,109.999,287
0023,2,1,1,2,2,8,109.999,287
0024,2,1,1,2,4,1,109.999,287
0025,2,1,1,2,4,2,109.999,287
0026,2,1,1,2,4,4,109.999,287
0027,2,1,1,2,4,8,109.999,287
0028,2,1,1,2,8,1,109.999,287
0029,2,1,1,2,8,2,109.999,287
0030,2,1,1,2,8,4,109.999,287
0031,2,1,1,2,8,8,109.999,287
0032,2,1,1,4,1,1,106.956,318
0033,2,1,1,4,1,2,106.956,318
0034,2,1,1,4,1,4,106.956,318
0035,2,1,1,4,1,8,106.956,318
0036,2,1,1,4,2,1,106.956,318
0037,2,1,1,4,2,2,106.956,318
0038,2,1,1,4,2,4,106.956,318
0039,2,1,1,4,2,8,106.956,318
0040,2,1,1,4,4,1,106.956,318
0041,2,1,1,4,4,2,106.956,318
0042,2,1,1,4,4,4,106.956,318
0043,2,1,1,4,4,8,106.956,318
0044,2,1,1,4,8,1,106.956,318
0045,2,1,1,4,8,2,106.956,318
0046,2,1,1,4,8,4,106.956,318
0047,2,1,1,4,8,8,106.956,318
0048,2,1,1,8,1,1,110.640,475
0049,2,1,1,8,1,2,110.640,475
0050,2,1,1,8,1,4,110.640,475
0051,2,1,1,8,1,8,110.640,475
0052,2,1,1,8,2,1,110.640,475
0053,2,1,1,8,2,2,110.640,475
0054,2,1,1,8,2,4,110.640,475
0055,2,1,1,8,2,8,110.640,475
0056,2,1,1,8,4,1,110.640,475
0057,2,1,1,8,4,2,110.640,475
0058,2,1,1,8,4,4,110.640,475
0059,2,1,1,8,4,8,110.640,475
0060,2,1,1,8,8,1,110.640,475
0061,2,1,1,8,8,2,110.640,475
0062,2,1,1,8,8,4,110.640,475
