n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2
0002,16,1,1,1,1,16,0.000,959
0003,16,1,1,1,2,4,0.000,501
0004,16,1,1,1,2,8,0.000,640
0005,16,1,1,1,2,16,0.000,1037
0006,16,1,1,1,3,4,0.000,599
0007,16,1,1,1,3,8,0.000,877
0009,16,1,1,1,4,4,0.000,734
0010,16,1,1,1,4,8,0.000,1008
0011,16,1,1,1,4,16,0.000,1413
0012,16,1,1,2,1,4,0.000,395
0013,16,1,1,2,1,8,0.000,490
0014,16,1,1,2,1,16,0.000,1017
0015,16,1,1,2,2,4,0.000,514
0016,16,1,1,2,2,8,0.000,678
0017,16,1,1,2,2,16,0.000,1080
0018,16,1,1,2,3,4,0.000,597
0019,16,1,1,2,3,8,0.000,867
0020,16,1,1,2,3,16,0.000,1514
0021,16,1,1,2,4,4,0.000,738
0022,16,1,1,2,4,8,0.000,1035
0023,16,1,1,2,4,16,0.000,1517
0024,16,1,1,3,1,4,0.000,441
0025,16,1,1,3,1,8,0.000,632
0026,16,1,1,3,1,16,0.000,994
0027,16,1,1,3,2,4,0.000,555
0028,16,1,1,3,2,8,0.000,840
0029,16,1,1,3,2,16,0.000,1059
0030,16,1,1,3,3,4,0.000,675
0031,16,1,1,3,3,8,0.000,1029
0032,16,1,1,3,3,16,0.000,1434
0033,16,1,1,3,4,4,0.000,803
0034,16,1,1,3,4,8,0.000,1172
0035,16,1,1,3,4,16,0.000,1469
0036,16,1,1,4,1,4,0.000,415
0037,16,1,1,4,1,8,0.000,521
0038,16,1,1,4,1,16,0.000,1033
0039,16,1,1,4,2,4,0.000,520
0041,16,1,1,4,2,16,0.000,1119
0042,16,1,1,4,3,4,0.000,622
0043,16,1,1,4,3,8,0.000,925
0044,16,1,1,4,3,16,0.000,1519
0045,16,1,1,4,4,4,0.000,766
0046,16,1,1,4,4,8,0.000,1078
0047,16,1,1,4,4,16,0.000,1551
0048,16,1,2,1,1,4,0.000,703
0049,16,1,2,1,1,8,0.000,1193
0052,16,1,2,1,2,8,0.000,1308
0053,16,1,2,1,2,16,0.000,2104
0054,16,1,2,1,3,4,0.000,1179
0055,16,1,2,1,3,8,0.000,1650
0056,16,1,2,1,3,16,0.000,2841
0057,16,1,2,1,4,4,0.000,1412
0058,16,1,2,1,4,8,0.000,2006
0059,16,1,2,1,4,16,0.000,3243
0060,16,1,2,2,1,4,0.000,700
0061,16,1,2,2,1,8,0.000,1140
0062,16,1,2,2,1,16,0.000,1599
0063,16,1,2,2,2,4,0.000,986
0064,16,1,2,2,2,8,0.000,1335
0065,16,1,2,2,2,16,0.000,2076
0066,16,1,2,2,3,4,0.000,1234
0067,16,1,2,2,3,8,0.000,1767
0068,16,1,2,2,3,16,0.000,2666
0069,16,1,2,2,4,4,0.000,1429
0070,16,1,2,2,4,8,0.000,2017
0071,16,1,2,2,4,16,0.000,3130
0072,16,1,2,3,1,4,0.000,761
0073,16,1,2,3,1,8,0.000,1092
0074,16,1,2,3,1,16,0.000,1582
0075,16,1,2,3,2,4,0.000,1037
0076,16,1,2,3,2,8,0.000,1424
0077,16,1,2,3,2,16,0.000,2068
0078,16,1,2,3,3,4,0.000,1282
0079,16,1,2,3,3,8,0.000,1822
0080,16,1,2,3,3,16,0.000,2630
0081,16,1,2,3,4,4,0.000,1482
0082,16,1,2,3,4,8,0.000,2152
0083,16,1,2,3,4,16,0.000,3140
0084,16,1,2,4,1,4,0.000,742
0085,16,1,2,4,1,8,0.000,1149
0086,16,1,2,4,1,16,0.000,1610
0087,16,1,2,4,2,4,0.000,986
0088,16,1,2,4,2,8,0.000,1351
0089,16,1,2,4,2,16,0.000,2249
0090,16,1,2,4,3,4,0.000,1263
0091,16,1,2,4,3,8,0.000,1771
0092,16,1,2,4,3,16,0.000,2573
0093,16,1,2,4,4,4,0.000,1424
0094,16,1,2,4,4,8,0.000,2051
0096,16,1,3,1,1,4,0.000,1092
0097,16,1,3,1,1,8,0.000,1495
0098,16,1,3,1,1,16,0.000,2250
0099,16,1,3,1,2,4,0.000,1511
0100,16,1,3,1,2,8,0.000,1877
0101,16,1,3,1,2,16,0.000,3172
0102,16,1,3,1,3,4,0.000,1805
0103,16,1,3,1,3,8,0.000,2652
0104,16,1,3,1,3,16,0.000,3869
0105,16,1,3,1,4,4,0.000,2183
0106,16,1,3,1,4,8,0.000,3037
0107,16,1,3,1,4,16,0.000,4351
0108,16,1,3,2,1,4,0.000,1143
0109,16,1,3,2,1,8,0.000,1502
0110,16,1,3,2,1,16,0.000,2277
0111,16,1,3,2,2,4,0.000,1566
0112,16,1,3,2,2,8,0.000,2067
0113,16,1,3,2,2,16,0.000,3079
0114,16,1,3,2,3,4,0.000,1830
0115,16,1,3,2,3,8,0.000,2579
0116,16,1,3,2,3,16,0.000,3883
0117,16,1,3,2,4,4,0.000,2149
0118,16,1,3,2,4,8,0.000,3003
0119,16,1,3,2,4,16,0.000,4714
0120,16,1,3,3,1,4,0.000,1169
0121,16,1,3,3,1,8,0.000,1594
0122,16,1,3,3,1,16,0.000,2342
0123,16,1,3,3,2,4,0.000,1527
0124,16,1,3,3,2,8,0.000,1999
0125,16,1,3,3,2,16,0.000,3199
0128,16,1,3,3,3,16,0.000,3831
0129,16,1,3,3,4,4,0.000,2154
0130,16,1,3,3,4,8,0.000,3147
0131,16,1,3,3,4,16,0.000,4741
0132,16,1,3,4,1,4,0.000,1157
0133,16,1,3,4,1,8,0.000,1554
0134,16,1,3,4,1,16,0.000,2349
0135,16,1,3,4,2,4,0.000,1471
0136,16,1,3,4,2,8,0.000,1964
0137,16,1,3,4,2,16,0.000,3234
0138,16,1,3,4,3,4,0.000,1850
0139,16,1,3,4,3,8,0.000,2568
0140,16,1,3,4,3,16,0.000,3860
0141,16,1,3,4,4,4,0.000,2184
0142,16,1,3,4,4,8,0.000,3033
0143,16,1,3,4,4,16,0.000,4796
0144,16,1,4,1,1,4,0.000,1307
0146,16,1,4,1,1,16,0.000,2826
0147,16,1,4,1,2,4,0.000,1842
0148,16,1,4,1,2,8,0.000,2688
0149,16,1,4,1,2,16,0.000,4109
0150,16,1,4,1,3,4,0.000,2362
0151,16,1,4,1,3,8,0.000,3164
0152,16,1,4,1,3,16,0.000,5033
0153,16,1,4,1,4,4,0.000,2877
0154,16,1,4,1,4,8,0.000,3976
0155,16,1,4,1,4,16,0.000,5764
0156,16,1,4,2,1,4,0.000,1310
0157,16,1,4,2,1,8,0.000,1929
0158,16,1,4,2,1,16,0.000,2980
0159,16,1,4,2,2,4,0.000,1871
0160,16,1,4,2,2,8,0.000,2783
0161,16,1,4,2,2,16,0.000,3780
0162,16,1,4,2,3,4,0.000,2308
0163,16,1,4,2,3,8,0.000,3203
0164,16,1,4,2,3,16,0.000,4993
0165,16,1,4,2,4,4,0.000,2748
0166,16,1,4,2,4,8,0.000,3909
0167,16,1,4,2,4,16,0.000,5994
0168,16,1,4,3,1,4,0.000,1378
0169,16,1,4,3,1,8,0.000,1918
0172,16,1,4,3,2,8,0.000,2631
0173,16,1,4,3,2,16,0.000,3931
0174,16,1,4,3,3,4,0.000,2373
0175,16,1,4,3,3,8,0.000,3287
0176,16,1,4,3,3,16,0.000,4930
0177,16,1,4,3,4,4,0.000,2920
0178,16,1,4,3,4,8,0.000,4141
0179,16,1,4,3,4,16,0.000,6013
0181,16,1,4,4,1,8,0.000,2036
0182,16,1,4,4,1,16,0.000,2811
0183,16,1,4,4,2,4,0.000,1900
0184,16,1,4,4,2,8,0.000,2679
0185,16,1,4,4,2,16,0.000,4060
0186,16,1,4,4,3,4,0.000,2316
0187,16,1,4,4,3,8,0.000,3184
0188,16,1,4,4,3,16,0.000,4808
0189,16,1,4,4,4,4,0.000,2779
0190,16,1,4,4,4,8,0.000,4143
0191,16,1,4,4,4,16,0.000,6086
0192,16,2,1,1,1,4,0.000,742
0193,16,2,1,1,1,8,0.000,1002
