n,knob_DIMX_PARTITION_FACTOR,knob_DIMY_PARTITION_FACTOR,knob_UNROLL_FACTOR,knob_SUBDIM_X,obj1,obj2
0000,1,1,1,1,0.744,124
0001,1,1,1,2,0.146,291
0002,1,1,1,4,0.084,278
0003,1,1,1,8,0.053,446
0004,1,1,1,16,0.036,344
0005,1,1,1,32,0.027,282
0006,1,1,2,1,0.748,223
0007,1,1,2,2,0.132,484
0008,1,1,2,4,0.082,495
0009,1,1,2,8,0.052,513
0010,1,1,2,16,0.036,488
0011,1,1,2,32,0.027,488
0012,1,1,3,1,0.777,419
0013,1,1,3,2,0.138,1057
0014,1,1,3,4,0.084,719
0015,1,1,3,8,0.052,730
0016,1,1,3,16,0.034,729
0017,1,1,3,32,0.028,762
0018,1,1,4,1,0.804,591
0019,1,1,4,2,0.136,1428
0020,1,1,4,4,0.082,1039
0021,1,1,4,8,0.050,1001
0022,1,1,4,16,0.036,1017
0023,1,1,4,32,0.027,1011
0024,1,1,5,1,1.033,693
0026,1,1,5,4,0.223,1697
0027,1,1,5,8,0.123,1699
0028,1,1,5,16,0.069,1201
0029,1,1,5,32,0.046,1239
0030,1,1,6,1,1.010,777
0031,1,1,6,2,0.421,2148
0032,1,1,6,4,0.217,2052
0033,1,1,6,8,0.120,2105
0034,1,1,6,16,0.069,2057
0035,1,1,6,32,0.044,1526
0036,1,1,7,1,1.016,910
0038,1,1,7,4,0.220,2322
0039,1,1,7,8,0.119,2322
0040,1,1,7,16,0.070,2336
0041,1,1,7,32,0.045,2401
0042,1,1,8,1,1.052,1003
0043,1,1,8,2,0.431,2751
0044,1,1,8,4,0.220,2665
0045,1,1,8,8,0.119,2678
0046,1,1,8,16,0.068,2008
0047,1,1,8,32,0.044,2761
0048,1,2,1,1,0.996,163
0049,1,2,1,2,0.423,544
0050,1,2,1,4,0.230,506
0051,1,2,1,8,0.123,532
0052,1,2,1,16,0.071,539
0053,1,2,1,32,0.045,563
0054,1,2,2,1,1.043,317
0056,1,2,2,4,0.224,897
0057,1,2,2,8,0.121,873
0058,1,2,2,16,0.072,895
0059,1,2,2,32,0.045,869
0060,1,2,3,1,1.043,497
0062,1,2,3,4,0.225,1343
0063,1,2,3,8,0.124,1304
0065,1,2,3,32,0.046,1436
0066,1,2,4,1,1.137,637
0067,1,2,4,2,0.440,1830
0068,1,2,4,4,0.224,1842
0069,1,2,4,8,0.125,1758
0070,1,2,4,16,0.072,1805
0071,1,2,4,32,0.045,1908
0072,1,2,5,1,1.054,769
0073,1,2,5,2,0.437,2429
0074,1,2,5,4,0.230,2465
0075,1,2,5,8,0.124,2392
0076,1,2,5,16,0.072,2393
0077,1,2,5,32,0.046,2335
0078,1,2,6,1,1.108,922
0079,1,2,6,2,0.438,2913
0080,1,2,6,4,0.231,3046
0081,1,2,6,8,0.123,2696
0082,1,2,6,16,0.072,2767
0083,1,2,6,32,0.046,2848
0084,1,2,7,1,1.039,1042
0085,1,2,7,2,0.441,3337
0086,1,2,7,4,0.228,3147
0088,1,2,7,16,0.071,3159
0089,1,2,7,32,0.046,3071
0090,1,2,8,1,1.087,1257
0091,1,2,8,2,0.432,2859
0092,1,2,8,4,0.235,3613
0095,1,2,8,32,0.046,3702
0096,1,4,1,1,0.694,216
0097,1,4,1,2,0.391,655
0098,1,4,1,4,0.212,559
0099,1,4,1,8,0.120,526
0100,1,4,1,16,0.067,556
0101,1,4,1,32,0.043,524
0102,1,4,2,1,0.752,384
0104,1,4,2,4,0.084,986
0106,1,4,2,16,0.036,975
0107,1,4,2,32,0.028,1025
0108,1,4,3,1,0.775,638
0109,1,4,3,2,0.139,1861
0110,1,4,3,4,0.083,1435
0111,1,4,3,8,0.052,1433
0112,1,4,3,16,0.035,1419
0113,1,4,3,32,0.028,1450
0114,1,4,4,1,0.757,829
0115,1,4,4,2,0.137,2505
0118,1,4,4,16,0.037,1818
0120,1,4,5,1,1.006,1053
0121,1,4,5,2,0.585,3177
0122,1,4,5,4,0.294,2520
0123,1,4,5,8,0.160,2547
0126,1,4,6,1,1.110,1331
0127,1,4,6,2,0.412,3468
0128,1,4,6,4,0.220,2834
0129,1,4,6,8,0.118,3194
0130,1,4,6,16,0.070,3075
0131,1,4,6,32,0.045,2904
0132,1,4,7,1,1.027,1564
0133,1,4,7,2,0.423,4362
0134,1,4,7,4,0.220,3500
0135,1,4,7,8,0.119,3392
0136,1,4,7,16,0.071,3403
0137,1,4,7,32,0.045,3440
0138,1,4,8,1,1.021,1922
0139,1,4,8,2,0.416,4459
0141,1,4,8,8,0.113,3067
0142,1,4,8,16,0.071,3855
0144,1,8,1,1,1.029,233
0145,1,8,1,2,0.564,604
0146,1,8,1,4,0.299,544
0147,1,8,1,8,0.155,522
0148,1,8,1,16,0.086,492
0149,1,8,1,32,0.053,538
0150,1,8,2,1,1.034,443
0152,1,8,2,4,0.227,1021
0153,1,8,2,8,0.122,1049
0154,1,8,2,16,0.074,1117
0155,1,8,2,32,0.046,965
0156,1,8,3,1,1.087,714
0158,1,8,3,4,0.227,1422
0159,1,8,3,8,0.124,1520
0160,1,8,3,16,0.071,1442
0161,1,8,3,32,0.047,1535
0162,1,8,4,1,1.065,1019
0163,1,8,4,2,0.438,2485
0164,1,8,4,4,0.228,1891
0165,1,8,4,8,0.127,1936
0166,1,8,4,16,0.072,1902
0168,1,8,5,1,1.104,1137
0169,1,8,5,2,0.574,3138
0170,1,8,5,4,0.298,2653
0171,1,8,5,8,0.159,2603
0172,1,8,5,16,0.089,2744
0173,1,8,5,32,0.055,2691
0174,1,8,6,1,1.110,1447
0175,1,8,6,2,0.441,4046
0176,1,8,6,4,0.228,2988
0177,1,8,6,8,0.124,3058
0178,1,8,6,16,0.072,3116
0180,1,8,7,1,1.132,1721
0181,1,8,7,2,0.434,4335
0183,1,8,7,8,0.126,3512
0184,1,8,7,16,0.072,3484
0185,1,8,7,32,0.047,3531
0186,1,8,8,1,1.140,2114
0187,1,8,8,2,0.446,5031
0188,1,8,8,4,0.227,4004
0189,1,8,8,8,0.124,3973
0190,1,8,8,16,0.072,3959
0191,1,8,8,32,0.046,4023
0192,2,1,1,1,0.729,165
0193,2,1,1,2,0.394,464
0194,2,1,1,4,0.206,462
0195,2,1,1,8,0.114,474
