n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0000,32,1,1,1,1,0,1024,0.0003,43
0001,32,1,1,1,1,0,512,0.0003,38
0002,32,1,1,1,1,0,256,0.0003,41
0003,32,1,1,1,1,0,128,0.0003,39
0004,32,1,1,1,1,0,64,0.0003,38
0005,32,1,1,1,1,0,32,0.0002,43
0006,32,1,1,1,1,0,16,0.0003,46
0007,32,1,1,1,2,0,1024,0.0002,47
0008,32,1,1,1,2,0,512,0.0002,40
0009,32,1,1,1,2,0,256,0.0002,40
0010,32,1,1,1,2,0,128,0.0002,36
0011,32,1,1,1,2,0,64,0.0002,41
0012,32,1,1,1,2,0,32,0.0002,46
0013,32,1,1,1,2,0,16,0.0002,45
0014,32,1,1,1,3,0,1024,0.0003,50
0015,32,1,1,1,3,0,512,0.0003,49
0016,32,1,1,1,3,0,256,0.0003,46
0017,32,1,1,1,3,0,128,0.0003,46
0018,32,1,1,1,3,0,64,0.0003,47
0019,32,1,1,1,3,0,32,0.0003,47
0020,32,1,1,1,3,0,16,0.0003,57
0021,32,1,1,2,1,0,1024,0.0003,45
0022,32,1,1,2,1,0,512,0.0003,42
0023,32,1,1,2,1,0,256,0.0003,44
0024,32,1,1,2,1,0,128,0.0004,46
0025,32,1,1,2,1,0,64,0.0003,44
0026,32,1,1,2,1,0,32,0.0003,46
0027,32,1,1,2,1,0,16,0.0003,53
0028,32,1,1,2,2,0,1024,0.0002,45
0029,32,1,1,2,2,0,512,0.0002,50
0030,32,1,1,2,2,0,256,0.0002,40
0031,32,1,1,2,2,0,128,0.0002,44
0032,32,1,1,2,2,0,64,0.0002,42
0033,32,1,1,2,2,0,32,0.0002,40
0034,32,1,1,2,2,0,16,0.0002,64
0035,32,1,1,2,3,0,1024,0.0003,62
0036,32,1,1,2,3,0,512,0.0003,55
