n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,16,1,1,1,1,1,0,0.000017,231,1269,792,0,0
0001,16,1,1,1,1,2,0,0.000016,401,2092,1314,0,0
0002,16,1,1,1,1,4,0,0.000016,444,2748,1351,0,0
0003,16,1,1,1,1,8,0,0.000016,451,2940,1512,0,0
0004,16,1,1,1,1,16,0,0.000012,318,1845,1214,0,0
0005,16,1,1,1,2,1,0,0.000017,244,1269,774,0,0
0006,16,1,1,1,2,2,0,0.000020,401,1812,1297,0,0
0007,16,1,1,1,2,4,0,0.000018,433,2808,1344,0,0
0008,16,1,1,1,2,8,0,0.000018,447,2828,1498,0,0
0009,16,1,1,1,2,16,0,0.000012,262,1684,1195,0,0
0010,16,1,1,1,3,1,0,0.000017,232,1250,808,0,0
0011,16,1,1,1,3,2,0,0.000018,463,2253,1242,0,0
0012,16,1,1,1,3,4,0,0.000018,413,2659,1356,0,0
0013,16,1,1,1,3,8,0,0.000018,446,2909,1499,0,0
0014,16,1,1,1,3,16,0,0.000011,345,2078,1431,0,0
0015,16,1,1,1,4,1,0,0.000016,222,1225,767,0,0
0016,16,1,1,1,4,2,0,0.000020,308,1505,1293,0,0
0017,16,1,1,1,4,4,0,0.000021,328,1811,1344,0,0
0018,16,1,1,1,4,8,0,0.000019,391,2686,1491,0,0
0019,16,1,1,1,4,16,0,0.000010,270,1741,1193,0,0
0020,16,1,1,2,1,1,0,0.000026,229,1176,838,0,0
0021,16,1,1,2,1,2,0,0.000030,412,2248,1321,0,0
0022,16,1,1,2,1,4,0,0.000027,449,2467,1723,0,0
0023,16,1,1,2,1,8,0,0.000026,426,2749,1749,0,0
0024,16,1,1,2,1,16,0,0.000027,461,2587,1210,0,0
0025,16,1,1,2,2,1,0,0.000024,252,1223,817,0,0
0026,16,1,1,2,2,2,0,0.000034,375,1689,1309,0,0
0027,16,1,1,2,2,4,0,0.000026,390,2400,1715,0,0
0028,16,1,1,2,2,8,0,0.000027,392,2366,1736,0,0
0029,16,1,1,2,2,16,0,0.000023,431,2772,1201,0,0
0030,16,1,1,2,3,1,0,0.000029,248,1229,853,0,0
0031,16,1,1,2,3,2,0,0.000037,473,2342,1251,0,0
0032,16,1,1,2,3,4,0,0.000028,425,2509,1743,0,0
0033,16,1,1,2,3,8,0,0.000028,406,2404,1756,0,0
0034,16,1,1,2,3,16,0,0.000026,474,2858,1424,0,0
0035,16,1,1,2,4,1,0,0.000026,222,1139,811,0,0
0036,16,1,1,2,4,2,0,0.000030,366,1661,1305,0,0
0037,16,1,1,2,4,4,0,0.000024,316,1747,1328,0,0
0038,16,1,1,2,4,8,0,0.000026,349,2121,1734,0,0
0039,16,1,1,2,4,16,0,0.000025,400,2495,1189,0,0
0040,16,1,1,3,1,1,0,0.000041,321,1743,898,0,0
0041,16,1,1,3,1,2,0,0.000052,452,2532,1397,0,0
0042,16,1,1,3,1,4,0,0.000046,448,2726,1431,0,0
0043,16,1,1,3,1,8,0,0.000048,532,3291,1598,0,0
0044,16,1,1,3,1,16,0,0.000040,666,4223,1318,0,0
0045,16,1,1,3,2,1,0,0.000039,293,1641,875,0,0
0046,16,1,1,3,2,2,0,0.000049,392,1919,1381,0,0
0047,16,1,1,3,2,4,0,0.000048,455,2897,1429,0,0
0048,16,1,1,3,2,8,0,0.000046,481,3000,1579,0,0
0049,16,1,1,3,2,16,0,0.000037,701,4174,1294,0,0
0050,16,1,1,3,3,1,0,0.000038,300,1675,894,0,0
0051,16,1,1,3,3,2,0,0.000049,552,2787,1328,0,0
0052,16,1,1,3,3,4,0,0.000048,411,2684,1435,0,0
0053,16,1,1,3,3,8,0,0.000049,514,3131,1578,0,0
0054,16,1,1,3,3,16,0,0.000039,687,4389,1496,0,0
0055,16,1,1,3,4,1,0,0.000044,293,1566,870,0,0
0056,16,1,1,3,4,2,0,0.000049,372,1820,1379,0,0
0057,16,1,1,3,4,4,0,0.000047,373,2028,1421,0,0
0058,16,1,1,3,4,8,0,0.000049,483,3047,1576,0,0
0059,16,1,1,3,4,16,0,0.000037,616,3989,1287,0,0
0060,16,1,1,4,1,1,0,0.000057,299,1594,967,0,0
0061,16,1,1,4,1,2,0,0.000064,477,2557,1458,0,0
0062,16,1,1,4,1,4,0,0.000056,559,3269,1853,0,0
0063,16,1,1,4,1,8,0,0.000053,520,3094,1884,0,0
0064,16,1,1,4,1,16,0,0.000054,680,4389,1369,0,0
0065,16,1,1,4,2,1,0,0.000057,288,1544,946,0,0
0066,16,1,1,4,2,2,0,0.000070,445,2093,1452,0,0
0067,16,1,1,4,2,4,0,0.000056,500,2966,1848,0,0
0068,16,1,1,4,2,8,0,0.000053,461,2762,1863,0,0
0069,16,1,1,4,2,16,0,0.000052,654,4268,1365,0,0
0070,16,1,1,4,3,1,0,0.000061,303,1618,966,0,0
0071,16,1,1,4,3,2,0,0.000074,571,2911,1395,0,0
0072,16,1,1,4,3,4,0,0.000063,532,3154,1858,0,0
0073,16,1,1,4,3,8,0,0.000065,482,2985,1866,0,0
0074,16,1,1,4,3,16,0,0.000055,737,4977,1476,0,0
0075,16,1,1,4,4,1,0,0.000058,292,1573,940,0,0
0076,16,1,1,4,4,2,0,0.000064,424,2132,1450,0,0
0077,16,1,1,4,4,4,0,0.000057,442,2481,1462,0,0
0078,16,1,1,4,4,8,0,0.000049,446,2768,1861,0,0
0079,16,1,1,4,4,16,0,0.000053,629,4159,1363,0,0
0080,16,1,2,1,1,1,0,0.000036,260,1454,845,0,0
0081,16,1,2,1,1,2,0,0.000035,411,2178,1345,0,0
0082,16,1,2,1,1,4,0,0.000036,419,2622,1382,0,0
0083,16,1,2,1,1,8,0,0.000034,480,2982,1539,0,0
0084,16,1,2,1,1,16,0,0.000027,346,1996,1242,0,0
0085,16,1,2,1,2,1,0,0.000035,271,1414,827,0,0
0086,16,1,2,1,2,2,0,0.000041,370,1646,1337,0,0
0087,16,1,2,1,2,4,0,0.000035,364,2490,1381,0,0
0088,16,1,2,1,2,8,0,0.000037,428,2692,1529,0,0
0089,16,1,2,1,2,16,0,0.000022,274,1803,1224,0,0
0090,16,1,2,1,3,1,0,0.000037,274,1464,847,0,0
0091,16,1,2,1,3,2,0,0.000039,497,2447,1279,0,0
0092,16,1,2,1,3,4,0,0.000041,405,2601,1394,0,0
0093,16,1,2,1,3,8,0,0.000039,467,2852,1536,0,0
0094,16,1,2,1,3,16,0,0.000024,348,2210,1461,0,0
0095,16,1,2,1,4,1,0,0.000035,270,1436,816,0,0
0096,16,1,2,1,4,2,0,0.000039,365,1668,1333,0,0
0097,16,1,2,1,4,4,0,0.000039,436,2441,1379,0,0
0098,16,1,2,1,4,8,0,0.000032,381,2458,1518,0,0
0099,16,1,2,1,4,16,0,0.000025,266,1633,1226,0,0
0100,16,1,2,2,1,1,0,0.000056,262,1400,882,0,0
0101,16,1,2,2,1,2,0,0.000070,445,2385,1349,0,0
0102,16,1,2,2,1,4,0,0.000053,510,2905,1766,0,0
0103,16,1,2,2,1,8,0,0.000050,485,2926,1799,0,0
0104,16,1,2,2,1,16,0,0.000047,479,2830,1261,0,0
0105,16,1,2,2,2,1,0,0.000051,242,1278,863,0,0
0106,16,1,2,2,2,2,0,0.000070,399,1775,1339,0,0
0107,16,1,2,2,2,4,0,0.000050,457,2787,1762,0,0
0108,16,1,2,2,2,8,0,0.000049,423,2579,1781,0,0
0109,16,1,2,2,2,16,0,0.000046,428,2651,1228,0,0
0110,16,1,2,2,3,1,0,0.000055,245,1343,890,0,0
0111,16,1,2,2,3,2,0,0.000072,521,2517,1290,0,0
0112,16,1,2,2,3,4,0,0.000055,486,2782,1779,0,0
0113,16,1,2,2,3,8,0,0.000052,464,2777,1794,0,0
0114,16,1,2,2,3,16,0,0.000048,549,3184,1477,0,0
0115,16,1,2,2,4,1,0,0.000053,255,1343,851,0,0
0116,16,1,2,2,4,2,0,0.000066,363,1772,1339,0,0
0117,16,1,2,2,4,4,0,0.000052,399,2321,1385,0,0
0118,16,1,2,2,4,8,0,0.000051,387,2325,1775,0,0
0119,16,1,2,2,4,16,0,0.000044,426,2548,1237,0,0
0120,16,1,2,3,1,1,0,0.000082,333,1773,928,0,0
0121,16,1,2,3,1,2,0,0.000096,475,2500,1435,0,0
0122,16,1,2,3,1,4,0,0.000099,508,3037,1468,0,0
0123,16,1,2,3,1,8,0,0.000097,537,3312,1632,0,0
0124,16,1,2,3,1,16,0,0.000073,713,4423,1395,0,0
0125,16,1,2,3,2,1,0,0.000085,320,1760,910,0,0
0126,16,1,2,3,2,2,0,0.000105,474,2053,1424,0,0
0127,16,1,2,3,2,4,0,0.000093,459,2847,1464,0,0
0128,16,1,2,3,2,8,0,0.000095,493,2914,1612,0,0
0129,16,1,2,3,2,16,0,0.000073,682,4175,1368,0,0
0130,16,1,2,3,3,1,0,0.000083,327,1756,929,0,0
0131,16,1,2,3,3,2,0,0.000101,566,2798,1369,0,0
0132,16,1,2,3,3,4,0,0.000100,501,3095,1473,0,0
0133,16,1,2,3,3,8,0,0.000109,517,3094,1615,0,0
0134,16,1,2,3,3,16,0,0.000075,716,4635,1514,0,0
0135,16,1,2,3,4,1,0,0.000080,317,1724,898,0,0
0136,16,1,2,3,4,2,0,0.000105,470,1980,1416,0,0
0137,16,1,2,3,4,4,0,0.000100,439,2399,1460,0,0
0138,16,1,2,3,4,8,0,0.000102,464,2742,1611,0,0
0139,16,1,2,3,4,16,0,0.000074,604,3775,1367,0,0
0140,16,1,2,4,1,1,0,0.000112,356,1932,1067,0,0
0141,16,1,2,4,1,2,0,0.000147,566,2911,1506,0,0
0142,16,1,2,4,1,4,0,0.000122,621,3693,1923,0,0
0143,16,1,2,4,1,8,0,0.000112,556,3385,1919,0,0
0144,16,1,2,4,1,16,0,0.000118,725,4814,1451,0,0
0145,16,1,2,4,2,1,0,0.000109,361,1960,1051,0,0
0146,16,1,2,4,2,2,0,0.000142,552,2818,1505,0,0
0147,16,1,2,4,2,4,0,0.000134,594,3700,1923,0,0
0148,16,1,2,4,2,8,0,0.000111,522,3198,1903,0,0
