n,KNOB_PARTITION_FACTOR,KNOB_SUBDIM_X,KNOB_SUBDIM_Y,KNOB_UNROLL_FACTOR1,KNOB_UNROLL_FACTOR2,KNOB_UNROLL_FACTOR3,obj1,obj2,lut,ff,dsp,bram
0016,2,1,1,2,1,1,5.830,50,184,209,3,0
0017,2,1,1,2,1,2,5.830,50,184,209,3,0
0018,2,1,1,2,1,4,5.830,50,184,209,3,0
0019,2,1,1,2,1,8,5.830,50,184,209,3,0
0020,2,1,1,2,2,1,5.830,50,184,209,3,0
0021,2,1,1,2,2,2,5.830,50,184,209,3,0
0022,2,1,1,2,2,4,5.830,50,184,209,3,0
0023,2,1,1,2,2,8,5.830,50,184,209,3,0
0024,2,1,1,2,4,1,5.830,50,184,209,3,0
0025,2,1,1,2,4,2,5.830,50,184,209,3,0
0026,2,1,1,2,4,4,5.830,50,184,209,3,0
0027,2,1,1,2,4,8,5.830,50,184,209,3,0
0028,2,1,1,2,8,1,5.830,50,184,209,3,0
0029,2,1,1,2,8,2,5.830,50,184,209,3,0
0030,2,1,1,2,8,4,5.830,50,184,209,3,0
0031,2,1,1,2,8,8,5.830,50,184,209,3,0
0032,2,1,1,4,1,1,5.583,71,297,310,3,0
0033,2,1,1,4,1,2,5.583,71,297,310,3,0
0034,2,1,1,4,1,4,5.583,71,297,310,3,0
0035,2,1,1,4,1,8,5.583,71,297,310,3,0
0036,2,1,1,4,2,1,5.583,71,297,310,3,0
0037,2,1,1,4,2,2,5.583,71,297,310,3,0
0038,2,1,1,4,2,4,5.583,71,297,310,3,0
0039,2,1,1,4,2,8,5.583,71,297,310,3,0
0040,2,1,1,4,4,1,5.583,71,297,310,3,0
0041,2,1,1,4,4,2,5.583,71,297,310,3,0
0042,2,1,1,4,4,4,5.583,71,297,310,3,0
0043,2,1,1,4,4,8,5.583,71,297,310,3,0
0044,2,1,1,4,8,1,5.583,71,297,310,3,0
0045,2,1,1,4,8,2,5.583,71,297,310,3,0
0046,2,1,1,4,8,4,5.583,71,297,310,3,0
0047,2,1,1,4,8,8,5.583,71,297,310,3,0
0048,2,1,1,8,1,1,7.333,166,714,509,15,0
0049,2,1,1,8,1,2,7.333,166,714,509,15,0
0050,2,1,1,8,1,4,7.333,166,714,509,15,0
0051,2,1,1,8,1,8,7.333,166,714,509,15,0
0052,2,1,1,8,2,1,7.333,166,714,509,15,0
0053,2,1,1,8,2,2,7.333,166,714,509,15,0
0054,2,1,1,8,2,4,7.333,166,714,509,15,0
0055,2,1,1,8,2,8,7.333,166,714,509,15,0
0056,2,1,1,8,4,1,7.333,166,714,509,15,0
0057,2,1,1,8,4,2,7.333,166,714,509,15,0
0058,2,1,1,8,4,4,7.333,166,714,509,15,0
0059,2,1,1,8,4,8,7.333,166,714,509,15,0
0060,2,1,1,8,8,1,7.333,166,714,509,15,0
0061,2,1,1,8,8,2,7.333,166,714,509,15,0
0062,2,1,1,8,8,4,7.333,166,714,509,15,0
0063,2,1,1,8,8,8,7.333,166,714,509,15,0
0064,2,1,2,1,1,1,6.817,43,133,182,3,0
0065,2,1,2,1,1,2,3.809,46,183,194,3,0
0066,2,1,2,1,1,4,3.809,46,183,194,3,0
0067,2,1,2,1,1,8,3.809,46,183,194,3,0
