n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2
0000,2,1,1,1,2,2,0.0001,184
0001,2,1,1,1,4,2,0.0001,181
0002,2,1,1,1,8,2,0.0001,245
0003,2,1,1,1,16,2,0.0001,329
0004,2,1,1,1,32,2,0.0001,507
0005,2,1,1,2,2,2,0.0001,206
0006,2,1,1,2,4,2,0.0001,237
0009,2,1,1,2,32,2,0.0001,761
0010,2,1,2,1,2,2,0.0002,486
0011,2,1,2,1,4,2,0.0002,474
0012,2,1,2,1,8,2,0.0002,588
0013,2,1,2,1,16,2,0.0002,739
0014,2,1,2,1,32,2,0.0002,1022
0015,2,1,2,2,2,2,0.0002,363
0016,2,1,2,2,4,2,0.0002,401
0017,2,1,2,2,8,2,0.0002,528
0019,2,1,2,2,32,2,0.0002,1323
0020,2,1,3,1,2,2,0.0002,711
0021,2,1,3,1,4,2,0.0002,718
0022,2,1,3,1,8,2,0.0002,858
0023,2,1,3,1,16,2,0.0002,1064
0025,2,1,3,2,2,2,0.0003,509
0026,2,1,3,2,4,2,0.0003,586
0027,2,1,3,2,8,2,0.0003,751
0028,2,1,3,2,16,2,0.0003,1007
0029,2,1,3,2,32,2,0.0003,1884
0030,2,1,4,1,2,2,0.0003,911
0031,2,1,4,1,4,2,0.0003,918
0032,2,1,4,1,8,2,0.0003,1030
0033,2,1,4,1,16,2,0.0003,1317
0034,2,1,4,1,32,2,0.0003,1862
0035,2,1,4,2,2,2,0.0004,654
0036,2,1,4,2,4,2,0.0004,747
0037,2,1,4,2,8,2,0.0003,989
0038,2,1,4,2,16,2,0.0004,1278
0039,2,1,4,2,32,2,0.0004,2420
0040,2,2,1,1,2,2,0.0001,444
0041,2,2,1,1,4,2,0.0001,473
0042,2,2,1,1,8,2,0.0001,594
0043,2,2,1,1,16,2,0.0001,745
0044,2,2,1,1,32,2,0.0002,1189
0045,2,2,1,2,2,2,0.0001,375
0046,2,2,1,2,4,2,0.0001,456
0047,2,2,1,2,8,2,0.0001,617
0049,2,2,1,2,32,2,0.0001,1513
0050,2,2,2,1,2,2,0.0001,862
0051,2,2,2,1,4,2,0.0002,986
0052,2,2,2,1,8,2,0.0002,1123
0053,2,2,2,1,16,2,0.0002,1422
0054,2,2,2,1,32,2,0.0002,2072
0055,2,2,2,2,2,2,0.0002,705
0056,2,2,2,2,4,2,0.0002,831
0057,2,2,2,2,8,2,0.0002,1040
0058,2,2,2,2,16,2,0.0002,1367
0059,2,2,2,2,32,2,0.0002,2732
0060,2,2,3,1,2,2,0.0002,1247
0061,2,2,3,1,4,2,0.0002,1246
0062,2,2,3,1,8,2,0.0003,1563
0063,2,2,3,1,16,2,0.0002,1848
0064,2,2,3,1,32,2,0.0002,2752
0065,2,2,3,2,2,2,0.0003,965
0066,2,2,3,2,4,2,0.0003,1163
0067,2,2,3,2,8,2,0.0003,1442
0068,2,2,3,2,16,2,0.0003,1907
0069,2,2,3,2,32,2,0.0003,3730
0070,2,2,4,1,2,2,0.0003,1640
