n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
0,1,1,1,1,460800,0,0.240178,10241.798,574
1,1,1,1,1,230400,0,0.240518,10495.296,579
2,1,1,1,1,115200,0,0.230153,11525.514,615
3,1,1,1,1,57600,0,0.235372,12523.28,620
4,1,1,1,1,28800,0,0.240202,15345.008,716
5,1,1,1,1,14400,0,0.242013,18935.477,833
6,1,1,1,1,7200,0,0.248,25508.602,1000
7,1,1,1,2,460800,0,0.23574,11457.95,664
8,1,1,1,2,230400,0,0.240809,12588.45,685
9,1,1,1,2,115200,0,0.229348,12600.952,696
10,1,1,1,2,57600,0,0.238163,14200.942,743
11,1,1,1,2,28800,0,0.267602,15993.782,769
12,1,1,1,2,14400,0,0.24332,25569.516,942
14,1,1,1,3,460800,0,0.263729,13007.666,753
15,1,1,1,3,230400,0,0.242638,13342.028,750
16,1,1,1,3,115200,0,0.242864,14320.11,800
17,1,1,1,3,57600,0,0.259606,15315.216,821
18,1,1,1,3,28800,0,0.300905,16690.969,838
21,1,1,1,4,460800,0,0.231109,14093.478,796
22,1,1,1,4,230400,0,0.237748,13969.522,800
23,1,1,1,4,115200,0,0.236324,15431.99,840
24,1,1,1,4,57600,0,0.233759,17818.543,878
25,1,1,1,4,28800,0,0.234492,27343.203,1706
28,1,1,1,5,460800,0,0.26195,13624.254,817
29,1,1,1,5,230400,0,0.237444,14222.754,815
30,1,1,1,5,115200,0,0.24936,15870.624,864
32,1,1,1,5,28800,0,0.303183,18927.496,909
35,1,1,2,1,460800,0,0.240178,10241.798,574
36,1,1,2,1,230400,0,0.240518,10495.296,579
37,1,1,2,1,115200,0,0.230153,11525.514,615
38,1,1,2,1,57600,0,0.235372,12523.28,620
39,1,1,2,1,28800,0,0.240202,15345.008,716
40,1,1,2,1,14400,0,0.242013,18935.477,833
41,1,1,2,1,7200,0,0.248,25508.602,1000
42,1,1,2,2,460800,0,0.23574,11457.95,664
43,1,1,2,2,230400,0,0.240809,12588.45,685
44,1,1,2,2,115200,0,0.229348,12600.952,696
45,1,1,2,2,57600,0,0.238163,14200.942,743
46,1,1,2,2,28800,0,0.267602,15993.782,769
47,1,1,2,2,14400,0,0.24332,25569.516,942
49,1,1,2,3,460800,0,0.263729,13007.666,753
50,1,1,2,3,230400,0,0.242638,13342.028,750
51,1,1,2,3,115200,0,0.242864,14320.11,800
52,1,1,2,3,57600,0,0.259606,15315.216,821
53,1,1,2,3,28800,0,0.300905,16690.969,838
54,1,1,2,3,14400,0,0.272838,21223.607,875
56,1,1,2,4,460800,0,0.231109,14093.478,796
57,1,1,2,4,230400,0,0.237748,13969.522,800
58,1,1,2,4,115200,0,0.236324,15431.99,840
59,1,1,2,4,57600,0,0.233759,17818.543,878
63,1,1,2,5,460800,0,0.26195,13624.254,817
64,1,1,2,5,230400,0,0.237444,14222.754,815
65,1,1,2,5,115200,0,0.24936,15870.624,864
66,1,1,2,5,57600,0,0.257092,16932.496,879
67,1,1,2,5,28800,0,0.303183,18927.496,909
70,1,1,3,1,460800,0,0.240178,10241.798,574
71,1,1,3,1,230400,0,0.240518,10495.296,579
72,1,1,3,1,115200,0,0.230153,11525.514,615
73,1,1,3,1,57600,0,0.235372,12523.28,620
74,1,1,3,1,28800,0,0.240202,15345.008,716
75,1,1,3,1,14400,0,0.242013,18935.477,833
76,1,1,3,1,7200,0,0.248,25508.602,1000
77,1,1,3,2,460800,0,0.23574,11457.95,664
78,1,1,3,2,230400,0,0.240809,12588.45,685
79,1,1,3,2,115200,0,0.229348,12600.952,696
80,1,1,3,2,57600,0,0.238163,14200.942,743
81,1,1,3,2,28800,0,0.267602,15993.782,769
82,1,1,3,2,14400,0,0.24332,25569.516,942
84,1,1,3,3,460800,0,0.263729,13007.666,753
85,1,1,3,3,230400,0,0.242638,13342.028,750
86,1,1,3,3,115200,0,0.242864,14320.11,800
87,1,1,3,3,57600,0,0.259606,15315.216,821
