n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,1,1,1,1,460800,0,0.240178,10241.798
1,1,1,1,1,230400,0,0.240518,10495.296
2,1,1,1,1,115200,0,0.230153,11525.514
3,1,1,1,1,57600,0,0.235372,12523.28
4,1,1,1,1,28800,0,0.240202,15345.008
5,1,1,1,1,14400,0,0.242013,18935.477
6,1,1,1,1,7200,0,0.248,25508.602
7,1,1,1,2,460800,0,0.23574,11457.95
8,1,1,1,2,230400,0,0.240809,12588.45
9,1,1,1,2,115200,0,0.229348,12600.952
10,1,1,1,2,57600,0,0.238163,14200.942
11,1,1,1,2,28800,0,0.267602,15993.782
12,1,1,1,2,14400,0,0.24332,25569.516
13,1,1,1,3,460800,0,0.263729,13007.666
14,1,1,1,3,230400,0,0.242638,13342.028
15,1,1,1,3,115200,0,0.242864,14320.11
16,1,1,1,3,57600,0,0.259606,15315.216
17,1,1,1,3,28800,0,0.300905,16690.969
18,1,1,1,4,460800,0,0.231109,14093.478
19,1,1,1,4,230400,0,0.237748,13969.522
20,1,1,1,4,115200,0,0.236324,15431.99
21,1,1,1,4,57600,0,0.233759,17818.543
22,1,1,1,4,28800,0,0.234492,27343.203
23,1,1,1,5,460800,0,0.26195,13624.254
24,1,1,1,5,230400,0,0.237444,14222.754
25,1,1,1,5,115200,0,0.24936,15870.624
26,1,1,1,5,28800,0,0.303183,18927.496
27,1,1,2,1,460800,0,0.240178,10241.798
28,1,1,2,1,230400,0,0.240518,10495.296
29,1,1,2,1,115200,0,0.230153,11525.514
30,1,1,2,1,57600,0,0.235372,12523.28
31,1,1,2,1,28800,0,0.240202,15345.008
32,1,1,2,1,14400,0,0.242013,18935.477
33,1,1,2,1,7200,0,0.248,25508.602
34,1,1,2,2,460800,0,0.23574,11457.95
35,1,1,2,2,230400,0,0.240809,12588.45
36,1,1,2,2,115200,0,0.229348,12600.952
37,1,1,2,2,57600,0,0.238163,14200.942
38,1,1,2,2,28800,0,0.267602,15993.782
39,1,1,2,2,14400,0,0.24332,25569.516
40,1,1,2,3,460800,0,0.263729,13007.666
41,1,1,2,3,230400,0,0.242638,13342.028
42,1,1,2,3,115200,0,0.242864,14320.11
43,1,1,2,3,57600,0,0.259606,15315.216
44,1,1,2,3,28800,0,0.300905,16690.969
45,1,1,2,3,14400,0,0.272838,21223.607
46,1,1,2,4,460800,0,0.231109,14093.478
47,1,1,2,4,230400,0,0.237748,13969.522
48,1,1,2,4,115200,0,0.236324,15431.99
49,1,1,2,4,57600,0,0.233759,17818.543
50,1,1,2,5,460800,0,0.26195,13624.254
51,1,1,2,5,230400,0,0.237444,14222.754
52,1,1,2,5,115200,0,0.24936,15870.624
53,1,1,2,5,57600,0,0.257092,16932.496
54,1,1,2,5,28800,0,0.303183,18927.496
55,1,1,3,1,460800,0,0.240178,10241.798
56,1,1,3,1,230400,0,0.240518,10495.296
57,1,1,3,1,115200,0,0.230153,11525.514
58,1,1,3,1,57600,0,0.235372,12523.28
59,1,1,3,1,28800,0,0.240202,15345.008
60,1,1,3,1,14400,0,0.242013,18935.477
61,1,1,3,1,7200,0,0.248,25508.602
62,1,1,3,2,460800,0,0.23574,11457.95
63,1,1,3,2,230400,0,0.240809,12588.45
64,1,1,3,2,115200,0,0.229348,12600.952
65,1,1,3,2,57600,0,0.238163,14200.942
66,1,1,3,2,28800,0,0.267602,15993.782
67,1,1,3,2,14400,0,0.24332,25569.516
68,1,1,3,3,460800,0,0.263729,13007.666
69,1,1,3,3,230400,0,0.242638,13342.028
70,1,1,3,3,115200,0,0.242864,14320.11
71,1,1,3,3,57600,0,0.259606,15315.216
72,1,1,3,3,28800,0,0.300905,16690.969
73,1,1,3,3,14400,0,0.272838,21223.607
74,1,1,3,4,460800,0,0.231109,14093.478
75,1,1,3,4,230400,0,0.237748,13969.522
76,1,1,3,4,115200,0,0.236324,15431.99
77,1,1,3,4,57600,0,0.233759,17818.543
78,1,1,3,4,28800,0,0.234492,27343.203
79,1,1,3,5,460800,0,0.26195,13624.254
80,1,1,3,5,230400,0,0.237444,14222.754
81,1,1,3,5,115200,0,0.24936,15870.624
82,1,1,3,5,57600,0,0.257092,16932.496
83,1,1,3,5,28800,0,0.303183,18927.496
84,1,1,4,1,460800,0,0.240178,10241.798
85,1,1,4,1,230400,0,0.240518,10495.296
86,1,1,4,1,115200,0,0.230153,11525.514
87,1,1,4,1,57600,0,0.235372,12523.28
88,1,1,4,1,28800,0,0.240202,15345.008
89,1,1,4,1,14400,0,0.242013,18935.477
90,1,1,4,1,7200,0,0.248,25508.602
91,1,1,4,2,460800,0,0.23574,11457.95
92,1,1,4,2,230400,0,0.240809,12588.45
93,1,1,4,2,115200,0,0.229348,12600.952
94,1,1,4,2,57600,0,0.238163,14200.942
95,1,1,4,2,28800,0,0.267602,15993.782
96,1,1,4,2,14400,0,0.24332,25569.516
97,1,1,4,3,460800,0,0.263729,13007.666
98,1,1,4,3,230400,0,0.242638,13342.028
99,1,1,4,3,115200,0,0.242864,14320.11
100,1,1,4,3,57600,0,0.259606,15315.216
101,1,1,4,3,28800,0,0.300905,16690.969
102,1,1,4,4,460800,0,0.231109,14093.478
103,1,1,4,4,230400,0,0.237748,13969.522
104,1,1,4,4,115200,0,0.236324,15431.99
105,1,1,4,4,57600,0,0.233759,17818.543
106,1,1,4,4,28800,0,0.234492,27343.203
107,1,1,4,5,460800,0,0.26195,13624.254
108,1,1,4,5,230400,0,0.237444,14222.754
109,1,1,4,5,115200,0,0.24936,15870.624
110,1,1,4,5,57600,0,0.257092,16932.496
111,1,1,4,5,28800,0,0.303183,18927.496
112,1,1,5,1,460800,0,0.240178,10241.798
113,1,1,5,1,230400,0,0.240518,10495.296
114,1,1,5,1,115200,0,0.230153,11525.514
115,1,1,5,1,57600,0,0.235372,12523.28
116,1,1,5,1,28800,0,0.240202,15345.008
117,1,1,5,1,14400,0,0.242013,18935.477
118,1,1,5,1,7200,0,0.248,25508.602
119,1,1,5,2,460800,0,0.23574,11457.95
120,1,1,5,2,230400,0,0.240809,12588.45
121,1,1,5,2,115200,0,0.229348,12600.952
122,1,1,5,2,57600,0,0.238163,14200.942
123,1,1,5,2,28800,0,0.267602,15993.782
124,1,1,5,2,14400,0,0.24332,25569.516
125,1,1,5,3,460800,0,0.263729,13007.666
126,1,1,5,3,230400,0,0.242638,13342.028
127,1,1,5,3,115200,0,0.242864,14320.11
128,1,1,5,3,57600,0,0.259606,15315.216
129,1,1,5,3,28800,0,0.300905,16690.969
130,1,1,5,4,460800,0,0.231109,14093.478
131,1,1,5,4,230400,0,0.237748,13969.522
132,1,1,5,4,115200,0,0.236324,15431.99
133,1,1,5,4,57600,0,0.233759,17818.543
134,1,1,5,4,28800,0,0.234492,27343.203
135,1,1,5,5,460800,0,0.26195,13624.254
136,1,1,5,5,230400,0,0.237444,14222.754
137,1,1,5,5,115200,0,0.24936,15870.624
138,1,1,5,5,28800,0,0.303183,18927.496
139,1,2,1,1,460800,0,0.20236,13536.74
140,1,2,1,1,230400,0,0.200707,14460.026
141,1,2,1,1,115200,0,0.205244,14167.426
142,1,2,1,1,57600,0,0.207894,15434.384
143,1,2,1,1,28800,0,0.20429,15734.432
144,1,2,1,1,14400,0,0.20253,18863.123
145,1,2,1,1,7200,0,0.210734,20659.156
146,1,2,1,2,460800,0,0.203675,16982.504
147,1,2,1,2,230400,0,0.200982,17283.615
148,1,2,1,2,115200,0,0.20713,18113.27
149,1,2,1,2,57600,0,0.200919,19736.934
150,1,2,1,2,28800,0,0.211984,20522.697
151,1,2,1,2,14400,0,0.20306,22111.516
152,1,2,1,3,460800,0,0.209971,18106.887
153,1,2,1,3,230400,0,0.202975,17812.955
154,1,2,1,3,115200,0,0.205625,18490.99
155,1,2,1,3,57600,0,0.204184,20951.756
156,1,2,1,3,28800,0,0.208169,22081.725
157,1,2,1,3,14400,0,0.202572,23289.098
158,1,2,1,4,460800,0,0.210057,20395.018
159,1,2,1,4,230400,0,0.202502,20606.488
160,1,2,1,4,115200,0,0.205697,21451.037
161,1,2,1,4,57600,0,0.21048,22443.484
162,1,2,1,4,28800,0,0.209184,26982.508
163,1,2,1,4,14400,0,0.208914,29285.27
164,1,2,1,5,460800,0,0.20342,19360.277
165,1,2,1,5,230400,0,0.205074,20517.91
166,1,2,1,5,115200,0,0.201279,20284.361
167,1,2,1,5,57600,0,0.211519,21621.811
168,1,2,1,5,28800,0,0.207915,23177.645
169,1,2,2,1,460800,0,0.19504,12989.312
170,1,2,2,1,230400,0,0.207744,13507.48
171,1,2,2,1,115200,0,0.206783,14956.116
172,1,2,2,1,57600,0,0.202127,17191.58
173,1,2,2,1,28800,0,0.206155,21827.693
174,1,2,2,1,14400,0,0.204459,29024.59
175,1,2,2,2,460800,0,0.208508,16211.37
176,1,2,2,2,230400,0,0.195937,16597.867
177,1,2,2,2,115200,0,0.209943,17343.998
178,1,2,2,2,57600,0,0.20546,22081.191
179,1,2,2,2,28800,0,0.217836,22982.4
180,1,2,2,2,14400,0,0.20663,29756.889
181,1,2,2,3,460800,0,0.225629,17968.832
182,1,2,2,3,230400,0,0.206051,18922.975
183,1,2,2,3,115200,0,0.199002,23288.566
184,1,2,2,4,460800,0,0.207692,19372.248
185,1,2,2,4,230400,0,0.204834,21198.072
186,1,2,2,4,115200,0,0.212903,21635.109
187,1,2,2,4,57600,0,0.204258,24456.307
188,1,2,2,5,460800,0,0.215328,19762.736
189,1,2,2,5,230400,0,0.203649,20234.619
190,1,2,2,5,115200,0,0.205135,24567.494
191,1,2,3,1,460800,0,0.19504,12989.312
192,1,2,3,1,230400,0,0.207744,13507.48
193,1,2,3,1,115200,0,0.206783,14956.116
194,1,2,3,1,57600,0,0.202127,17191.58
195,1,2,3,1,28800,0,0.206155,21827.693
196,1,2,3,1,14400,0,0.204459,29024.59
197,1,2,3,2,460800,0,0.208508,16211.37
198,1,2,3,2,230400,0,0.195937,16597.867
199,1,2,3,2,115200,0,0.209943,17343.998
200,1,2,3,2,57600,0,0.20546,22081.191
201,1,2,3,2,28800,0,0.217836,22982.4
202,1,2,3,2,14400,0,0.20663,29756.889
203,1,2,3,3,460800,0,0.225629,17968.832
204,1,2,3,3,230400,0,0.206051,18922.975
205,1,2,3,3,115200,0,0.199002,23288.566
206,1,2,3,3,28800,0,0.236014,28529.83
207,1,2,3,4,460800,0,0.207692,19372.248
208,1,2,3,4,230400,0,0.204834,21198.072
209,1,2,3,4,115200,0,0.212903,21635.109
210,1,2,3,4,57600,0,0.204258,24456.307
211,1,2,3,5,460800,0,0.215328,19762.736
212,1,2,3,5,230400,0,0.203649,20234.619
213,1,2,3,5,115200,0,0.205135,24567.494
214,1,2,4,1,460800,0,0.19504,12989.312
215,1,2,4,1,230400,0,0.207744,13507.48
216,1,2,4,1,115200,0,0.206783,14956.116
217,1,2,4,1,57600,0,0.202127,17191.58
218,1,2,4,1,28800,0,0.206155,21827.693
219,1,2,4,1,14400,0,0.204459,29024.59
220,1,2,4,2,460800,0,0.208508,16211.37
221,1,2,4,2,230400,0,0.195937,16597.867
222,1,2,4,2,115200,0,0.209943,17343.998
223,1,2,4,2,57600,0,0.20546,22081.191
224,1,2,4,2,28800,0,0.217836,22982.4
225,1,2,4,3,460800,0,0.225629,17968.832
226,1,2,4,3,230400,0,0.206051,18922.975
227,1,2,4,3,115200,0,0.199002,23288.566
228,1,2,4,3,28800,0,0.236014,28529.83
229,1,2,4,4,460800,0,0.207692,19372.248
230,1,2,4,4,230400,0,0.204834,21198.072
231,1,2,4,4,115200,0,0.212903,21635.109
232,1,2,4,4,57600,0,0.204258,24456.307
233,1,2,4,5,460800,0,0.215328,19762.736
234,1,2,4,5,230400,0,0.203649,20234.619
235,1,2,5,1,460800,0,0.19504,12989.312
236,1,2,5,1,230400,0,0.207744,13507.48
237,1,2,5,1,115200,0,0.206783,14956.116
238,1,2,5,1,57600,0,0.202127,17191.58
239,1,2,5,1,28800,0,0.206155,21827.693
240,1,2,5,1,14400,0,0.204459,29024.59
241,1,2,5,2,460800,0,0.208508,16211.37
242,1,2,5,2,230400,0,0.195937,16597.867
243,1,2,5,2,115200,0,0.209943,17343.998
244,1,2,5,2,57600,0,0.20546,22081.191
245,1,2,5,2,28800,0,0.217836,22982.4
246,1,2,5,2,14400,0,0.20663,29756.889
247,1,2,5,3,460800,0,0.225629,17968.832
248,1,2,5,3,230400,0,0.206051,18922.975
249,1,2,5,3,115200,0,0.199002,23288.566
250,1,2,5,3,57600,0,0.234765,24342.725
251,1,2,5,3,28800,0,0.236014,28529.83
252,1,2,5,4,460800,0,0.207692,19372.248
253,1,2,5,4,230400,0,0.204834,21198.072
254,1,2,5,4,115200,0,0.212903,21635.109
255,1,2,5,4,57600,0,0.204258,24456.307
256,1,2,5,5,460800,0,0.215328,19762.736
257,1,2,5,5,230400,0,0.203649,20234.619
258,1,3,1,1,460800,0,0.222074,19068.742
259,1,3,1,1,230400,0,0.222052,19126.465
260,1,3,1,1,115200,0,0.211687,19047.994
261,1,3,1,1,57600,0,0.214886,20290.48
262,1,3,1,1,28800,0,0.237357,19862.486
263,1,3,1,1,14400,0,0.221846,23061.668
264,1,3,1,1,7200,0,0.259613,21460.613
