n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
0,1,1,1,1,460800,0,0.150326,23441.25,458
1,1,1,1,1,230400,0,0.147028,25452.742,461
2,1,1,1,1,115200,0,0.147706,22039.963,474
3,1,1,1,1,57600,0,0.146652,22110.186,521
4,1,1,1,1,28800,0,0.150235,25908.4,597
5,1,1,1,1,14400,0,0.149272,32598.033,792
6,1,1,1,1,7200,0,0.145432,39737.473,855
7,1,1,1,2,460800,0,0.142295,23695.279,569
8,1,1,1,2,230400,0,0.145667,24500.463,578
9,1,1,1,2,115200,0,0.143244,26513.018,644
10,1,1,1,2,57600,0,0.145375,31310.859,981
11,1,1,1,2,28800,0,0.145754,37530.207,1565
12,1,1,1,2,14400,0,0.142178,53515.742,2724
14,1,1,1,3,460800,0,0.143324,25954.418,627
15,1,1,1,3,230400,0,0.150491,26658.785,654
16,1,1,1,3,115200,0,0.150506,28193.074,749
17,1,1,1,3,57600,0,0.150296,31606.119,1088
18,1,1,1,3,28800,0,0.143595,38440.191,1714
21,1,1,1,4,460800,0,0.150506,26776.357,712
22,1,1,1,4,230400,0,0.148429,28979.637,675
23,1,1,1,4,115200,0,0.148971,29556.855,771
24,1,1,1,4,57600,0,0.148564,34228.348,1078
25,1,1,1,4,28800,0,0.140479,44295.383,1666
28,1,1,1,5,460800,0,0.150491,26624.473,705
29,1,1,1,5,230400,0,0.150552,27725.18,726
30,1,1,1,5,115200,0,0.148594,28895.58,814
32,1,1,1,5,28800,0,0.150491,42984.535,1778
35,1,1,2,1,460800,0,0.150326,23441.25,458
36,1,1,2,1,230400,0,0.147028,25452.742,461
37,1,1,2,1,115200,0,0.147706,22039.963,474
38,1,1,2,1,57600,0,0.146652,22110.186,521
39,1,1,2,1,28800,0,0.150235,25908.4,597
40,1,1,2,1,14400,0,0.149272,32598.033,792
41,1,1,2,1,7200,0,0.145432,39737.473,855
42,1,1,2,2,460800,0,0.142295,23695.279,569
43,1,1,2,2,230400,0,0.145667,24500.463,578
44,1,1,2,2,115200,0,0.143244,26513.018,644
45,1,1,2,2,57600,0,0.145375,31310.859,981
46,1,1,2,2,28800,0,0.145754,37530.207,1565
47,1,1,2,2,14400,0,0.142178,53515.742,2724
49,1,1,2,3,460800,0,0.143324,25954.418,627
50,1,1,2,3,230400,0,0.150491,26658.785,654
51,1,1,2,3,115200,0,0.150506,28193.074,749
52,1,1,2,3,57600,0,0.150296,31606.119,1088
53,1,1,2,3,28800,0,0.143595,38440.191,1714
56,1,1,2,4,460800,0,0.150506,26776.357,712
57,1,1,2,4,230400,0,0.148429,28979.637,675
58,1,1,2,4,115200,0,0.148971,29556.855,771
59,1,1,2,4,57600,0,0.148564,34228.348,1078
60,1,1,2,4,28800,0,0.140479,44295.383,1666
63,1,1,2,5,460800,0,0.150491,26624.473,705
64,1,1,2,5,230400,0,0.150552,27725.18,726
65,1,1,2,5,115200,0,0.148594,28895.58,814
67,1,1,2,5,28800,0,0.150491,42984.535,1778
70,1,1,3,1,460800,0,0.150326,23441.25,458
71,1,1,3,1,230400,0,0.147028,25452.742,461
72,1,1,3,1,115200,0,0.147706,22039.963,474
73,1,1,3,1,57600,0,0.146652,22110.186,521
74,1,1,3,1,28800,0,0.150235,25908.4,597
75,1,1,3,1,14400,0,0.149272,32598.033,792
76,1,1,3,1,7200,0,0.145432,39737.473,855
77,1,1,3,2,460800,0,0.142295,23695.279,569
78,1,1,3,2,230400,0,0.145667,24500.463,578
79,1,1,3,2,115200,0,0.143244,26513.018,644
80,1,1,3,2,57600,0,0.145375,31310.859,981
81,1,1,3,2,28800,0,0.145754,37530.207,1565
82,1,1,3,2,14400,0,0.142178,53515.742,2724
84,1,1,3,3,460800,0,0.143324,25954.418,627
85,1,1,3,3,230400,0,0.150491,26658.785,654
86,1,1,3,3,115200,0,0.150506,28193.074,749
87,1,1,3,3,57600,0,0.150296,31606.119,1088
88,1,1,3,3,28800,0,0.143595,38440.191,1714
91,1,1,3,4,460800,0,0.150506,26776.357,712
92,1,1,3,4,230400,0,0.148429,28979.637,675
93,1,1,3,4,115200,0,0.148971,29556.855,771
94,1,1,3,4,57600,0,0.148564,34228.348,1078
98,1,1,3,5,460800,0,0.150491,26624.473,705
99,1,1,3,5,230400,0,0.150552,27725.18,726
100,1,1,3,5,115200,0,0.148594,28895.58,814
102,1,1,3,5,28800,0,0.150491,42984.535,1778
105,1,1,4,1,460800,0,0.150326,23441.25,458
106,1,1,4,1,230400,0,0.147028,25452.742,461
107,1,1,4,1,115200,0,0.147706,22039.963,474
108,1,1,4,1,57600,0,0.146652,22110.186,521
109,1,1,4,1,28800,0,0.150235,25908.4,597
110,1,1,4,1,14400,0,0.149272,32598.033,792
111,1,1,4,1,7200,0,0.145432,39737.473,855
112,1,1,4,2,460800,0,0.142295,23695.279,569
113,1,1,4,2,230400,0,0.145667,24500.463,578
114,1,1,4,2,115200,0,0.143244,26513.018,644
115,1,1,4,2,57600,0,0.145375,31310.859,981
116,1,1,4,2,28800,0,0.145754,37530.207,1565
117,1,1,4,2,14400,0,0.142178,53515.742,2724
119,1,1,4,3,460800,0,0.143324,25954.418,627
120,1,1,4,3,230400,0,0.150491,26658.785,654
121,1,1,4,3,115200,0,0.150506,28193.074,749
122,1,1,4,3,57600,0,0.150296,31606.119,1088
123,1,1,4,3,28800,0,0.143595,38440.191,1714
126,1,1,4,4,460800,0,0.150506,26776.357,712
