n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,1,1,1,1,460800,0,0.150326,23441.25
1,1,1,1,1,230400,0,0.147028,25452.742
2,1,1,1,1,115200,0,0.147706,22039.963
3,1,1,1,1,57600,0,0.146652,22110.186
4,1,1,1,1,28800,0,0.150235,25908.4
5,1,1,1,1,14400,0,0.149272,32598.033
6,1,1,1,1,7200,0,0.145432,39737.473
7,1,1,1,2,460800,0,0.142295,23695.279
8,1,1,1,2,230400,0,0.145667,24500.463
9,1,1,1,2,115200,0,0.143244,26513.018
10,1,1,1,2,57600,0,0.145375,31310.859
11,1,1,1,2,28800,0,0.145754,37530.207
12,1,1,1,2,14400,0,0.142178,53515.742
13,1,1,1,3,460800,0,0.143324,25954.418
14,1,1,1,3,230400,0,0.150491,26658.785
15,1,1,1,3,115200,0,0.150506,28193.074
16,1,1,1,3,57600,0,0.150296,31606.119
17,1,1,1,3,28800,0,0.143595,38440.191
18,1,1,1,4,460800,0,0.150506,26776.357
19,1,1,1,4,230400,0,0.148429,28979.637
20,1,1,1,4,115200,0,0.148971,29556.855
21,1,1,1,4,57600,0,0.148564,34228.348
22,1,1,1,4,28800,0,0.140479,44295.383
23,1,1,1,5,460800,0,0.150491,26624.473
24,1,1,1,5,230400,0,0.150552,27725.18
25,1,1,1,5,115200,0,0.148594,28895.58
26,1,1,1,5,28800,0,0.150491,42984.535
27,1,1,2,1,460800,0,0.150326,23441.25
28,1,1,2,1,230400,0,0.147028,25452.742
29,1,1,2,1,115200,0,0.147706,22039.963
30,1,1,2,1,57600,0,0.146652,22110.186
31,1,1,2,1,28800,0,0.150235,25908.4
32,1,1,2,1,14400,0,0.149272,32598.033
33,1,1,2,1,7200,0,0.145432,39737.473
34,1,1,2,2,460800,0,0.142295,23695.279
35,1,1,2,2,230400,0,0.145667,24500.463
36,1,1,2,2,115200,0,0.143244,26513.018
37,1,1,2,2,57600,0,0.145375,31310.859
38,1,1,2,2,28800,0,0.145754,37530.207
39,1,1,2,2,14400,0,0.142178,53515.742
40,1,1,2,3,460800,0,0.143324,25954.418
41,1,1,2,3,230400,0,0.150491,26658.785
42,1,1,2,3,115200,0,0.150506,28193.074
43,1,1,2,3,57600,0,0.150296,31606.119
44,1,1,2,3,28800,0,0.143595,38440.191
45,1,1,2,4,460800,0,0.150506,26776.357
46,1,1,2,4,230400,0,0.148429,28979.637
47,1,1,2,4,115200,0,0.148971,29556.855
48,1,1,2,4,57600,0,0.148564,34228.348
49,1,1,2,4,28800,0,0.140479,44295.383
50,1,1,2,5,460800,0,0.150491,26624.473
51,1,1,2,5,230400,0,0.150552,27725.18
52,1,1,2,5,115200,0,0.148594,28895.58
53,1,1,2,5,28800,0,0.150491,42984.535
54,1,1,3,1,460800,0,0.150326,23441.25
55,1,1,3,1,230400,0,0.147028,25452.742
56,1,1,3,1,115200,0,0.147706,22039.963
57,1,1,3,1,57600,0,0.146652,22110.186
58,1,1,3,1,28800,0,0.150235,25908.4
59,1,1,3,1,14400,0,0.149272,32598.033
60,1,1,3,1,7200,0,0.145432,39737.473
61,1,1,3,2,460800,0,0.142295,23695.279
62,1,1,3,2,230400,0,0.145667,24500.463
63,1,1,3,2,115200,0,0.143244,26513.018
64,1,1,3,2,57600,0,0.145375,31310.859
65,1,1,3,2,28800,0,0.145754,37530.207
66,1,1,3,2,14400,0,0.142178,53515.742
67,1,1,3,3,460800,0,0.143324,25954.418
68,1,1,3,3,230400,0,0.150491,26658.785
69,1,1,3,3,115200,0,0.150506,28193.074
70,1,1,3,3,57600,0,0.150296,31606.119
71,1,1,3,3,28800,0,0.143595,38440.191
72,1,1,3,4,460800,0,0.150506,26776.357
73,1,1,3,4,230400,0,0.148429,28979.637
74,1,1,3,4,115200,0,0.148971,29556.855
75,1,1,3,4,57600,0,0.148564,34228.348
76,1,1,3,5,460800,0,0.150491,26624.473
77,1,1,3,5,230400,0,0.150552,27725.18
78,1,1,3,5,115200,0,0.148594,28895.58
79,1,1,3,5,28800,0,0.150491,42984.535
80,1,1,4,1,460800,0,0.150326,23441.25
81,1,1,4,1,230400,0,0.147028,25452.742
82,1,1,4,1,115200,0,0.147706,22039.963
83,1,1,4,1,57600,0,0.146652,22110.186
84,1,1,4,1,28800,0,0.150235,25908.4
85,1,1,4,1,14400,0,0.149272,32598.033
86,1,1,4,1,7200,0,0.145432,39737.473
