n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,1,1,1,1,460800,0,0.523444,312
1,1,1,1,1,230400,0,0.532323,337
2,1,1,1,1,115200,0,0.524733,444
3,1,1,1,1,57600,0,0.548674,494
4,1,1,1,2,460800,0,0.479899,378
5,1,1,1,2,230400,0,0.527576,419
6,1,1,1,2,115200,0,0.507679,482
7,1,1,1,2,57600,0,0.565435,602
8,1,1,1,3,460800,0,0.516733,364
9,1,1,1,3,230400,0,0.482654,410
10,1,1,1,3,115200,0,0.498888,457
11,1,1,1,3,57600,0,0.477555,632
12,1,1,1,4,460800,0,0.510848,469
13,1,1,1,4,230400,0,0.511492,501
14,1,1,1,4,115200,0,0.497722,600
15,1,1,1,4,57600,0,0.527343,849
16,1,1,1,5,460800,0,0.485672,404
17,1,1,1,5,230400,0,0.483533,457
18,1,1,1,5,115200,0,0.494258,496
19,1,1,1,5,57600,0,0.488339,640
20,1,1,2,1,460800,0,0.492121,356
21,1,1,2,1,230400,0,0.513868,393
22,1,1,2,1,115200,0,0.487482,485
23,1,1,2,1,57600,0,0.489859,713
24,1,1,2,2,460800,0,0.48809,448
25,1,1,2,2,230400,0,0.514216,508
26,1,1,2,2,115200,0,0.494673,632
27,1,1,2,2,57600,0,0.472926,920
28,1,1,2,3,460800,0,0.508591,432
29,1,1,2,3,230400,0,0.499689,495
30,1,1,2,3,115200,0,0.501516,569
31,1,1,2,3,57600,0,0.572585,863
32,1,1,2,4,460800,0,0.514247,557
33,1,1,2,4,115200,0,0.508448,849
34,1,1,2,4,57600,0,0.507057,1214
35,1,1,2,5,460800,0,0.50862,478
36,1,1,2,5,230400,0,0.51813,535
37,1,1,2,5,115200,0,0.478493,615
38,1,1,2,5,57600,0,0.554549,970
39,1,1,3,1,460800,0,0.509944,425
40,1,1,3,1,230400,0,0.537665,488
41,1,1,3,1,115200,0,0.538102,672
42,1,1,3,1,57600,0,0.48266,1049
43,1,1,3,2,460800,0,0.540872,537
44,1,1,3,2,230400,0,0.482893,641
45,1,1,3,2,115200,0,0.512334,919
46,1,1,3,2,57600,0,0.525247,1433
47,1,1,3,3,460800,0,0.512159,537
48,1,1,3,3,230400,0,0.527754,622
49,1,1,3,3,115200,0,0.517931,859
50,1,1,3,3,57600,0,0.525335,1294
51,1,1,3,4,460800,0,0.572784,811
52,1,1,3,4,230400,0,0.500009,880
53,1,1,3,4,115200,0,0.490275,1178
54,1,1,3,4,57600,0,0.499834,2005
55,1,1,3,5,460800,0,0.557604,596
56,1,1,3,5,230400,0,0.53682,728
57,1,1,3,5,115200,0,0.497555,1015
58,1,1,3,5,57600,0,0.498925,1511
59,1,1,4,1,460800,0,0.498917,380
60,1,1,4,1,230400,0,0.502464,461
61,1,1,4,1,115200,0,0.504426,556
62,1,1,4,1,57600,0,0.507137,871
63,1,1,4,2,460800,0,0.501945,551
64,1,1,4,2,230400,0,0.545353,576
65,1,1,4,2,115200,0,0.524096,768
66,1,1,4,2,57600,0,0.500964,1064
67,1,1,4,3,230400,0,0.533989,554
68,1,1,4,3,115200,0,0.504224,768
69,1,1,4,3,57600,0,0.522683,1079
70,1,1,4,4,460800,0,0.499295,637
71,1,1,4,4,230400,0,0.45575,783
72,1,1,4,4,115200,0,0.518386,1164
73,1,1,4,4,57600,0,0.498891,1612
74,1,1,4,5,460800,0,0.539873,544
